Orthogroup	Syak	Pram
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Pram.g_01954, Pram.g_01953
OG0000004	Syak.g_01219, Syak.g_00720	Pram.g_00789
OG0000004	Syak.g_00003, Syak.g_02297	Pram.g_00219
OG0000005	Syak.g_00885, Syak.g_02436	Pram.g_01295
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Pram.g_00229
OG0000007	Syak.g_02595	Pram.g_00433
OG0000007	Syak.g_02416	Pram.g_01632
OG0000008	Syak.g_00267	Pram.g_01263
OG0000008	Syak.g_00692	Pram.g_01262
OG0000010	Syak.g_01119	Pram.g_00704, Pram.g_01000
OG0000011	Syak.g_00960	Pram.g_01579
OG0000012	Syak.g_00010	Pram.g_00561
OG0000013	Syak.g_01270, Syak.g_01275	Pram.g_00315
OG0000014	Syak.g_01505	Pram.g_00295
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Pram.g_00696, Pram.g_01545
OG0000016	Syak.g_00818	Pram.g_01193
OG0000017	Syak.g_02730	Pram.g_00535
OG0000017	Syak.g_02738	Pram.g_00542
OG0000018	Syak.g_01072	Pram.g_01162
OG0000019	Syak.g_01413	Pram.g_00237, Pram.g_01164
OG0000021	Syak.g_00566	Pram.g_01274, Pram.g_00794
OG0000023	Syak.g_00316, Syak.g_00223	Pram.g_00689
OG0000025	Syak.g_00610	Pram.g_00844
OG0000026	Syak.g_01757	Pram.g_00018
OG0000028	Syak.g_01522	Pram.g_00363, Pram.g_00308
OG0000029	Syak.g_00169, Syak.g_00178	Pram.g_01529, Pram.g_01723
OG0000030	Syak.g_01684, Syak.g_01685	Pram.g_01844
OG0000031	Syak.g_01630	Pram.g_01413
OG0000032	Syak.g_01092	Pram.g_01339
OG0000033	Syak.g_02101	Pram.g_00154
OG0000034	Syak.g_00950, Syak.g_02133	Pram.g_01240
OG0000035	Syak.g_01041, Syak.g_01040	Pram.g_01381, Pram.g_01378
OG0000037	Syak.g_02188	Pram.g_00093
OG0000038	Syak.g_01938, Syak.g_01936	Pram.g_01884
OG0000039	Syak.g_00772, Syak.g_01918	Pram.g_00777
OG0000041	Syak.g_02354, Syak.g_00752	Pram.g_01680
OG0000042	Syak.g_00843, Syak.g_01681	Pram.g_01841
OG0000043	Syak.g_00335	Pram.g_01161
OG0000044	Syak.g_00767, Syak.g_00153	Pram.g_01620
OG0000046	Syak.g_01269, Syak.g_01276	Pram.g_00316
OG0000047	Syak.g_01147	Pram.g_00359
OG0000048	Syak.g_01446	Pram.g_00259
OG0000050	Syak.g_00106	Pram.g_00576, Pram.g_00706
OG0000052	Syak.g_01549	Pram.g_00040
OG0000053	Syak.g_01068	Pram.g_01357, Pram.g_01580
OG0000054	Syak.g_02744, Syak.g_02321	Pram.g_00544
OG0000055	Syak.g_00766	Pram.g_01189, Pram.g_01617
OG0000057	Syak.g_00724, Syak.g_01676	Pram.g_00792
OG0000059	Syak.g_01355	Pram.g_01719
OG0000061	Syak.g_00898	Pram.g_01140
OG0000062	Syak.g_02434	Pram.g_01293
OG0000063	Syak.g_01752	Pram.g_01258
OG0000064	Syak.g_00983, Syak.g_00254, Syak.g_00126, Syak.g_00164	Pram.g_00052
OG0000065	Syak.g_02192, Syak.g_00282	Pram.g_00091
OG0000066	Syak.g_02653	Pram.g_01558
OG0000067	Syak.g_00434	Pram.g_00809
OG0000068	Syak.g_02565	Pram.g_01468
OG0000070	Syak.g_01174	Pram.g_00385
OG0000071	Syak.g_02322, Syak.g_00936	Pram.g_01230
OG0000072	Syak.g_02099	Pram.g_00156
OG0000073	Syak.g_02597	Pram.g_00437
OG0000075	Syak.g_01564	Pram.g_01807
OG0000076	Syak.g_01650	Pram.g_01833
OG0000077	Syak.g_02243	Pram.g_00063
OG0000078	Syak.g_02310	Pram.g_00227
OG0000079	Syak.g_01417	Pram.g_00240
OG0000080	Syak.g_01585, Syak.g_01583, Syak.g_01612	Pram.g_01408
OG0000081	Syak.g_00115	Pram.g_00469
OG0000082	Syak.g_02711	Pram.g_01559
OG0000084	Syak.g_01036	Pram.g_01384
OG0000085	Syak.g_02427	Pram.g_01265
OG0000086	Syak.g_02219	Pram.g_00072
OG0000087	Syak.g_02141	Pram.g_00125
OG0000088	Syak.g_02106	Pram.g_00151
OG0000089	Syak.g_01215	Pram.g_00352
OG0000090	Syak.g_02640	Pram.g_00471
OG0000091	Syak.g_00043	Pram.g_01068
OG0000093	Syak.g_00416	Pram.g_01038
OG0000094	Syak.g_00656	Pram.g_00987
OG0000095	Syak.g_00736	Pram.g_00888
OG0000097	Syak.g_00816	Pram.g_01093
OG0000098	Syak.g_00345, Syak.g_02651	Pram.g_01478
OG0000099	Syak.g_01527	Pram.g_01445
OG0000100	Syak.g_00622	Pram.g_01298
OG0000101	Syak.g_01305	Pram.g_01770
OG0000102	Syak.g_01661	Pram.g_01838
OG0000103	Syak.g_01812	Pram.g_01925
OG0000104	Syak.g_01799	Pram.g_01934
OG0000105	Syak.g_01451	Pram.g_00262
OG0000106	Syak.g_00096	Pram.g_00677
OG0000107	Syak.g_01392	Pram.g_01696
OG0000108	Syak.g_02574	Pram.g_00416
OG0000109	Syak.g_01061, Syak.g_02590	Pram.g_00430
OG0000110	Syak.g_02698	Pram.g_00513
OG0000111	Syak.g_00725	Pram.g_00793
OG0000112	Syak.g_00512	Pram.g_00935
OG0000113	Syak.g_00461	Pram.g_00832
OG0000114	Syak.g_00373, Syak.g_00065	Pram.g_00734
OG0000115	Syak.g_01066	Pram.g_01201
OG0000116	Syak.g_00911	Pram.g_01151
OG0000117	Syak.g_00846	Pram.g_01112
OG0000118	Syak.g_00954	Pram.g_01242
OG0000119	Syak.g_00917	Pram.g_01283
OG0000120	Syak.g_01526	Pram.g_01446
OG0000121	Syak.g_01044	Pram.g_01376
OG0000122	Syak.g_00081	Pram.g_01204, Pram.g_01334
OG0000123	Syak.g_01299	Pram.g_01777
OG0000124	Syak.g_01692	Pram.g_01850
OG0000125	Syak.g_01934	Pram.g_01886
OG0000126	Syak.g_01801	Pram.g_01933
OG0000127	Syak.g_02269, Syak.g_02544	Pram.g_00611
OG0000128	Syak.g_01782	Pram.g_01949
OG0000129	Syak.g_01947	Pram.g_00029
OG0000130	Syak.g_02255	Pram.g_00054
OG0000131	Syak.g_02128	Pram.g_00130
OG0000132	Syak.g_02108	Pram.g_00149
OG0000133	Syak.g_00507	Pram.g_00310
OG0000134	Syak.g_01212	Pram.g_00354
OG0000135	Syak.g_01897	Pram.g_01589
OG0000136	Syak.g_01186	Pram.g_00376
OG0000137	Syak.g_01118	Pram.g_00411
OG0000138	Syak.g_02591	Pram.g_00431
OG0000139	Syak.g_02646	Pram.g_00475
OG0000140	Syak.g_02650	Pram.g_00476
OG0000141	Syak.g_02746	Pram.g_00545
OG0000142	Syak.g_00035	Pram.g_01075
OG0000143	Syak.g_00039	Pram.g_01072
OG0000144	Syak.g_00260	Pram.g_01058
OG0000145	Syak.g_02598	Pram.g_01534
OG0000146	Syak.g_00514	Pram.g_00934
OG0000147	Syak.g_00515	Pram.g_00933
OG0000148	Syak.g_00455	Pram.g_00826
OG0000149	Syak.g_00596	Pram.g_00858
OG0000150	Syak.g_02747	Pram.g_00868
OG0000151	Syak.g_00387	Pram.g_00744
OG0000152	Syak.g_00503	Pram.g_00943
OG0000153	Syak.g_00470	Pram.g_00961
OG0000154	Syak.g_00645	Pram.g_00978
OG0000155	Syak.g_00855	Pram.g_01118
OG0000156	Syak.g_00919	Pram.g_01219
OG0000157	Syak.g_00920	Pram.g_01220
OG0000158	Syak.g_01624	Pram.g_01815
OG0000159	Syak.g_01580	Pram.g_00045
OG0000160	Syak.g_01043	Pram.g_01377
OG0000161	Syak.g_01050	Pram.g_01145, Pram.g_01371
OG0000162	Syak.g_01058	Pram.g_01365
OG0000163	Syak.g_02478	Pram.g_01326
OG0000164	Syak.g_02384	Pram.g_01656
OG0000165	Syak.g_02374	Pram.g_01664
OG0000166	Syak.g_01345	Pram.g_01733
OG0000167	Syak.g_01561	Pram.g_01805
OG0000168	Syak.g_01625	Pram.g_01816
OG0000169	Syak.g_01637	Pram.g_01826
OG0000170	Syak.g_01644	Pram.g_01829
OG0000171	Syak.g_01691	Pram.g_01849
OG0000172	Syak.g_01713	Pram.g_01856
OG0000173	Syak.g_01733	Pram.g_01871
OG0000174	Syak.g_01895	Pram.g_01902
OG0000175	Syak.g_01827	Pram.g_01914
OG0000176	Syak.g_01790	Pram.g_01942
OG0000177	Syak.g_01789	Pram.g_01943
OG0000178	Syak.g_01788	Pram.g_01944
OG0000179	Syak.g_01773	Pram.g_00003
OG0000180	Syak.g_01772	Pram.g_00004
OG0000181	Syak.g_01771	Pram.g_00005
OG0000182	Syak.g_01770	Pram.g_00006
OG0000183	Syak.g_01766	Pram.g_00010
OG0000184	Syak.g_01955	Pram.g_00033
OG0000185	Syak.g_01971	Pram.g_00036
