Orthogroup	Syak	Prbe
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbe.g_00400
OG0000004	Syak.g_01219, Syak.g_00720	Prbe.g_01203
OG0000004	Syak.g_00003, Syak.g_02297	Prbe.g_01784
OG0000005	Syak.g_00885, Syak.g_02436	Prbe.g_00228
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prbe.g_01794
OG0000007	Syak.g_02595	Prbe.g_00636
OG0000007	Syak.g_02416	Prbe.g_00985
OG0000008	Syak.g_00267	Prbe.g_00036
OG0000008	Syak.g_00692	Prbe.g_00037
OG0000010	Syak.g_01119	Prbe.g_00096, Prbe.g_01411
OG0000012	Syak.g_00010	Prbe.g_00511
OG0000013	Syak.g_01270, Syak.g_01275	Prbe.g_01879
OG0000014	Syak.g_01505	Prbe.g_01861
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prbe.g_01046, Prbe.g_01000
OG0000016	Syak.g_00818	Prbe.g_01607
OG0000017	Syak.g_02730	Prbe.g_00536
OG0000017	Syak.g_02738	Prbe.g_00529
OG0000018	Syak.g_01072	Prbe.g_01571
OG0000019	Syak.g_01413	Prbe.g_01802, Prbe.g_01573
OG0000021	Syak.g_00566	Prbe.g_00203, Prbe.g_01208
OG0000023	Syak.g_00316, Syak.g_00223	Prbe.g_00062
OG0000025	Syak.g_00610	Prbe.g_01258
OG0000026	Syak.g_01757	Prbe.g_00132
OG0000027	Syak.g_00127	Prbe.g_00012, Prbe.g_01121
OG0000028	Syak.g_01522	Prbe.g_00034
OG0000029	Syak.g_00169, Syak.g_00178	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091
OG0000030	Syak.g_01684, Syak.g_01685	Prbe.g_00763
OG0000031	Syak.g_01630	Prbe.g_00352
OG0000032	Syak.g_01092	Prbe.g_00272
OG0000033	Syak.g_02101	Prbe.g_01717, Prbe.g_00345
OG0000034	Syak.g_00950, Syak.g_02133	Prbe.g_00882
OG0000035	Syak.g_01041, Syak.g_01040	Prbe.g_00311
OG0000037	Syak.g_02188	Prbe.g_01651
OG0000038	Syak.g_01938, Syak.g_01936	Prbe.g_01156
OG0000039	Syak.g_00772, Syak.g_01918	Prbe.g_00461
OG0000041	Syak.g_02354, Syak.g_00752	Prbe.g_00938
OG0000042	Syak.g_00843, Syak.g_01681	Prbe.g_00766
OG0000043	Syak.g_00335	Prbe.g_01570
OG0000046	Syak.g_01269, Syak.g_01276	Prbe.g_01880
OG0000047	Syak.g_01147	Prbe.g_01921
OG0000048	Syak.g_01446	Prbe.g_00906
OG0000050	Syak.g_00106	Prbe.g_00098
OG0000052	Syak.g_01549	Prbe.g_00158
OG0000053	Syak.g_01068	Prbe.g_00290, Prbe.g_01040
OG0000054	Syak.g_02744, Syak.g_02321	Prbe.g_00527
OG0000055	Syak.g_00766	Prbe.g_01598, Prbe.g_01011
OG0000057	Syak.g_00724, Syak.g_01676	Prbe.g_01206
OG0000058	Syak.g_01530	Prbe.g_00351
OG0000059	Syak.g_01355	Prbe.g_01094
OG0000061	Syak.g_00898	Prbe.g_01549
OG0000062	Syak.g_02434	Prbe.g_00226
OG0000063	Syak.g_01752	Prbe.g_00021
OG0000064	Syak.g_00983, Syak.g_00254, Syak.g_00126, Syak.g_00164	Prbe.g_00172
OG0000065	Syak.g_02192, Syak.g_00282	Prbe.g_01649
OG0000066	Syak.g_02653	Prbe.g_00596, Prbe.g_01114
OG0000067	Syak.g_00434	Prbe.g_01222
OG0000068	Syak.g_02565	Prbe.g_00373
OG0000070	Syak.g_01174	Prbe.g_01948
OG0000071	Syak.g_02322, Syak.g_00936	Prbe.g_00893
OG0000072	Syak.g_02099	Prbe.g_01719
OG0000073	Syak.g_02597	Prbe.g_00633
OG0000075	Syak.g_01564	Prbe.g_00800
OG0000076	Syak.g_01650	Prbe.g_00774
OG0000077	Syak.g_02243	Prbe.g_00183
OG0000078	Syak.g_02310	Prbe.g_01792
OG0000079	Syak.g_01417	Prbe.g_01805
OG0000080	Syak.g_01612	Prbe.g_00339, Prbe.g_00337
OG0000081	Syak.g_00115	Prbe.g_00604
OG0000082	Syak.g_02711	Prbe.g_00549, Prbe.g_00996
OG0000084	Syak.g_01036	Prbe.g_00314
OG0000085	Syak.g_02427	Prbe.g_00007, Prbe.g_00993
OG0000086	Syak.g_02219	Prbe.g_00192
OG0000087	Syak.g_02141	Prbe.g_01683
OG0000088	Syak.g_02106	Prbe.g_01714
OG0000089	Syak.g_01215	Prbe.g_01915
OG0000090	Syak.g_02640	Prbe.g_00602
OG0000091	Syak.g_00043	Prbe.g_01477
OG0000093	Syak.g_00416	Prbe.g_01448
OG0000094	Syak.g_00656	Prbe.g_01399
OG0000095	Syak.g_00736	Prbe.g_01297
OG0000097	Syak.g_00816	Prbe.g_01503
OG0000098	Syak.g_00345, Syak.g_02651	Prbe.g_00397
OG0000099	Syak.g_01527	Prbe.g_00350
OG0000100	Syak.g_00622	Prbe.g_00232
OG0000101	Syak.g_01305	Prbe.g_00836
OG0000102	Syak.g_01661	Prbe.g_00769
OG0000103	Syak.g_01812	Prbe.g_01195
OG0000104	Syak.g_01799	Prbe.g_01061
OG0000105	Syak.g_01451	Prbe.g_01828
OG0000106	Syak.g_00096	Prbe.g_00740
OG0000107	Syak.g_01392	Prbe.g_00921
OG0000108	Syak.g_02574	Prbe.g_00653
OG0000109	Syak.g_01061, Syak.g_02590	Prbe.g_00639
OG0000110	Syak.g_02698	Prbe.g_00560
OG0000111	Syak.g_00725	Prbe.g_01207
OG0000112	Syak.g_00512	Prbe.g_00487
OG0000113	Syak.g_00461	Prbe.g_01245
OG0000114	Syak.g_00373, Syak.g_00065	Prbe.g_00417
OG0000115	Syak.g_01066	Prbe.g_01618
OG0000116	Syak.g_00911	Prbe.g_01560
OG0000117	Syak.g_00846	Prbe.g_01522
OG0000118	Syak.g_00954	Prbe.g_00880
OG0000119	Syak.g_00917	Prbe.g_01603, Prbe.g_00214
OG0000120	Syak.g_01526	Prbe.g_00353
OG0000121	Syak.g_01044	Prbe.g_00309
OG0000122	Syak.g_00081	Prbe.g_01625, Prbe.g_00268
OG0000123	Syak.g_01299	Prbe.g_00829
OG0000124	Syak.g_01692	Prbe.g_00745
OG0000125	Syak.g_01934	Prbe.g_01158
OG0000126	Syak.g_01801	Prbe.g_01060
OG0000128	Syak.g_01782	Prbe.g_01076
OG0000129	Syak.g_01947	Prbe.g_00145
OG0000130	Syak.g_02255	Prbe.g_00174
OG0000131	Syak.g_02128	Prbe.g_01692
OG0000132	Syak.g_02108	Prbe.g_01712
OG0000133	Syak.g_00507	Prbe.g_01875
OG0000134	Syak.g_01212	Prbe.g_01917
OG0000135	Syak.g_01897	Prbe.g_00911
OG0000136	Syak.g_01186	Prbe.g_01939
OG0000137	Syak.g_01118	Prbe.g_00658
OG0000138	Syak.g_02591	Prbe.g_00638
OG0000139	Syak.g_02646	Prbe.g_00598
OG0000140	Syak.g_02650	Prbe.g_00597
OG0000141	Syak.g_02746	Prbe.g_00526
OG0000142	Syak.g_00035	Prbe.g_01485
OG0000143	Syak.g_00039	Prbe.g_01481
OG0000144	Syak.g_00260	Prbe.g_01467
OG0000145	Syak.g_02598	Prbe.g_00909
OG0000146	Syak.g_00514	Prbe.g_00488
OG0000147	Syak.g_00515	Prbe.g_00489
OG0000148	Syak.g_00455	Prbe.g_01239
OG0000149	Syak.g_00596	Prbe.g_01271
OG0000150	Syak.g_02747	Prbe.g_01281
OG0000151	Syak.g_00387	Prbe.g_00427
OG0000152	Syak.g_00503	Prbe.g_01350
OG0000153	Syak.g_00470	Prbe.g_01369
OG0000154	Syak.g_00645	Prbe.g_01389
OG0000155	Syak.g_00855	Prbe.g_01528
OG0000156	Syak.g_00919	Prbe.g_00904
OG0000157	Syak.g_00920	Prbe.g_00903
OG0000158	Syak.g_01624	Prbe.g_00792
OG0000159	Syak.g_01580	Prbe.g_00165
OG0000160	Syak.g_01043	Prbe.g_00310
OG0000161	Syak.g_01050	Prbe.g_00304
OG0000162	Syak.g_01058	Prbe.g_00298
OG0000163	Syak.g_02478	Prbe.g_00259
OG0000164	Syak.g_02384	Prbe.g_00961
OG0000165	Syak.g_02374	Prbe.g_00954
OG0000166	Syak.g_01345	Prbe.g_01083
OG0000167	Syak.g_01561	Prbe.g_00802
OG0000168	Syak.g_01625	Prbe.g_00791
OG0000169	Syak.g_01637	Prbe.g_00781
OG0000170	Syak.g_01644	Prbe.g_00778
OG0000171	Syak.g_01691	Prbe.g_00758
OG0000172	Syak.g_01713	Prbe.g_00751
OG0000173	Syak.g_01733	Prbe.g_01143
OG0000174	Syak.g_01895	Prbe.g_01173
OG0000175	Syak.g_01827	Prbe.g_01186
OG0000176	Syak.g_01790	Prbe.g_01069
OG0000177	Syak.g_01789	Prbe.g_01070
OG0000178	Syak.g_01788	Prbe.g_01071
OG0000179	Syak.g_01773	Prbe.g_00116
OG0000180	Syak.g_01772	Prbe.g_00117
OG0000181	Syak.g_01771	Prbe.g_00118
