Orthogroup	Syak	Prav
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prav.g_01458
OG0000004	Syak.g_01219, Syak.g_00720	Prav.g_01293
OG0000004	Syak.g_00003, Syak.g_02297	Prav.g_00806
OG0000005	Syak.g_02401	Prav.g_01774
OG0000005	Syak.g_00885, Syak.g_02436	Prav.g_01654
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prav.g_02001
OG0000007	Syak.g_02595	Prav.g_01095
OG0000007	Syak.g_02416	Prav.g_01761
OG0000008	Syak.g_00267	Prav.g_01749
OG0000008	Syak.g_00692	Prav.g_01750
OG0000009	Syak.g_02194	Prav.g_00170
OG0000010	Syak.g_01119	Prav.g_00218
OG0000011	Syak.g_00960	Prav.g_01334
OG0000012	Syak.g_00010	Prav.g_01221
OG0000013	Syak.g_01270, Syak.g_01275	Prav.g_01973
OG0000014	Syak.g_01505	Prav.g_01952
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prav.g_00363, Prav.g_00961
OG0000016	Syak.g_01780	Prav.g_00081
OG0000017	Syak.g_02730, Syak.g_02738	Prav.g_01194
OG0000018	Syak.g_01072	Prav.g_00046
OG0000019	Syak.g_01413	Prav.g_01896, Prav.g_00375
OG0000021	Syak.g_00566	Prav.g_00984
OG0000022	Syak.g_00088	Prav.g_00029
OG0000023	Syak.g_00316, Syak.g_00223	Prav.g_00979
OG0000025	Syak.g_00610	Prav.g_01977, Prav.g_00431
OG0000026	Syak.g_01757	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syak.g_00127	Prav.g_01068, Prav.g_01416
OG0000028	Syak.g_01522	Prav.g_01885, Prav.g_01966
OG0000029	Syak.g_00169, Syak.g_00178	Prav.g_00350
OG0000030	Syak.g_01684, Syak.g_01685	Prav.g_00699
OG0000032	Syak.g_01707	Prav.g_01499
OG0000033	Syak.g_02101	Prav.g_00869
OG0000034	Syak.g_00950, Syak.g_02133	Prav.g_01448
OG0000035	Syak.g_01041, Syak.g_01040	Prav.g_01578
OG0000037	Syak.g_02188	Prav.g_00174
OG0000038	Syak.g_01938, Syak.g_01936	Prav.g_00739
OG0000039	Syak.g_00772, Syak.g_01918	Prav.g_01284
OG0000040	Syak.g_01852	Prav.g_00045
OG0000041	Syak.g_02354, Syak.g_00752	Prav.g_01808
OG0000042	Syak.g_00843, Syak.g_01681	Prav.g_00696
OG0000043	Syak.g_00335	Prav.g_00467
OG0000045	Syak.g_00228	Prav.g_00990
OG0000047	Syak.g_01147	Prav.g_01976
OG0000048	Syak.g_01446	Prav.g_00993
OG0000050	Syak.g_00106	Prav.g_01013
OG0000053	Syak.g_01068	Prav.g_01598
OG0000054	Syak.g_02744, Syak.g_02321	Prav.g_01202
OG0000055	Syak.g_00766	Prav.g_00376
OG0000057	Syak.g_00724, Syak.g_01676	Prav.g_01296
OG0000059	Syak.g_01355	Prav.g_00292
OG0000060	Syak.g_01138, Syak.g_02572, Syak.g_00844	Prav.g_00964
OG0000061	Syak.g_00898	Prav.g_00065
OG0000062	Syak.g_02434	Prav.g_01656
OG0000063	Syak.g_01752	Prav.g_00101
OG0000065	Syak.g_02192, Syak.g_00282	Prav.g_00172
OG0000066	Syak.g_02653	Prav.g_01137
OG0000067	Syak.g_00434	Prav.g_00397
OG0000068	Syak.g_02565	Prav.g_01473
OG0000070	Syak.g_01174	Prav.g_01049
OG0000071	Syak.g_02322, Syak.g_00936	Prav.g_01438
OG0000072	Syak.g_02099	Prav.g_00867
OG0000073	Syak.g_02597	Prav.g_01097
OG0000075	Syak.g_01564	Prav.g_00665
OG0000076	Syak.g_01650	Prav.g_00689
OG0000077	Syak.g_02243	Prav.g_00143
OG0000078	Syak.g_02310	Prav.g_00799
OG0000079	Syak.g_01417	Prav.g_01899
OG0000081	Syak.g_00115	Prav.g_01129
OG0000082	Syak.g_02711	Prav.g_01182
OG0000084	Syak.g_01036	Prav.g_01574
OG0000085	Syak.g_02427	Prav.g_01754
OG0000086	Syak.g_02219	Prav.g_00153
OG0000087	Syak.g_02141	Prav.g_00204
OG0000088	Syak.g_02106	Prav.g_00872
OG0000089	Syak.g_01215	Prav.g_00975
OG0000090	Syak.g_02640	Prav.g_01131
OG0000091	Syak.g_00043	Prav.g_01240
OG0000092	Syak.g_01126	Prav.g_01735
OG0000093	Syak.g_00416	Prav.g_00525
OG0000094	Syak.g_00656	Prav.g_00914
OG0000095	Syak.g_00736	Prav.g_00933
OG0000097	Syak.g_00816	Prav.g_01840
OG0000098	Syak.g_00345, Syak.g_02651	Prav.g_01455
OG0000099	Syak.g_01527	Prav.g_01514
OG0000100	Syak.g_00622	Prav.g_01652
OG0000101	Syak.g_01305	Prav.g_00632
OG0000102	Syak.g_01661	Prav.g_00694
OG0000103	Syak.g_01812	Prav.g_00773
OG0000104	Syak.g_01799	Prav.g_00782
OG0000105	Syak.g_01451	Prav.g_01920
OG0000106	Syak.g_00096	Prav.g_00989
OG0000107	Syak.g_01392	Prav.g_01001
OG0000108	Syak.g_02574	Prav.g_01078
OG0000109	Syak.g_01061, Syak.g_02590	Prav.g_01092
OG0000110	Syak.g_02698	Prav.g_01172
OG0000111	Syak.g_00725	Prav.g_01297
OG0000112	Syak.g_00512	Prav.g_00364
OG0000113	Syak.g_00461	Prav.g_00419
OG0000114	Syak.g_00373, Syak.g_00065	Prav.g_00499
OG0000115	Syak.g_01066	Prav.g_00010
OG0000116	Syak.g_00911	Prav.g_00055
OG0000117	Syak.g_00846	Prav.g_01390
OG0000118	Syak.g_00954	Prav.g_01450
OG0000119	Syak.g_00917	Prav.g_01469
OG0000120	Syak.g_01526	Prav.g_01513
OG0000121	Syak.g_01044	Prav.g_01580
OG0000122	Syak.g_00081	Prav.g_01618
OG0000123	Syak.g_01299	Prav.g_00639
OG0000124	Syak.g_01692	Prav.g_00705
OG0000125	Syak.g_01934	Prav.g_00741
OG0000126	Syak.g_01801	Prav.g_00781
OG0000128	Syak.g_01782	Prav.g_00079
OG0000129	Syak.g_01947	Prav.g_00115
OG0000130	Syak.g_02255	Prav.g_00134
OG0000131	Syak.g_02128	Prav.g_00212
OG0000132	Syak.g_02108	Prav.g_00874
OG0000133	Syak.g_00507	Prav.g_01968
OG0000134	Syak.g_01212	Prav.g_00976
OG0000135	Syak.g_01897	Prav.g_00999
OG0000136	Syak.g_01186	Prav.g_01040
OG0000137	Syak.g_01118	Prav.g_01073
OG0000138	Syak.g_01062, Syak.g_02591	Prav.g_01093
OG0000139	Syak.g_02646	Prav.g_01135
OG0000140	Syak.g_02650	Prav.g_01136
OG0000141	Syak.g_02746	Prav.g_01203
OG0000142	Syak.g_00035	Prav.g_01233
OG0000143	Syak.g_00039	Prav.g_01237
OG0000144	Syak.g_00260	Prav.g_01250
OG0000145	Syak.g_02598	Prav.g_00362
OG0000146	Syak.g_00514	Prav.g_00365
OG0000147	Syak.g_00515	Prav.g_00366
OG0000148	Syak.g_00455	Prav.g_00413
OG0000149	Syak.g_00596	Prav.g_00443
OG0000150	Syak.g_02747	Prav.g_00451
OG0000151	Syak.g_00387	Prav.g_00509
OG0000152	Syak.g_00503	Prav.g_00556
OG0000153	Syak.g_00470	Prav.g_00575
OG0000154	Syak.g_00645	Prav.g_00907
OG0000155	Syak.g_00855	Prav.g_01861
OG0000156	Syak.g_00919	Prav.g_01427
OG0000157	Syak.g_00920	Prav.g_01428
OG0000158	Syak.g_01624	Prav.g_01505
OG0000160	Syak.g_01043	Prav.g_01579
OG0000161	Syak.g_01050	Prav.g_01585
OG0000162	Syak.g_01058	Prav.g_01591
OG0000163	Syak.g_02478	Prav.g_01625
OG0000164	Syak.g_02384	Prav.g_01785
OG0000165	Syak.g_02374	Prav.g_01792
OG0000166	Syak.g_01345	Prav.g_00596
OG0000167	Syak.g_01561	Prav.g_00663
OG0000168	Syak.g_01625	Prav.g_00673
OG0000169	Syak.g_01637	Prav.g_00683
OG0000170	Syak.g_01644	Prav.g_00685
OG0000171	Syak.g_01691	Prav.g_00704
OG0000172	Syak.g_01713	Prav.g_00712
OG0000173	Syak.g_01733	Prav.g_00727
OG0000174	Syak.g_01895	Prav.g_00755
OG0000175	Syak.g_01827	Prav.g_00765
OG0000176	Syak.g_01790	Prav.g_00790
OG0000177	Syak.g_01789	Prav.g_00791
OG0000178	Syak.g_01788	Prav.g_00792
OG0000179	Syak.g_01773	Prav.g_00084
OG0000180	Syak.g_01772	Prav.g_00085
OG0000181	Syak.g_01771	Prav.g_00086
OG0000182	Syak.g_01770	Prav.g_00087
OG0000183	Syak.g_01766	Prav.g_00091
OG0000184	Syak.g_01955	Prav.g_00117
OG0000185	Syak.g_01971	Prav.g_00120
OG0000186	Syak.g_02258	Prav.g_00129
OG0000187	Syak.g_02257	Prav.g_00130
OG0000188	Syak.g_02235	Prav.g_00147
OG0000189	Syak.g_02203	Prav.g_00161
OG0000190	Syak.g_01575	Prav.g_00162
OG0000191	Syak.g_02171	Prav.g_00182
OG0000192	Syak.g_02165	Prav.g_00186
OG0000193	Syak.g_02127	Prav.g_00213
OG0000194	Syak.g_02124	Prav.g_00216
OG0000195	Syak.g_02122	Prav.g_00887
OG0000196	Syak.g_02111	Prav.g_00877
OG0000197	Syak.g_02110	Prav.g_00876
OG0000198	Syak.g_02109	Prav.g_00875
OG0000199	Syak.g_02100	Prav.g_00868
OG0000200	Syak.g_02083	Prav.g_00854
OG0000201	Syak.g_02068	Prav.g_00846
OG0000202	Syak.g_02067	Prav.g_00845
OG0000203	Syak.g_02066	Prav.g_00844
OG0000204	Syak.g_02065	Prav.g_00843
OG0000205	Syak.g_02058	Prav.g_00836
OG0000206	Syak.g_02038	Prav.g_00831
OG0000207	Syak.g_02025	Prav.g_00829
OG0000208	Syak.g_02024	Prav.g_00828
OG0000209	Syak.g_01995	Prav.g_00819
OG0000210	Syak.g_01994	Prav.g_00818
OG0000211	Syak.g_02017, Syak.g_02300	Prav.g_00805
OG0000212	Syak.g_02311	Prav.g_00798
OG0000213	Syak.g_01425	Prav.g_01904
OG0000214	Syak.g_01442	Prav.g_01914
OG0000215	Syak.g_01474	Prav.g_01938
OG0000216	Syak.g_01478	Prav.g_01940
OG0000217	Syak.g_01482	Prav.g_01943
OG0000218	Syak.g_01484	Prav.g_01945
OG0000219	Syak.g_01485	Prav.g_01946
OG0000220	Syak.g_01486	Prav.g_01947
OG0000221	Syak.g_01498	Prav.g_01948
OG0000222	Syak.g_01512	Prav.g_01956
OG0000223	Syak.g_01531	Prav.g_01969
OG0000224	Syak.g_01532	Prav.g_01971
OG0000225	Syak.g_01230	Prav.g_01992
OG0000226	Syak.g_01226	Prav.g_01996
OG0000227	Syak.g_01224	Prav.g_01998
OG0000228	Syak.g_01216	Prav.g_00974
OG0000229	Syak.g_01191	Prav.g_01035
OG0000230	Syak.g_01189	Prav.g_01037
OG0000231	Syak.g_01176	Prav.g_01048
OG0000232	Syak.g_01156	Prav.g_01056
OG0000233	Syak.g_01145	Prav.g_01061
OG0000234	Syak.g_01116	Prav.g_01074
OG0000235	Syak.g_02573	Prav.g_01077
OG0000236	Syak.g_02589	Prav.g_01091
OG0000237	Syak.g_02607	Prav.g_01104
OG0000238	Syak.g_02612	Prav.g_01110
OG0000239	Syak.g_02628	Prav.g_01123
OG0000240	Syak.g_02629	Prav.g_01124
OG0000241	Syak.g_00027	Prav.g_01128
OG0000242	Syak.g_02638	Prav.g_01130
OG0000243	Syak.g_02658	Prav.g_01141, Prav.g_00954
OG0000244	Syak.g_02665	Prav.g_01144
OG0000245	Syak.g_02667	Prav.g_01146
OG0000246	Syak.g_02671	Prav.g_01150
OG0000247	Syak.g_02681	Prav.g_01160
OG0000248	Syak.g_02684	Prav.g_01162
OG0000249	Syak.g_02686	Prav.g_01164
OG0000250	Syak.g_02694	Prav.g_01169
OG0000251	Syak.g_02722	Prav.g_01187
OG0000252	Syak.g_02725	Prav.g_01190
OG0000253	Syak.g_02727	Prav.g_01191
OG0000254	Syak.g_02752	Prav.g_01207
OG0000255	Syak.g_02772	Prav.g_01213
OG0000256	Syak.g_00020	Prav.g_01225
OG0000257	Syak.g_00026	Prav.g_01228
OG0000258	Syak.g_00044	Prav.g_01241
OG0000259	Syak.g_00334	Prav.g_01258
OG0000260	Syak.g_00338	Prav.g_01261
OG0000261	Syak.g_00348	Prav.g_01263
OG0000262	Syak.g_00353	Prav.g_01267
OG0000263	Syak.g_00828	Prav.g_01279
OG0000264	Syak.g_00698	Prav.g_01289
OG0000265	Syak.g_00211	Prav.g_00306
OG0000266	Syak.g_00778	Prav.g_00316
OG0000267	Syak.g_00555	Prav.g_00327
OG0000268	Syak.g_00554	Prav.g_00328
OG0000269	Syak.g_00429	Prav.g_00392
OG0000270	Syak.g_00432	Prav.g_00395
OG0000271	Syak.g_00440	Prav.g_00403
OG0000272	Syak.g_00441	Prav.g_00404
OG0000273	Syak.g_00616	Prav.g_00427
OG0000274	Syak.g_00615	Prav.g_00428
OG0000275	Syak.g_00611	Prav.g_00430
OG0000276	Syak.g_00604	Prav.g_00435
OG0000277	Syak.g_00603	Prav.g_00436
OG0000278	Syak.g_00600	Prav.g_00439
OG0000279	Syak.g_00592	Prav.g_00446
OG0000280	Syak.g_00582	Prav.g_00447
OG0000281	Syak.g_00339	Prav.g_00452
OG0000282	Syak.g_00375	Prav.g_00501
OG0000283	Syak.g_00541	Prav.g_00533
OG0000284	Syak.g_00536	Prav.g_00538
OG0000285	Syak.g_00523	Prav.g_00543
OG0000286	Syak.g_00504	Prav.g_00555
OG0000287	Syak.g_00477	Prav.g_00572
OG0000288	Syak.g_00644	Prav.g_00906
OG0000289	Syak.g_00659	Prav.g_00917
OG0000290	Syak.g_00738	Prav.g_00930
OG0000291	Syak.g_00734, Syak.g_00737	Prav.g_00932
OG0000292	Syak.g_01802	Prav.g_00261
OG0000293	Syak.g_00910	Prav.g_00056
OG0000294	Syak.g_00909	Prav.g_00057
OG0000295	Syak.g_00863	Prav.g_00077
OG0000296	Syak.g_00861	Prav.g_01867
OG0000297	Syak.g_00848	Prav.g_01859
OG0000298	Syak.g_00847	Prav.g_01858
OG0000299	Syak.g_00820	Prav.g_01841
OG0000300	Syak.g_00813	Prav.g_01838
OG0000301	Syak.g_00812	Prav.g_00955, Prav.g_01837
OG0000302	Syak.g_00811	Prav.g_01835
