Orthogroup	Syak	Prab
OG0000004	Syak.g_01219, Syak.g_00720	Prab.g_00700
OG0000004	Syak.g_00003, Syak.g_02297	Prab.g_00223
OG0000005	Syak.g_02401	Prab.g_01682
OG0000005	Syak.g_00885, Syak.g_02436	Prab.g_01542
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prab.g_00231
OG0000007	Syak.g_02595	Prab.g_00501
OG0000007	Syak.g_02416	Prab.g_01669
OG0000009	Syak.g_02194	Prab.g_00096
OG0000010	Syak.g_01119	Prab.g_01104
OG0000011	Syak.g_00960	Prab.g_00799
OG0000012	Syak.g_00010	Prab.g_00627
OG0000013	Syak.g_01270, Syak.g_01275	Prab.g_00315
OG0000014	Syak.g_01505	Prab.g_00294
OG0000014	Syak.g_01582	Prab.g_01444, Prab.g_01445
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prab.g_00789
OG0000016	Syak.g_01780	Prab.g_00013
OG0000017	Syak.g_02730, Syak.g_02738	Prab.g_00602
OG0000018	Syak.g_01072	Prab.g_01201
OG0000019	Syak.g_01413	Prab.g_00239, Prab.g_00820
OG0000021	Syak.g_00566	Prab.g_00354
OG0000022	Syak.g_00088	Prab.g_01182
OG0000023	Syak.g_00316, Syak.g_00223	Prab.g_00348
OG0000025	Syak.g_00610	Prab.g_00319, Prab.g_00874
OG0000026	Syak.g_01757	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syak.g_00127	Prab.g_00914, Prab.g_01616
OG0000028	Syak.g_01522	Prab.g_00308
OG0000029	Syak.g_00169, Syak.g_00178	Prab.g_00773
OG0000030	Syak.g_01684, Syak.g_01685	Prab.g_01867
OG0000031	Syak.g_01630	Prab.g_01446
OG0000033	Syak.g_02101	Prab.g_01400, Prab.g_00160
OG0000034	Syak.g_00950, Syak.g_02133	Prab.g_01336
OG0000035	Syak.g_01041, Syak.g_01040	Prab.g_01466
OG0000037	Syak.g_02188	Prab.g_00100
OG0000038	Syak.g_01938, Syak.g_01936	Prab.g_01908
OG0000039	Syak.g_00772, Syak.g_01918	Prab.g_00691
OG0000040	Syak.g_01852	Prab.g_01200
OG0000041	Syak.g_02354, Syak.g_00752	Prab.g_01715
OG0000042	Syak.g_00843, Syak.g_01681	Prab.g_01864
OG0000043	Syak.g_00335	Prab.g_01100
OG0000044	Syak.g_00767, Syak.g_00153	Prab.g_01648
OG0000045	Syak.g_00228	Prab.g_00360
OG0000047	Syak.g_01147	Prab.g_00318
OG0000048	Syak.g_01446	Prab.g_00411, Prab.g_00363
OG0000050	Syak.g_00106	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000053	Syak.g_01068	Prab.g_01486
OG0000054	Syak.g_02744, Syak.g_02321	Prab.g_00610
OG0000055	Syak.g_00766	Prab.g_00821
OG0000057	Syak.g_00724, Syak.g_01676	Prab.g_00703
OG0000059	Syak.g_01355	Prab.g_01754
OG0000060	Syak.g_01138, Syak.g_02572, Syak.g_00844	Prab.g_00784
OG0000061	Syak.g_00898	Prab.g_01219
OG0000062	Syak.g_02434	Prab.g_01544
OG0000063	Syak.g_01752	Prab.g_00033
OG0000065	Syak.g_02192, Syak.g_00282	Prab.g_00098
OG0000066	Syak.g_02653	Prab.g_00543
OG0000067	Syak.g_00434	Prab.g_00840
OG0000068	Syak.g_02565	Prab.g_01360
OG0000070	Syak.g_01174	Prab.g_00456
OG0000071	Syak.g_02322, Syak.g_00936	Prab.g_01637, Prab.g_01326
OG0000072	Syak.g_02099	Prab.g_00162
OG0000073	Syak.g_02597	Prab.g_00503
OG0000075	Syak.g_01564	Prab.g_01834
OG0000076	Syak.g_01650	Prab.g_01857
OG0000077	Syak.g_02243	Prab.g_00070
OG0000078	Syak.g_02310	Prab.g_00229
OG0000079	Syak.g_01417	Prab.g_00242
OG0000080	Syak.g_01612	Prab.g_01404, Prab.g_01406
OG0000081	Syak.g_00115	Prab.g_00535
OG0000082	Syak.g_02711	Prab.g_00589
OG0000084	Syak.g_01036	Prab.g_01462
OG0000085	Syak.g_02427	Prab.g_01662
OG0000086	Syak.g_02219	Prab.g_00080
OG0000087	Syak.g_02141	Prab.g_00129
OG0000088	Syak.g_02106	Prab.g_00157
OG0000089	Syak.g_01215	Prab.g_00343
OG0000090	Syak.g_02640	Prab.g_00537
OG0000091	Syak.g_00043	Prab.g_00647
OG0000093	Syak.g_00416	Prab.g_01042
OG0000094	Syak.g_00656	Prab.g_00948
OG0000095	Syak.g_00736	Prab.g_01299
OG0000097	Syak.g_00816	Prab.g_01260
