Orthogroup	Syak	Prbd
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbd.g_01779
OG0000004	Syak.g_01219, Syak.g_00720	Prbd.g_00549
OG0000004	Syak.g_00003, Syak.g_02297	Prbd.g_01007
OG0000005	Syak.g_02401	Prbd.g_01512
OG0000005	Syak.g_00885, Syak.g_02436	Prbd.g_01612
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prbd.g_00998
OG0000007	Syak.g_02595	Prbd.g_00745
OG0000007	Syak.g_02416	Prbd.g_01525
OG0000009	Syak.g_02194	Prbd.g_01139
OG0000010	Syak.g_01119	Prbd.g_00348
OG0000011	Syak.g_00960	Prbd.g_00534, Prbd.g_01867
OG0000012	Syak.g_00010	Prbd.g_00621
OG0000013	Syak.g_01270, Syak.g_01275	Prbd.g_00912
OG0000014	Syak.g_01505	Prbd.g_00933
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prbd.g_00065, Prbd.g_00826
OG0000016	Syak.g_01780	Prbd.g_01224
OG0000017	Syak.g_02730, Syak.g_02738	Prbd.g_00646
OG0000018	Syak.g_01072	Prbd.g_00449
OG0000019	Syak.g_01413	Prbd.g_00990, Prbd.g_00082
OG0000021	Syak.g_00566	Prbd.g_01546, Prbd.g_00874
OG0000022	Syak.g_00088	Prbd.g_00423
OG0000023	Syak.g_00316, Syak.g_00223	Prbd.g_00879
OG0000025	Syak.g_00610	Prbd.g_00908, Prbd.g_00137
OG0000026	Syak.g_01757	Prbd.g_01206, Prbd.g_00355
OG0000027	Syak.g_00127	Prbd.g_00772, Prbd.g_01832
OG0000028	Syak.g_01522	Prbd.g_01864, Prbd.g_00919
OG0000029	Syak.g_00169, Syak.g_00178	Prbd.g_00052, Prbd.g_00863
OG0000030	Syak.g_01684, Syak.g_01685	Prbd.g_01325
OG0000032	Syak.g_01707	Prbd.g_01730
OG0000033	Syak.g_02101	Prbd.g_01071
OG0000034	Syak.g_00950, Syak.g_02133	Prbd.g_01791
OG0000035	Syak.g_01041, Syak.g_01040	Prbd.g_01689
OG0000037	Syak.g_02188	Prbd.g_01135
OG0000038	Syak.g_01938, Syak.g_01936	Prbd.g_01283
OG0000039	Syak.g_00772, Syak.g_01918	Prbd.g_00558
OG0000040	Syak.g_01852	Prbd.g_00448
OG0000041	Syak.g_02354, Syak.g_00752	Prbd.g_01478
OG0000042	Syak.g_00843, Syak.g_01681	Prbd.g_01328
OG0000043	Syak.g_00335	Prbd.g_01891, Prbd.g_00174
OG0000045	Syak.g_00228	Prbd.g_00867
OG0000047	Syak.g_01147	Prbd.g_00909
OG0000048	Syak.g_01446	Prbd.g_00439, Prbd.g_00864
OG0000050	Syak.g_00106	Prbd.g_01928
OG0000053	Syak.g_01068	Prbd.g_01669
OG0000054	Syak.g_02744, Syak.g_02321	Prbd.g_00638
OG0000055	Syak.g_00766	Prbd.g_00083
