Orthogroup	Syak	Syai
OG0000001	Syak.g_02139	Syai.g_01197, Syai.g_02594
OG0000001	Syak.g_02138	Syai.g_02595
OG0000001	Syak.g_00275, Syak.g_00579	Syai.g_01729
OG0000004	Syak.g_01219, Syak.g_00720	Syai.g_01994
OG0000004	Syak.g_00003	Syai.g_01062
OG0000004	Syak.g_02297	Syai.g_00530
OG0000005	Syak.g_02401	Syai.g_02393
OG0000005	Syak.g_02436	Syai.g_02356
OG0000006	Syak.g_00057	Syai.g_01126
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syai.g_00317, Syai.g_00547
OG0000007	Syak.g_02595	Syai.g_00657
OG0000007	Syak.g_02416	Syai.g_02378
OG0000008	Syak.g_00267	Syai.g_01956
OG0000008	Syak.g_00692	Syai.g_01955
OG0000009	Syak.g_02194	Syai.g_02541
OG0000010	Syak.g_01119	Syai.g_00864
OG0000011	Syak.g_00960	Syai.g_01952
OG0000012	Syak.g_00010	Syai.g_01068
OG0000013	Syak.g_01270	Syai.g_00442
OG0000013	Syak.g_01275	Syai.g_00436
OG0000014	Syak.g_01505	Syai.g_00220
OG0000015	Syak.g_00358	Syai.g_01246, Syai.g_01245
OG0000016	Syak.g_01780	Syai.g_00014
OG0000016	Syak.g_00818	Syai.g_01785
OG0000017	Syak.g_02730	Syai.g_00801
OG0000017	Syak.g_02738	Syai.g_00808
OG0000018	Syak.g_01072	Syai.g_00915
OG0000019	Syak.g_01413	Syai.g_00304
OG0000021	Syak.g_00566	Syai.g_00556
OG0000022	Syak.g_00088	Syai.g_01159
OG0000023	Syak.g_00316	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022
OG0000023	Syak.g_00223	Syai.g_02318
OG0000025	Syak.g_00610	Syai.g_02044
OG0000026	Syak.g_01757	Syai.g_00038
OG0000027	Syak.g_00127	Syai.g_01654
OG0000028	Syak.g_01522	Syai.g_00205
OG0000029	Syak.g_00169, Syak.g_00178	Syai.g_01584
OG0000030	Syak.g_01684	Syai.g_00096
OG0000030	Syak.g_01685	Syai.g_00095
OG0000031	Syak.g_01630	Syai.g_00197
OG0000032	Syak.g_01092	Syai.g_00895
OG0000033	Syak.g_02101	Syai.g_02634
OG0000034	Syak.g_00950, Syak.g_02133	Syai.g_02192, Syai.g_02604
OG0000035	Syak.g_01041, Syak.g_01040	Syai.g_00955
OG0000036	Syak.g_02275	Syai.g_01848
OG0000037	Syak.g_02188	Syai.g_02544, Syai.g_02815
OG0000038	Syak.g_01938	Syai.g_02780
OG0000039	Syak.g_00772	Syai.g_02034
OG0000040	Syak.g_01852	Syai.g_02876
OG0000041	Syak.g_02354	Syai.g_02265
OG0000042	Syak.g_00843, Syak.g_01681	Syai.g_00099
OG0000043	Syak.g_00335	Syai.g_01599
OG0000044	Syak.g_00153	Syai.g_00833
OG0000045	Syak.g_00228	Syai.g_02432
OG0000046	Syak.g_01269	Syai.g_00443
OG0000046	Syak.g_01276	Syai.g_00435
OG0000047	Syak.g_01147	Syai.g_00462
OG0000048	Syak.g_01446	Syai.g_00272
OG0000050	Syak.g_00106	Syai.g_01893
OG0000052	Syak.g_01549	Syai.g_00176
OG0000053	Syak.g_01068	Syai.g_00930
OG0000055	Syak.g_00766	Syai.g_02029
OG0000058	Syak.g_01530	Syai.g_00195
OG0000059	Syak.g_01355	Syai.g_00351
OG0000060	Syak.g_02572	Syai.g_00635
OG0000060	Syak.g_00844	Syai.g_01758
OG0000061	Syak.g_00898	Syai.g_02144
