Orthogroup	Prbj	Prbb
OG0000000	Prbj.g_00166, Prbj.g_00165	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbj.g_00164	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000001	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Prbb.g_01611
OG0000002	Prbj.g_02517	Prbb.g_00844
OG0000002	Prbj.g_00030	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Prbj.g_00754	Prbb.g_01450
OG0000004	Prbj.g_01777	Prbb.g_00288
OG0000005	Prbj.g_00883	Prbb.g_01766
OG0000006	Prbj.g_02699	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Prbj.g_01610	Prbb.g_00501
OG0000007	Prbj.g_00857	Prbb.g_01823
OG0000008	Prbj.g_00929	Prbb.g_01884
OG0000008	Prbj.g_00928	Prbb.g_01885
OG0000010	Prbj.g_00129	Prbb.g_01072
OG0000011	Prbj.g_00897	Prbb.g_01229
OG0000013	Prbj.g_00359	Prbb.g_00378
OG0000014	Prbj.g_01442	Prbb.g_00357
OG0000015	Prbj.g_02502	Prbb.g_01158
OG0000018	Prbj.g_00641	Prbb.g_01539
OG0000019	Prbj.g_00025, Prbj.g_01349	Prbb.g_00761
OG0000020	Prbj.g_00214, Prbj.g_02701	Prbb.g_01180
OG0000020	Prbj.g_00046	Prbb.g_01071
OG0000021	Prbj.g_01121	Prbb.g_01914
OG0000021	Prbj.g_01774	Prbb.g_00099
OG0000022	Prbj.g_00050	Prbb.g_01258
OG0000022	Prbj.g_01572	Prbb.g_01231
OG0000023	Prbj.g_02392	Prbb.g_01411, Prbb.g_01373
OG0000024	Prbj.g_00773	Prbb.g_01175, Prbb.g_00680
OG0000025	Prbj.g_02475	Prbb.g_00052, Prbb.g_00818
OG0000026	Prbj.g_01204	Prbb.g_00032
OG0000029	Prbj.g_00378	Prbb.g_01800
OG0000030	Prbj.g_01288, Prbj.g_01287	Prbb.g_02073
OG0000031	Prbj.g_01522, Prbj.g_01527	Prbb.g_00387
OG0000032	Prbj.g_00659	Prbb.g_01723
OG0000033	Prbj.g_00518	Prbb.g_00226
OG0000034	Prbj.g_01740	Prbb.g_01596
OG0000035	Prbj.g_01056	Prbb.g_01686
OG0000037	Prbj.g_00624	Prbb.g_00164
OG0000038	Prbj.g_01959, Prbj.g_01961	Prbb.g_02129
OG0000039	Prbj.g_00429, Prbj.g_00278	Prbb.g_00692
OG0000041	Prbj.g_00450	Prbb.g_01868
OG0000042	Prbj.g_01808, Prbj.g_00001	Prbb.g_02069
