Orthogroup	Prbj	Praf
OG0000000	Prbj.g_00166	Praf.g_00815
OG0000000	Prbj.g_00165	Praf.g_00814
OG0000000	Prbj.g_00164	Praf.g_00813
OG0000001	Prbj.g_00672	Praf.g_01895
OG0000001	Prbj.g_00169	Praf.g_00818
OG0000001	Prbj.g_01549, Prbj.g_02662	Praf.g_02422
OG0000001	Prbj.g_02690	Praf.g_01293
OG0000002	Prbj.g_02517	Praf.g_01631
OG0000002	Prbj.g_00030	Praf.g_00948
OG0000003	Prbj.g_02017	Praf.g_02727
OG0000003	Prbj.g_00170	Praf.g_01162
OG0000003	Prbj.g_01574	Praf.g_00199
OG0000003	Prbj.g_02693, Prbj.g_02694	Praf.g_01088, Praf.g_01104
OG0000003	Prbj.g_00096	Praf.g_01995
OG0000003	Prbj.g_00058	Praf.g_00381, Praf.g_00343
OG0000003	Prbj.g_00079	Praf.g_00382
OG0000003	Prbj.g_01916, Prbj.g_01831	Praf.g_01103
OG0000004	Prbj.g_00754	Praf.g_01121
OG0000004	Prbj.g_01777	Praf.g_00743
OG0000005	Prbj.g_00883	Praf.g_00503
OG0000006	Prbj.g_02699	Praf.g_00396, Praf.g_01719
OG0000007	Prbj.g_01610	Praf.g_00614
OG0000007	Prbj.g_00857	Praf.g_00480
OG0000008	Prbj.g_00929	Praf.g_01223
OG0000008	Prbj.g_00928	Praf.g_01224
OG0000009	Prbj.g_01300	Praf.g_01768
OG0000009	Prbj.g_00618	Praf.g_00246
OG0000010	Prbj.g_00129	Praf.g_01908
OG0000011	Prbj.g_00897	Praf.g_01188, Praf.g_01190
OG0000012	Prbj.g_02552	Praf.g_01668
OG0000013	Prbj.g_00359	Praf.g_02073
OG0000014	Prbj.g_01442	Praf.g_02319
OG0000015	Prbj.g_02502	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000017	Prbj.g_01769	Praf.g_00752
OG0000017	Prbj.g_01761	Praf.g_00760
OG0000018	Prbj.g_00641	Praf.g_01832
OG0000019	Prbj.g_00025	Praf.g_00943
OG0000019	Prbj.g_01349	Praf.g_02214
OG0000020	Prbj.g_00214, Prbj.g_02701	Praf.g_01095
OG0000021	Prbj.g_01121	Praf.g_00946, Praf.g_01089
OG0000021	Prbj.g_01774	Praf.g_00746
OG0000022	Prbj.g_00050	Praf.g_00965
OG0000022	Prbj.g_01572	Praf.g_00201
OG0000024	Prbj.g_00773	Praf.g_01139
OG0000025	Prbj.g_02475	Praf.g_01591
OG0000026	Prbj.g_01204	Praf.g_00037
OG0000028	Prbj.g_01457	Praf.g_02333
OG0000029	Prbj.g_00378	Praf.g_02091
OG0000030	Prbj.g_01288	Praf.g_00160
OG0000030	Prbj.g_01287	Praf.g_00159
OG0000031	Prbj.g_01522, Prbj.g_01527	Praf.g_02400
OG0000032	Prbj.g_00659	Praf.g_01851
OG0000032	Prbj.g_01468	Praf.g_02346
OG0000033	Prbj.g_00518	Praf.g_02707, Praf.g_00098, Praf.g_00117, Praf.g_02457
OG0000034	Prbj.g_01740	Praf.g_00783
OG0000035	Prbj.g_01056	Praf.g_01794
OG0000036	Prbj.g_01106, Prbj.g_02087	Praf.g_02488
OG0000036	Prbj.g_00412, Prbj.g_02670	Praf.g_02527
OG0000036	Prbj.g_02686	Praf.g_02460
OG0000036	Prbj.g_01098	Praf.g_02459
OG0000036	Prbj.g_01134	Praf.g_02116
OG0000036	Prbj.g_01675	Praf.g_02481, Praf.g_02529
OG0000037	Prbj.g_00624	Praf.g_00240
OG0000038	Prbj.g_01959	Praf.g_02660
OG0000038	Prbj.g_01961	Praf.g_02662
OG0000039	Prbj.g_00429	Praf.g_00406
OG0000039	Prbj.g_00278	Praf.g_02541
OG0000041	Prbj.g_00450	Praf.g_00426
OG0000042	Prbj.g_01808	Praf.g_00164
OG0000042	Prbj.g_00001	Praf.g_00920
OG0000044	Prbj.g_01330	Praf.g_00356
OG0000044	Prbj.g_00726	Praf.g_01078
OG0000045	Prbj.g_00563	Praf.g_00322
OG0000046	Prbj.g_00358	Praf.g_02072
OG0000047	Prbj.g_00666	Praf.g_01864
OG0000047	Prbj.g_02509	Praf.g_01898
OG0000048	Prbj.g_01393	Praf.g_02267
OG0000051	Prbj.g_00705	Praf.g_01022
OG0000051	Prbj.g_02362	Praf.g_01479
OG0000052	Prbj.g_01487	Praf.g_02366
OG0000053	Prbj.g_00638	Praf.g_01828
OG0000054	Prbj.g_01758	Praf.g_00763
OG0000056	Prbj.g_02533	Praf.g_01648
OG0000056	Prbj.g_00371	Praf.g_02084
OG0000056	Prbj.g_01125	Praf.g_01964
OG0000057	Prbj.g_00758	Praf.g_01125
OG0000058	Prbj.g_01467	Praf.g_02345
OG0000059	Prbj.g_01029	Praf.g_02172
OG0000060	Prbj.g_01633	Praf.g_00592
OG0000061	Prbj.g_00971	Praf.g_00854
OG0000062	Prbj.g_00881	Praf.g_00501
OG0000063	Prbj.g_01208	Praf.g_00041
OG0000065	Prbj.g_00620	Praf.g_00244
OG0000066	Prbj.g_02141	Praf.g_00672
OG0000067	Prbj.g_02412	Praf.g_01530
OG0000068	Prbj.g_01639	Praf.g_00585, Praf.g_00583
OG0000070	Prbj.g_00118	Praf.g_01962
OG0000071	Prbj.g_01728	Praf.g_00796
OG0000072	Prbj.g_00516	Praf.g_02469
OG0000073	Prbj.g_01608	Praf.g_00616
OG0000075	Prbj.g_01502	Praf.g_02384
OG0000076	Prbj.g_01598	Praf.g_00178
OG0000077	Prbj.g_00576	Praf.g_00309
OG0000078	Prbj.g_02614	Praf.g_00391
OG0000079	Prbj.g_01353	Praf.g_02218
OG0000081	Prbj.g_00799, Prbj.g_00765	Praf.g_01131
OG0000082	Prbj.g_01789	Praf.g_00731
OG0000084	Prbj.g_01052	Praf.g_01790
OG0000085	Prbj.g_00869	Praf.g_00491
OG0000086	Prbj.g_00589	Praf.g_00297
OG0000087	Prbj.g_01547	Praf.g_02420
OG0000088	Prbj.g_00521	Praf.g_02454
OG0000088	Prbj.g_00912	Praf.g_01239
OG0000089	Prbj.g_00064	Praf.g_02015
OG0000090	Prbj.g_02127	Praf.g_00660
OG0000091	Prbj.g_02581	Praf.g_01700
OG0000093	Prbj.g_02388	Praf.g_01503
OG0000094	Prbj.g_01985	Praf.g_02685
OG0000095	Prbj.g_01838	Praf.g_01274
OG0000097	Prbj.g_02152	Praf.g_00905
OG0000098	Prbj.g_00669	Praf.g_01886
OG0000099	Prbj.g_01464	Praf.g_02342
OG0000100	Prbj.g_00185	Praf.g_00370
OG0000100	Prbj.g_02442	Praf.g_01561
OG0000101	Prbj.g_00981	Praf.g_02119
OG0000102	Prbj.g_01819	Praf.g_00173
OG0000103	Prbj.g_02055	Praf.g_02765
OG0000104	Prbj.g_02069	Praf.g_02779
OG0000105	Prbj.g_01397	Praf.g_02271
OG0000106	Prbj.g_00875	Praf.g_00496
OG0000107	Prbj.g_02659	Praf.g_02201
OG0000108	Prbj.g_01630	Praf.g_00595
OG0000109	Prbj.g_01614	Praf.g_00611
OG0000110	Prbj.g_01801	Praf.g_00718
OG0000111	Prbj.g_00759	Praf.g_01126
OG0000112	Prbj.g_02276	Praf.g_01400
OG0000113	Prbj.g_02437	Praf.g_01556
OG0000114	Prbj.g_02340	Praf.g_01461
OG0000115	Prbj.g_00634	Praf.g_01825
OG0000116	Prbj.g_00956	Praf.g_00825
OG0000117	Prbj.g_01915	Praf.g_00919
OG0000118	Prbj.g_01742	Praf.g_00779
OG0000119	Prbj.g_00740	Praf.g_01108
OG0000119	Prbj.g_00778	Praf.g_01143
OG0000120	Prbj.g_01465	Praf.g_02343
OG0000121	Prbj.g_01064, Prbj.g_01058	Praf.g_01796
OG0000122	Prbj.g_02627	Praf.g_00976
OG0000123	Prbj.g_00406	Praf.g_02108
OG0000124	Prbj.g_01281	Praf.g_00153
OG0000125	Prbj.g_01963	Praf.g_02664
OG0000126	Prbj.g_02067	Praf.g_02777
OG0000127	Prbj.g_02148	Praf.g_02627
OG0000127	Prbj.g_00896	Praf.g_01168
OG0000128	Prbj.g_02085	Praf.g_00012
OG0000129	Prbj.g_01951	Praf.g_02652
OG0000130	Prbj.g_00564	Praf.g_00321
OG0000131	Prbj.g_00543	Praf.g_02432
OG0000132	Prbj.g_00523	Praf.g_02452
OG0000133	Prbj.g_01460	Praf.g_02336
OG0000134	Prbj.g_00067	Praf.g_02012
OG0000135	Prbj.g_02004	Praf.g_02715
OG0000136	Prbj.g_00105	Praf.g_01984
OG0000137	Prbj.g_00128	Praf.g_01907
OG0000138	Prbj.g_01613	Praf.g_00612
OG0000139	Prbj.g_02133	Praf.g_00666
OG0000140	Prbj.g_02139	Praf.g_00670
OG0000141	Prbj.g_01757	Praf.g_00764
OG0000142	Prbj.g_02573	Praf.g_01692
OG0000143	Prbj.g_02577	Praf.g_01696
OG0000144	Prbj.g_00793	Praf.g_01721
OG0000145	Prbj.g_01607	Praf.g_00617
OG0000146	Prbj.g_02277	Praf.g_01401
OG0000147	Prbj.g_02278	Praf.g_01402
OG0000148	Prbj.g_02431	Praf.g_01548
OG0000149	Prbj.g_02488	Praf.g_01604
OG0000150	Prbj.g_02511	Praf.g_01625
OG0000151	Prbj.g_02361	Praf.g_01478
OG0000152	Prbj.g_02268	Praf.g_01392
OG0000153	Prbj.g_02241	Praf.g_01362
OG0000154	Prbj.g_02213	Praf.g_01337
OG0000155	Prbj.g_00312	Praf.g_00886
OG0000156	Prbj.g_00163	Praf.g_00810
