Orthogroup	Prbj	Syae
OG0000001	Prbj.g_01549, Prbj.g_02662	Syae.g_01417
OG0000004	Prbj.g_00754	Syae.g_00779
OG0000004	Prbj.g_01777	Syae.g_00042, Syae.g_02231
OG0000005	Prbj.g_00883	Syae.g_01143
OG0000006	Prbj.g_02699	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prbj.g_01610	Syae.g_02328
OG0000007	Prbj.g_00857	Syae.g_01163
OG0000008	Prbj.g_00929	Syae.g_00753
OG0000008	Prbj.g_00928	Syae.g_00752
OG0000009	Prbj.g_01300, Prbj.g_00618	Syae.g_00100, Syae.g_01361
OG0000010	Prbj.g_00129	Syae.g_02529
OG0000011	Prbj.g_00897	Syae.g_00268
OG0000012	Prbj.g_02552	Syae.g_00049
OG0000013	Prbj.g_00359	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prbj.g_01442	Syae.g_01930
OG0000015	Prbj.g_02502	Syae.g_01693, Syae.g_00590
OG0000017	Prbj.g_01769	Syae.g_02462
OG0000017	Prbj.g_01761	Syae.g_02469
OG0000018	Prbj.g_00641	Syae.g_02625
OG0000019	Prbj.g_01349	Syae.g_02015
OG0000021	Prbj.g_01121, Prbj.g_01774	Syae.g_00481
OG0000022	Prbj.g_00050	Syae.g_00144
OG0000023	Prbj.g_02392	Syae.g_00439, Syae.g_00930
OG0000025	Prbj.g_02475	Syae.g_00833
OG0000026	Prbj.g_01204	Syae.g_01748
OG0000028	Prbj.g_01457	Syae.g_01916
OG0000029	Prbj.g_00378	Syae.g_00136
OG0000030	Prbj.g_01288	Syae.g_01817
OG0000030	Prbj.g_01287	Syae.g_01816
OG0000031	Prbj.g_01522, Prbj.g_01527	Syae.g_01911
OG0000032	Prbj.g_00659	Syae.g_02607
OG0000033	Prbj.g_00518	Syae.g_01453
OG0000034	Prbj.g_01740	Syae.g_00975, Syae.g_01424
OG0000035	Prbj.g_01056	Syae.g_02653
OG0000037	Prbj.g_00624	Syae.g_01367
OG0000038	Prbj.g_01959	Syae.g_01571
OG0000039	Prbj.g_00278	Syae.g_02495
OG0000041	Prbj.g_00450	Syae.g_01042, Syae.g_00802
OG0000042	Prbj.g_01808, Prbj.g_00001	Syae.g_01821
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Syae.g_00098
OG0000045	Prbj.g_00563	Syae.g_00732
