Orthogroup	Prbj	Prbm
OG0000000	Prbj.g_00166, Prbj.g_00165	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbj.g_00164	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Prbm.g_01633
OG0000002	Prbj.g_02517	Prbm.g_00874
OG0000002	Prbj.g_00030	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Prbj.g_00754	Prbm.g_01483
OG0000004	Prbj.g_01777	Prbm.g_00291
OG0000005	Prbj.g_00883	Prbm.g_01790
OG0000006	Prbj.g_02699	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prbj.g_01610	Prbm.g_00522
OG0000007	Prbj.g_00857	Prbm.g_01841
OG0000008	Prbj.g_00929	Prbm.g_01907
OG0000008	Prbj.g_00928	Prbm.g_01908
OG0000010	Prbj.g_00129	Prbm.g_01066
OG0000011	Prbj.g_00897	Prbm.g_01202
OG0000013	Prbj.g_00359	Prbm.g_00382
OG0000014	Prbj.g_01442	Prbm.g_00362
OG0000015	Prbj.g_02502	Prbm.g_01427, Prbm.g_01149
OG0000018	Prbj.g_00641	Prbm.g_01571
OG0000019	Prbj.g_00025, Prbj.g_01349	Prbm.g_00792
OG0000020	Prbj.g_00214, Prbj.g_02701	Prbm.g_01156
OG0000020	Prbj.g_00046	Prbm.g_01065
OG0000021	Prbj.g_01121	Prbm.g_01939
OG0000022	Prbj.g_00050	Prbm.g_01324
OG0000022	Prbj.g_01572	Prbm.g_01204
OG0000023	Prbj.g_02392	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prbj.g_00773	Prbm.g_01151, Prbm.g_00709
OG0000025	Prbj.g_02475	Prbm.g_00849
OG0000026	Prbj.g_01204	Prbm.g_00031
OG0000029	Prbj.g_00378	Prbm.g_01823
OG0000030	Prbj.g_01288, Prbj.g_01287	Prbm.g_02105
OG0000031	Prbj.g_01522, Prbj.g_01527	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Prbj.g_00659	Prbm.g_01747
OG0000033	Prbj.g_00518	Prbm.g_00228
OG0000034	Prbj.g_01740	Prbm.g_01620
OG0000035	Prbj.g_01056	Prbm.g_01710
OG0000037	Prbj.g_00624	Prbm.g_00166
OG0000038	Prbj.g_01959, Prbj.g_01961	Prbm.g_02174
OG0000039	Prbj.g_00429, Prbj.g_00278	Prbm.g_00723
OG0000041	Prbj.g_00450	Prbm.g_01886
OG0000042	Prbj.g_01808, Prbj.g_00001	Prbm.g_02102
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Prbm.g_00478, Prbm.g_01281
OG0000045	Prbj.g_00563	Prbm.g_01088
OG0000046	Prbj.g_00358	Prbm.g_00383
OG0000047	Prbj.g_00666	Prbm.g_00390
OG0000047	Prbj.g_02509	Prbm.g_00428
OG0000048	Prbj.g_01393	Prbm.g_00329
OG0000051	Prbj.g_00705	Prbm.g_01267
OG0000052	Prbj.g_01487	Prbm.g_00114
OG0000053	Prbj.g_00638	Prbm.g_01729
OG0000054	Prbj.g_01758	Prbm.g_00637
OG0000057	Prbj.g_00758	Prbm.g_00735
OG0000058	Prbj.g_01467	Prbm.g_00881
OG0000059	Prbj.g_01029	Prbm.g_01973
OG0000060	Prbj.g_01633, Prbj.g_01132	Prbm.g_01422
OG0000061	Prbj.g_00971	Prbm.g_01549
OG0000062	Prbj.g_00881	Prbm.g_01792
OG0000063	Prbj.g_01208	Prbm.g_01947
OG0000065	Prbj.g_00620	Prbm.g_00164
OG0000066	Prbj.g_02141	Prbm.g_00572
OG0000067	Prbj.g_02412	Prbm.g_00814
OG0000068	Prbj.g_01639	Prbm.g_01660
OG0000070	Prbj.g_00118	Prbm.g_00460
OG0000071	Prbj.g_01728	Prbm.g_00468, Prbm.g_01611
OG0000072	Prbj.g_00516	Prbm.g_00230
OG0000073	Prbj.g_01608	Prbm.g_00533
OG0000075	Prbj.g_01502	Prbm.g_02069
OG0000076	Prbj.g_01598	Prbm.g_02094
OG0000077	Prbj.g_01900	Prbm.g_00135
OG0000078	Prbj.g_02614	Prbm.g_00300
OG0000079	Prbj.g_01353	Prbm.g_00311
OG0000081	Prbj.g_00799, Prbj.g_00765	Prbm.g_00564
OG0000082	Prbj.g_01789	Prbm.g_01900
OG0000084	Prbj.g_01052	Prbm.g_01706
OG0000085	Prbj.g_00869	Prbm.g_01834
OG0000086	Prbj.g_00589	Prbm.g_00145
OG0000087	Prbj.g_01547	Prbm.g_00198
OG0000088	Prbj.g_00521, Prbj.g_00912	Prbm.g_00225
OG0000089	Prbj.g_00064	Prbm.g_00423
OG0000090	Prbj.g_02127	Prbm.g_00566
OG0000091	Prbj.g_02581	Prbm.g_00673
OG0000093	Prbj.g_02388	Prbm.g_00799
OG0000094	Prbj.g_01985	Prbm.g_00888
OG0000095	Prbj.g_01838	Prbm.g_01064
OG0000097	Prbj.g_02152	Prbm.g_01502
OG0000098	Prbj.g_00669	Prbm.g_01630
OG0000099	Prbj.g_01464	Prbm.g_00394
OG0000100	Prbj.g_00185, Prbj.g_02442	Prbm.g_01787
OG0000101	Prbj.g_00415, Prbj.g_00981	Prbm.g_02033
OG0000102	Prbj.g_01819	Prbm.g_02099
OG0000103	Prbj.g_02055	Prbm.g_02218
OG0000104	Prbj.g_02069	Prbm.g_02229
OG0000105	Prbj.g_01397	Prbm.g_00331
OG0000106	Prbj.g_00875	Prbm.g_01172, Prbm.g_01237
OG0000107	Prbj.g_02659	Prbm.g_01949
OG0000108	Prbj.g_01630	Prbm.g_00506
OG0000109	Prbj.g_01614	Prbm.g_00519
OG0000110	Prbj.g_01801	Prbm.g_00607
OG0000111	Prbj.g_00759	Prbm.g_00736
OG0000112	Prbj.g_02276	Prbm.g_00980
OG0000113	Prbj.g_02437	Prbm.g_00838, Prbm.g_01191
OG0000114	Prbj.g_02340	Prbm.g_00929
OG0000115	Prbj.g_00634	Prbm.g_01803
OG0000116	Prbj.g_00956	Prbm.g_01560
OG0000117	Prbj.g_01915	Prbm.g_01522
OG0000118	Prbj.g_01742	Prbm.g_01622
OG0000119	Prbj.g_00740, Prbj.g_00778	Prbm.g_01653
OG0000120	Prbj.g_01465	Prbm.g_00707
OG0000121	Prbj.g_01064, Prbj.g_01058	Prbm.g_01712
OG0000122	Prbj.g_02627	Prbm.g_01751
OG0000123	Prbj.g_00406	Prbm.g_02040
OG0000124	Prbj.g_01281	Prbm.g_02111
OG0000125	Prbj.g_01963	Prbm.g_02176
OG0000126	Prbj.g_02067	Prbm.g_02228
OG0000127	Prbj.g_02148, Prbj.g_00896	Prbm.g_01460
OG0000127	Prbj.g_00210	Prbm.g_01293, Prbm.g_01292
OG0000128	Prbj.g_02085	Prbm.g_00011
OG0000129	Prbj.g_01951	Prbm.g_00053
OG0000130	Prbj.g_00564	Prbm.g_00126
OG0000131	Prbj.g_00543	Prbm.g_00204
OG0000132	Prbj.g_00523	Prbm.g_00223
OG0000133	Prbj.g_01460	Prbm.g_00377
OG0000134	Prbj.g_00067	Prbm.g_00425
OG0000135	Prbj.g_02004	Prbm.g_01389
OG0000136	Prbj.g_00105	Prbm.g_00451
OG0000137	Prbj.g_00128	Prbm.g_00500
OG0000138	Prbj.g_01613	Prbm.g_00520
OG0000139	Prbj.g_02133	Prbm.g_00570
OG0000140	Prbj.g_02139	Prbm.g_00571
OG0000141	Prbj.g_01757	Prbm.g_00638
OG0000142	Prbj.g_02573	Prbm.g_00666
OG0000143	Prbj.g_02577	Prbm.g_00670
OG0000144	Prbj.g_00793	Prbm.g_00683
OG0000145	Prbj.g_01607	Prbm.g_01094
OG0000146	Prbj.g_02277	Prbm.g_00979
OG0000147	Prbj.g_02278	Prbm.g_00978
OG0000148	Prbj.g_02431	Prbm.g_00832
OG0000149	Prbj.g_02488	Prbm.g_00862
OG0000150	Prbj.g_02511	Prbm.g_00870
OG0000151	Prbj.g_02361	Prbm.g_00940
OG0000152	Prbj.g_02268	Prbm.g_00988
OG0000153	Prbj.g_02241	Prbm.g_01006
OG0000154	Prbj.g_02213	Prbm.g_01035
OG0000155	Prbj.g_00312	Prbm.g_01527
OG0000156	Prbj.g_00163	Prbm.g_01600
OG0000157	Prbj.g_00162	Prbm.g_01601
OG0000158	Prbj.g_01514	Prbm.g_02077
OG0000160	Prbj.g_01057	Prbm.g_01711
OG0000161	Prbj.g_01071	Prbm.g_01717
OG0000162	Prbj.g_01077	Prbm.g_01723
OG0000163	Prbj.g_01688	Prbm.g_01759
OG0000164	Prbj.g_00476	Prbm.g_01863
OG0000165	Prbj.g_00467	Prbm.g_01871
OG0000166	Prbj.g_01019	Prbm.g_01996
OG0000167	Prbj.g_01500	Prbm.g_02067
OG0000168	Prbj.g_01515	Prbm.g_02078
OG0000169	Prbj.g_01581	Prbm.g_02088
OG0000170	Prbj.g_01593	Prbm.g_02090
OG0000171	Prbj.g_01282	Prbm.g_02110
OG0000172	Prbj.g_01248	Prbm.g_02146
OG0000173	Prbj.g_01227	Prbm.g_02161
OG0000174	Prbj.g_02006	Prbm.g_02192
OG0000175	Prbj.g_02044	Prbm.g_02209
OG0000176	Prbj.g_02077	Prbm.g_00004
OG0000177	Prbj.g_02078	Prbm.g_00005
OG0000178	Prbj.g_02079	Prbm.g_00006
OG0000179	Prbj.g_01188	Prbm.g_00016
OG0000180	Prbj.g_01189	Prbm.g_00017
OG0000181	Prbj.g_01190	Prbm.g_00018
OG0000182	Prbj.g_01191	Prbm.g_00019
OG0000183	Prbj.g_01195	Prbm.g_00023
OG0000184	Prbj.g_01943	Prbm.g_00055
OG0000185	Prbj.g_01921	Prbm.g_00058
OG0000186	Prbj.g_00558	Prbm.g_00121
OG0000187	Prbj.g_00560	Prbm.g_00122
OG0000188	Prbj.g_00581	Prbm.g_00139
OG0000189	Prbj.g_00607	Prbm.g_00153
OG0000190	Prbj.g_00609	Prbm.g_00154
OG0000191	Prbj.g_01557	Prbm.g_00177
OG0000192	Prbj.g_01566	Prbm.g_00181
OG0000193	Prbj.g_00542	Prbm.g_00205
OG0000194	Prbj.g_00539	Prbm.g_00208
OG0000195	Prbj.g_00537	Prbm.g_00210
OG0000196	Prbj.g_00526	Prbm.g_00220
OG0000197	Prbj.g_00525	Prbm.g_00221
OG0000198	Prbj.g_00524	Prbm.g_00222
OG0000199	Prbj.g_00517	Prbm.g_00229
OG0000200	Prbj.g_01138	Prbm.g_00243
OG0000201	Prbj.g_01157	Prbm.g_00252
OG0000202	Prbj.g_01158	Prbm.g_00253
OG0000203	Prbj.g_01159	Prbm.g_00254
OG0000204	Prbj.g_01160	Prbm.g_00255
OG0000205	Prbj.g_01167	Prbm.g_00262
OG0000206	Prbj.g_00288	Prbm.g_00266
OG0000207	Prbj.g_00234	Prbm.g_00268
OG0000208	Prbj.g_00235	Prbm.g_00269
OG0000209	Prbj.g_00262	Prbm.g_00278
OG0000210	Prbj.g_00263	Prbm.g_00279
OG0000211	Prbj.g_00177	Prbm.g_00293
OG0000212	Prbj.g_02615	Prbm.g_00301
OG0000213	Prbj.g_01362	Prbm.g_00317
OG0000214	Prbj.g_01389	Prbm.g_00325
OG0000215	Prbj.g_01419	Prbm.g_00349
OG0000216	Prbj.g_01422	Prbm.g_00350
OG0000217	Prbj.g_01426	Prbm.g_00353
OG0000218	Prbj.g_01430	Prbm.g_00355
OG0000219	Prbj.g_01431	Prbm.g_00356
OG0000220	Prbj.g_01432	Prbm.g_00357
OG0000221	Prbj.g_01437	Prbm.g_00358
OG0000222	Prbj.g_01446	Prbm.g_00366
OG0000223	Prbj.g_01469	Prbm.g_00378
