Orthogroup	Prbj	Prav
OG0000000	Prbj.g_00166, Prbj.g_00165	Prav.g_01736, Prav.g_01415
OG0000000	Prbj.g_00164	Prav.g_01695, Prav.g_00973
OG0000001	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Prav.g_01458
OG0000002	Prbj.g_02517	Prav.g_01466
OG0000002	Prbj.g_00030	Prav.g_01276
OG0000004	Prbj.g_00754	Prav.g_01293
OG0000004	Prbj.g_01777	Prav.g_00806
OG0000005	Prbj.g_00883	Prav.g_01654
OG0000006	Prbj.g_02699	Prav.g_02001
OG0000007	Prbj.g_01610	Prav.g_01095
OG0000007	Prbj.g_00857	Prav.g_01761
OG0000008	Prbj.g_00929	Prav.g_01749
OG0000008	Prbj.g_00928	Prav.g_01750
OG0000009	Prbj.g_01300, Prbj.g_00618	Prav.g_00170
OG0000010	Prbj.g_00129	Prav.g_00218
OG0000011	Prbj.g_00897	Prav.g_01014, Prav.g_01407
OG0000012	Prbj.g_02552	Prav.g_01221
OG0000013	Prbj.g_00359	Prav.g_01973
OG0000014	Prbj.g_01442	Prav.g_01952
OG0000015	Prbj.g_02502	Prav.g_00363, Prav.g_00961
OG0000017	Prbj.g_01769, Prbj.g_01761	Prav.g_01194
OG0000018	Prbj.g_00641	Prav.g_00046
OG0000019	Prbj.g_00025, Prbj.g_01349	Prav.g_01896, Prav.g_00375
OG0000020	Prbj.g_00214, Prbj.g_02701	Prav.g_01386
OG0000021	Prbj.g_01121, Prbj.g_01774	Prav.g_00984
OG0000022	Prbj.g_00050	Prav.g_00029
OG0000022	Prbj.g_01572	Prav.g_00360
OG0000023	Prbj.g_02392	Prav.g_00979
OG0000024	Prbj.g_00773	Prav.g_00343, Prav.g_01273
OG0000025	Prbj.g_02475	Prav.g_01977, Prav.g_00431
OG0000026	Prbj.g_01204	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000028	Prbj.g_01457	Prav.g_01966
OG0000029	Prbj.g_00378	Prav.g_00350
OG0000030	Prbj.g_01288, Prbj.g_01287	Prav.g_00699
OG0000032	Prbj.g_01468	Prav.g_01499
OG0000034	Prbj.g_01740	Prav.g_01448
OG0000035	Prbj.g_01056	Prav.g_01578
OG0000037	Prbj.g_00624	Prav.g_00174
OG0000038	Prbj.g_01959, Prbj.g_01961	Prav.g_00739
OG0000039	Prbj.g_00429, Prbj.g_00278	Prav.g_01284
OG0000041	Prbj.g_00450	Prav.g_01808
OG0000042	Prbj.g_01808, Prbj.g_00001	Prav.g_00696
OG0000047	Prbj.g_00666	Prav.g_01976
OG0000048	Prbj.g_01393	Prav.g_00993
OG0000053	Prbj.g_00638	Prav.g_01598
OG0000054	Prbj.g_01758	Prav.g_01202
OG0000056	Prbj.g_02533, Prbj.g_00371, Prbj.g_01125	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Prbj.g_00758	Prav.g_01296
OG0000059	Prbj.g_01029	Prav.g_00292
OG0000060	Prbj.g_01633, Prbj.g_01132	Prav.g_00964
OG0000061	Prbj.g_00971	Prav.g_00065
OG0000062	Prbj.g_00881	Prav.g_01656
OG0000063	Prbj.g_01208	Prav.g_00101
OG0000065	Prbj.g_00620	Prav.g_00172
OG0000066	Prbj.g_02141	Prav.g_01137
OG0000067	Prbj.g_02412	Prav.g_00397
OG0000068	Prbj.g_01639	Prav.g_01473
OG0000070	Prbj.g_00118	Prav.g_01049
OG0000071	Prbj.g_01728	Prav.g_01438
OG0000072	Prbj.g_00516	Prav.g_00867
OG0000073	Prbj.g_01608	Prav.g_01097
OG0000075	Prbj.g_01502	Prav.g_00665
OG0000076	Prbj.g_01598	Prav.g_00689
OG0000077	Prbj.g_01900, Prbj.g_00576	Prav.g_00143
OG0000078	Prbj.g_02614	Prav.g_00799
OG0000079	Prbj.g_01353	Prav.g_01899
OG0000081	Prbj.g_00799, Prbj.g_00765	Prav.g_01129
OG0000082	Prbj.g_01789	Prav.g_01182
OG0000084	Prbj.g_01052	Prav.g_01574
OG0000085	Prbj.g_00869	Prav.g_01754
OG0000086	Prbj.g_00589	Prav.g_00153
OG0000087	Prbj.g_01547	Prav.g_00204
OG0000088	Prbj.g_00521, Prbj.g_00912	Prav.g_00872
OG0000089	Prbj.g_00064	Prav.g_00975
OG0000090	Prbj.g_02127	Prav.g_01131
OG0000091	Prbj.g_02581	Prav.g_01240
OG0000093	Prbj.g_02388	Prav.g_00525
OG0000094	Prbj.g_01985	Prav.g_00914
OG0000095	Prbj.g_01838	Prav.g_00933
OG0000097	Prbj.g_02152	Prav.g_01840
OG0000098	Prbj.g_00669	Prav.g_01455
OG0000099	Prbj.g_01464	Prav.g_01514
OG0000100	Prbj.g_00185, Prbj.g_02442	Prav.g_01652
OG0000101	Prbj.g_00415, Prbj.g_00981	Prav.g_00632
OG0000102	Prbj.g_01819	Prav.g_00694
OG0000103	Prbj.g_02055	Prav.g_00773
OG0000104	Prbj.g_02069	Prav.g_00782
OG0000105	Prbj.g_01397	Prav.g_01920
OG0000106	Prbj.g_00875	Prav.g_00989
OG0000107	Prbj.g_02659	Prav.g_01001
