Orthogroup	Praf	Prah
OG0000000	Praf.g_00813	Prah.g_01348
OG0000000	Praf.g_01042	Prah.g_01152
OG0000000	Praf.g_01039	Prah.g_01154
OG0000000	Praf.g_00815	Prah.g_01346
OG0000001	Praf.g_01631	Prah.g_00562
OG0000001	Praf.g_00948	Prah.g_01226
OG0000002	Praf.g_01896, Praf.g_00818	Prah.g_01343
OG0000002	Praf.g_01895	Prah.g_00324
OG0000002	Praf.g_01031	Prah.g_01159
OG0000002	Praf.g_02422	Prah.g_02270
OG0000002	Praf.g_01293	Prah.g_00896
OG0000003	Praf.g_01900	Prah.g_00319
OG0000004	Praf.g_00814	Prah.g_01347
OG0000005	Praf.g_01014	Prah.g_01175
OG0000005	Praf.g_02005	Prah.g_00215
OG0000008	Praf.g_00614	Prah.g_01546
OG0000008	Praf.g_00480	Prah.g_01676
OG0000009	Praf.g_01191	Prah.g_01082
OG0000009	Praf.g_01648	Prah.g_00543
OG0000009	Praf.g_02620	Prah.g_00346, Prah.g_00341, Prah.g_00342
OG0000009	Praf.g_02084	Prah.g_01968
OG0000010	Praf.g_02214	Prah.g_02086
OG0000011	Praf.g_02647, Praf.g_02091	Prah.g_01972
OG0000012	Praf.g_02267	Prah.g_02122
OG0000013	Praf.g_01768	Prah.g_00432
OG0000013	Praf.g_00246	Prah.g_01895
OG0000014	Praf.g_02319	Prah.g_02171
OG0000015	Praf.g_01898	Prah.g_00321
OG0000015	Praf.g_01864	Prah.g_00353
OG0000016	Praf.g_01618	Prah.g_01155, Prah.g_00576
OG0000018	Praf.g_00752	Prah.g_01405
OG0000018	Praf.g_00760	Prah.g_01397
OG0000020	Praf.g_01108	Prah.g_01007
OG0000020	Praf.g_01143	Prah.g_01048
OG0000021	Praf.g_01828	Prah.g_00381
OG0000022	Praf.g_01719, Praf.g_00396	Prah.g_01767, Prah.g_00475
OG0000023	Praf.g_00746	Prah.g_01410
OG0000024	Praf.g_01082	Prah.g_00998
OG0000025	Praf.g_01139	Prah.g_01043
OG0000027	Praf.g_01224	Prah.g_00969
OG0000028	Praf.g_01223	Prah.g_00970
OG0000029	Praf.g_01257	Prah.g_00942
OG0000031	Praf.g_00920	Prah.g_01256
OG0000031	Praf.g_00164	Prah.g_00135
OG0000031	Praf.g_02721	Prah.g_02545
OG0000032	Praf.g_00041	Prah.g_00042
OG0000034	Praf.g_01794	Prah.g_00408
OG0000037	Praf.g_01022	Prah.g_01166
OG0000038	Praf.g_00101, Praf.g_00113	Prah.g_00091
OG0000038	Praf.g_02400	Prah.g_02248
OG0000039	Praf.g_00906	Prah.g_01270
OG0000039	Praf.g_00014	Prah.g_00015
OG0000040	Praf.g_01188, Praf.g_01190	Prah.g_01084
OG0000041	Praf.g_01668	Prah.g_00524
OG0000042	Praf.g_02664	Prah.g_02498
OG0000044	Praf.g_02595	Prah.g_00273, Prah.g_02434, Prah.g_00926, Prah.g_00927, Prah.g_00271
OG0000044	Praf.g_02530	Prah.g_02431
OG0000044	Praf.g_01260	Prah.g_00269
OG0000044	Praf.g_01103	Prah.g_01056, Prah.g_01869, Prah.g_00936
OG0000044	Praf.g_01102, Praf.g_02463	Prah.g_01005
OG0000044	Praf.g_02523	Prah.g_02448
OG0000044	Praf.g_01088	Prah.g_01119, Prah.g_02446
OG0000044	Praf.g_00473	Prah.g_00935, Prah.g_02451, Prah.g_00281, Prah.g_00270, Prah.g_02435, Prah.g_02433, Prah.g_02449, Prah.g_01075, Prah.g_01064
OG0000044	Praf.g_00382	Prah.g_02432
OG0000044	Praf.g_00381	Prah.g_00272
OG0000045	Praf.g_00731	Prah.g_01427
OG0000046	Praf.g_00965	Prah.g_01209
OG0000046	Praf.g_00201	Prah.g_00170
OG0000047	Praf.g_00854	Prah.g_01322
OG0000048	Praf.g_02366	Prah.g_02219
OG0000049	Praf.g_02345	Prah.g_02195
OG0000050	Praf.g_01239	Prah.g_00957
OG0000050	Praf.g_02454	Prah.g_02304
OG0000053	Praf.g_01238	Prah.g_00958
OG0000053	Praf.g_01302	Prah.g_00887
OG0000054	Praf.g_00491	Prah.g_01666
OG0000055	Praf.g_00178	Prah.g_00150
OG0000056	Praf.g_00037	Prah.g_00038
OG0000057	Praf.g_02445	Prah.g_02295
OG0000058	Praf.g_00496	Prah.g_01660
OG0000059	Praf.g_00672	Prah.g_01485
OG0000060	Praf.g_01316	Prah.g_00873
OG0000061	Praf.g_00348	Prah.g_01812
OG0000062	Praf.g_01556	Prah.g_00641
OG0000063	Praf.g_02587	Prah.g_02425
OG0000064	Praf.g_00332	Prah.g_01110, Prah.g_01114
OG0000064	Praf.g_01194	Prah.g_01080
OG0000064	Praf.g_02726, Praf.g_01259	Prah.g_00925, Prah.g_00274
OG0000064	Praf.g_02480	Prah.g_02367
OG0000065	Praf.g_00386	Prah.g_01778
OG0000066	Praf.g_01907	Prah.g_00312
OG0000067	Praf.g_01125	Prah.g_01027
OG0000070	Praf.g_01274	Prah.g_00915
OG0000071	Praf.g_00919	Prah.g_01257
OG0000072	Praf.g_00796	Prah.g_01364
OG0000074	Praf.g_02343	Prah.g_02192
OG0000075	Praf.g_02119	Prah.g_01995
OG0000076	Praf.g_01851	Prah.g_00358
OG0000076	Praf.g_02346	Prah.g_02196
OG0000077	Praf.g_00012	Prah.g_00013
OG0000078	Praf.g_02336	Prah.g_02187
OG0000079	Praf.g_02705	Prah.g_02538
OG0000080	Praf.g_01748	Prah.g_00445
OG0000081	Praf.g_01218	Prah.g_00974
OG0000082	Praf.g_01537	Prah.g_00660
OG0000084	Praf.g_01392	Prah.g_00796
OG0000085	Praf.g_02776	Prah.g_02597
OG0000086	Praf.g_02690	Prah.g_02524
OG0000088	Praf.g_01193	Prah.g_01081
OG0000090	Praf.g_02342	Prah.g_02191
OG0000091	Praf.g_01806	Prah.g_00398
OG0000092	Praf.g_00549	Prah.g_01609
OG0000093	Praf.g_02172	Prah.g_02043
OG0000094	Praf.g_02123	Prah.g_01999
OG0000095	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prah.g_02230
OG0000096	Praf.g_00053	Prah.g_00052
OG0000097	Praf.g_02699	Prah.g_02533
OG0000098	Praf.g_00003	Prah.g_00004
OG0000099	Praf.g_00028	Prah.g_00029
OG0000101	Praf.g_00333, Praf.g_02602	Prah.g_02458
OG0000102	Praf.g_00224	Prah.g_00194
OG0000103	Praf.g_00212	Prah.g_00176, Prah.g_00180
OG0000104	Praf.g_02420	Prah.g_02268
OG0000105	Praf.g_02468	Prah.g_02308
OG0000106	Praf.g_02492	Prah.g_02324
OG0000107	Praf.g_02511	Prah.g_02352
OG0000108	Praf.g_02521	Prah.g_02362
OG0000109	Praf.g_00391	Prah.g_01773
OG0000110	Praf.g_02217	Prah.g_02089
OG0000111	Praf.g_02271	Prah.g_02126
OG0000112	Praf.g_02284	Prah.g_02139
OG0000113	Praf.g_02300	Prah.g_02155
OG0000114	Praf.g_02358	Prah.g_02207
OG0000115	Praf.g_01908	Prah.g_00311
OG0000116	Praf.g_01905	Prah.g_00313, Prah.g_00314
OG0000117	Praf.g_00595	Prah.g_01566
OG0000118	Praf.g_00616	Prah.g_01544
OG0000119	Praf.g_00658	Prah.g_00108, Prah.g_01503
OG0000120	Praf.g_00660	Prah.g_01501
OG0000121	Praf.g_00681	Prah.g_01476
OG0000122	Praf.g_00692	Prah.g_01465
OG0000123	Praf.g_00730	Prah.g_01428
OG0000124	Praf.g_01720	Prah.g_00474
OG0000125	Praf.g_01721	Prah.g_00473
OG0000126	Praf.g_01722	Prah.g_00472
OG0000127	Praf.g_00780, Praf.g_00406	Prah.g_01758
OG0000128	Praf.g_01304	Prah.g_00885
OG0000129	Praf.g_01435	Prah.g_00752
OG0000130	Praf.g_00941	Prah.g_01231, Prah.g_01233
OG0000131	Praf.g_01528	Prah.g_01823, Prah.g_00669
OG0000132	Praf.g_01590	Prah.g_00605
OG0000133	Praf.g_01497	Prah.g_00699
OG0000134	Praf.g_01503	Prah.g_00692
OG0000135	Praf.g_01384, Praf.g_01383	Prah.g_00805
OG0000136	Praf.g_01277	Prah.g_00912
OG0000137	Praf.g_02692	Prah.g_02526
OG0000138	Praf.g_00833	Prah.g_01328
OG0000139	Praf.g_00861	Prah.g_01315
OG0000140	Praf.g_00938	Prah.g_01237, Prah.g_01238
OG0000141	Praf.g_01285	Prah.g_00905
OG0000142	Praf.g_00779	Prah.g_01378
OG0000143	Praf.g_00585, Praf.g_00583	Prah.g_01576
OG0000144	Praf.g_01778, Praf.g_01776	Prah.g_00424
OG0000145	Praf.g_01795	Prah.g_00407
OG0000146	Praf.g_01848	Prah.g_00361
OG0000147	Praf.g_00502	Prah.g_01653
OG0000148	Praf.g_00501	Prah.g_01654
OG0000149	Praf.g_00485	Prah.g_01672
OG0000150	Praf.g_00437	Prah.g_01725
OG0000151	Praf.g_00434	Prah.g_01728
OG0000152	Praf.g_00402	Prah.g_01762
OG0000153	Praf.g_02162	Prah.g_02038
OG0000154	Praf.g_02125	Prah.g_02001
OG0000155	Praf.g_02102	Prah.g_01981
OG0000156	Praf.g_02396	Prah.g_02244
OG0000157	Praf.g_00152	Prah.g_00089
OG0000158	Praf.g_02757	Prah.g_02578
OG0000160	Praf.g_00001	Prah.g_00002
OG0000161	Praf.g_00002	Prah.g_00003
OG0000162	Praf.g_00004	Prah.g_00005
OG0000163	Praf.g_00005	Prah.g_00006
OG0000164	Praf.g_00006	Prah.g_00007
OG0000165	Praf.g_00007	Prah.g_00008
OG0000166	Praf.g_00009	Prah.g_00010
OG0000167	Praf.g_00010	Prah.g_00011
OG0000168	Praf.g_00011	Prah.g_00012
OG0000169	Praf.g_00013	Prah.g_00014
OG0000170	Praf.g_00015	Prah.g_00016
OG0000171	Praf.g_00016	Prah.g_00017
OG0000172	Praf.g_00021	Prah.g_00022
OG0000173	Praf.g_00022	Prah.g_00023
OG0000174	Praf.g_00023	Prah.g_00024
OG0000175	Praf.g_00024	Prah.g_00025
OG0000176	Praf.g_00025	Prah.g_00026
OG0000177	Praf.g_00026	Prah.g_00027
OG0000178	Praf.g_00027	Prah.g_00028
OG0000179	Praf.g_00029	Prah.g_00030
