Orthogroup	Praf	Pran
OG0000000	Praf.g_00813	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Praf.g_01042, Praf.g_01039, Praf.g_00815	Pran.g_00579, Pran.g_00001, Pran.g_00602, Pran.g_00593
OG0000001	Praf.g_00948	Pran.g_01500
OG0000004	Praf.g_00814	Pran.g_00894, Pran.g_00580
OG0000005	Praf.g_01014, Praf.g_02005	Pran.g_01436
OG0000008	Praf.g_00614	Pran.g_01681
OG0000008	Praf.g_00480	Pran.g_00970
OG0000010	Praf.g_02214	Pran.g_01363, Pran.g_01943
OG0000011	Praf.g_02091	Pran.g_01410
OG0000012	Praf.g_02267	Pran.g_01772
OG0000013	Praf.g_01768, Praf.g_00246	Pran.g_00615, Pran.g_00328
OG0000014	Praf.g_02319, Praf.g_00112	Pran.g_00754, Pran.g_00755
OG0000015	Praf.g_01864	Pran.g_01864
OG0000016	Praf.g_01033, Praf.g_01618, Praf.g_01030	Pran.g_01394
OG0000018	Praf.g_00752, Praf.g_00760	Pran.g_01580
OG0000020	Praf.g_01108, Praf.g_01143	Pran.g_00845
OG0000021	Praf.g_01828	Pran.g_00713
OG0000022	Praf.g_01719, Praf.g_00396	Pran.g_01951
OG0000023	Praf.g_00746	Pran.g_01829
OG0000025	Praf.g_01139	Pran.g_01420
OG0000027	Praf.g_01224	Pran.g_01506
OG0000028	Praf.g_01223	Pran.g_00642
OG0000029	Praf.g_01257	Pran.g_01362
OG0000031	Praf.g_00920, Praf.g_00164, Praf.g_02721	Pran.g_01167
OG0000032	Praf.g_00041	Pran.g_00391
OG0000034	Praf.g_01794	Pran.g_00733
OG0000037	Praf.g_01022	Pran.g_00898, Pran.g_00944
OG0000038	Praf.g_00101, Praf.g_00113	Pran.g_00753
OG0000039	Praf.g_00906	Pran.g_00620
OG0000040	Praf.g_01188, Praf.g_01190	Pran.g_00925
OG0000041	Praf.g_01668	Pran.g_01555
OG0000045	Praf.g_00731	Pran.g_01593
OG0000046	Praf.g_00965, Praf.g_00201	Pran.g_01401
OG0000047	Praf.g_00854, Praf.g_01859	Pran.g_00060
OG0000048	Praf.g_02366	Pran.g_00777
OG0000049	Praf.g_02345	Pran.g_00807
OG0000050	Praf.g_01239, Praf.g_02454	Pran.g_00266
OG0000053	Praf.g_01238, Praf.g_01302	Pran.g_01460
OG0000054	Praf.g_00491	Pran.g_00963
OG0000055	Praf.g_00178	Pran.g_01160
OG0000056	Praf.g_00037	Pran.g_00393, Pran.g_00930
OG0000057	Praf.g_02445	Pran.g_00275
OG0000058	Praf.g_00496	Pran.g_01824
OG0000059	Praf.g_00672	Pran.g_01639
OG0000060	Praf.g_01316, Praf.g_01049	Pran.g_01447
OG0000061	Praf.g_00348	Pran.g_01408, Pran.g_01379
OG0000062	Praf.g_01556	Pran.g_01321
OG0000063	Praf.g_02587	Pran.g_00108, Pran.g_00935
OG0000065	Praf.g_00386	Pran.g_00195
OG0000066	Praf.g_01907	Pran.g_01703
OG0000067	Praf.g_01125	Pran.g_01480
OG0000070	Praf.g_01274	Pran.g_00903, Pran.g_00568
OG0000071	Praf.g_00919	Pran.g_01466
OG0000072	Praf.g_00796	Pran.g_00938, Pran.g_00876
OG0000074	Praf.g_02343	Pran.g_00752
OG0000075	Praf.g_02119	Pran.g_01105
OG0000077	Praf.g_00012	Pran.g_01268
OG0000078	Praf.g_02336	Pran.g_01872
OG0000079	Praf.g_02715, Praf.g_02705	Pran.g_01812
OG0000080	Praf.g_01748	Pran.g_01509
OG0000081	Praf.g_01219, Praf.g_01218	Pran.g_01487
OG0000082	Praf.g_01537	Pran.g_01336
OG0000084	Praf.g_01392	Pran.g_00487
OG0000085	Praf.g_02776	Pran.g_00135
OG0000086	Praf.g_02690	Pran.g_00093
OG0000088	Praf.g_01193	Pran.g_00936, Pran.g_01789, Pran.g_00946
OG0000090	Praf.g_02342	Pran.g_00806
OG0000091	Praf.g_01806	Pran.g_00725, Pran.g_00787
OG0000092	Praf.g_00549	Pran.g_00575, Pran.g_00912
OG0000094	Praf.g_02123	Pran.g_01102
OG0000095	Praf.g_02382, Praf.g_02380, Praf.g_02378	Pran.g_01135
OG0000096	Praf.g_00053	Pran.g_01204
OG0000097	Praf.g_02699	Pran.g_01222
OG0000098	Praf.g_00003	Pran.g_01260
OG0000099	Praf.g_00028	Pran.g_00401
OG0000101	Praf.g_00333, Praf.g_02602	Pran.g_00376
OG0000102	Praf.g_00224	Pran.g_00320
OG0000103	Praf.g_00212	Pran.g_00312
OG0000104	Praf.g_02420	Pran.g_00295
OG0000105	Praf.g_02468	Pran.g_00262
OG0000106	Praf.g_02711, Praf.g_02492	Pran.g_00248
OG0000107	Praf.g_02511	Pran.g_00240
OG0000108	Praf.g_02708, Praf.g_02521	Pran.g_00230
OG0000109	Praf.g_00391	Pran.g_00194
OG0000110	Praf.g_02217	Pran.g_01941
OG0000111	Praf.g_02271	Pran.g_01920
OG0000113	Praf.g_02300	Pran.g_01897
OG0000114	Praf.g_02358	Pran.g_01869
OG0000115	Praf.g_01908	Pran.g_01704
OG0000116	Praf.g_01905	Pran.g_01702
OG0000117	Praf.g_00595	Pran.g_01698
OG0000118	Praf.g_00143, Praf.g_00616	Pran.g_01679
OG0000119	Praf.g_00658	Pran.g_01646
OG0000120	Praf.g_00660	Pran.g_01645
OG0000121	Praf.g_00681	Pran.g_01635
OG0000122	Praf.g_00692	Pran.g_01626
OG0000123	Praf.g_00730	Pran.g_01594
OG0000124	Praf.g_01036, Praf.g_01720	Pran.g_01527
OG0000125	Praf.g_01035, Praf.g_01721	Pran.g_01526
OG0000126	Praf.g_01034, Praf.g_01722	Pran.g_01525
OG0000127	Praf.g_00780, Praf.g_00406	Pran.g_01492
OG0000128	Praf.g_01304	Pran.g_01458
OG0000129	Praf.g_00144, Praf.g_01435	Pran.g_01438
OG0000130	Praf.g_00941	Pran.g_01358
