Orthogroup	Praf	Prba
OG0000000	Praf.g_00813	Prba.g_00269
OG0000000	Praf.g_01042, Praf.g_01039, Praf.g_00815	Prba.g_00003, Prba.g_00270
OG0000001	Praf.g_01631	Prba.g_00203
OG0000001	Praf.g_00948	Prba.g_01639
OG0000002	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prba.g_00211
OG0000004	Praf.g_00814	Prba.g_01172, Prba.g_00268
OG0000005	Praf.g_01014, Praf.g_02005	Prba.g_01563
OG0000008	Praf.g_00614	Prba.g_00964
OG0000008	Praf.g_00480	Prba.g_00226
OG0000009	Praf.g_01191, Praf.g_02634, Praf.g_02638, Praf.g_02623, Praf.g_02642, Praf.g_02640, Praf.g_02641, Praf.g_02639, Praf.g_01648, Praf.g_02620	Prba.g_01120
OG0000010	Praf.g_02214	Prba.g_01519, Prba.g_00468
OG0000011	Praf.g_02647	Prba.g_00869
OG0000011	Praf.g_02091	Prba.g_01551
OG0000013	Praf.g_01768, Praf.g_00246	Prba.g_00276, Prba.g_01893
OG0000014	Praf.g_00112	Prba.g_00159
OG0000015	Praf.g_01898	Prba.g_00913
OG0000015	Praf.g_01864	Prba.g_00546
OG0000016	Praf.g_01033, Praf.g_01618, Praf.g_01030	Prba.g_01538
OG0000018	Praf.g_00752, Praf.g_00760	Prba.g_01719
OG0000020	Praf.g_01108, Praf.g_01143	Prba.g_00200
OG0000022	Praf.g_01719, Praf.g_00396	Prba.g_00460
OG0000023	Praf.g_00746	Prba.g_00245, Prba.g_00858
OG0000024	Praf.g_01082	Prba.g_01164
OG0000025	Praf.g_01139	Prba.g_01558
OG0000027	Praf.g_01224	Prba.g_01645
OG0000028	Praf.g_01223	Prba.g_01131
OG0000029	Praf.g_01257	Prba.g_01518
OG0000031	Praf.g_00920, Praf.g_00164, Praf.g_02721	Prba.g_00775
OG0000032	Praf.g_00041	Prba.g_01826
OG0000034	Praf.g_01794	Prba.g_00713
OG0000037	Praf.g_01022	Prba.g_01168
OG0000038	Praf.g_00101, Praf.g_00113, Praf.g_02400	Prba.g_00173
OG0000039	Praf.g_00014	Prba.g_01806
OG0000040	Praf.g_01188, Praf.g_01190	Prba.g_01165, Prba.g_00900
OG0000041	Praf.g_01668	Prba.g_01694
OG0000045	Praf.g_00731	Prba.g_01731
OG0000046	Praf.g_00965, Praf.g_00201	Prba.g_01543
OG0000047	Praf.g_00854	Prba.g_00064
OG0000049	Praf.g_02345	Prba.g_00153
OG0000050	Praf.g_01239, Praf.g_02454	Prba.g_00622
OG0000053	Praf.g_01238, Praf.g_01302	Prba.g_01594
OG0000054	Praf.g_00491	Prba.g_00233
OG0000055	Praf.g_00178	Prba.g_00768
OG0000056	Praf.g_00037	Prba.g_01824
OG0000057	Praf.g_02445	Prba.g_01945
OG0000058	Praf.g_00496	Prba.g_00864
OG0000059	Praf.g_00672	Prba.g_00922
OG0000061	Praf.g_00348	Prba.g_01548
OG0000062	Praf.g_01556	Prba.g_01477
OG0000063	Praf.g_02587	Prba.g_00727
OG0000066	Praf.g_01907	Prba.g_00986
OG0000067	Praf.g_01125	Prba.g_01619
OG0000070	Praf.g_01274	Prba.g_01264
OG0000071	Praf.g_00919	Prba.g_01135
OG0000072	Praf.g_00796	Prba.g_01192
OG0000074	Praf.g_02343	Prba.g_00175
OG0000075	Praf.g_02119	Prba.g_00429
OG0000076	Praf.g_01851, Praf.g_02346	Prba.g_00149
OG0000077	Praf.g_00012	Prba.g_01804
OG0000078	Praf.g_02336	Prba.g_00538
OG0000079	Praf.g_02715, Praf.g_02705	Prba.g_00877
OG0000080	Praf.g_01748	Prba.g_01648
OG0000081	Praf.g_01219, Praf.g_01218	Prba.g_01626
OG0000082	Praf.g_01537	Prba.g_01492
OG0000084	Praf.g_01392	Prba.g_01337
OG0000085	Praf.g_02776	Prba.g_01216
OG0000086	Praf.g_02690	Prba.g_00097
OG0000088	Praf.g_01193	Prba.g_00899
OG0000090	Praf.g_02342	Prba.g_00155
OG0000091	Praf.g_01806	Prba.g_00705
OG0000092	Praf.g_00549	Prba.g_00261
OG0000093	Praf.g_02172, Praf.g_00148	Prba.g_00381
OG0000094	Praf.g_02123	Prba.g_00426
OG0000095	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prba.g_01069
OG0000096	Praf.g_00053	Prba.g_00813
OG0000098	Praf.g_00003	Prba.g_01796
OG0000099	Praf.g_00028	Prba.g_01816
OG0000101	Praf.g_00333, Praf.g_02602	Prba.g_01843
OG0000102	Praf.g_00224	Prba.g_01901
OG0000103	Praf.g_00212	Prba.g_01909
OG0000104	Praf.g_02420	Prba.g_01927
OG0000105	Praf.g_02468	Prba.g_00626
OG0000106	Praf.g_02711, Praf.g_02492	Prba.g_00640
OG0000107	Praf.g_02511	Prba.g_00648
OG0000108	Praf.g_02708, Praf.g_02521	Prba.g_00658
OG0000109	Praf.g_00391	Prba.g_00458
OG0000110	Praf.g_02217	Prba.g_00470
OG0000111	Praf.g_02271	Prba.g_00491
OG0000113	Praf.g_02300	Prba.g_00513
OG0000114	Praf.g_02358	Prba.g_00541
OG0000115	Praf.g_01908	Prba.g_00987
OG0000116	Praf.g_01905	Prba.g_00985
