Orthogroup	Praf	Pray
OG0000000	Praf.g_00813	Pray.g_01603
OG0000000	Praf.g_01042, Praf.g_01039, Praf.g_00815	Pray.g_00003, Pray.g_01604
OG0000001	Praf.g_01631	Pray.g_01836
OG0000001	Praf.g_00948	Pray.g_01085
OG0000002	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293	Pray.g_01844
OG0000003	Praf.g_00285	Pray.g_01501
OG0000004	Praf.g_00814	Pray.g_01890, Pray.g_01602
OG0000005	Praf.g_01014, Praf.g_02005	Pray.g_00284
OG0000008	Praf.g_00614	Pray.g_00988, Pray.g_00987
OG0000008	Praf.g_00480	Pray.g_01559
OG0000009	Praf.g_01191, Praf.g_02634, Praf.g_02638, Praf.g_02623, Praf.g_02642, Praf.g_02640, Praf.g_02641, Praf.g_02639, Praf.g_01648, Praf.g_02620	Pray.g_01942
OG0000010	Praf.g_02214	Pray.g_00328, Pray.g_00730
OG0000011	Praf.g_02647	Pray.g_00853
OG0000011	Praf.g_02091	Pray.g_00296
OG0000013	Praf.g_01768, Praf.g_00246	Pray.g_01610, Pray.g_00184
OG0000014	Praf.g_00112	Pray.g_01792
OG0000015	Praf.g_01898	Pray.g_00897
OG0000015	Praf.g_01864	Pray.g_00808
OG0000016	Praf.g_01033, Praf.g_01618, Praf.g_01030	Pray.g_00309
OG0000018	Praf.g_00752, Praf.g_00760	Pray.g_01165
OG0000020	Praf.g_01108, Praf.g_01143	Pray.g_01833
OG0000022	Praf.g_01719, Praf.g_00396	Pray.g_00722
OG0000023	Praf.g_00746	Pray.g_01578, Pray.g_00842
OG0000024	Praf.g_01082	Pray.g_01898
OG0000025	Praf.g_01139	Pray.g_00289
OG0000027	Praf.g_01224	Pray.g_01091
OG0000028	Praf.g_01223	Pray.g_01931
OG0000029	Praf.g_01257	Pray.g_00329
OG0000031	Praf.g_00920, Praf.g_00164, Praf.g_02721	Pray.g_01371
OG0000032	Praf.g_00041	Pray.g_01495
OG0000034	Praf.g_01794	Pray.g_01722
OG0000037	Praf.g_01022	Pray.g_01894
OG0000038	Praf.g_00101, Praf.g_00113, Praf.g_02400	Pray.g_01806
OG0000039	Praf.g_00014	Pray.g_01475
OG0000040	Praf.g_01188, Praf.g_01190	Pray.g_01897, Pray.g_00884
OG0000041	Praf.g_01668	Pray.g_01140
OG0000045	Praf.g_00731	Pray.g_01177
OG0000046	Praf.g_00965, Praf.g_00201	Pray.g_00304
OG0000047	Praf.g_00854	Pray.g_00064
OG0000049	Praf.g_02345	Pray.g_01786
OG0000050	Praf.g_01239, Praf.g_02454	Pray.g_00647
OG0000053	Praf.g_01238, Praf.g_01302	Pray.g_01040
OG0000054	Praf.g_00491	Pray.g_01566
OG0000055	Praf.g_00178	Pray.g_01364
OG0000056	Praf.g_00037	Pray.g_01493
OG0000057	Praf.g_02445	Pray.g_00638
OG0000058	Praf.g_00496	Pray.g_00848
OG0000059	Praf.g_00672	Pray.g_01222
OG0000061	Praf.g_00348	Pray.g_00299
OG0000062	Praf.g_01556	Pray.g_00370
OG0000063	Praf.g_02587	Pray.g_00110
OG0000066	Praf.g_01907	Pray.g_00965
OG0000067	Praf.g_01125	Pray.g_01065
OG0000070	Praf.g_01274	Pray.g_00584
OG0000071	Praf.g_00919	Pray.g_01927
OG0000072	Praf.g_00796	Pray.g_01870
OG0000074	Praf.g_02343	Pray.g_01808
OG0000075	Praf.g_02119	Pray.g_01306
OG0000076	Praf.g_01851, Praf.g_02346	Pray.g_01782
OG0000077	Praf.g_00012	Pray.g_01473
OG0000078	Praf.g_02336	Pray.g_00800
OG0000079	Praf.g_02715, Praf.g_02705	Pray.g_00861
OG0000080	Praf.g_01748	Pray.g_01094
OG0000081	Praf.g_01219, Praf.g_01218	Pray.g_01072
OG0000082	Praf.g_01537	Pray.g_00355
OG0000084	Praf.g_01392	Pray.g_00511
OG0000085	Praf.g_02776	Pray.g_00632
OG0000086	Praf.g_02690	Pray.g_00097
