Orthogroup	Praf	Prbj
OG0000000	Praf.g_00813	Prbj.g_00164
OG0000000	Praf.g_00815	Prbj.g_00166
OG0000001	Praf.g_01631	Prbj.g_02517
OG0000001	Praf.g_00948	Prbj.g_00030
OG0000002	Praf.g_01895	Prbj.g_00672
OG0000002	Praf.g_02422	Prbj.g_01549, Prbj.g_02662
OG0000002	Praf.g_01293	Prbj.g_02690
OG0000003	Praf.g_01900	Prbj.g_00123
OG0000003	Praf.g_00278	Prbj.g_02691
OG0000004	Praf.g_00814	Prbj.g_00165
OG0000005	Praf.g_01014	Prbj.g_00697
OG0000005	Praf.g_02005	Prbj.g_00073
OG0000008	Praf.g_00614	Prbj.g_01610
OG0000008	Praf.g_00480	Prbj.g_00857
OG0000009	Praf.g_02638	Prbj.g_00208
OG0000009	Praf.g_02623, Praf.g_02642, Praf.g_02640	Prbj.g_02698, Prbj.g_00201, Prbj.g_00790
OG0000009	Praf.g_01648	Prbj.g_02533
OG0000009	Praf.g_02084	Prbj.g_00371
OG0000010	Praf.g_02214	Prbj.g_01349
OG0000011	Praf.g_02647, Praf.g_02091	Prbj.g_00378
OG0000012	Praf.g_02267	Prbj.g_01393
OG0000013	Praf.g_01768	Prbj.g_01300
OG0000013	Praf.g_00246	Prbj.g_00618
OG0000014	Praf.g_02319	Prbj.g_01442
OG0000015	Praf.g_01898	Prbj.g_02509
OG0000015	Praf.g_01864	Prbj.g_00666
OG0000016	Praf.g_01618	Prbj.g_02502
OG0000018	Praf.g_00752	Prbj.g_01769
OG0000018	Praf.g_00760	Prbj.g_01761
OG0000020	Praf.g_01108	Prbj.g_00740
OG0000020	Praf.g_01143	Prbj.g_00778
OG0000021	Praf.g_01828	Prbj.g_00638
OG0000022	Praf.g_01719, Praf.g_00396	Prbj.g_02699
OG0000023	Praf.g_00746	Prbj.g_01774
OG0000024	Praf.g_01082	Prbj.g_00731
OG0000025	Praf.g_01139	Prbj.g_00773
OG0000027	Praf.g_01224	Prbj.g_00928
OG0000028	Praf.g_01223	Prbj.g_00929
OG0000031	Praf.g_00920, Praf.g_00164	Prbj.g_01808, Prbj.g_00001
OG0000031	Praf.g_02721	Prbj.g_02010
OG0000032	Praf.g_00041	Prbj.g_01208
OG0000034	Praf.g_01794	Prbj.g_01056
OG0000037	Praf.g_01022	Prbj.g_00705
OG0000038	Praf.g_02400	Prbj.g_01522, Prbj.g_01527
OG0000040	Praf.g_01188, Praf.g_01190	Prbj.g_00897
OG0000041	Praf.g_01668	Prbj.g_02552
OG0000042	Praf.g_02664	Prbj.g_01963
OG0000045	Praf.g_00731	Prbj.g_01789
OG0000046	Praf.g_00965	Prbj.g_00050
OG0000046	Praf.g_00201	Prbj.g_01572
OG0000047	Praf.g_00854	Prbj.g_00971
OG0000048	Praf.g_02366	Prbj.g_01487
OG0000049	Praf.g_02345	Prbj.g_01467
OG0000050	Praf.g_01239	Prbj.g_00912
OG0000050	Praf.g_02454	Prbj.g_00521
OG0000053	Praf.g_01238	Prbj.g_00913
OG0000053	Praf.g_01302	Prbj.g_02178
OG0000054	Praf.g_00491	Prbj.g_00869
OG0000055	Praf.g_00178	Prbj.g_01598
OG0000056	Praf.g_00037	Prbj.g_01204
OG0000057	Praf.g_02445	Prbj.g_00530
OG0000058	Praf.g_00496	Prbj.g_00875
OG0000059	Praf.g_00672	Prbj.g_02141
OG0000060	Praf.g_01316, Praf.g_01049	Prbj.g_02192
OG0000061	Praf.g_00348	Prbj.g_01324
OG0000062	Praf.g_01556	Prbj.g_02437
OG0000063	Praf.g_02587	Prbj.g_00227
OG0000064	Praf.g_00332	Prbj.g_01175, Prbj.g_00218, Prbj.g_01822
OG0000064	Praf.g_02486	Prbj.g_02016
OG0000064	Praf.g_02526	Prbj.g_00505
OG0000064	Praf.g_01194	Prbj.g_01104
OG0000064	Praf.g_02726, Praf.g_01259	Prbj.g_01037
OG0000066	Praf.g_01907	Prbj.g_00128
OG0000067	Praf.g_01125	Prbj.g_00758
OG0000070	Praf.g_01274	Prbj.g_01838
OG0000071	Praf.g_00919	Prbj.g_01915
OG0000072	Praf.g_00796	Prbj.g_01728
OG0000074	Praf.g_02343	Prbj.g_01465
OG0000075	Praf.g_02119	Prbj.g_00415, Prbj.g_00981
OG0000076	Praf.g_01851	Prbj.g_00659
OG0000076	Praf.g_02346	Prbj.g_01468
OG0000077	Praf.g_00012	Prbj.g_02085
OG0000078	Praf.g_02336	Prbj.g_01460
OG0000079	Praf.g_02705	Prbj.g_02004
OG0000080	Praf.g_01748	Prbj.g_00824
OG0000081	Praf.g_01218	Prbj.g_00933
OG0000082	Praf.g_01537	Prbj.g_02419
OG0000084	Praf.g_01392	Prbj.g_02268
OG0000085	Praf.g_02776	Prbj.g_02066
OG0000086	Praf.g_02690	Prbj.g_01990
OG0000090	Praf.g_02342	Prbj.g_01464
OG0000091	Praf.g_01806	Prbj.g_01072
OG0000092	Praf.g_00549	Prbj.g_01678
OG0000093	Praf.g_02172	Prbj.g_01029
OG0000094	Praf.g_02123	Prbj.g_00985
OG0000095	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prbj.g_01500
OG0000096	Praf.g_00053	Prbj.g_01218
OG0000097	Praf.g_02699	Prbj.g_01999
OG0000098	Praf.g_00003	Prbj.g_02076
OG0000099	Praf.g_00028	Prbj.g_01195
OG0000101	Praf.g_00333, Praf.g_02602	Prbj.g_01921
OG0000102	Praf.g_00224	Prbj.g_01551
OG0000103	Praf.g_00212	Prbj.g_01566
OG0000104	Praf.g_02420	Prbj.g_01547
OG0000105	Praf.g_02468	Prbj.g_00517
OG0000106	Praf.g_02492	Prbj.g_01138
OG0000107	Praf.g_02511	Prbj.g_01157
OG0000108	Praf.g_02521	Prbj.g_01167
OG0000109	Praf.g_00391	Prbj.g_02614
OG0000110	Praf.g_02217	Prbj.g_01352
OG0000111	Praf.g_02271	Prbj.g_01397
OG0000112	Praf.g_02284	Prbj.g_01410
OG0000113	Praf.g_02300	Prbj.g_01426
OG0000114	Praf.g_02358	Prbj.g_01480
OG0000115	Praf.g_01908	Prbj.g_00129
OG0000116	Praf.g_01905	Prbj.g_00127
OG0000117	Praf.g_00595	Prbj.g_01630
OG0000118	Praf.g_00616	Prbj.g_01608
OG0000119	Praf.g_00658	Prbj.g_02125
OG0000120	Praf.g_00660	Prbj.g_02127
OG0000121	Praf.g_00681	Prbj.g_02668
OG0000122	Praf.g_00692	Prbj.g_01866
OG0000123	Praf.g_00730	Prbj.g_01790
OG0000124	Praf.g_01720	Prbj.g_00792
OG0000125	Praf.g_01721	Prbj.g_00793
OG0000126	Praf.g_01722	Prbj.g_00794
OG0000127	Praf.g_00780, Praf.g_00406	Prbj.g_00429
OG0000128	Praf.g_01304	Prbj.g_02181
OG0000129	Praf.g_01435	Prbj.g_02314
OG0000130	Praf.g_00941	Prbj.g_00023
OG0000131	Praf.g_01528	Prbj.g_02410
OG0000132	Praf.g_01590	Prbj.g_02474
OG0000133	Praf.g_00104, Praf.g_01497	Prbj.g_02382
OG0000134	Praf.g_01503	Prbj.g_02388
OG0000135	Praf.g_01383	Prbj.g_02260
OG0000136	Praf.g_01277	Prbj.g_01841
OG0000137	Praf.g_02692	Prbj.g_01992
OG0000138	Praf.g_00833	Prbj.g_00965
OG0000139	Praf.g_00861	Prbj.g_00843
OG0000140	Praf.g_00938	Prbj.g_00020
OG0000141	Praf.g_01285	Prbj.g_01848
OG0000142	Praf.g_00779	Prbj.g_01742
OG0000143	Praf.g_00585, Praf.g_00583	Prbj.g_01639
OG0000144	Praf.g_01778, Praf.g_01776	Prbj.g_01040
OG0000145	Praf.g_01795	Prbj.g_01057
OG0000146	Praf.g_01848	Prbj.g_00656
OG0000147	Praf.g_00502	Prbj.g_00882
OG0000148	Praf.g_00501	Prbj.g_00881
OG0000149	Praf.g_00485	Prbj.g_00863
OG0000150	Praf.g_00437	Prbj.g_00461
OG0000151	Praf.g_00434	Prbj.g_00458
OG0000152	Praf.g_00402	Prbj.g_00425
OG0000153	Praf.g_02162	Prbj.g_01024
OG0000154	Praf.g_02125	Prbj.g_00987
OG0000155	Praf.g_02102	Prbj.g_00400
OG0000156	Praf.g_02396	Prbj.g_01516
OG0000157	Praf.g_00152	Prbj.g_01280
OG0000158	Praf.g_02757	Prbj.g_02047
OG0000160	Praf.g_00001	Prbj.g_02074
OG0000161	Praf.g_00002	Prbj.g_02075
OG0000162	Praf.g_00004	Prbj.g_02077
OG0000163	Praf.g_00005	Prbj.g_02078
OG0000164	Praf.g_00006	Prbj.g_02079
OG0000165	Praf.g_00007	Prbj.g_02080
OG0000166	Praf.g_00009	Prbj.g_02082
