Orthogroup	Praf	Prbc
OG0000000	Praf.g_00813	Prbc.g_02165
OG0000000	Praf.g_01042, Praf.g_01039, Praf.g_00815	Prbc.g_00106, Prbc.g_00608, Prbc.g_02167, Prbc.g_00808, Prbc.g_00618, Prbc.g_00525
OG0000001	Praf.g_01631	Prbc.g_01920
OG0000001	Praf.g_00948	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473
OG0000002	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prbc.g_00588
OG0000003	Praf.g_01900	Prbc.g_00647
OG0000004	Praf.g_00814	Prbc.g_00609, Prbc.g_00812
OG0000005	Praf.g_01014, Praf.g_02005	Prbc.g_01233, Prbc.g_02193, Prbc.g_01823
OG0000008	Praf.g_00614	Prbc.g_01556
OG0000008	Praf.g_00480	Prbc.g_00832
OG0000009	Praf.g_01191, Praf.g_02634, Praf.g_02638, Praf.g_02623, Praf.g_02642, Praf.g_02640, Praf.g_02641, Praf.g_02639, Praf.g_01648, Praf.g_02620	Prbc.g_01108
OG0000009	Praf.g_02084	Prbc.g_00532
OG0000010	Praf.g_02214	Prbc.g_01832, Prbc.g_01836
OG0000012	Praf.g_02267	Prbc.g_01165
OG0000013	Praf.g_01768, Praf.g_00246	Prbc.g_01344
OG0000014	Praf.g_02319	Prbc.g_01198
OG0000014	Praf.g_00112	Prbc.g_00680
OG0000015	Praf.g_01898	Prbc.g_01273
OG0000015	Praf.g_01864	Prbc.g_01227
OG0000016	Praf.g_01033, Praf.g_01618, Praf.g_01030	Prbc.g_00599
OG0000018	Praf.g_00752	Prbc.g_01674
OG0000020	Praf.g_01108, Praf.g_01143	Prbc.g_00650
OG0000021	Praf.g_01828	Prbc.g_00728
OG0000022	Praf.g_01719, Praf.g_00396	Prbc.g_02202
OG0000023	Praf.g_00746	Prbc.g_02189
OG0000024	Praf.g_01082	Prbc.g_00143
OG0000025	Praf.g_01139	Prbc.g_00598, Prbc.g_01755
OG0000027	Praf.g_01224	Prbc.g_00894
OG0000028	Praf.g_01223	Prbc.g_00893
OG0000029	Praf.g_01257	Prbc.g_00907
OG0000031	Praf.g_00920, Praf.g_00164, Praf.g_02721	Prbc.g_00203
OG0000032	Praf.g_00041	Prbc.g_00932
OG0000034	Praf.g_01794	Prbc.g_00709
OG0000037	Praf.g_01022	Prbc.g_00088, Prbc.g_00095
OG0000038	Praf.g_00101, Praf.g_00113	Prbc.g_01228
OG0000039	Praf.g_00906	Prbc.g_00929
OG0000040	Praf.g_01188, Praf.g_01190	Prbc.g_00164, Prbc.g_00066
OG0000041	Praf.g_01668	Prbc.g_02155
OG0000042	Praf.g_02664	Prbc.g_00997
OG0000045	Praf.g_00731	Prbc.g_00891
OG0000046	Praf.g_00965, Praf.g_00201	Prbc.g_00166
OG0000047	Praf.g_00854	Prbc.g_01446
OG0000048	Praf.g_02366	Prbc.g_00517
OG0000049	Praf.g_02345	Prbc.g_01928
OG0000050	Praf.g_01239, Praf.g_02454	Prbc.g_00405
OG0000053	Praf.g_01238, Praf.g_01302	Prbc.g_01787
