Orthogroup	Praf	Prap
OG0000000	Praf.g_00813	Prap.g_01862
OG0000000	Praf.g_01042, Praf.g_01039, Praf.g_00815	Prap.g_01846, Prap.g_01861, Prap.g_00493
OG0000001	Praf.g_01631	Prap.g_00720, Prap.g_00715
OG0000001	Praf.g_00948	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000002	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prap.g_01925
OG0000004	Praf.g_00814	Prap.g_00494
OG0000005	Praf.g_01014, Praf.g_02005	Prap.g_00535
OG0000008	Praf.g_00614	Prap.g_01270
OG0000008	Praf.g_00480	Prap.g_01779
OG0000010	Praf.g_02214	Prap.g_00480, Prap.g_01462
OG0000011	Praf.g_02647	Prap.g_01688
OG0000011	Praf.g_02091	Prap.g_01848, Prap.g_01899
OG0000012	Praf.g_02267	Prap.g_00548
OG0000013	Praf.g_01768, Praf.g_00246	Prap.g_00216
OG0000014	Praf.g_02319	Prap.g_01403
OG0000015	Praf.g_01898	Prap.g_01343
OG0000016	Praf.g_01033, Praf.g_01618, Praf.g_01030	Prap.g_01794
OG0000018	Praf.g_00752	Prap.g_01170
OG0000018	Praf.g_00760	Prap.g_01163
OG0000020	Praf.g_01108	Prap.g_00510
OG0000020	Praf.g_01143	Prap.g_00218
OG0000021	Praf.g_01828	Prap.g_00142, Prap.g_01834
OG0000022	Praf.g_01719, Praf.g_00396	Prap.g_01470
OG0000023	Praf.g_00746	Prap.g_00797
OG0000024	Praf.g_01082	Prap.g_01911
OG0000025	Praf.g_01139	Prap.g_00322, Prap.g_00826
OG0000027	Praf.g_01224	Prap.g_01887
OG0000028	Praf.g_01223	Prap.g_01888
OG0000029	Praf.g_01257	Prap.g_01805
OG0000031	Praf.g_00920, Praf.g_00164, Praf.g_02721	Prap.g_01572
OG0000032	Praf.g_00041	Prap.g_01903
OG0000034	Praf.g_01794	Prap.g_00121
OG0000037	Praf.g_01022	Prap.g_00611
OG0000038	Praf.g_00101, Praf.g_00113	Prap.g_00080
OG0000039	Praf.g_00906	Prap.g_00514
OG0000041	Praf.g_01668	Prap.g_01145, Prap.g_00236
OG0000042	Praf.g_02664	Prap.g_01528
OG0000045	Praf.g_00731	Prap.g_01790, Prap.g_01183
OG0000046	Praf.g_00965	Prap.g_00212
OG0000047	Praf.g_00854	Prap.g_00456
OG0000048	Praf.g_02366	Prap.g_00897
OG0000049	Praf.g_02345	Prap.g_00081
OG0000050	Praf.g_01239, Praf.g_02454	Prap.g_01004
OG0000053	Praf.g_01238, Praf.g_01302	Prap.g_00791
OG0000054	Praf.g_00491	Prap.g_01917, Prap.g_01787
OG0000055	Praf.g_00178	Prap.g_01580
