Orthogroup	Pram	Syar
OG0000001	Pram.g_01954, Pram.g_01953	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Pram.g_00789	Syar.g_02051
OG0000004	Pram.g_00219	Syar.g_02225, Syar.g_00842
OG0000005	Pram.g_01295	Syar.g_02909
OG0000006	Pram.g_00229	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Pram.g_00433	Syar.g_01491
OG0000007	Pram.g_01632	Syar.g_02929
OG0000008	Pram.g_01263	Syar.g_02097
OG0000008	Pram.g_01262	Syar.g_02098
OG0000010	Pram.g_00704, Pram.g_01000	Syar.g_01272
OG0000013	Pram.g_00315	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Pram.g_00295	Syar.g_00825
OG0000015	Pram.g_00696, Pram.g_01545	Syar.g_00451, Syar.g_00180
OG0000016	Pram.g_01193	Syar.g_02859
OG0000017	Pram.g_00535	Syar.g_03181
OG0000017	Pram.g_00542	Syar.g_02180
OG0000018	Pram.g_01162	Syar.g_01409
OG0000019	Pram.g_00237, Pram.g_01164	Syar.g_00163
OG0000025	Pram.g_00844	Syar.g_01811
OG0000026	Pram.g_00018	Syar.g_00505
OG0000028	Pram.g_00363, Pram.g_00308	Syar.g_00718
OG0000031	Pram.g_01413	Syar.g_00714
OG0000032	Pram.g_01339	Syar.g_01390
OG0000034	Pram.g_01240	Syar.g_00074, Syar.g_02790
OG0000035	Pram.g_01381, Pram.g_01378	Syar.g_02809
OG0000037	Pram.g_00093	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Pram.g_01884	Syar.g_00334, Syar.g_00336
OG0000039	Pram.g_00777	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Pram.g_01599	Syar.g_02831
OG0000041	Pram.g_01680	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Pram.g_01841	Syar.g_00595, Syar.g_01970
OG0000044	Pram.g_01620	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Pram.g_01184	Syar.g_02592
OG0000046	Pram.g_00316	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Pram.g_00259	Syar.g_00213
OG0000052	Pram.g_00040	Syar.g_00281
OG0000053	Pram.g_01357, Pram.g_01580	Syar.g_01413
