Orthogroup	Pram	Prba
OG0000000	Pram.g_01561	Prba.g_01174
OG0000000	Pram.g_01511	Prba.g_00243, Prba.g_00269
OG0000001	Pram.g_01954, Pram.g_01953	Prba.g_00211
OG0000002	Pram.g_00873, Pram.g_00879	Prba.g_00203
OG0000002	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Prba.g_01639
OG0000004	Pram.g_00789	Prba.g_01622
OG0000004	Pram.g_00219	Prba.g_00451
OG0000005	Pram.g_01295	Prba.g_00312
OG0000006	Pram.g_00229	Prba.g_00460
OG0000007	Pram.g_00433	Prba.g_00964
OG0000007	Pram.g_01632	Prba.g_00226
OG0000008	Pram.g_01263	Prba.g_01131
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Prba.g_01142
OG0000010	Pram.g_00410	Prba.g_00987
OG0000010	Pram.g_00704, Pram.g_01000	Prba.g_01256
OG0000011	Pram.g_01579	Prba.g_01132
OG0000012	Pram.g_00561	Prba.g_01694
OG0000013	Pram.g_00315	Prba.g_00543
OG0000014	Pram.g_00295	Prba.g_00522
OG0000015	Pram.g_00696, Pram.g_01545	Prba.g_01538
OG0000017	Pram.g_00535, Pram.g_00542	Prba.g_01719
OG0000018	Pram.g_00837	Prba.g_01472
OG0000018	Pram.g_01162	Prba.g_00083
OG0000019	Pram.g_00237	Prba.g_00468
OG0000019	Pram.g_01164	Prba.g_01519
OG0000021	Pram.g_01274, Pram.g_00794	Prba.g_00245, Prba.g_00858
OG0000022	Pram.g_01287	Prba.g_01543
OG0000023	Pram.g_00689	Prba.g_00854
OG0000024	Pram.g_01004	Prba.g_01558
OG0000024	Pram.g_00765	Prba.g_01642
OG0000025	Pram.g_00844	Prba.g_00547, Prba.g_01464
OG0000026	Pram.g_00018	Prba.g_01249
OG0000028	Pram.g_00363	Prba.g_01126
OG0000028	Pram.g_00308	Prba.g_00536
OG0000029	Pram.g_01529	Prba.g_01551
OG0000029	Pram.g_01723	Prba.g_00869
OG0000030	Pram.g_01844	Prba.g_00778
OG0000031	Pram.g_01413	Prba.g_00173
OG0000034	Pram.g_01240	Prba.g_01202
OG0000035	Pram.g_01381, Pram.g_01378	Prba.g_00713
OG0000037	Pram.g_00093	Prba.g_01897
OG0000038	Pram.g_01884	Prba.g_00819
OG0000039	Pram.g_00777	Prba.g_01631
OG0000040	Pram.g_01599	Prba.g_00251
OG0000042	Pram.g_01841	Prba.g_00775
OG0000043	Pram.g_01161	Prba.g_01138, Prba.g_01427
OG0000044	Pram.g_01620	Prba.g_00002
