Orthogroup	Pram	Syag
OG0000001	Pram.g_01954, Pram.g_01953	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Pram.g_00789	Syag.g_00988
OG0000004	Pram.g_00219	Syag.g_00370, Syag.g_01790
OG0000005	Pram.g_01295	Syag.g_01667
OG0000006	Pram.g_00229	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Pram.g_00433	Syag.g_01507
OG0000007	Pram.g_01632	Syag.g_01687
OG0000008	Pram.g_01263	Syag.g_00496
OG0000008	Pram.g_01262	Syag.g_01017
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syag.g_00220, Syag.g_00231
OG0000010	Pram.g_00704, Pram.g_01000	Syag.g_01355
OG0000011	Pram.g_01579	Syag.g_01299
OG0000012	Pram.g_00561	Syag.g_00377
OG0000013	Pram.g_00315	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Pram.g_00295	Syag.g_02559
OG0000015	Pram.g_00696, Pram.g_01545	Syag.g_02252, Syag.g_00596
OG0000016	Pram.g_01193	Syag.g_01066
OG0000017	Pram.g_00535	Syag.g_00336
OG0000017	Pram.g_00542	Syag.g_00344
OG0000018	Pram.g_01162	Syag.g_01387
OG0000019	Pram.g_00237, Pram.g_01164	Syag.g_02663
OG0000020	Pram.g_01275, Pram.g_01595, Pram.g_01516	Syag.g_00085
OG0000021	Pram.g_01274, Pram.g_00794	Syag.g_00229
OG0000023	Pram.g_00689	Syag.g_00261, Syag.g_00234
OG0000024	Pram.g_01004, Pram.g_00765	Syag.g_00455
OG0000025	Pram.g_00844	Syag.g_00718
OG0000026	Pram.g_00018	Syag.g_02309
OG0000028	Pram.g_00363, Pram.g_00308	Syag.g_02540
OG0000029	Pram.g_01529, Pram.g_01723	Syag.g_00195
OG0000030	Pram.g_01844	Syag.g_02375, Syag.g_02374
OG0000031	Pram.g_01413	Syag.g_02510
OG0000032	Pram.g_01339	Syag.g_01366
OG0000034	Pram.g_01240	Syag.g_01225, Syag.g_01947
OG0000035	Pram.g_01381, Pram.g_01378	Syag.g_01420, Syag.g_01421
OG0000037	Pram.g_00093	Syag.g_00173
OG0000038	Pram.g_01884	Syag.g_02130, Syag.g_02132
OG0000039	Pram.g_00777	Syag.g_01325, Syag.g_02155
OG0000041	Pram.g_01680	Syag.g_01750, Syag.g_00962
OG0000042	Pram.g_01841	Syag.g_01094, Syag.g_02378
OG0000043	Pram.g_01161	Syag.g_00564
OG0000044	Pram.g_01620	Syag.g_00945
OG0000046	Pram.g_00316	Syag.g_02812, Syag.g_02819, Syag.g_02805
OG0000047	Pram.g_00359	Syag.g_00768
OG0000048	Pram.g_00259	Syag.g_02611
OG0000052	Pram.g_00040	Syag.g_02451
OG0000053	Pram.g_01357, Pram.g_01580	Syag.g_01391
OG0000054	Pram.g_00544	Syag.g_00350
OG0000055	Pram.g_01617	Syag.g_01799
OG0000057	Pram.g_00792	Syag.g_00985
OG0000059	Pram.g_01719	Syag.g_02721
OG0000061	Pram.g_01140	Syag.g_01141
OG0000062	Pram.g_01293	Syag.g_01669
OG0000063	Pram.g_01258	Syag.g_02313
OG0000064	Pram.g_00052	Syag.g_00076, Syag.g_00487, Syag.g_01589
OG0000065	Pram.g_00091	Syag.g_01885, Syag.g_00182
OG0000066	Pram.g_01558	Syag.g_01443
OG0000067	Pram.g_00809	Syag.g_00667
OG0000068	Pram.g_01468	Syag.g_01537
OG0000070	Pram.g_00385	Syag.g_00049
OG0000071	Pram.g_01230	Syag.g_01192
OG0000072	Pram.g_00156	Syag.g_01980, Syag.g_02859
OG0000073	Pram.g_00437	Syag.g_01505
OG0000075	Pram.g_01807	Syag.g_02434
OG0000076	Pram.g_01833	Syag.g_02393
OG0000077	Pram.g_00063	Syag.g_01831
OG0000078	Pram.g_00227	Syag.g_01778
OG0000079	Pram.g_00240	Syag.g_02659, Syag.g_02652
OG0000080	Pram.g_01408	Syag.g_02499, Syag.g_00124, Syag.g_02500
OG0000081	Pram.g_00469	Syag.g_00167
OG0000082	Pram.g_01559	Syag.g_00318
OG0000084	Pram.g_01384	Syag.g_00212, Syag.g_01425
OG0000085	Pram.g_01265	Syag.g_01676
OG0000086	Pram.g_00072	Syag.g_01853
OG0000087	Pram.g_00125	Syag.g_01939
OG0000088	Pram.g_00151	Syag.g_01974
OG0000089	Pram.g_00352	Syag.g_00005
OG0000090	Pram.g_00471	Syag.g_01454
OG0000091	Pram.g_01068	Syag.g_00418
OG0000093	Pram.g_01038	Syag.g_00649
OG0000094	Pram.g_00987	Syag.g_00881
OG0000095	Pram.g_00888	Syag.g_00974
OG0000097	Pram.g_01093	Syag.g_01065
OG0000098	Pram.g_01478	Syag.g_00578, Syag.g_01445
OG0000099	Pram.g_01445	Syag.g_02536
OG0000100	Pram.g_01298	Syag.g_00704
OG0000101	Pram.g_01770	Syag.g_02773
OG0000102	Pram.g_01838	Syag.g_02387
OG0000103	Pram.g_01925	Syag.g_02253
OG0000104	Pram.g_01934	Syag.g_02268
OG0000105	Pram.g_00262	Syag.g_02606
OG0000106	Pram.g_00677	Syag.g_00462
OG0000107	Pram.g_01696	Syag.g_02689
OG0000108	Pram.g_00416	Syag.g_01528
OG0000109	Pram.g_00430	Syag.g_01512
OG0000110	Pram.g_00513	Syag.g_00303
OG0000111	Pram.g_00793	Syag.g_00984
OG0000112	Pram.g_00935	Syag.g_00801
OG0000113	Pram.g_00832	Syag.g_00699
OG0000114	Pram.g_00734	Syag.g_00609
OG0000115	Pram.g_01201	Syag.g_01397
OG0000116	Pram.g_01151	Syag.g_01156
OG0000117	Pram.g_01112	Syag.g_01097
OG0000118	Pram.g_01242	Syag.g_01232
OG0000120	Pram.g_01446	Syag.g_02535
OG0000121	Pram.g_01376	Syag.g_01414
OG0000122	Pram.g_01204, Pram.g_01334	Syag.g_00446
OG0000123	Pram.g_01777	Syag.g_02781
OG0000124	Pram.g_01850	Syag.g_02367
OG0000125	Pram.g_01886	Syag.g_02136, Syag.g_02134
OG0000126	Pram.g_01933	Syag.g_02266
OG0000128	Pram.g_01949	Syag.g_02284
OG0000129	Pram.g_00029	Syag.g_02121
OG0000130	Pram.g_00054	Syag.g_01819
OG0000131	Pram.g_00130	Syag.g_01951
OG0000132	Pram.g_00149	Syag.g_01972
OG0000133	Pram.g_00310	Syag.g_00806
OG0000134	Pram.g_00354	Syag.g_00008
OG0000135	Pram.g_01589	Syag.g_02171
OG0000136	Pram.g_00376	Syag.g_00038
OG0000137	Pram.g_00411	Syag.g_01356
OG0000138	Pram.g_00431	Syag.g_01511
OG0000139	Pram.g_00475	Syag.g_01448
OG0000140	Pram.g_00476	Syag.g_01446
OG0000141	Pram.g_00545	Syag.g_00351
OG0000142	Pram.g_01075	Syag.g_00410
OG0000143	Pram.g_01072	Syag.g_00414
OG0000144	Pram.g_01058	Syag.g_00493
OG0000145	Pram.g_01534	Syag.g_01504
OG0000146	Pram.g_00934	Syag.g_00800
OG0000147	Pram.g_00933	Syag.g_00799
OG0000148	Pram.g_00826	Syag.g_00693
OG0000149	Pram.g_00858	Syag.g_00731
OG0000150	Pram.g_00868	Syag.g_00352
OG0000151	Pram.g_00744	Syag.g_00623
OG0000152	Pram.g_00943	Syag.g_00810
OG0000153	Pram.g_00961	Syag.g_00845
OG0000154	Pram.g_00978	Syag.g_00870
OG0000155	Pram.g_01118	Syag.g_01107
OG0000156	Pram.g_01219	Syag.g_01166
OG0000157	Pram.g_01220	Syag.g_01167
OG0000158	Pram.g_01815	Syag.g_02422
OG0000159	Pram.g_00045	Syag.g_02425
OG0000160	Pram.g_01377	Syag.g_01415
OG0000161	Pram.g_01145, Pram.g_01371	Syag.g_01409
OG0000162	Pram.g_01365	Syag.g_01402
OG0000163	Pram.g_01326	Syag.g_00706, Syag.g_01618
OG0000164	Pram.g_01656	Syag.g_01725
OG0000165	Pram.g_01664	Syag.g_01733
OG0000166	Pram.g_01733	Syag.g_02733
OG0000167	Pram.g_01805	Syag.g_02437
OG0000168	Pram.g_01816	Syag.g_02417
OG0000169	Pram.g_01826	Syag.g_02405
OG0000170	Pram.g_01829	Syag.g_02398
OG0000171	Pram.g_01849	Syag.g_02368
OG0000172	Pram.g_01856	Syag.g_02360
OG0000173	Pram.g_01871	Syag.g_02337
OG0000174	Pram.g_01902	Syag.g_02175
OG0000175	Pram.g_01914	Syag.g_02240
OG0000176	Pram.g_01942	Syag.g_02276
OG0000177	Pram.g_01943	Syag.g_02277
OG0000178	Pram.g_01944	Syag.g_02278
OG0000179	Pram.g_00003	Syag.g_02293
OG0000180	Pram.g_00004	Syag.g_02294
OG0000181	Pram.g_00005	Syag.g_02295
OG0000182	Pram.g_00006	Syag.g_02296
OG0000183	Pram.g_00010	Syag.g_02300
OG0000184	Pram.g_00033	Syag.g_02110
OG0000185	Pram.g_00036	Syag.g_02092
OG0000186	Pram.g_00048	Syag.g_01815
OG0000187	Pram.g_00049	Syag.g_01816
OG0000188	Pram.g_00066	Syag.g_01839
OG0000189	Pram.g_00080	Syag.g_01872
OG0000190	Pram.g_00081	Syag.g_01874
OG0000191	Pram.g_00103	Syag.g_01909
OG0000192	Pram.g_00108	Syag.g_01915
OG0000193	Pram.g_00131	Syag.g_01952
OG0000194	Pram.g_00134	Syag.g_01955
OG0000195	Pram.g_00136	Syag.g_01957
OG0000196	Pram.g_00146	Syag.g_01968
OG0000197	Pram.g_00147	Syag.g_01969
OG0000198	Pram.g_00148	Syag.g_00108, Syag.g_01971
OG0000199	Pram.g_00155	Syag.g_01979
OG0000200	Pram.g_00168	Syag.g_01996
OG0000201	Pram.g_00177	Syag.g_02019, Syag.g_02023
OG0000202	Pram.g_00178	Syag.g_02024
OG0000203	Pram.g_00179	Syag.g_02025
OG0000204	Pram.g_00180	Syag.g_02020, Syag.g_02026
OG0000205	Pram.g_00187	Syag.g_02035
OG0000206	Pram.g_00192	Syag.g_02047
OG0000207	Pram.g_00194	Syag.g_02051
OG0000208	Pram.g_00195	Syag.g_02052
OG0000209	Pram.g_00204	Syag.g_02069
OG0000210	Pram.g_00205	Syag.g_02070
OG0000211	Pram.g_00220	Syag.g_01788
OG0000212	Pram.g_00228	Syag.g_01777
OG0000213	Pram.g_00246	Syag.g_02632
OG0000214	Pram.g_00255	Syag.g_02615
OG0000215	Pram.g_00282	Syag.g_02584
OG0000216	Pram.g_00283	Syag.g_02580
OG0000217	Pram.g_00286	Syag.g_02576
OG0000218	Pram.g_00288	Syag.g_02574
OG0000219	Pram.g_00289	Syag.g_02573
OG0000220	Pram.g_00290	Syag.g_02572
OG0000221	Pram.g_00291	Syag.g_02566
OG0000222	Pram.g_00298	Syag.g_02550
OG0000223	Pram.g_00311	Syag.g_02475
OG0000224	Pram.g_00313	Syag.g_02471
OG0000225	Pram.g_00341	Syag.g_02861
OG0000226	Pram.g_00345	Syag.g_02865
OG0000227	Pram.g_00347	Syag.g_02867
OG0000228	Pram.g_00351	Syag.g_00004
OG0000229	Pram.g_00371	Syag.g_00033
OG0000230	Pram.g_00373	Syag.g_00035
OG0000231	Pram.g_00384	Syag.g_00048
OG0000232	Pram.g_00397	Syag.g_00059
OG0000233	Pram.g_00402	Syag.g_01330
OG0000234	Pram.g_00412	Syag.g_01358
OG0000235	Pram.g_00415	Syag.g_01529
OG0000236	Pram.g_00429	Syag.g_01513
OG0000237	Pram.g_00443	Syag.g_01495
OG0000238	Pram.g_00449	Syag.g_01490
OG0000239	Pram.g_00462	Syag.g_01472
OG0000240	Pram.g_00463	Syag.g_01471
OG0000241	Pram.g_00468	Syag.g_00396
OG0000242	Pram.g_00470	Syag.g_01456
OG0000243	Pram.g_00480	Syag.g_00255
OG0000244	Pram.g_00483	Syag.g_00268
OG0000245	Pram.g_00485	Syag.g_00270
OG0000246	Pram.g_00489	Syag.g_00274
OG0000247	Pram.g_00500	Syag.g_00286
OG0000248	Pram.g_00503	Syag.g_00289
OG0000249	Pram.g_00505	Syag.g_00291
OG0000250	Pram.g_00510	Syag.g_00299
OG0000251	Pram.g_00528	Syag.g_00328
OG0000252	Pram.g_00531	Syag.g_00331
OG0000253	Pram.g_00532	Syag.g_00333
OG0000254	Pram.g_00549	Syag.g_00356
OG0000255	Pram.g_00555	Syag.g_00369
OG0000256	Pram.g_00566	Syag.g_00385
OG0000257	Pram.g_01080	Syag.g_00395
OG0000258	Pram.g_01067	Syag.g_00423
OG0000259	Pram.g_01050	Syag.g_00560
OG0000260	Pram.g_01047	Syag.g_00570
OG0000261	Pram.g_01044	Syag.g_00581
OG0000262	Pram.g_01039	Syag.g_00586
OG0000263	Pram.g_00771	Syag.g_01079
OG0000264	Pram.g_00782	Syag.g_01011
OG0000265	Pram.g_00801	Syag.g_01021
OG0000266	Pram.g_01020	Syag.g_00907
OG0000267	Pram.g_01007	Syag.g_00762
OG0000268	Pram.g_01006	Syag.g_00763
OG0000269	Pram.g_00804	Syag.g_00662
OG0000270	Pram.g_00807	Syag.g_00665
OG0000271	Pram.g_00815	Syag.g_00673
OG0000273	Pram.g_00839	Syag.g_00713
OG0000274	Pram.g_00840	Syag.g_00714
OG0000275	Pram.g_00843	Syag.g_00717
OG0000276	Pram.g_00849	Syag.g_00723
OG0000277	Pram.g_00850	Syag.g_00724
OG0000278	Pram.g_00853	Syag.g_00727
OG0000279	Pram.g_00861	Syag.g_00735
OG0000280	Pram.g_00862	Syag.g_00741
OG0000281	Pram.g_00870	Syag.g_00572
OG0000282	Pram.g_00736	Syag.g_00611
OG0000283	Pram.g_00916	Syag.g_00775
OG0000284	Pram.g_00921	Syag.g_00780
OG0000285	Pram.g_00926	Syag.g_00791
