Orthogroup	Pram	Syak
OG0000001	Pram.g_01954, Pram.g_01953	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Pram.g_00789	Syak.g_01219, Syak.g_00720
OG0000004	Pram.g_00219	Syak.g_00003, Syak.g_02297
OG0000005	Pram.g_01295	Syak.g_00885, Syak.g_02436
OG0000006	Pram.g_00229	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Pram.g_00433	Syak.g_02595
OG0000007	Pram.g_01632	Syak.g_02416
OG0000008	Pram.g_01263	Syak.g_00267
OG0000008	Pram.g_01262	Syak.g_00692
OG0000010	Pram.g_00704, Pram.g_01000	Syak.g_01119
OG0000011	Pram.g_01579	Syak.g_00960
OG0000012	Pram.g_00561	Syak.g_00010
OG0000013	Pram.g_00315	Syak.g_01270, Syak.g_01275
OG0000014	Pram.g_00295	Syak.g_01505
OG0000015	Pram.g_00696, Pram.g_01545	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Pram.g_01193	Syak.g_00818
OG0000017	Pram.g_00535	Syak.g_02730
OG0000017	Pram.g_00542	Syak.g_02738
OG0000018	Pram.g_01162	Syak.g_01072
OG0000019	Pram.g_00237, Pram.g_01164	Syak.g_01413
OG0000021	Pram.g_01274, Pram.g_00794	Syak.g_00566
OG0000023	Pram.g_00689	Syak.g_00316, Syak.g_00223
OG0000025	Pram.g_00844	Syak.g_00610
OG0000026	Pram.g_00018	Syak.g_01757
OG0000028	Pram.g_00363, Pram.g_00308	Syak.g_01522
OG0000029	Pram.g_01529, Pram.g_01723	Syak.g_00169, Syak.g_00178
OG0000030	Pram.g_01844	Syak.g_01684, Syak.g_01685
OG0000031	Pram.g_01413	Syak.g_01630
OG0000032	Pram.g_01339	Syak.g_01092
OG0000033	Pram.g_00154	Syak.g_02101
OG0000034	Pram.g_01240	Syak.g_00950, Syak.g_02133
OG0000035	Pram.g_01381, Pram.g_01378	Syak.g_01041, Syak.g_01040
OG0000037	Pram.g_00093	Syak.g_02188
OG0000038	Pram.g_01884	Syak.g_01938, Syak.g_01936
OG0000039	Pram.g_00777	Syak.g_00772, Syak.g_01918
OG0000041	Pram.g_01680	Syak.g_02354, Syak.g_00752
OG0000042	Pram.g_01841	Syak.g_00843, Syak.g_01681
OG0000043	Pram.g_01161	Syak.g_00335
OG0000044	Pram.g_01620	Syak.g_00767, Syak.g_00153
OG0000046	Pram.g_00316	Syak.g_01269, Syak.g_01276
OG0000047	Pram.g_00359	Syak.g_01147
OG0000048	Pram.g_00259	Syak.g_01446
OG0000050	Pram.g_00576, Pram.g_00706	Syak.g_00106
OG0000052	Pram.g_00040	Syak.g_01549
OG0000053	Pram.g_01357, Pram.g_01580	Syak.g_01068
OG0000054	Pram.g_00544	Syak.g_02744, Syak.g_02321
OG0000055	Pram.g_01189, Pram.g_01617	Syak.g_00766
OG0000057	Pram.g_00792	Syak.g_00724, Syak.g_01676
OG0000059	Pram.g_01719	Syak.g_01355
OG0000061	Pram.g_01140	Syak.g_00898
OG0000062	Pram.g_01293	Syak.g_02434
OG0000063	Pram.g_01258	Syak.g_01752
OG0000064	Pram.g_00052	Syak.g_00983, Syak.g_00254, Syak.g_00126, Syak.g_00164
OG0000065	Pram.g_00091	Syak.g_02192, Syak.g_00282
OG0000066	Pram.g_01558	Syak.g_02653
OG0000067	Pram.g_00809	Syak.g_00434
OG0000068	Pram.g_01468	Syak.g_02565
OG0000070	Pram.g_00385	Syak.g_01174
OG0000071	Pram.g_01230	Syak.g_02322, Syak.g_00936
OG0000072	Pram.g_00156	Syak.g_02099
OG0000073	Pram.g_00437	Syak.g_02597
OG0000075	Pram.g_01807	Syak.g_01564
OG0000076	Pram.g_01833	Syak.g_01650
OG0000077	Pram.g_00063	Syak.g_02243
OG0000078	Pram.g_00227	Syak.g_02310
OG0000079	Pram.g_00240	Syak.g_01417
OG0000080	Pram.g_01408	Syak.g_01585, Syak.g_01583, Syak.g_01612
OG0000081	Pram.g_00469	Syak.g_00115
OG0000082	Pram.g_01559	Syak.g_02711
OG0000084	Pram.g_01384	Syak.g_01036
OG0000085	Pram.g_01265	Syak.g_02427
OG0000086	Pram.g_00072	Syak.g_02219
OG0000087	Pram.g_00125	Syak.g_02141
OG0000088	Pram.g_00151	Syak.g_02106
OG0000089	Pram.g_00352	Syak.g_01215
OG0000090	Pram.g_00471	Syak.g_02640
OG0000091	Pram.g_01068	Syak.g_00043
OG0000093	Pram.g_01038	Syak.g_00416
OG0000094	Pram.g_00987	Syak.g_00656
OG0000095	Pram.g_00888	Syak.g_00736
OG0000097	Pram.g_01093	Syak.g_00816
OG0000098	Pram.g_01478	Syak.g_00345, Syak.g_02651
OG0000099	Pram.g_01445	Syak.g_01527
OG0000100	Pram.g_01298	Syak.g_00622
OG0000101	Pram.g_01770	Syak.g_01305
OG0000102	Pram.g_01838	Syak.g_01661
OG0000103	Pram.g_01925	Syak.g_01812
OG0000104	Pram.g_01934	Syak.g_01799
OG0000105	Pram.g_00262	Syak.g_01451
OG0000106	Pram.g_00677	Syak.g_00096
OG0000107	Pram.g_01696	Syak.g_01392
OG0000108	Pram.g_00416	Syak.g_02574
OG0000109	Pram.g_00430	Syak.g_01061, Syak.g_02590
OG0000110	Pram.g_00513	Syak.g_02698
OG0000111	Pram.g_00793	Syak.g_00725
OG0000112	Pram.g_00935	Syak.g_00512
OG0000113	Pram.g_00832	Syak.g_00461
OG0000114	Pram.g_00734	Syak.g_00373, Syak.g_00065
OG0000115	Pram.g_01201	Syak.g_01066
OG0000116	Pram.g_01151	Syak.g_00911
OG0000117	Pram.g_01112	Syak.g_00846
OG0000118	Pram.g_01242	Syak.g_00954
OG0000119	Pram.g_01283	Syak.g_00917
OG0000120	Pram.g_01446	Syak.g_01526
OG0000121	Pram.g_01376	Syak.g_01044
OG0000122	Pram.g_01204, Pram.g_01334	Syak.g_00081
OG0000123	Pram.g_01777	Syak.g_01299
OG0000124	Pram.g_01850	Syak.g_01692
OG0000125	Pram.g_01886	Syak.g_01934
OG0000126	Pram.g_01933	Syak.g_01801
OG0000127	Pram.g_00611	Syak.g_02269, Syak.g_02544
OG0000128	Pram.g_01949	Syak.g_01782
OG0000129	Pram.g_00029	Syak.g_01947
OG0000130	Pram.g_00054	Syak.g_02255
OG0000131	Pram.g_00130	Syak.g_02128
OG0000132	Pram.g_00149	Syak.g_02108
OG0000133	Pram.g_00310	Syak.g_00507
OG0000134	Pram.g_00354	Syak.g_01212
OG0000135	Pram.g_01589	Syak.g_01897
OG0000136	Pram.g_00376	Syak.g_01186
OG0000137	Pram.g_00411	Syak.g_01118
OG0000138	Pram.g_00431	Syak.g_02591
OG0000139	Pram.g_00475	Syak.g_02646
