Orthogroup	Pram	Syaf
OG0000001	Pram.g_01954, Pram.g_01953	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634
OG0000004	Pram.g_00789	Syaf.g_01455
OG0000004	Pram.g_00219	Syaf.g_02351, Syaf.g_02794
OG0000005	Pram.g_01295	Syaf.g_01057
OG0000006	Pram.g_00229	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Pram.g_00433	Syaf.g_02702
OG0000007	Pram.g_01632	Syaf.g_01033
OG0000008	Pram.g_01263	Syaf.g_01479
OG0000008	Pram.g_01262	Syaf.g_01480
OG0000010	Pram.g_00704, Pram.g_01000	Syaf.g_02499
OG0000011	Pram.g_01579	Syaf.g_01483
OG0000013	Pram.g_00315	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Pram.g_00295	Syaf.g_00280
OG0000015	Pram.g_00696, Pram.g_01545	Syaf.g_02120, Syaf.g_02121
OG0000016	Pram.g_01193	Syaf.g_01576, Syaf.g_01713
OG0000017	Pram.g_00535	Syaf.g_02561
OG0000017	Pram.g_00542	Syaf.g_02554
OG0000018	Pram.g_01162	Syaf.g_02451
OG0000019	Pram.g_00237, Pram.g_01164	Syaf.g_00193
OG0000020	Pram.g_01275, Pram.g_01595, Pram.g_01516	Syaf.g_02187
OG0000021	Pram.g_01274, Pram.g_00794	Syaf.g_02773
OG0000023	Pram.g_00689	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Pram.g_01004, Pram.g_00765	Syaf.g_01484
OG0000025	Pram.g_00844	Syaf.g_01385
OG0000026	Pram.g_00018	Syaf.g_00461
OG0000028	Pram.g_00363, Pram.g_00308	Syaf.g_00297
OG0000029	Pram.g_01529, Pram.g_01723	Syaf.g_01761
OG0000030	Pram.g_01844	Syaf.g_00406, Syaf.g_00407
OG0000031	Pram.g_01413	Syaf.g_00314
OG0000032	Pram.g_01339	Syaf.g_02471
OG0000034	Pram.g_01240	Syaf.g_01241, Syaf.g_00837
OG0000035	Pram.g_01381, Pram.g_01378	Syaf.g_02412
OG0000037	Pram.g_00093	Syaf.g_00899
OG0000038	Pram.g_01884	Syaf.g_00642
OG0000039	Pram.g_00777	Syaf.g_01395
OG0000041	Pram.g_01680	Syaf.g_01171, Syaf.g_01414
OG0000042	Pram.g_01841	Syaf.g_00403
OG0000043	Pram.g_01161	Syaf.g_01747
OG0000044	Pram.g_01620	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400
OG0000046	Pram.g_00316	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062
OG0000047	Pram.g_00359	Syaf.g_00030
OG0000048	Pram.g_00259	Syaf.g_00230
OG0000050	Pram.g_00576	Syaf.g_01770
OG0000052	Pram.g_00040	Syaf.g_00335
OG0000053	Pram.g_01357, Pram.g_01580	Syaf.g_02447
OG0000054	Pram.g_00544	Syaf.g_02376
OG0000057	Pram.g_00792	Syaf.g_01665, Syaf.g_01452
OG0000059	Pram.g_01719	Syaf.g_00143
OG0000061	Pram.g_01140	Syaf.g_01288
OG0000062	Pram.g_01293	Syaf.g_01055
OG0000063	Pram.g_01258	Syaf.g_00457
OG0000064	Pram.g_00052	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667
OG0000065	Pram.g_00091	Syaf.g_00903
OG0000066	Pram.g_01558	Syaf.g_02643
OG0000067	Pram.g_00809	Syaf.g_02049
OG0000068	Pram.g_01468	Syaf.g_02733
OG0000070	Pram.g_00385	Syaf.g_01237
OG0000071	Pram.g_01230	Syaf.g_01254
OG0000072	Pram.g_00156	Syaf.g_00805
OG0000073	Pram.g_00437	Syaf.g_02700
OG0000075	Pram.g_01807	Syaf.g_00353
OG0000076	Pram.g_01833	Syaf.g_00388
OG0000077	Pram.g_00063	Syaf.g_00951
OG0000078	Pram.g_00227	Syaf.g_02782
OG0000079	Pram.g_00240	Syaf.g_00197
OG0000080	Pram.g_01408	Syaf.g_00306
OG0000081	Pram.g_00469	Syaf.g_02776
