Orthogroup	Pram	Syal
OG0000000	Pram.g_01561	Syal.g_01111, Syal.g_01832
OG0000001	Pram.g_01954, Pram.g_01953	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Pram.g_00789	Syal.g_01809
OG0000004	Pram.g_00219	Syal.g_02718, Syal.g_00691
OG0000005	Pram.g_01295	Syal.g_00565
OG0000006	Pram.g_00229	Syal.g_02611, Syal.g_00674
OG0000007	Pram.g_00433	Syal.g_02918
OG0000007	Pram.g_01632	Syal.g_00587
OG0000008	Pram.g_01263	Syal.g_02512
OG0000008	Pram.g_01262	Syal.g_01783
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syal.g_02089
OG0000010	Pram.g_00704, Pram.g_01000	Syal.g_00464
OG0000011	Pram.g_01579	Syal.g_00702
OG0000013	Pram.g_00315	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Pram.g_00295	Syal.g_01305
OG0000015	Pram.g_00696, Pram.g_01545	Syal.g_02210, Syal.g_01183
OG0000016	Pram.g_01193	Syal.g_01734
OG0000017	Pram.g_00535	Syal.g_02752
OG0000017	Pram.g_00542	Syal.g_02745
OG0000018	Pram.g_01162	Syal.g_00410
OG0000019	Pram.g_00237, Pram.g_01164	Syal.g_01209
OG0000023	Pram.g_00689	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Pram.g_01004, Pram.g_00765	Syal.g_02597
OG0000025	Pram.g_00844	Syal.g_02459
OG0000026	Pram.g_00018	Syal.g_00132
OG0000028	Pram.g_00363, Pram.g_00308	Syal.g_01319
OG0000029	Pram.g_01529, Pram.g_01723	Syal.g_03014
OG0000030	Pram.g_01844	Syal.g_01511, Syal.g_01512
OG0000031	Pram.g_01413	Syal.g_01404, Syal.g_01432
OG0000032	Pram.g_01339	Syal.g_00428
OG0000034	Pram.g_01240	Syal.g_00881, Syal.g_01586
OG0000035	Pram.g_01381, Pram.g_01378	Syal.g_00370, Syal.g_00020
OG0000037	Pram.g_00093	Syal.g_00601, Syal.g_00824
OG0000038	Pram.g_01884	Syal.g_01071, Syal.g_01073
OG0000039	Pram.g_00777	Syal.g_01097
OG0000040	Pram.g_01599	Syal.g_01187
OG0000041	Pram.g_01680	Syal.g_00649
OG0000042	Pram.g_01841	Syal.g_01705, Syal.g_01508
OG0000043	Pram.g_01161	Syal.g_01110, Syal.g_02547, Syal.g_02183
OG0000044	Pram.g_01620	Syal.g_01853, Syal.g_01847
OG0000046	Pram.g_00316	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Pram.g_00359	Syal.g_01568
OG0000048	Pram.g_00259	Syal.g_01250
OG0000052	Pram.g_00040	Syal.g_01338
OG0000053	Pram.g_01357, Pram.g_01580	Syal.g_00406
OG0000054	Pram.g_00544	Syal.g_02739, Syal.g_02098
OG0000056	Pram.g_00602	Syal.g_02054
OG0000057	Pram.g_00792	Syal.g_01812
OG0000059	Pram.g_01719	Syal.g_00225
OG0000061	Pram.g_01140	Syal.g_01653
OG0000062	Pram.g_01293	Syal.g_00567
OG0000063	Pram.g_01258	Syal.g_00136
OG0000064	Pram.g_00052	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681
OG0000065	Pram.g_00091	Syal.g_00820, Syal.g_02528
OG0000066	Pram.g_01558	Syal.g_02828
OG0000067	Pram.g_00809	Syal.g_02414
OG0000068	Pram.g_01468	Syal.g_02888
OG0000070	Pram.g_00385	Syal.g_00509
OG0000071	Pram.g_01230	Syal.g_02099, Syal.g_01601
OG0000072	Pram.g_00156	Syal.g_00914
OG0000073	Pram.g_00437	Syal.g_02920
OG0000075	Pram.g_01807	Syal.g_01350
OG0000076	Pram.g_01833	Syal.g_01459
OG0000077	Pram.g_00063	Syal.g_00763, Syal.g_00506
OG0000078	Pram.g_00227	Syal.g_00680
OG0000079	Pram.g_00240	Syal.g_01213
OG0000080	Pram.g_01408	Syal.g_01394
OG0000081	Pram.g_00469	Syal.g_02555
OG0000082	Pram.g_01559	Syal.g_02769
OG0000084	Pram.g_01384	Syal.g_01896, Syal.g_00023
OG0000085	Pram.g_01265	Syal.g_00575
OG0000086	Pram.g_00072	Syal.g_00784
OG0000087	Pram.g_00125	Syal.g_00871
OG0000088	Pram.g_00151	Syal.g_00908
OG0000089	Pram.g_00352	Syal.g_00555
OG0000090	Pram.g_00471	Syal.g_02838
OG0000091	Pram.g_01068	Syal.g_02628
OG0000093	Pram.g_01038	Syal.g_02233
OG0000094	Pram.g_00987	Syal.g_01907
OG0000095	Pram.g_00888	Syal.g_01823
OG0000097	Pram.g_01093	Syal.g_01735, Syal.g_01553
OG0000098	Pram.g_01478	Syal.g_02196
OG0000099	Pram.g_01445	Syal.g_01323
OG0000100	Pram.g_01298	Syal.g_02448
OG0000101	Pram.g_01770	Syal.g_00275
OG0000102	Pram.g_01838	Syal.g_01488
OG0000103	Pram.g_01925	Syal.g_00077, Syal.g_01897
OG0000104	Pram.g_01934	Syal.g_00092
OG0000105	Pram.g_00262	Syal.g_01255
OG0000106	Pram.g_00677	Syal.g_02577
OG0000107	Pram.g_01696	Syal.g_00194
OG0000108	Pram.g_00416	Syal.g_02897
OG0000109	Pram.g_00430	Syal.g_02913
OG0000110	Pram.g_00513	Syal.g_02782
OG0000111	Pram.g_00793	Syal.g_01813
OG0000112	Pram.g_00935	Syal.g_02000
OG0000113	Pram.g_00832	Syal.g_02443
OG0000114	Pram.g_00734	Syal.g_02286
OG0000115	Pram.g_01201	Syal.g_00404
OG0000116	Pram.g_01151	Syal.g_01630
OG0000117	Pram.g_01112	Syal.g_01704
OG0000118	Pram.g_01242	Syal.g_01583
OG0000119	Pram.g_01283	Syal.g_02056
OG0000120	Pram.g_01446	Syal.g_01324
OG0000121	Pram.g_01376	Syal.g_00374
OG0000122	Pram.g_01204, Pram.g_01334	Syal.g_02602
OG0000123	Pram.g_01777	Syal.g_00283
OG0000124	Pram.g_01850	Syal.g_01519
OG0000125	Pram.g_01886	Syal.g_01075
OG0000126	Pram.g_01933	Syal.g_00090
OG0000127	Pram.g_00611	Syal.g_00720
OG0000128	Pram.g_01949	Syal.g_00109
OG0000129	Pram.g_00029	Syal.g_01062
OG0000130	Pram.g_00054	Syal.g_00751
OG0000131	Pram.g_00130	Syal.g_00886
OG0000132	Pram.g_00149	Syal.g_00906
OG0000133	Pram.g_00310	Syal.g_01995
OG0000134	Pram.g_00354	Syal.g_00552
OG0000135	Pram.g_01589	Syal.g_01119
OG0000136	Pram.g_00376	Syal.g_00520
OG0000137	Pram.g_00411	Syal.g_00463
OG0000138	Pram.g_00431	Syal.g_02914
OG0000139	Pram.g_00475	Syal.g_02832
OG0000140	Pram.g_00476	Syal.g_02830
OG0000141	Pram.g_00545	Syal.g_02738
OG0000142	Pram.g_01075	Syal.g_02636
OG0000143	Pram.g_01072	Syal.g_02632
OG0000144	Pram.g_01058	Syal.g_02515
OG0000145	Pram.g_01534	Syal.g_02921
OG0000146	Pram.g_00934	Syal.g_02001
OG0000147	Pram.g_00933	Syal.g_02002
OG0000148	Pram.g_00826	Syal.g_02437
OG0000149	Pram.g_00858	Syal.g_02475
