Orthogroup	Pram	Syai
OG0000001	Pram.g_01954, Pram.g_01953	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Syai.g_01728
OG0000004	Pram.g_00789	Syai.g_01994
OG0000004	Pram.g_00219	Syai.g_01062, Syai.g_00530
OG0000005	Pram.g_01295	Syai.g_02356
OG0000006	Pram.g_00229	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Pram.g_00433	Syai.g_00657
OG0000007	Pram.g_01632	Syai.g_02378
OG0000008	Pram.g_01263	Syai.g_01956
OG0000008	Pram.g_01262	Syai.g_01955
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syai.g_01626
OG0000010	Pram.g_00704, Pram.g_01000	Syai.g_00864
OG0000011	Pram.g_01579	Syai.g_01952
OG0000012	Pram.g_00561	Syai.g_01068
OG0000013	Pram.g_00315	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Pram.g_00295	Syai.g_00220
OG0000015	Pram.g_00696, Pram.g_01545	Syai.g_01246, Syai.g_01245
OG0000016	Pram.g_01193	Syai.g_01785, Syai.g_01632
OG0000017	Pram.g_00535	Syai.g_00801
OG0000017	Pram.g_00542	Syai.g_00808
OG0000018	Pram.g_01162	Syai.g_00915
OG0000019	Pram.g_00237, Pram.g_01164	Syai.g_00304
OG0000020	Pram.g_01275, Pram.g_01595, Pram.g_01516	Syai.g_00476
OG0000021	Pram.g_01274, Pram.g_00794	Syai.g_00556
OG0000023	Pram.g_00689	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Pram.g_01004, Pram.g_00765	Syai.g_01951
OG0000025	Pram.g_00844	Syai.g_02044
OG0000026	Pram.g_00018	Syai.g_00038
OG0000028	Pram.g_00363, Pram.g_00308	Syai.g_00205
OG0000029	Pram.g_01529, Pram.g_01723	Syai.g_01035, Syai.g_01584
OG0000030	Pram.g_01844	Syai.g_00096, Syai.g_00095
OG0000031	Pram.g_01413	Syai.g_00197
OG0000032	Pram.g_01339	Syai.g_00895
OG0000034	Pram.g_01240	Syai.g_02192, Syai.g_02604
OG0000035	Pram.g_01381, Pram.g_01378	Syai.g_00955
OG0000037	Pram.g_00093	Syai.g_02544, Syai.g_02815
OG0000038	Pram.g_01884	Syai.g_02780
OG0000039	Pram.g_00777	Syai.g_02034
OG0000041	Pram.g_01680	Syai.g_02265, Syai.g_02016
OG0000042	Pram.g_01841	Syai.g_00099
OG0000043	Pram.g_01161	Syai.g_01599
OG0000044	Pram.g_01620	Syai.g_00833
OG0000046	Pram.g_00316	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Pram.g_00359	Syai.g_00462
OG0000048	Pram.g_00259	Syai.g_00272
