Orthogroup	Pram	Prbj
OG0000000	Pram.g_01561	Prbj.g_00166, Prbj.g_00165
OG0000000	Pram.g_01511	Prbj.g_00164
OG0000001	Pram.g_01954, Pram.g_01953	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Pram.g_00873, Pram.g_00879	Prbj.g_02517
OG0000002	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Prbj.g_00030
OG0000004	Pram.g_00789	Prbj.g_00754
OG0000004	Pram.g_00219	Prbj.g_01777
OG0000005	Pram.g_01295	Prbj.g_00883
OG0000006	Pram.g_00229	Prbj.g_02699
OG0000007	Pram.g_00433	Prbj.g_01610
OG0000007	Pram.g_01632	Prbj.g_00857
OG0000008	Pram.g_01263	Prbj.g_00929
OG0000008	Pram.g_01262	Prbj.g_00928
OG0000010	Pram.g_00704, Pram.g_01000	Prbj.g_00129
OG0000012	Pram.g_00561	Prbj.g_02552
OG0000013	Pram.g_00315	Prbj.g_00359
OG0000014	Pram.g_00295	Prbj.g_01442
OG0000015	Pram.g_00696, Pram.g_01545	Prbj.g_02502
OG0000017	Pram.g_00535	Prbj.g_01769
OG0000017	Pram.g_00542	Prbj.g_01761
OG0000018	Pram.g_01162	Prbj.g_00641
OG0000019	Pram.g_00237, Pram.g_01164	Prbj.g_00025, Prbj.g_01349
OG0000020	Pram.g_01516	Prbj.g_00214, Prbj.g_02701
OG0000021	Pram.g_01274	Prbj.g_01121
OG0000021	Pram.g_00794	Prbj.g_01774
OG0000022	Pram.g_01287	Prbj.g_01572
OG0000023	Pram.g_00689	Prbj.g_02392
OG0000024	Pram.g_01004, Pram.g_00765	Prbj.g_00773
OG0000025	Pram.g_00844	Prbj.g_02475
OG0000026	Pram.g_00018	Prbj.g_01204
OG0000028	Pram.g_00308	Prbj.g_01457
OG0000029	Pram.g_01529	Prbj.g_00378
OG0000030	Pram.g_01844	Prbj.g_01288, Prbj.g_01287
OG0000031	Pram.g_01413	Prbj.g_01522, Prbj.g_01527
OG0000032	Pram.g_01339	Prbj.g_00659
OG0000033	Pram.g_00154	Prbj.g_00518
OG0000034	Pram.g_01240	Prbj.g_01740
OG0000035	Pram.g_01381, Pram.g_01378	Prbj.g_01056
OG0000037	Pram.g_00093	Prbj.g_00624
OG0000038	Pram.g_01884	Prbj.g_01959, Prbj.g_01961
