HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N51.HOG0000000	OG0000001	n46																																											Syac.g_02154			Syaf.g_01640		Syah.g_00726	Syai.g_01716				Syam.g_00946							
N51.HOG0000001	OG0000001	n73																																									Syaa.g_02435																			
N51.HOG0000002	OG0000001	n78																																									Syaa.g_02438, Syaa.g_02437, Syaa.g_02436					Syaf.g_00846		Syah.g_01516	Syai.g_01197, Syai.g_02594				Syam.g_02177							
N51.HOG0000003	OG0000001	n112																																									Syaa.g_02439								Syai.g_00891				Syam.g_02178							
N51.HOG0000004	OG0000001	n114																																											Syac.g_00341, Syac.g_00340			Syaf.g_00845		Syah.g_00040, Syah.g_00041	Syai.g_02595											
N51.HOG0000005	OG0000001	n141																																									Syaa.g_02329		Syac.g_02169			Syaf.g_01634		Syah.g_00710	Syai.g_01729				Syam.g_00929							
N51.HOG0000006	OG0000002	n1																																											Syac.g_01084					Syah.g_01829	Syai.g_01728				Syam.g_00931							
N51.HOG0000007	OG0000004	n1																																									Syaa.g_00892		Syac.g_00898			Syaf.g_01455		Syah.g_02017	Syai.g_01994				Syam.g_00787							
N51.HOG0000008	OG0000004	n88																																									Syaa.g_01667		Syac.g_00948			Syaf.g_02351		Syah.g_01967	Syai.g_01062				Syam.g_01499							
N51.HOG0000009	OG0000004	n108																																									Syaa.g_02116		Syac.g_01975			Syaf.g_02794		Syah.g_00901	Syai.g_00530				Syam.g_00501							
N51.HOG0000010	OG0000005	n1																																									Syaa.g_00534		Syac.g_00527			Syaf.g_01017		Syah.g_02403	Syai.g_02393				Syam.g_02004							
N51.HOG0000011	OG0000005	n46																																									Syaa.g_00573		Syac.g_00569			Syaf.g_01057		Syah.g_02363	Syai.g_02356				Syam.g_01970							
N51.HOG0000012	OG0000005	n83																																									Syaa.g_01449		Syac.g_01087			Syaf.g_01352, Syaf.g_01732		Syah.g_01827	Syai.g_02068, Syai.g_01611				Syam.g_00715, Syam.g_01029							
N51.HOG0000013	OG0000006	n25																																									Syaa.g_01611		Syac.g_01002			Syaf.g_02288		Syah.g_01912	Syai.g_01126				Syam.g_01446							
N51.HOG0000014	OG0000006	n48																																									Syaa.g_01043, Syaa.g_02353, Syaa.g_02099		Syac.g_01958, Syac.g_01961, Syac.g_02194			Syaf.g_00179, Syaf.g_02778		Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syai.g_00317, Syai.g_00547				Syam.g_00286, Syam.g_00518							
N51.HOG0000015	OG0000007	n1																																									Syaa.g_02032		Syac.g_01885			Syaf.g_02702		Syah.g_01016	Syai.g_00657				Syam.g_00602							
N51.HOG0000016	OG0000007	n56																																									Syaa.g_00551		Syac.g_00544			Syaf.g_01033		Syah.g_02384	Syai.g_02378				Syam.g_01990							
N51.HOG0000017	OG0000008	n2																																									Syaa.g_00918		Syac.g_00921			Syaf.g_01479		Syah.g_01994	Syai.g_01956				Syam.g_00810							
N51.HOG0000018	OG0000008	n46																																									Syaa.g_00919		Syac.g_00922			Syaf.g_01480		Syah.g_01993	Syai.g_01955				Syam.g_00811							
N51.HOG0000019	OG0000009	n54																																																	Syai.g_01626											
N51.HOG0000020	OG0000009	n76																																											Syac.g_01004					Syah.g_01910												
N51.HOG0000021	OG0000009	n78																																									Syaa.g_02378		Syac.g_00398			Syaf.g_00905		Syah.g_02535	Syai.g_02541				Syam.g_02119							
N51.HOG0000022	OG0000010	n23																																									Syaa.g_01843		Syac.g_01701			Syaf.g_02499		Syah.g_01220	Syai.g_00864				Syam.g_01669							
N51.HOG0000023	OG0000011	n1																																														Syaf.g_01532			Syai.g_01894, Syai.g_00582											
N51.HOG0000024	OG0000011	n86																																									Syaa.g_00921		Syac.g_00924			Syaf.g_01483		Syah.g_01991	Syai.g_01952				Syam.g_00814							
N51.HOG0000025	OG0000012	n20																																									Syaa.g_01660		Syac.g_00955					Syah.g_01960	Syai.g_01068				Syam.g_01492							
N51.HOG0000026	OG0000012	n52																																											Syac.g_00758			Syaf.g_01353, Syaf.g_01833, Syaf.g_01462		Syah.g_02169	Syai.g_01987				Syam.g_00794							
N51.HOG0000027	OG0000012	n66																																									Syaa.g_02304																			
N51.HOG0000028	OG0000012	n69																																														Syaf.g_01693			Syai.g_01529, Syai.g_01650				Syam.g_00994							
N51.HOG0000029	OG0000012	n72																																											Syac.g_01577					Syah.g_01340												
N51.HOG0000030	OG0000013	n39																																									Syaa.g_02212		Syac.g_02056			Syaf.g_00056		Syah.g_00822	Syai.g_00442				Syam.g_00409							
N51.HOG0000031	OG0000013	n52																																									Syaa.g_02204		Syac.g_02046			Syaf.g_00044		Syah.g_00831	Syai.g_00450				Syam.g_00421							
N51.HOG0000032	OG0000013	n62																																									Syaa.g_02217		Syac.g_02062			Syaf.g_00061		Syah.g_00817	Syai.g_00436				Syam.g_00404							
N51.HOG0000033	OG0000014	n2																																									Syaa.g_00222		Syac.g_00253			Syaf.g_00280		Syah.g_00127	Syai.g_00220				Syam.g_00191							
N51.HOG0000034	OG0000014	n60																																											Syac.g_00100																	
N51.HOG0000035	OG0000014	n66																																																Syah.g_00223												
N51.HOG0000036	OG0000014	n73																																									Syaa.g_00481							Syah.g_00323												
N51.HOG0000037	OG0000015	n43																																									Syaa.g_02739																			
N51.HOG0000038	OG0000015	n68																																									Syaa.g_01079					Syaf.g_02120		Syah.g_01511	Syai.g_01246				Syam.g_01218							
N51.HOG0000039	OG0000015	n76																																									Syaa.g_01989		Syac.g_01408			Syaf.g_02121		Syah.g_01510	Syai.g_01245				Syam.g_01362							
N51.HOG0000040	OG0000016	n2																																									Syaa.g_00014		Syac.g_00014			Syaf.g_00484		Syah.g_00359	Syai.g_00014				Syam.g_00014							
N51.HOG0000041	OG0000016	n52																																									Syaa.g_00981		Syac.g_01505			Syaf.g_01576		Syah.g_01402	Syai.g_01785				Syam.g_00876							
N51.HOG0000042	OG0000016	n76																																									Syaa.g_01481		Syac.g_01053			Syaf.g_01713		Syah.g_01859	Syai.g_01632				Syam.g_01011							
N51.HOG0000043	OG0000017	n5																																									Syaa.g_01890		Syac.g_01749			Syaf.g_02561		Syah.g_01152	Syai.g_00801				Syam.g_01715							
N51.HOG0000044	OG0000017	n21																																									Syaa.g_01883		Syac.g_01742			Syaf.g_02554		Syah.g_01159	Syai.g_00808				Syam.g_01708							
N51.HOG0000045	OG0000018	n29																																									Syaa.g_01801		Syac.g_01660			Syaf.g_02451		Syah.g_01264	Syai.g_00915				Syam.g_01640							
N51.HOG0000046	OG0000019	n53																																									Syaa.g_00307		Syac.g_02207			Syaf.g_00193		Syah.g_00669	Syai.g_00304				Syam.g_00274							
N51.HOG0000047	OG0000020	n2																																														Syaf.g_02187			Syai.g_00476											
N51.HOG0000048	OG0000021	n4																																														Syaf.g_01726														
N51.HOG0000049	OG0000021	n11																																									Syaa.g_02627					Syaf.g_02773			Syai.g_00556				Syam.g_00523							
N51.HOG0000050	OG0000022	n1																																									Syaa.g_01571		Syac.g_01031			Syaf.g_02256		Syah.g_01881	Syai.g_01159				Syam.g_01418							
N51.HOG0000051	OG0000023	n42																																									Syaa.g_01529																			
N51.HOG0000052	OG0000023	n45																																									Syaa.g_01216		Syac.g_00760			Syaf.g_01765, Syaf.g_01987, Syaf.g_01731		Syah.g_01330, Syah.g_02167	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022				Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075							
N51.HOG0000053	OG0000023	n64																																														Syaf.g_01995		Syah.g_00930	Syai.g_02318				Syam.g_01943							
N51.HOG0000054	OG0000024	n61																																									Syaa.g_00922		Syac.g_00925			Syaf.g_01484		Syah.g_01990	Syai.g_01951				Syam.g_00815							
N51.HOG0000055	OG0000025	n0																																									Syaa.g_00839		Syac.g_00847			Syaf.g_01385		Syah.g_02082	Syai.g_02044				Syam.g_00740							
N51.HOG0000056	OG0000026	n0																																									Syaa.g_00038		Syac.g_00034			Syaf.g_00461		Syah.g_00340	Syai.g_00038				Syam.g_00035							
N51.HOG0000057	OG0000027	n10																																									Syaa.g_01605					Syaf.g_02284			Syai.g_01128				Syam.g_01442							
N51.HOG0000058	OG0000027	n16																																									Syaa.g_00854		Syac.g_01095			Syaf.g_01688		Syah.g_01541	Syai.g_01654				Syam.g_00989							
N51.HOG0000059	OG0000027	n29																																											Syac.g_01009																	
N51.HOG0000060	OG0000028	n1																																									Syaa.g_00205		Syac.g_00237			Syaf.g_00297		Syah.g_00141	Syai.g_00205				Syam.g_00176							
N51.HOG0000061	OG0000029	n1																																									Syaa.g_01578		Syac.g_01942			Syaf.g_01761		Syah.g_01292	Syai.g_01035, Syai.g_01584				Syam.g_01390, Syam.g_01055							
N51.HOG0000062	OG0000030	n29																																									Syaa.g_00099		Syac.g_00143			Syaf.g_00406		Syah.g_00264	Syai.g_00096				Syam.g_00104							
N51.HOG0000063	OG0000030	n51																																									Syaa.g_00098		Syac.g_00142			Syaf.g_00407		Syah.g_00265	Syai.g_00095				Syam.g_00103							
N51.HOG0000064	OG0000031	n5																																									Syaa.g_00200		Syac.g_00232			Syaf.g_00314		Syah.g_00146	Syai.g_00197				Syam.g_00171							
N51.HOG0000065	OG0000031	n49																																																					Syam.g_00086							
N51.HOG0000066	OG0000031	n51																																									Syaa.g_00480							Syah.g_00322												
N51.HOG0000067	OG0000032	n1																																									Syaa.g_01818		Syac.g_01677			Syaf.g_02471		Syah.g_01246	Syai.g_00895				Syam.g_01660							
N51.HOG0000068	OG0000032	n41																																																					Syam.g_00079							
N51.HOG0000069	OG0000033	n0																																									Syaa.g_02478		Syac.g_00304			Syaf.g_00807		Syah.g_00078	Syai.g_02634				Syam.g_02217							
N51.HOG0000070	OG0000034	n0																																									Syaa.g_00722, Syaa.g_02444		Syac.g_00334, Syac.g_00715			Syaf.g_01241, Syaf.g_00837		Syah.g_00048, Syah.g_02213	Syai.g_02192, Syai.g_02604				Syam.g_02185, Syam.g_01843, Syam.g_02187							
N51.HOG0000071	OG0000035	n0																																									Syaa.g_01773		Syac.g_01630			Syaf.g_02412		Syah.g_01293	Syai.g_00955				Syam.g_01612							
N51.HOG0000072	OG0000036	n5																																																Syah.g_00962												
N51.HOG0000073	OG0000036	n14																																											Syac.g_01722, Syac.g_01536					Syah.g_00949	Syai.g_01848											
N51.HOG0000074	OG0000036	n30																																														Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828														
