HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N19.HOG0000000	OG0000000	n35						Praf.g_00815		Prah.g_01346																												Prbj.g_00166	Prbk.g_00167	Prbl.g_00118																						
N19.HOG0000001	OG0000000	n36						Praf.g_00814		Prah.g_01347																												Prbj.g_00165	Prbk.g_00166	Prbl.g_00117																						
N19.HOG0000002	OG0000000	n97						Praf.g_00813		Prah.g_01348																												Prbj.g_00164	Prbk.g_00165	Prbl.g_00116																						
N19.HOG0000003	OG0000000	n179						Praf.g_01039, Praf.g_01042		Prah.g_01154, Prah.g_01152																																																				
N19.HOG0000004	OG0000001	n55						Praf.g_01895		Prah.g_00324																												Prbj.g_00672	Prbk.g_01196	Prbl.g_00725																						
N19.HOG0000005	OG0000001	n60						Praf.g_00818																														Prbj.g_00169	Prbk.g_00170	Prbl.g_00121																						
N19.HOG0000006	OG0000001	n62						Praf.g_01896																																Prbl.g_02599																						
N19.HOG0000007	OG0000001	n67						Praf.g_01031		Prah.g_01159																																																				
N19.HOG0000008	OG0000001	n97						Praf.g_02422		Prah.g_02270																												Prbj.g_01549, Prbj.g_02662	Prbk.g_00561, Prbk.g_02701	Prbl.g_00808, Prbl.g_02598																						
N19.HOG0000009	OG0000001	n140						Praf.g_01293		Prah.g_00896																												Prbj.g_02690	Prbk.g_00630	Prbl.g_02578																						
N19.HOG0000010	OG0000002	n8						Praf.g_01631		Prah.g_00562																												Prbj.g_02517	Prbk.g_02574	Prbl.g_01582																						
N19.HOG0000011	OG0000002	n43						Praf.g_00948		Prah.g_01226																												Prbj.g_00030	Prbk.g_01649	Prbl.g_01092																						
N19.HOG0000012	OG0000003	n1								Prah.g_02448																																																				
N19.HOG0000013	OG0000003	n20						Praf.g_02463																																																						
N19.HOG0000014	OG0000003	n22						Praf.g_01102																																																						
N19.HOG0000015	OG0000003	n28						Praf.g_02727																														Prbj.g_02017	Prbk.g_02222	Prbl.g_02177																						
N19.HOG0000016	OG0000003	n41						Praf.g_02523																																																						
N19.HOG0000017	OG0000003	n53						Praf.g_02530, Praf.g_01260, Praf.g_02464, Praf.g_01101		Prah.g_00270, Prah.g_01119, Prah.g_02431, Prah.g_01063, Prah.g_00269																																																				
N19.HOG0000018	OG0000003	n62								Prah.g_00926, Prah.g_00927																																																				
N19.HOG0000019	OG0000003	n67						Praf.g_01162																														Prbj.g_00170	Prbk.g_01375	Prbl.g_01929																						
N19.HOG0000020	OG0000003	n69						Praf.g_00199		Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169																												Prbj.g_01574	Prbk.g_00214	Prbl.g_01308																						
N19.HOG0000021	OG0000003	n78						Praf.g_00383, Praf.g_01762, Praf.g_02595		Prah.g_00935, Prah.g_02436, Prah.g_00271																																																				
N19.HOG0000022	OG0000003	n87						Praf.g_01088, Praf.g_01104		Prah.g_00930, Prah.g_02446																												Prbj.g_02693, Prbj.g_02694	Prbk.g_02704, Prbk.g_02705	Prbl.g_02640, Prbl.g_02639																						
N19.HOG0000023	OG0000003	n94						Praf.g_01995		Prah.g_00226																												Prbj.g_00096, Prbj.g_02605, Prbj.g_00226	Prbk.g_00332, Prbk.g_01523, Prbk.g_00695	Prbl.g_00656, Prbl.g_00202, Prbl.g_00139																						
N19.HOG0000024	OG0000003	n101																																				Prbj.g_00059	Prbk.g_01676	Prbl.g_01063																						
