HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N38.HOG0000000	OG0000000	n1	Praa.g_01300				Prae.g_01310														Pras.g_00184		Prau.g_01352			Prax.g_01917						Prbd.g_01833					Prbi.g_01373																									
N38.HOG0000001	OG0000000	n69																			Pras.g_00136		Prau.g_01300																																							
N38.HOG0000002	OG0000000	n74	Praa.g_01235																		Pras.g_00493		Prau.g_01665									Prbd.g_01914																														
N38.HOG0000003	OG0000000	n99	Praa.g_01598				Prae.g_01580														Pras.g_00470		Prau.g_01648			Prax.g_01608						Prbd.g_01568					Prbi.g_01709																									
N38.HOG0000004	OG0000000	n125	Praa.g_01244																							Prax.g_00496																																				
N38.HOG0000005	OG0000000	n173																														Prbd.g_01569																														
N38.HOG0000006	OG0000000	n176					Prae.g_01222, Prae.g_01579														Pras.g_00117, Pras.g_00469		Prau.g_01266, Prau.g_01647			Prax.g_00259, Prax.g_01609						Prbd.g_00528					Prbi.g_01268, Prbi.g_01708																									
N38.HOG0000007	OG0000000	n179	Praa.g_01297				Prae.g_01300																			Prax.g_01920						Prbd.g_01836					Prbi.g_01370																									
N38.HOG0000008	OG0000000	n204	Praa.g_01298				Prae.g_01308														Pras.g_00182		Prau.g_01350			Prax.g_01919						Prbd.g_01835					Prbi.g_01371																									
N38.HOG0000009	OG0000000	n218	Praa.g_01599				Prae.g_01581														Pras.g_00471		Prau.g_01650			Prax.g_01606						Prbd.g_01567					Prbi.g_01710																									
N38.HOG0000010	OG0000001	n2																																			Prbi.g_01542, Prbi.g_01763																									
N38.HOG0000011	OG0000001	n11	Praa.g_01351				Prae.g_01353														Pras.g_00235		Prau.g_01394			Prax.g_01878						Prbd.g_01779					Prbi.g_01424																									
N38.HOG0000012	OG0000001	n194					Prae.g_01236																			Prax.g_00522																																				
N38.HOG0000013	OG0000001	n201					Prae.g_01223, Prae.g_01224																																																							
N38.HOG0000014	OG0000001	n214	Praa.g_01220, Praa.g_01222																		Pras.g_00118, Pras.g_00120		Prau.g_01267, Prau.g_01269									Prbd.g_01930																														
N38.HOG0000015	OG0000001	n222																																			Prbi.g_01270																									
N38.HOG0000016	OG0000001	n223																			Pras.g_00541																																									
N38.HOG0000017	OG0000002	n8	Praa.g_01359				Prae.g_01361														Pras.g_00243		Prau.g_01402			Prax.g_01870						Prbd.g_01771					Prbi.g_01432																									
N38.HOG0000018	OG0000002	n42	Praa.g_00678				Prae.g_00652														Pras.g_01554		Prau.g_00718			Prax.g_00964						Prbd.g_00566					Prbi.g_00681																									
N38.HOG0000019	OG0000004	n1	Praa.g_00695				Prae.g_00669														Pras.g_01571		Prau.g_00735			Prax.g_00947						Prbd.g_00549					Prbi.g_00698																									
N38.HOG0000020	OG0000004	n53	Praa.g_00232				Prae.g_00235														Pras.g_01084		Prau.g_00233			Prax.g_00986						Prbd.g_01007					Prbi.g_00256																									
N38.HOG0000021	OG0000005	n1	Praa.g_01648				Prae.g_01636														Pras.g_00563		Prau.g_01745			Prax.g_01546						Prbd.g_01512					Prbi.g_01800																									
N38.HOG0000022	OG0000005	n41	Praa.g_01553				Prae.g_01535														Pras.g_00429		Prau.g_01607			Prax.g_01652						Prbd.g_01612					Prbi.g_01666																									
N38.HOG0000023	OG0000006	n0	Praa.g_00241, Praa.g_01245				Prae.g_00244														Pras.g_00148, Pras.g_01093		Prau.g_01316			Prax.g_01972						Prbd.g_00998					Prbi.g_00265																									
N38.HOG0000024	OG0000007	n1	Praa.g_00497				Prae.g_00471														Pras.g_01375		Prau.g_00538			Prax.g_00704						Prbd.g_00745					Prbi.g_00500																									
N38.HOG0000025	OG0000007	n56	Praa.g_01635				Prae.g_01623														Pras.g_00550		Prau.g_01732			Prax.g_01559						Prbd.g_01525					Prbi.g_01787																									
N38.HOG0000026	OG0000008	n2	Praa.g_01241																				Prau.g_00781														Prbi.g_01764																									
N38.HOG0000027	OG0000008	n46																																			Prbi.g_01540, Prbi.g_01765, Prbi.g_01539																									
N38.HOG0000028	OG0000008	n86	Praa.g_00672				Prae.g_00646														Pras.g_01548		Prau.g_00712			Prax.g_00970						Prbd.g_00572					Prbi.g_00675																									
N38.HOG0000029	OG0000009	n7	Praa.g_01264				Prae.g_01270														Pras.g_00157		Prau.g_01324			Prax.g_01950						Prbd.g_01887					Prbi.g_01338																									
N38.HOG0000030	OG0000009	n31	Praa.g_01589				Prae.g_01572														Pras.g_00463		Prau.g_01641			Prax.g_01617						Prbd.g_01576					Prbi.g_01701																									
N38.HOG0000031	OG0000009	n56	Praa.g_00105																		Pras.g_00956		Prau.g_00106									Prbd.g_01139					Prbi.g_00112																									
N38.HOG0000032	OG0000010	n1	Praa.g_00474				Prae.g_00448														Pras.g_01352		Prau.g_00515			Prax.g_00728						Prbd.g_00768					Prbi.g_00477																									
