HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N28.HOG0000000	OG0000000	n1																																										Syab.g_01226										Syal.g_01111, Syal.g_01832								
N28.HOG0000001	OG0000001	n46																																											Syac.g_02154	Syad.g_00628	Syae.g_02061	Syaf.g_01640		Syah.g_00726	Syai.g_01716	Syaj.g_02674			Syam.g_00946							
N28.HOG0000002	OG0000001	n64																																										Syab.g_01549					Syag.g_00575					Syal.g_02193								
N28.HOG0000003	OG0000001	n73																																									Syaa.g_02435			Syad.g_02863, Syad.g_02862						Syaj.g_01948, Syaj.g_01947							Syaq.g_01436			
N28.HOG0000004	OG0000001	n78																																									Syaa.g_02438, Syaa.g_02437, Syaa.g_02436			Syad.g_02864	Syae.g_01416	Syaf.g_00846	Syag.g_01942	Syah.g_01516	Syai.g_01197, Syai.g_02594	Syaj.g_01949, Syaj.g_01952		Syal.g_02215	Syam.g_02177				Syaq.g_00118, Syaq.g_01435, Syaq.g_00115			
N28.HOG0000005	OG0000001	n97																																									Syaa.g_02439	Syab.g_02553, Syab.g_02555	Syac.g_00341, Syac.g_00340	Syad.g_02865	Syae.g_01417	Syaf.g_00845	Syag.g_01943	Syah.g_00040, Syah.g_00041	Syai.g_00891, Syai.g_02595	Syaj.g_01950	Syak.g_02138	Syal.g_00874, Syal.g_01184	Syam.g_02178				Syaq.g_01434			
N28.HOG0000006	OG0000001	n141																																									Syaa.g_02329	Syab.g_01509, Syab.g_01510	Syac.g_02169	Syad.g_01238, Syad.g_00611	Syae.g_02055	Syaf.g_01634	Syag.g_00520	Syah.g_00710	Syai.g_01729	Syaj.g_02660	Syak.g_00275, Syak.g_00579		Syam.g_00929				Syaq.g_02178, Syaq.g_02413			
N28.HOG0000007	OG0000001	n159																																										Syab.g_00673																		
N28.HOG0000008	OG0000002	n1																																										Syab.g_02285	Syac.g_01084	Syad.g_00619				Syah.g_01829	Syai.g_01728	Syaj.g_02667			Syam.g_00931							
N28.HOG0000009	OG0000003	n3																																																									Syaq.g_01566			
N28.HOG0000010	OG0000003	n7																																																									Syaq.g_00887			
N28.HOG0000011	OG0000003	n8																																															Syag.g_01246, Syag.g_01565, Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561					Syal.g_00009								
N28.HOG0000012	OG0000003	n20																																															Syag.g_01569					Syal.g_01214								
N28.HOG0000013	OG0000003	n22																																															Syag.g_01572													
N28.HOG0000014	OG0000003	n24																																															Syag.g_00066, Syag.g_01564, Syag.g_00932													
N28.HOG0000015	OG0000003	n28																																												Syad.g_01931, Syad.g_01926, Syad.g_02599																
N28.HOG0000016	OG0000003	n34																																												Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996																
N28.HOG0000017	OG0000003	n41																																															Syag.g_00691					Syal.g_02153								
N28.HOG0000018	OG0000003	n47																																															Syag.g_01261, Syag.g_00931, Syag.g_01260													
N28.HOG0000019	OG0000003	n114																																										Syab.g_01580		Syad.g_01327, Syad.g_01331			Syag.g_02658													
N28.HOG0000020	OG0000004	n1																																									Syaa.g_00892	Syab.g_00549, Syab.g_01193	Syac.g_00898	Syad.g_01304	Syae.g_00779	Syaf.g_01455	Syag.g_00988	Syah.g_02017	Syai.g_01994	Syaj.g_00441	Syak.g_01219, Syak.g_00720	Syal.g_01809	Syam.g_00787				Syaq.g_02603			
N28.HOG0000021	OG0000004	n88																																									Syaa.g_01667	Syab.g_01911	Syac.g_00948	Syad.g_02184	Syae.g_00042	Syaf.g_02351	Syag.g_00370	Syah.g_01967	Syai.g_01062	Syaj.g_01314	Syak.g_00003	Syal.g_02718	Syam.g_01499				Syaq.g_02042			
N28.HOG0000022	OG0000004	n108																																									Syaa.g_02116	Syab.g_02377	Syac.g_01975	Syad.g_00810	Syae.g_02231	Syaf.g_02794	Syag.g_01790	Syah.g_00901	Syai.g_00530	Syaj.g_02853	Syak.g_02297	Syal.g_00691	Syam.g_00501				Syaq.g_01567			
N28.HOG0000023	OG0000005	n1																																									Syaa.g_00534	Syab.g_02289	Syac.g_00527	Syad.g_02639	Syae.g_01179	Syaf.g_01017	Syag.g_01708	Syah.g_02403	Syai.g_02393	Syaj.g_01736	Syak.g_02401	Syal.g_00606	Syam.g_02004				Syaq.g_01658			
N28.HOG0000024	OG0000005	n44																																												Syad.g_01265						Syaj.g_00404										
N28.HOG0000025	OG0000005	n46																																									Syaa.g_00573	Syab.g_02806, Syab.g_02232	Syac.g_00569	Syad.g_02596	Syae.g_01143	Syaf.g_01057	Syag.g_01667	Syah.g_02363	Syai.g_02356	Syaj.g_01698	Syak.g_00885, Syak.g_02436	Syal.g_00565	Syam.g_01970				Syaq.g_01692			
N28.HOG0000026	OG0000005	n83																																									Syaa.g_01449	Syab.g_00981	Syac.g_01087	Syad.g_02028	Syae.g_00257	Syaf.g_01352, Syaf.g_01732		Syah.g_01827	Syai.g_02068, Syai.g_01611	Syaj.g_01155		Syal.g_01664	Syam.g_00715, Syam.g_01029				Syaq.g_00236			
