HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N27.HOG0000000	OG0000001	n67																																																							Syao.g_00314			Syar.g_00069		Syat.g_02910, Syat.g_02911
N27.HOG0000001	OG0000001	n97																																																						Syan.g_02266	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615		Syar.g_00070	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syat.g_02908, Syat.g_02909
N27.HOG0000002	OG0000001	n141																																																						Syan.g_01149						Syat.g_01540
N27.HOG0000003	OG0000001	n159																																																						Syan.g_02528		Syap.g_00399		Syar.g_02229		Syat.g_00878
N27.HOG0000004	OG0000003	n3																																																						Syan.g_00157		Syap.g_00679		Syar.g_00836	Syas.g_01418	
N27.HOG0000005	OG0000003	n7																																																						Syan.g_00032						
N27.HOG0000006	OG0000003	n41																																																						Syan.g_01063, Syan.g_01258, Syan.g_02794, Syan.g_01055						
N27.HOG0000007	OG0000003	n47																																																											Syas.g_00054	
N27.HOG0000008	OG0000004	n1																																																						Syan.g_00183	Syao.g_02374			Syar.g_02051	Syas.g_00176	
N27.HOG0000009	OG0000004	n90																																																							Syao.g_01271				Syas.g_00509	
N27.HOG0000010	OG0000004	n91																																																						Syan.g_00989	Syao.g_01007				Syas.g_00174, Syas.g_00311	
N27.HOG0000011	OG0000004	n108																																																								Syap.g_01987		Syar.g_00842	Syas.g_00072	
N27.HOG0000012	OG0000005	n1																																																						Syan.g_01423	Syao.g_01680	Syap.g_01773		Syar.g_02952	Syas.g_02665	Syat.g_03065
N27.HOG0000013	OG0000005	n42																																																							Syao.g_00293				Syas.g_01048	
N27.HOG0000014	OG0000005	n46																																																						Syan.g_01378	Syao.g_01578	Syap.g_01218		Syar.g_02909	Syas.g_02704	Syat.g_03105
N27.HOG0000015	OG0000005	n83																																																						Syan.g_00449	Syao.g_01210			Syar.g_01752		Syat.g_01038
N27.HOG0000016	OG0000006	n25																																																						Syan.g_00791	Syao.g_00919	Syap.g_02770		Syar.g_02439		Syat.g_00371
N27.HOG0000017	OG0000006	n44																																																						Syan.g_00057, Syan.g_00936	Syao.g_01518				Syas.g_00942	
N27.HOG0000018	OG0000006	n48																																																						Syan.g_01505, Syan.g_02101, Syan.g_02441				Syar.g_00151, Syar.g_02056, Syar.g_03013	Syas.g_01684, Syas.g_02565	Syat.g_01439, Syat.g_01865
N27.HOG0000019	OG0000007	n1																																																						Syan.g_02743	Syao.g_00105	Syap.g_00275		Syar.g_01491	Syas.g_01232	Syat.g_03191
N27.HOG0000020	OG0000007	n56																																																						Syan.g_01400	Syao.g_01554	Syap.g_02785, Syap.g_00621		Syar.g_02929	Syas.g_02681	Syat.g_03124
N27.HOG0000021	OG0000008	n2																																																						Syan.g_00640, Syan.g_02532				Syar.g_02097	Syas.g_00886	Syat.g_02626
N27.HOG0000022	OG0000008	n46																																																						Syan.g_00641, Syan.g_02531	Syao.g_01321			Syar.g_02098	Syas.g_00887	Syat.g_02627
N27.HOG0000023	OG0000008	n86																																																										Syar.g_00419, Syar.g_02048		
N27.HOG0000024	OG0000009	n56																																																							Syao.g_02598	Syap.g_02081		Syar.g_03116	Syas.g_01450	Syat.g_01567
N27.HOG0000025	OG0000010	n23																																																						Syan.g_02847	Syao.g_02683	Syap.g_02757		Syar.g_01272	Syas.g_01334	Syat.g_01372
N27.HOG0000026	OG0000012	n75																																																						Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Syao.g_01193					
N27.HOG0000027	OG0000012	n80																																																						Syan.g_00008	Syao.g_01335				Syas.g_00111	Syat.g_03313
N27.HOG0000028	OG0000012	n84																																																						Syan.g_00942	Syao.g_01045			Syar.g_00690	Syas.g_00827	Syat.g_02642
N27.HOG0000029	OG0000012	n88																																																							Syao.g_00201			Syar.g_02860		Syat.g_02987, Syat.g_00139, Syat.g_00143
N27.HOG0000030	OG0000013	n37																																																								Syap.g_01397		Syar.g_03281		
N27.HOG0000031	OG0000013	n39																																																							Syao.g_01910					
N27.HOG0000032	OG0000013	n65																																																						Syan.g_02156, Syan.g_02159		Syap.g_00586, Syap.g_00580, Syap.g_00583			Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Syat.g_01625
N27.HOG0000033	OG0000013	n72																																																						Syan.g_00101						Syat.g_01016
N27.HOG0000034	OG0000013	n73																																																							Syao.g_01844	Syap.g_00972		Syar.g_02032, Syar.g_01103, Syar.g_01106		Syat.g_01027
N27.HOG0000035	OG0000014	n2																																																						Syan.g_01987	Syao.g_02027	Syap.g_01675		Syar.g_00825	Syas.g_01816	Syat.g_02104
N27.HOG0000036	OG0000014	n60																																																							Syao.g_01136					
N27.HOG0000037	OG0000014	n66																																																												Syat.g_03196
N27.HOG0000038	OG0000014	n73																																																								Syap.g_00813		Syar.g_02736		Syat.g_02250
N27.HOG0000039	OG0000015	n43																																																						Syan.g_01691		Syap.g_02606		Syar.g_00451	Syas.g_02007	
N27.HOG0000040	OG0000015	n57																																																						Syan.g_00248		Syap.g_00786		Syar.g_00180	Syas.g_00968	Syat.g_00775, Syat.g_01677
N27.HOG0000041	OG0000015	n63																																																							Syao.g_00302					
N27.HOG0000042	OG0000016	n2																																																						Syan.g_01766	Syao.g_01955	Syap.g_00071			Syas.g_02048	Syat.g_02329
N27.HOG0000043	OG0000016	n53																																																						Syan.g_02598					Syas.g_01086	Syat.g_00909
N27.HOG0000044	OG0000016	n72																																																						Syan.g_00440		Syap.g_00404			Syas.g_01050	Syat.g_00222, Syat.g_00832
N27.HOG0000045	OG0000017	n5																																																										Syar.g_03181		
N27.HOG0000046	OG0000017	n12																																																						Syan.g_01006	Syao.g_00997	Syap.g_00449		Syar.g_02188	Syas.g_00849	Syat.g_00015
N27.HOG0000047	OG0000017	n21																																																						Syan.g_01013	Syao.g_01064			Syar.g_02180	Syas.g_00856	
N27.HOG0000048	OG0000018	n1																																																								Syap.g_02708				
N27.HOG0000049	OG0000018	n29																																																						Syan.g_02816	Syao.g_00071	Syap.g_02010		Syar.g_01409	Syas.g_01290	Syat.g_01334
N27.HOG0000050	OG0000019	n53																																																						Syan.g_02088	Syao.g_02108	Syap.g_01586		Syar.g_00163	Syas.g_01696	Syat.g_01876
N27.HOG0000051	OG0000021	n7																																																						Syan.g_01001	Syao.g_01002					
N27.HOG0000052	OG0000022	n1																																																						Syan.g_00089	Syao.g_01218			Syar.g_00835	Syas.g_02758	Syat.g_00210
N27.HOG0000053	OG0000023	n0																																																						Syan.g_00404	Syao.g_01266					
N27.HOG0000054	OG0000024	n61																																																												Syat.g_03394
N27.HOG0000055	OG0000025	n0																																																						Syan.g_00374	Syao.g_00436, Syao.g_00437	Syap.g_01846		Syar.g_01811	Syas.g_00231	Syat.g_00719
N27.HOG0000056	OG0000026	n0																																																						Syan.g_01743	Syao.g_02234			Syar.g_00505	Syas.g_02070	Syat.g_02306
N27.HOG0000057	OG0000027	n7																																																										Syar.g_02055	Syas.g_01480	Syat.g_00850
N27.HOG0000058	OG0000027	n10																																																								Syap.g_01440				
