Orthogroup	Prap	Syae
OG0000001	Prap.g_01925	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prap.g_00802	Syae.g_00779
OG0000004	Prap.g_01480	Syae.g_00042, Syae.g_02231
OG0000005	Prap.g_00204	Syae.g_01143
OG0000006	Prap.g_01470	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prap.g_01270	Syae.g_02328
OG0000007	Prap.g_01779	Syae.g_01163
OG0000008	Prap.g_01888	Syae.g_00753
OG0000008	Prap.g_01887	Syae.g_00752
OG0000009	Prap.g_00216	Syae.g_00561, Syae.g_00171
OG0000010	Prap.g_00669, Prap.g_00318	Syae.g_02529
OG0000012	Prap.g_01145	Syae.g_00049
OG0000013	Prap.g_01385	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prap.g_01403	Syae.g_01930
OG0000015	Prap.g_01840, Prap.g_01794	Syae.g_01693, Syae.g_00590
OG0000016	Prap.g_00514	Syae.g_00681, Syae.g_00233
OG0000017	Prap.g_01170	Syae.g_02462
OG0000017	Prap.g_01163	Syae.g_02469
OG0000018	Prap.g_00478	Syae.g_02625
OG0000019	Prap.g_01462, Prap.g_00480	Syae.g_02015
OG0000021	Prap.g_00229, Prap.g_00797	Syae.g_00481
OG0000023	Prap.g_00029	Syae.g_00439, Syae.g_00930
OG0000025	Prap.g_00747	Syae.g_00833
OG0000026	Prap.g_00923	Syae.g_01748
OG0000027	Prap.g_01912, Prap.g_01860	Syae.g_00103, Syae.g_00814
OG0000028	Prap.g_01889	Syae.g_01916
OG0000029	Prap.g_01899, Prap.g_01848, Prap.g_01688	Syae.g_00136
OG0000030	Prap.g_01569	Syae.g_01817, Syae.g_01816
OG0000031	Prap.g_00080	Syae.g_01911
OG0000032	Prap.g_00160	Syae.g_02607
OG0000033	Prap.g_00087	Syae.g_01453
OG0000034	Prap.g_00572	Syae.g_00975, Syae.g_01424
OG0000035	Prap.g_00121	Syae.g_02653
OG0000037	Prap.g_01067	Syae.g_01367
OG0000038	Prap.g_01530	Syae.g_01571
OG0000039	Prap.g_00814	Syae.g_00822, Syae.g_02495
OG0000041	Prap.g_01731	Syae.g_01042, Syae.g_00802
OG0000042	Prap.g_01572	Syae.g_01821
OG0000043	Prap.g_00477	Syae.g_00117
OG0000046	Prap.g_01384	Syae.g_02161, Syae.g_02168, Syae.g_02154
OG0000047	Prap.g_01343	Syae.g_02184
OG0000048	Prap.g_00548	Syae.g_01982
OG0000050	Prap.g_00667	Syae.g_00122
OG0000052	Prap.g_00897	Syae.g_01886
OG0000053	Prap.g_00142, Prap.g_01834	Syae.g_02629
OG0000054	Prap.g_01161	Syae.g_00014, Syae.g_00221
OG0000057	Prap.g_00799	Syae.g_00782
OG0000058	Prap.g_00081	Syae.g_01905, Syae.g_01227
OG0000059	Prap.g_01691	Syae.g_02074
OG0000061	Prap.g_00456	Syae.g_00921
OG0000062	Prap.g_00206	Syae.g_01145
OG0000063	Prap.g_01903	Syae.g_01752
OG0000064	Prap.g_00883	Syae.g_01137, Syae.g_00012, Syae.g_01631, Syae.g_00194
OG0000065	Prap.g_01069	Syae.g_01363, Syae.g_00722
OG0000066	Prap.g_01230, Prap.g_01867	Syae.g_02386
OG0000067	Prap.g_00783	Syae.g_00521
