Orthogroup	Prap	Syao
OG0000001	Prap.g_01925	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prap.g_00802	Syao.g_02374
OG0000004	Prap.g_01480	Syao.g_01271, Syao.g_01007
OG0000005	Prap.g_00204	Syao.g_01578
OG0000006	Prap.g_01470	Syao.g_00919, Syao.g_01518
OG0000007	Prap.g_01270	Syao.g_00105
OG0000007	Prap.g_01779	Syao.g_01554
OG0000008	Prap.g_01887	Syao.g_01321
OG0000010	Prap.g_00669, Prap.g_00318	Syao.g_02683
OG0000012	Prap.g_00236	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prap.g_01385	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prap.g_01403	Syao.g_02027
OG0000015	Prap.g_01840, Prap.g_01794	Syao.g_02339, Syao.g_00302
OG0000017	Prap.g_01163	Syao.g_01064
OG0000018	Prap.g_00478	Syao.g_00071
OG0000019	Prap.g_01462, Prap.g_00480	Syao.g_02108
OG0000021	Prap.g_00229, Prap.g_00797	Syao.g_01002
OG0000023	Prap.g_00029	Syao.g_01266
OG0000025	Prap.g_00747	Syao.g_00436, Syao.g_00437
OG0000026	Prap.g_00923	Syao.g_02234
OG0000027	Prap.g_01912, Prap.g_01860	Syao.g_01286, Syao.g_00202
OG0000028	Prap.g_01889	Syao.g_02012
OG0000030	Prap.g_01569	Syao.g_02189, Syao.g_02188
OG0000031	Prap.g_00080	Syao.g_02008, Syao.g_01083
OG0000032	Prap.g_00160	Syao.g_00090
OG0000033	Prap.g_00087	Syao.g_02507
OG0000035	Prap.g_00121	Syao.g_01483, Syao.g_01486
OG0000037	Prap.g_01067	Syao.g_00374
OG0000038	Prap.g_01530	Syao.g_02440, Syao.g_02442
OG0000039	Prap.g_00814	Syao.g_00704
OG0000041	Prap.g_01731	Syao.g_00509, Syao.g_01637
OG0000042	Prap.g_01572	Syao.g_00019, Syao.g_01941
