	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Praa	0.0	28.0	14.0	2.0	11.0	10.0	8.0	12.0	18.0	22.0	25.0	20.0	21.0	32.0	10.0	25.0	14.0	14.0	8.0	23.0	6.0	8.0	10.0	10.0	6.0	6.0	6.0	27.0	28.0	2.0	25.0	25.0	25.0	21.0	6.0	12.0	12.0	12.0	24.0	25.0	24.0	20.0	16.0	26.0	16.0	14.0	20.0	22.0	20.0	26.0	22.0	20.0	22.0	17.0	16.0	12.0	14.0	12.0	12.0	18.0
Prab	20.0	0.0	23.0	14.0	21.0	22.0	18.0	24.0	18.0	37.0	21.0	33.0	20.0	0.0	27.0	21.0	23.0	23.0	18.0	32.0	20.0	22.0	18.0	25.0	19.0	19.0	19.0	38.0	39.0	19.0	21.0	21.0	21.0	20.0	24.0	20.0	20.0	20.0	29.0	21.0	22.0	22.0	17.0	26.0	20.0	22.0	21.0	19.0	22.0	26.0	24.0	16.0	17.0	17.0	19.0	16.0	13.0	19.0	17.0	17.0
Prac	12.0	20.0	0.0	28.0	4.0	33.0	12.0	33.0	26.0	40.0	35.0	39.0	28.0	20.0	10.0	31.0	6.0	10.0	10.0	31.0	10.0	10.0	12.0	6.0	20.0	20.0	20.0	42.0	43.0	10.0	35.0	31.0	31.0	28.0	8.0	29.0	29.0	29.0	38.0	35.0	31.0	39.0	39.0	37.0	33.0	39.0	39.0	41.0	43.0	33.0	33.0	31.0	39.0	31.0	27.0	23.0	31.0	33.0	33.0	37.0
Prad	15.0	26.0	14.0	0.0	6.0	16.0	8.0	20.0	24.0	38.0	22.0	33.0	16.0	30.0	10.0	22.0	12.0	14.0	12.0	35.0	10.0	8.0	10.0	12.0	8.0	8.0	8.0	41.0	34.0	12.0	22.0	22.0	22.0	16.0	6.0	18.0	18.0	18.0	30.0	22.0	30.0	32.0	30.0	36.0	32.0	30.0	30.0	34.0	32.0	36.0	30.0	30.0	30.0	27.0	24.0	16.0	20.0	22.0	22.0	24.0
Prae	4.0	14.0	6.0	7.0	0.0	6.0	6.0	8.0	11.0	21.0	12.0	15.0	4.0	16.0	10.0	12.0	6.0	6.0	6.0	16.0	5.0	6.0	8.0	4.0	4.0	6.0	6.0	26.0	18.0	3.0	12.0	12.0	12.0	4.0	3.0	8.0	8.0	8.0	15.0	12.0	14.0	16.0	14.0	16.0	12.0	10.0	14.0	19.0	16.0	18.0	17.0	17.0	16.0	15.0	15.0	8.0	8.0	11.0	10.0	14.0
Praf	71.0	71.0	72.0	73.0	68.0	0.0	68.0	97.0	62.0	78.0	65.0	81.0	61.0	73.0	75.0	65.0	72.0	84.0	73.0	69.0	74.0	67.0	68.0	73.0	80.0	85.0	85.0	87.0	85.0	72.0	65.0	65.0	65.0	67.0	75.0	69.0	71.0	67.0	75.0	65.0	71.0	56.0	60.0	60.0	69.0	58.0	50.0	59.0	53.0	75.0	57.0	65.0	50.0	50.0	58.0	38.0	58.0	46.0	37.0	53.0
Prag	15.0	17.0	18.0	18.0	11.0	19.0	0.0	19.0	19.0	28.0	22.0	38.0	16.0	23.0	20.0	22.0	18.0	18.0	9.0	33.0	14.0	17.0	2.0	13.0	13.0	13.0	13.0	29.0	30.0	14.0	22.0	22.0	22.0	16.0	12.0	19.0	19.0	19.0	25.0	22.0	18.0	22.0	18.0	27.0	16.0	18.0	20.0	24.0	24.0	25.0	22.0	18.0	24.0	22.0	15.0	20.0	12.0	21.0	17.0	19.0
Prah	51.0	56.0	59.0	59.0	57.0	74.0	55.0	0.0	48.0	62.0	46.0	57.0	45.0	58.0	55.0	46.0	59.0	64.0	52.0	53.0	59.0	61.0	57.0	59.0	64.0	66.0	66.0	66.0	67.0	59.0	46.0	46.0	46.0	50.0	53.0	83.0	83.0	83.0	56.0	46.0	50.0	48.0	41.0	54.0	46.0	52.0	52.0	39.0	47.0	61.0	46.0	49.0	52.0	55.0	44.0	28.0	42.0	34.0	37.0	40.0
Prai	14.0	18.0	19.0	21.0	20.0	22.0	12.0	22.0	0.0	26.0	22.0	32.0	22.0	24.0	16.0	22.0	19.0	19.0	15.0	22.0	25.0	10.0	14.0	14.0	21.0	23.0	23.0	28.0	28.0	18.0	22.0	22.0	22.0	24.0	16.0	22.0	22.0	22.0	22.0	22.0	24.0	31.0	26.0	29.0	22.0	27.0	27.0	28.0	31.0	28.0	24.0	28.0	28.0	26.0	22.0	22.0	24.0	24.0	22.0	24.0
Praj	78.0	65.0	73.0	81.0	65.0	35.0	55.0	53.0	64.0	0.0	51.0	52.0	55.0	73.0	66.0	51.0	64.0	71.0	71.0	50.0	75.0	54.0	61.0	65.0	74.0	78.0	78.0	24.0	15.0	71.0	51.0	51.0	51.0	55.0	63.0	42.0	42.0	40.0	20.0	51.0	25.0	35.0	29.0	27.0	45.0	24.0	30.0	35.0	35.0	36.0	22.0	39.0	39.0	28.0	22.0	15.0	16.0	22.0	16.0	18.0
Prak	48.0	41.0	43.0	46.0	41.0	34.0	45.0	36.0	48.0	36.0	0.0	24.0	20.0	43.0	43.0	4.0	43.0	43.0	41.0	32.0	39.0	51.0	45.0	43.0	43.0	43.0	43.0	36.0	36.0	43.0	4.0	4.0	4.0	20.0	43.0	36.0	36.0	36.0	34.0	4.0	30.0	34.0	33.0	44.0	26.0	26.0	28.0	38.0	33.0	40.0	31.0	30.0	33.0	23.0	25.0	15.0	19.0	16.0	18.0	22.0
Pral	47.0	39.0	39.0	37.0	41.0	31.0	42.0	29.0	52.0	25.0	20.0	0.0	26.0	41.0	45.0	22.0	39.0	39.0	35.0	17.0	38.0	44.0	42.0	41.0	39.0	39.0	39.0	29.0	31.0	41.0	22.0	22.0	22.0	26.0	46.0	29.0	29.0	27.0	27.0	22.0	30.0	36.0	34.0	37.0	30.0	30.0	30.0	40.0	41.0	42.0	30.0	28.0	33.0	29.0	21.0	19.0	24.0	21.0	15.0	25.0
Pram	43.0	41.0	38.0	40.0	41.0	28.0	40.0	26.0	39.0	24.0	10.0	24.0	0.0	41.0	41.0	10.0	38.0	41.0	43.0	16.0	36.0	40.0	40.0	41.0	50.0	50.0	50.0	24.0	31.0	43.0	10.0	10.0	10.0	2.0	41.0	26.0	26.0	26.0	24.0	10.0	25.0	30.0	28.0	34.0	25.0	24.0	24.0	34.0	35.0	36.0	25.0	22.0	33.0	18.0	17.0	13.0	17.0	12.0	14.0	18.0
Pran	19.0	6.0	21.0	12.0	19.0	26.0	18.0	26.0	19.0	33.0	23.0	30.0	22.0	0.0	20.0	23.0	21.0	21.0	18.0	34.0	18.0	24.0	18.0	25.0	17.0	17.0	17.0	34.0	38.0	15.0	23.0	23.0	23.0	22.0	19.0	22.0	22.0	22.0	28.0	23.0	24.0	20.0	19.0	26.0	22.0	24.0	23.0	21.0	24.0	26.0	24.0	16.0	19.0	17.0	21.0	14.0	15.0	19.0	17.0	19.0
