Species Tree Node	Duplications (all)	Duplications (50% support)
N0	206	15
Syal	47	47
N5	72	54
Prai	12	12
N9	22	0
N14	5	2
Prat	15	15
N19	49	32
N16	6	6
Prbm	53	53
N11	20	12
Prbb	15	15
Praj	24	24
N1	72	9
N7	12	12
N2	69	1
N25	18	18
Prav	14	14
N22	6	0
N15	5	0
N21	4	4
Prbi	37	37
Pram	1	1
N12	207	10
Syat	154	154
N44	36	36
N36	57	2
Syai	88	88
Syaq	66	66
N41	5	5
Syas	58	58
Syap	245	245
Syab	38	38
N26	30	30
N53	6	1
Syao	52	52
N20	307	14
Prbc	26	26
Prad	17	17
Prae	2	2
N4	32	3
Prag	1	1
Praa	7	7
Prab	1	1
N47	2	2
Syag	53	53
Syad	84	84
Syan	134	134
Praf	80	80
Prah	68	68
N35	18	2
N45	5	0
N27	75	16
Syar	112	112
Syaf	39	39
Syak	29	29
Syae	29	29
N56	4	4
Syah	14	14
Syaa	73	73
Pray	4	4
Prak	2	2
Syaj	44	44
N28	115	5
N17	5	3
N24	8	8
Pral	10	10
N8	8	7
N55	14	6
N33	14	14
Prau	11	11
N18	4	4
Syac	13	13
Prbj	5	5
N34	60	29
N50	7	7
Syam	31	31
N6	15	0
N48	1	0
Prbd	7	7
N43	9	4
N23	7	7
N38	5	0
Prbn	2	2
N10	4	3
Praw	1	1
Pran	3	3
Praz	2	2
Prba	4	4
Praq	2	2
Prap	1	1
Prar	1	1
Pras	4	4
Prao	3	3
N54	1	0
N32	1	1
Prbf	2	2
N58	7	7
Prac	3	3
N40	24	24
N29	4	0
N51	7	0
N37	1	1
Prax	2	2
N52	1	0
Prbk	2	2
