	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Praa	0.0	4.0	2.0	2.0	2.0	6.0	4.0	4.0	6.0	11.0	6.0	4.0	4.0	0.0	0.0	6.0	2.0	2.0	2.0	6.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	8.0	7.0	0.0	6.0	6.0	6.0	4.0	0.0	4.0	4.0	4.0	9.0	6.0	4.0	2.0	6.0	6.0	8.0	6.0	6.0	4.0	6.0	2.0	4.0	2.0	6.0	4.0	6.0	2.0	2.0	4.0	4.0	4.0
Prab	4.0	0.0	0.0	5.0	2.0	6.0	4.0	2.0	6.0	8.0	6.0	6.0	5.0	0.0	2.0	6.0	0.0	0.0	4.0	6.0	2.0	6.0	4.0	2.0	2.0	2.0	2.0	5.0	5.0	2.0	6.0	6.0	6.0	5.0	4.0	4.0	4.0	4.0	12.0	6.0	4.0	0.0	6.0	2.0	2.0	2.0	2.0	6.0	2.0	0.0	2.0	6.0	4.0	2.0	4.0	2.0	2.0	4.0	2.0	6.0
Prac	3.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	6.0	4.0	6.0	7.0	0.0	0.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	4.0	4.0	4.0	7.0	0.0	4.0	4.0	4.0	6.0	4.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	0.0	4.0	2.0	4.0
Prad	2.0	4.0	2.0	0.0	2.0	8.0	2.0	4.0	0.0	9.0	10.0	10.0	10.0	0.0	4.0	10.0	2.0	2.0	2.0	8.0	2.0	6.0	2.0	0.0	2.0	2.0	2.0	6.0	11.0	0.0	10.0	10.0	10.0	10.0	0.0	4.0	4.0	4.0	13.0	10.0	4.0	0.0	4.0	4.0	6.0	4.0	4.0	2.0	6.0	2.0	2.0	0.0	4.0	2.0	6.0	2.0	0.0	2.0	2.0	2.0
Prae	3.0	2.0	0.0	3.0	0.0	9.0	4.0	7.0	0.0	7.0	6.0	4.0	6.0	0.0	0.0	6.0	0.0	0.0	3.0	4.0	3.0	4.0	2.0	0.0	4.0	2.0	2.0	4.0	7.0	0.0	6.0	6.0	6.0	6.0	0.0	7.0	7.0	7.0	9.0	6.0	4.0	3.0	4.0	9.0	11.0	9.0	9.0	4.0	6.0	7.0	4.0	2.0	6.0	2.0	6.0	2.0	5.0	4.0	2.0	2.0
Praf	7.0	6.0	2.0	9.0	10.0	0.0	11.0	10.0	12.0	6.0	5.0	2.0	11.0	4.0	7.0	5.0	2.0	2.0	9.0	10.0	7.0	23.0	9.0	10.0	7.0	7.0	7.0	8.0	12.0	12.0	5.0	5.0	5.0	5.0	17.0	16.0	14.0	16.0	16.0	5.0	13.0	8.0	6.0	26.0	9.0	9.0	26.0	12.0	22.0	6.0	11.0	11.0	16.0	17.0	14.0	9.0	7.0	13.0	14.0	11.0
Prag	5.0	6.0	0.0	3.0	4.0	12.0	0.0	10.0	5.0	15.0	9.0	7.0	7.0	0.0	0.0	9.0	0.0	0.0	5.0	10.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	12.0	8.0	0.0	9.0	9.0	9.0	7.0	0.0	10.0	10.0	10.0	13.0	9.0	7.0	7.0	7.0	7.0	10.0	10.0	10.0	4.0	5.0	5.0	4.0	9.0	5.0	4.0	9.0	2.0	7.0	5.0	4.0	4.0
Prah	6.0	2.0	0.0	6.0	8.0	13.0	10.0	0.0	9.0	6.0	2.0	0.0	7.0	0.0	6.0	2.0	0.0	0.0	8.0	7.0	4.0	13.0	8.0	6.0	4.0	4.0	4.0	6.0	4.0	8.0	2.0	2.0	2.0	2.0	8.0	12.0	12.0	12.0	14.0	2.0	10.0	6.0	6.0	40.0	10.0	8.0	42.0	8.0	14.0	5.0	8.0	15.0	10.0	12.0	13.0	10.0	10.0	8.0	12.0	10.0
Prai	6.0	6.0	0.0	0.0	0.0	8.0	4.0	6.0	0.0	8.0	2.0	2.0	4.0	0.0	0.0	2.0	0.0	0.0	6.0	6.0	2.0	4.0	2.0	2.0	0.0	0.0	0.0	6.0	6.0	0.0	2.0	2.0	2.0	2.0	0.0	6.0	6.0	6.0	8.0	2.0	4.0	4.0	6.0	4.0	4.0	4.0	4.0	6.0	7.0	2.0	4.0	6.0	4.0	4.0	8.0	4.0	4.0	6.0	4.0	4.0
Praj	14.0	13.0	6.0	8.0	6.0	11.0	18.0	11.0	13.0	0.0	4.0	8.0	8.0	7.0	6.0	4.0	6.0	6.0	14.0	10.0	8.0	17.0	15.0	11.0	10.0	6.0	6.0	11.0	2.0	6.0	4.0	4.0	4.0	8.0	10.0	6.0	6.0	6.0	24.0	4.0	9.0	5.0	7.0	11.0	9.0	11.0	5.0	5.0	5.0	2.0	7.0	11.0	5.0	7.0	5.0	2.0	5.0	11.0	7.0	7.0
