Orthogroup	Prbg	Prat
OG0000000	Prbg.g_01567	Prat.g_01549
OG0000000	Prbg.g_01568, Prbg.g_01523	Prat.g_01547
OG0000001	Prbg.g_01222	Prat.g_00977
OG0000001	Prbg.g_01119	Prat.g_00751
OG0000001	Prbg.g_00694	Prat.g_01462
OG0000001	Prbg.g_01516	Prat.g_01184
OG0000001	Prbg.g_00523	Prat.g_01487
OG0000001	Prbg.g_01514	Prat.g_01182
OG0000001	Prbg.g_01521	Prat.g_01187
OG0000002	Prbg.g_01069	Prat.g_00851
OG0000002	Prbg.g_00502	Prat.g_01286, Prat.g_01285
OG0000004	Prbg.g_01524	Prat.g_01190
OG0000005	Prbg.g_00451	Prat.g_00824
OG0000006	Prbg.g_00032	Prat.g_00634
OG0000008	Prbg.g_00216	Prat.g_00458
OG0000008	Prbg.g_01650	Prat.g_01592
OG0000010	Prbg.g_01510	Prat.g_01180
OG0000010	Prbg.g_01032	Prat.g_00255
OG0000012	Prbg.g_00050	Prat.g_00278
OG0000013	Prbg.g_00686	Prat.g_01451
OG0000014	Prbg.g_00086	Prat.g_00314
OG0000015	Prbg.g_00143	Prat.g_00374
OG0000016	Prbg.g_01589, Prbg.g_01635	Prat.g_00701
OG0000017	Prbg.g_01569	Prat.g_01548
OG0000017	Prbg.g_00721	Prat.g_01474
OG0000018	Prbg.g_00317	Prat.g_00560
OG0000018	Prbg.g_00324	Prat.g_00567
OG0000019	Prbg.g_01611	Prat.g_01580
OG0000019	Prbg.g_01578	Prat.g_00639
OG0000020	Prbg.g_01540	Prat.g_00647
OG0000020	Prbg.g_00688	Prat.g_01452
OG0000022	Prbg.g_01024	Prat.g_00248
OG0000023	Prbg.g_01145	Prat.g_00461
OG0000024	Prbg.g_00722	Prat.g_01489
OG0000025	Prbg.g_01352, Prbg.g_01116	Prat.g_00622
OG0000027	Prbg.g_00745	Prat.g_00377
OG0000028	Prbg.g_00744	Prat.g_00376
