Orthogroup	Prbg	Prax
OG0000000	Prbg.g_01567	Prax.g_01608, Prax.g_00496
OG0000000	Prbg.g_01583, Prbg.g_01568, Prbg.g_01523	Prax.g_00259, Prax.g_01609
OG0000001	Prbg.g_01222, Prbg.g_01227	Prax.g_01870
OG0000001	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521	Prax.g_00964
OG0000002	Prbg.g_01069	Prax.g_00522
OG0000002	Prbg.g_00502	Prax.g_01878
OG0000004	Prbg.g_01524	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000005	Prbg.g_00451	Prax.g_00437
OG0000006	Prbg.g_00032	Prax.g_01936, Prax.g_00500, Prax.g_00424, Prax.g_00141
OG0000008	Prbg.g_00216	Prax.g_00704
OG0000008	Prbg.g_01650	Prax.g_01559
OG0000010	Prbg.g_01510	Prax.g_00393
OG0000010	Prbg.g_01032	Prax.g_00926
OG0000011	Prbg.g_01740	Prax.g_00798
OG0000011	Prbg.g_01581, Prbg.g_00734	Prax.g_00425
OG0000012	Prbg.g_00464	Prax.g_00173
OG0000013	Prbg.g_00686	Prax.g_01617
OG0000016	Prbg.g_01589, Prbg.g_01635	Prax.g_00523
OG0000017	Prbg.g_01569, Prbg.g_00721	Prax.g_01916
OG0000018	Prbg.g_00317, Prbg.g_00324	Prax.g_00057
OG0000019	Prbg.g_01611, Prbg.g_01578	Prax.g_00793
OG0000020	Prbg.g_01540, Prbg.g_00688	Prax.g_01867
OG0000022	Prbg.g_01024	Prax.g_01972
OG0000023	Prbg.g_01145	Prax.g_01587, Prax.g_00808
OG0000024	Prbg.g_00722, Prbg.g_01532	Prax.g_01931
OG0000025	Prbg.g_01352, Prbg.g_01116	Prax.g_00432
OG0000029	Prbg.g_01535, Prbg.g_01624	Prax.g_00392
OG0000030	Prbg.g_01632	Prax.g_00391
OG0000031	Prbg.g_01855	Prax.g_01401
OG0000034	Prbg.g_00591	Prax.g_01733, Prax.g_01728
OG0000035	Prbg.g_00174	Prax.g_01616
OG0000036	Prbg.g_00698	Prax.g_00138
OG0000041	Prbg.g_00342, Prbg.g_00706	Prax.g_00082
OG0000045	Prbg.g_01639, Prbg.g_00304	Prax.g_00045
OG0000046	Prbg.g_00682	Prax.g_00415
OG0000047	Prbg.g_01486	Prax.g_00200
OG0000049	Prbg.g_00551	Prax.g_01823
OG0000050	Prbg.g_00944	Prax.g_01052
OG0000051	Prbg.g_00013	Prax.g_00813
OG0000053	Prbg.g_01151	Prax.g_00485
OG0000054	Prbg.g_00716, Prbg.g_01642	Prax.g_01566
OG0000055	Prbg.g_01847	Prax.g_01394
OG0000056	Prbg.g_00842	Prax.g_00282, Prax.g_00458
OG0000057	Prbg.g_00935	Prax.g_01061
OG0000058	Prbg.g_00388	Prax.g_00803
OG0000059	Prbg.g_00256	Prax.g_00662
OG0000060	Prbg.g_01364	Prax.g_00452
OG0000061	Prbg.g_00359	Prax.g_00457
OG0000062	Prbg.g_01182	Prax.g_00351
OG0000065	Prbg.g_01019	Prax.g_00981, Prax.g_01581
OG0000066	Prbg.g_00194	Prax.g_00727
OG0000067	Prbg.g_01143	Prax.g_00944
OG0000070	Prbg.g_01234	Prax.g_01204
OG0000071	Prbg.g_01459	Prax.g_01959
OG0000072	Prbg.g_00477	Prax.g_01899
OG0000074	Prbg.g_00549	Prax.g_01832
OG0000075	Prbg.g_01785	Prax.g_01338
OG0000077	Prbg.g_00778	Prax.g_01974
OG0000078	Prbg.g_00100	Prax.g_01783, Prax.g_00853, Prax.g_00852
OG0000079	Prbg.g_00459	Prax.g_00792
OG0000080	Prbg.g_01386	Prax.g_00973
OG0000081	Prbg.g_01133	Prax.g_00951
OG0000082	Prbg.g_01166	Prax.g_00366
OG0000083	Prbg.g_01507	Prax.g_00501, Prax.g_00530, Prax.g_00301
OG0000084	Prbg.g_01287	Prax.g_01129
OG0000085	Prbg.g_01531	Prax.g_01254, Prax.g_01759
OG0000086	Prbg.g_00749	Prax.g_00161
OG0000090	Prbg.g_00552	Prax.g_01825
OG0000091	Prbg.g_00599	Prax.g_01720
OG0000092	Prbg.g_00414	Prax.g_01600
OG0000093	Prbg.g_01737	Prax.g_01286
OG0000094	Prbg.g_01781	Prax.g_01335
OG0000095	Prbg.g_01819	Prax.g_01368
OG0000096	Prbg.g_01892	Prax.g_01439
OG0000098	Prbg.g_00770	Prax.g_01493
OG0000099	Prbg.g_00851	Prax.g_00290
OG0000101	Prbg.g_00822	Prax.g_00624
OG0000102	Prbg.g_00887	Prax.g_01106
OG0000103	Prbg.g_00896	Prax.g_01097
OG0000104	Prbg.g_00913	Prax.g_01079
OG0000105	Prbg.g_00948	Prax.g_01048
OG0000106	Prbg.g_00962	Prax.g_01034
OG0000107	Prbg.g_00971	Prax.g_01026
OG0000108	Prbg.g_00981	Prax.g_01016
OG0000109	Prbg.g_01022	Prax.g_00979
OG0000110	Prbg.g_01034	Prax.g_00488, Prax.g_00924
OG0000111	Prbg.g_00053	Prax.g_00901
OG0000113	Prbg.g_00077	Prax.g_00878
OG0000114	Prbg.g_00103	Prax.g_00848
OG0000115	Prbg.g_00193	Prax.g_00728
OG0000116	Prbg.g_00195	Prax.g_00726
OG0000117	Prbg.g_00199	Prax.g_00722
OG0000118	Prbg.g_00219	Prax.g_00702
OG0000119	Prbg.g_00249	Prax.g_00669
OG0000120	Prbg.g_00250	Prax.g_00668
