Orthogroup	Prbg	Pray
OG0000000	Prbg.g_01567	Pray.g_01576, Pray.g_01603
OG0000000	Prbg.g_01583, Prbg.g_01568, Prbg.g_01523	Pray.g_00003, Pray.g_01604
OG0000001	Prbg.g_01222, Prbg.g_01227	Pray.g_01836
OG0000001	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521	Pray.g_01085
OG0000002	Prbg.g_01069	Pray.g_00247, Pray.g_00246
OG0000002	Prbg.g_00502	Pray.g_01844
OG0000004	Prbg.g_01524	Pray.g_01890, Pray.g_01602
OG0000005	Prbg.g_00451	Pray.g_00284
OG0000006	Prbg.g_00032	Pray.g_01905, Pray.g_00297, Pray.g_00117
OG0000008	Prbg.g_00216	Pray.g_00988, Pray.g_00987
OG0000008	Prbg.g_01650	Pray.g_01559
OG0000010	Prbg.g_01510	Pray.g_00328
OG0000010	Prbg.g_01032	Pray.g_00730
OG0000011	Prbg.g_01740	Pray.g_00853
OG0000011	Prbg.g_01581, Prbg.g_00734	Pray.g_00296
OG0000012	Prbg.g_00050	Pray.g_00135
OG0000013	Prbg.g_00686	Pray.g_01610, Pray.g_00184
OG0000015	Prbg.g_00143	Pray.g_00897
OG0000016	Prbg.g_01589, Prbg.g_01635	Pray.g_00309
OG0000017	Prbg.g_01569, Prbg.g_00721	Pray.g_01887, Pray.g_00960
OG0000018	Prbg.g_00317, Prbg.g_00324	Pray.g_01165
OG0000019	Prbg.g_01611, Prbg.g_01578	Pray.g_00860
OG0000020	Prbg.g_01540, Prbg.g_00688	Pray.g_01833
OG0000022	Prbg.g_01024	Pray.g_00722
OG0000023	Prbg.g_01145	Pray.g_01578, Pray.g_00842
OG0000024	Prbg.g_00722, Prbg.g_01532	Pray.g_01898
OG0000025	Prbg.g_01352, Prbg.g_01116	Pray.g_00289
OG0000028	Prbg.g_00744	Pray.g_01931
OG0000029	Prbg.g_01535, Prbg.g_01624	Pray.g_00329
OG0000030	Prbg.g_01632	Pray.g_00330
OG0000031	Prbg.g_01855	Pray.g_01371
OG0000034	Prbg.g_00591	Pray.g_01722
OG0000035	Prbg.g_00174	Pray.g_01609
OG0000036	Prbg.g_00698	Pray.g_00120
OG0000038	Prbg.g_00550	Pray.g_01806
OG0000041	Prbg.g_00342, Prbg.g_00706	Pray.g_01140
OG0000043	Prbg.g_00025	Pray.g_00438
OG0000045	Prbg.g_01639, Prbg.g_00304	Pray.g_01177
OG0000046	Prbg.g_00682	Pray.g_00304
OG0000047	Prbg.g_01486	Pray.g_00064
OG0000049	Prbg.g_00551	Pray.g_01786
OG0000050	Prbg.g_00944	Pray.g_00647
OG0000051	Prbg.g_00013	Pray.g_00838
OG0000053	Prbg.g_01151	Pray.g_01040
OG0000054	Prbg.g_00716, Prbg.g_01642	Pray.g_01566
OG0000055	Prbg.g_01847	Pray.g_01364
OG0000056	Prbg.g_00842	Pray.g_01493
OG0000057	Prbg.g_00935	Pray.g_00638
OG0000058	Prbg.g_00388	Pray.g_00848
OG0000059	Prbg.g_00256	Pray.g_01222
OG0000062	Prbg.g_01182	Pray.g_00370
OG0000065	Prbg.g_01019	Pray.g_00718
OG0000066	Prbg.g_00194	Pray.g_00965
OG0000067	Prbg.g_01143	Pray.g_01065
OG0000070	Prbg.g_01234	Pray.g_00584
OG0000071	Prbg.g_01459	Pray.g_01927
OG0000072	Prbg.g_00477	Pray.g_01870
OG0000074	Prbg.g_00549	Pray.g_01808
OG0000075	Prbg.g_01785	Pray.g_01306
OG0000076	Prbg.g_00630	Pray.g_01782
OG0000077	Prbg.g_00778	Pray.g_01473
OG0000078	Prbg.g_00100	Pray.g_00800
OG0000079	Prbg.g_00459	Pray.g_00861
OG0000080	Prbg.g_01386	Pray.g_01094
OG0000081	Prbg.g_01133	Pray.g_01072
OG0000082	Prbg.g_01166	Pray.g_00355
OG0000083	Prbg.g_01507	Pray.g_00420
OG0000084	Prbg.g_01287	Pray.g_00511
OG0000085	Prbg.g_01531	Pray.g_00632
OG0000086	Prbg.g_00749	Pray.g_00097
OG0000087	Prbg.g_01566	Pray.g_01575
OG0000090	Prbg.g_00552	Pray.g_01788
OG0000091	Prbg.g_00599	Pray.g_01714
OG0000092	Prbg.g_00414	Pray.g_01595
OG0000093	Prbg.g_01737	Pray.g_01258
OG0000094	Prbg.g_01781	Pray.g_01303
OG0000095	Prbg.g_01819	Pray.g_01337
OG0000096	Prbg.g_01892	Pray.g_01409
OG0000098	Prbg.g_00770	Pray.g_01464
OG0000099	Prbg.g_00851	Pray.g_01485
OG0000101	Prbg.g_00822	Pray.g_00234
OG0000102	Prbg.g_00887	Pray.g_00176
OG0000103	Prbg.g_00896	Pray.g_00168
OG0000104	Prbg.g_00913	Pray.g_00150
OG0000105	Prbg.g_00948	Pray.g_00651
OG0000106	Prbg.g_00962	Pray.g_00665
OG0000107	Prbg.g_00971	Pray.g_00673
OG0000108	Prbg.g_00981	Pray.g_00683
OG0000109	Prbg.g_01022	Pray.g_00720
OG0000110	Prbg.g_01034	Pray.g_00732
OG0000111	Prbg.g_00053	Pray.g_00753
OG0000113	Prbg.g_00077	Pray.g_00775
OG0000114	Prbg.g_00103	Pray.g_00803
OG0000115	Prbg.g_00193	Pray.g_00964
OG0000116	Prbg.g_00195	Pray.g_00966
OG0000117	Prbg.g_00199	Pray.g_00970
OG0000118	Prbg.g_00219	Pray.g_00990
OG0000119	Prbg.g_00249	Pray.g_01023
OG0000120	Prbg.g_00250	Pray.g_01024, Pray.g_01228
OG0000121	Prbg.g_00260	Pray.g_01218
OG0000122	Prbg.g_00270	Pray.g_01209
OG0000123	Prbg.g_00302	Pray.g_01178
OG0000124	Prbg.g_01405	Pray.g_01112
OG0000125	Prbg.g_01404	Pray.g_01111
OG0000126	Prbg.g_01403	Pray.g_01110
OG0000127	Prbg.g_01128	Pray.g_01077
OG0000128	Prbg.g_01153	Pray.g_01038
OG0000129	Prbg.g_01354	Pray.g_00275
OG0000130	Prbg.g_01251	Pray.g_00333
OG0000131	Prbg.g_01157	Pray.g_00346
OG0000132	Prbg.g_01194	Pray.g_00382
OG0000133	Prbg.g_01101	Pray.g_00469
OG0000134	Prbg.g_01385	Pray.g_00479
OG0000135	Prbg.g_01291	Pray.g_00515
OG0000136	Prbg.g_01237	Pray.g_00581
OG0000137	Prbg.g_00752	Pray.g_00094
OG0000139	Prbg.g_01480	Pray.g_00057
OG0000140	Prbg.g_00352	Pray.g_00006
OG0000141	Prbg.g_00687	Pray.g_00250
OG0000142	Prbg.g_00490	Pray.g_01858
OG0000143	Prbg.g_00529	Pray.g_01829
OG0000144	Prbg.g_00579	Pray.g_01735
OG0000145	Prbg.g_00592	Pray.g_01721
OG0000146	Prbg.g_00628	Pray.g_01685
OG0000147	Prbg.g_00675	Pray.g_01645
OG0000148	Prbg.g_00676	Pray.g_01644
OG0000149	Prbg.g_01647	Pray.g_01561
OG0000150	Prbg.g_01686	Pray.g_01523
OG0000151	Prbg.g_01689	Pray.g_01520
OG0000152	Prbg.g_01709	Pray.g_01229
OG0000153	Prbg.g_01743	Pray.g_01265
OG0000154	Prbg.g_01779	Pray.g_01301
OG0000155	Prbg.g_01798	Pray.g_01319
OG0000156	Prbg.g_01831	Pray.g_01348
OG0000157	Prbg.g_01865	Pray.g_01381
OG0000158	Prbg.g_01931	Pray.g_01444
OG0000160	Prbg.g_00768	Pray.g_01462
OG0000161	Prbg.g_00769	Pray.g_01463
OG0000162	Prbg.g_00771	Pray.g_01465
OG0000163	Prbg.g_00772	Pray.g_01467
OG0000164	Prbg.g_00773	Pray.g_01468
OG0000165	Prbg.g_00774	Pray.g_01469
OG0000166	Prbg.g_00775	Pray.g_01470
OG0000167	Prbg.g_00776	Pray.g_01471
OG0000168	Prbg.g_00777	Pray.g_01472
OG0000169	Prbg.g_00779	Pray.g_01474
OG0000170	Prbg.g_00860	Pray.g_01476
OG0000171	Prbg.g_00859	Pray.g_01477
OG0000172	Prbg.g_00858	Pray.g_01478
OG0000173	Prbg.g_00857	Pray.g_01479
OG0000174	Prbg.g_00856	Pray.g_01480
OG0000175	Prbg.g_00855	Pray.g_01481
OG0000176	Prbg.g_00854	Pray.g_01482
OG0000177	Prbg.g_00853	Pray.g_01483
OG0000178	Prbg.g_00852	Pray.g_01484
OG0000179	Prbg.g_00850	Pray.g_01486
OG0000180	Prbg.g_00849	Pray.g_01487
OG0000181	Prbg.g_00848	Pray.g_01488
OG0000182	Prbg.g_00847	Pray.g_01489
OG0000183	Prbg.g_00846	Pray.g_01490
OG0000184	Prbg.g_00844	Pray.g_01491
OG0000185	Prbg.g_00841	Pray.g_01494
OG0000186	Prbg.g_00838	Pray.g_01497
OG0000187	Prbg.g_00837	Pray.g_01498
OG0000188	Prbg.g_00836	Pray.g_01499
OG0000189	Prbg.g_00834	Pray.g_00243
OG0000190	Prbg.g_00832	Pray.g_00241
OG0000191	Prbg.g_00830	Pray.g_00240
OG0000192	Prbg.g_00829	Pray.g_00239
OG0000193	Prbg.g_00828	Pray.g_00238
OG0000194	Prbg.g_00825	Pray.g_00237
OG0000195	Prbg.g_00824	Pray.g_00236
OG0000196	Prbg.g_00823	Pray.g_00235
OG0000197	Prbg.g_00821	Pray.g_00233
OG0000198	Prbg.g_00820	Pray.g_00232
OG0000199	Prbg.g_00818	Pray.g_00231
OG0000200	Prbg.g_00806	Pray.g_00225
OG0000201	Prbg.g_00805	Pray.g_00224
OG0000202	Prbg.g_00804	Pray.g_00223
OG0000203	Prbg.g_00800	Pray.g_00220
OG0000204	Prbg.g_00799	Pray.g_00219
OG0000205	Prbg.g_00796	Pray.g_00216
OG0000206	Prbg.g_00794	Pray.g_00214
OG0000207	Prbg.g_00792	Pray.g_00212
OG0000208	Prbg.g_00791	Pray.g_00211
OG0000209	Prbg.g_00017	Pray.g_00210
OG0000210	Prbg.g_00790	Pray.g_00209
OG0000211	Prbg.g_00789	Pray.g_00208
OG0000212	Prbg.g_00788	Pray.g_00207
OG0000213	Prbg.g_00787	Pray.g_00206
OG0000214	Prbg.g_00786	Pray.g_00205
OG0000215	Prbg.g_00785	Pray.g_00204
OG0000216	Prbg.g_00784	Pray.g_00203
OG0000217	Prbg.g_00782	Pray.g_00201
OG0000218	Prbg.g_00781	Pray.g_00200
OG0000219	Prbg.g_00780	Pray.g_00199
OG0000220	Prbg.g_00861	Pray.g_00198
OG0000221	Prbg.g_00864	Pray.g_00195
OG0000222	Prbg.g_00865	Pray.g_00194
OG0000223	Prbg.g_00866	Pray.g_00193
