Orthogroup	Prbg	Praw
OG0000000	Prbg.g_01567	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prbg.g_01583, Prbg.g_01568, Prbg.g_01523	Praw.g_01779, Praw.g_00496, Praw.g_00294, Praw.g_00454
OG0000001	Prbg.g_01222, Prbg.g_01227	Praw.g_01009
OG0000001	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521	Praw.g_01844
OG0000002	Prbg.g_01069	Praw.g_00497, Praw.g_01739, Praw.g_01951
OG0000002	Prbg.g_00502	Praw.g_01000
OG0000004	Prbg.g_01524	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000005	Prbg.g_00451	Praw.g_01769
OG0000006	Prbg.g_00032	Praw.g_00945, Praw.g_00482, Praw.g_01754, Praw.g_00184
OG0000008	Prbg.g_00216	Praw.g_00651
OG0000008	Prbg.g_01650	Praw.g_00515
OG0000010	Prbg.g_01510	Praw.g_01717
OG0000010	Prbg.g_01032	Praw.g_00884
OG0000011	Prbg.g_01581, Prbg.g_00734	Praw.g_01755
OG0000013	Prbg.g_00686	Praw.g_00447, Praw.g_01330
OG0000016	Prbg.g_01589, Prbg.g_01635	Praw.g_01738
OG0000017	Prbg.g_01569, Prbg.g_00721	Praw.g_00492, Praw.g_00962, Praw.g_00677
OG0000018	Prbg.g_00317, Prbg.g_00324	Praw.g_01944
OG0000019	Prbg.g_01611, Prbg.g_01578	Praw.g_00752
OG0000020	Prbg.g_01540, Prbg.g_00688	Praw.g_01012
OG0000022	Prbg.g_01024	Praw.g_01950
OG0000023	Prbg.g_01145	Praw.g_00479, Praw.g_00767
OG0000024	Prbg.g_00722, Prbg.g_01532	Praw.g_00951
OG0000025	Prbg.g_01352, Prbg.g_01116	Praw.g_01763
OG0000027	Prbg.g_00745	Praw.g_00502
OG0000029	Prbg.g_01535, Prbg.g_01624	Praw.g_01716
OG0000030	Prbg.g_01632	Praw.g_01715
OG0000031	Prbg.g_01855	Praw.g_00032
OG0000034	Prbg.g_00591	Praw.g_01083, Praw.g_01081
OG0000035	Prbg.g_00174	Praw.g_00448
OG0000036	Prbg.g_00698	Praw.g_00181
OG0000038	Prbg.g_00550	Praw.g_01073
OG0000039	Prbg.g_01544	Praw.g_00484
OG0000041	Prbg.g_00342, Prbg.g_00706	Praw.g_00159
OG0000043	Prbg.g_00025	Praw.g_00323
OG0000045	Prbg.g_01639, Prbg.g_00304	Praw.g_01932
OG0000046	Prbg.g_00682	Praw.g_01746
OG0000047	Prbg.g_01486	Praw.g_00234
OG0000049	Prbg.g_00551	Praw.g_01055
OG0000050	Prbg.g_00944	Praw.g_01269
OG0000051	Prbg.g_00013	Praw.g_00772
OG0000053	Prbg.g_01151	Praw.g_01809
OG0000054	Prbg.g_00716, Prbg.g_01642	Praw.g_00508
OG0000055	Prbg.g_01847	Praw.g_00039
OG0000056	Prbg.g_00842	Praw.g_01397
OG0000057	Prbg.g_00935	Praw.g_01278
OG0000058	Prbg.g_00388	Praw.g_00762
OG0000059	Prbg.g_00256	Praw.g_00609
OG0000062	Prbg.g_01182	Praw.g_01675
OG0000065	Prbg.g_01019	Praw.g_01198
OG0000066	Prbg.g_00194	Praw.g_00672
OG0000067	Prbg.g_01143	Praw.g_01824
OG0000070	Prbg.g_01234	Praw.g_01467
OG0000071	Prbg.g_01459	Praw.g_00926
OG0000072	Prbg.g_00477	Praw.g_00981
OG0000073	Prbg.g_00719	Praw.g_00474
OG0000074	Prbg.g_00549	Praw.g_01050
OG0000075	Prbg.g_01785	Praw.g_00096
OG0000077	Prbg.g_00778	Praw.g_01125
OG0000078	Prbg.g_00100	Praw.g_00812
OG0000079	Prbg.g_00459	Praw.g_00751
OG0000080	Prbg.g_01386	Praw.g_01853
OG0000081	Prbg.g_01133	Praw.g_01831
OG0000082	Prbg.g_01166	Praw.g_01690
OG0000083	Prbg.g_01507	Praw.g_01627
OG0000084	Prbg.g_01287	Praw.g_01539
OG0000085	Prbg.g_01531	Praw.g_01418
OG0000086	Prbg.g_00749	Praw.g_00201
OG0000090	Prbg.g_00552	Praw.g_01051
OG0000091	Prbg.g_00599	Praw.g_00345
OG0000092	Prbg.g_00414	Praw.g_00464
OG0000093	Prbg.g_01737	Praw.g_01894
OG0000094	Prbg.g_01781	Praw.g_00099
OG0000095	Prbg.g_01819	Praw.g_00066
OG0000096	Prbg.g_01892	Praw.g_01188
OG0000098	Prbg.g_00770	Praw.g_01133
OG0000099	Prbg.g_00851	Praw.g_01405
OG0000101	Prbg.g_00822	Praw.g_01379
OG0000102	Prbg.g_00887	Praw.g_01322
OG0000103	Prbg.g_00896	Praw.g_01314
OG0000104	Prbg.g_00913	Praw.g_01296
OG0000105	Prbg.g_00948	Praw.g_01265
OG0000106	Prbg.g_00962	Praw.g_01251
OG0000107	Prbg.g_00971	Praw.g_01243
OG0000108	Prbg.g_00981	Praw.g_01233
OG0000109	Prbg.g_01022	Praw.g_01196
OG0000110	Prbg.g_01034	Praw.g_00882
OG0000111	Prbg.g_00053	Praw.g_00860
OG0000112	Prbg.g_00064	Praw.g_00850
OG0000113	Prbg.g_00077	Praw.g_00837
OG0000114	Prbg.g_00103	Praw.g_00809
OG0000115	Prbg.g_00193	Praw.g_00673
OG0000116	Prbg.g_00195	Praw.g_00671
OG0000117	Prbg.g_00199	Praw.g_00667
OG0000118	Prbg.g_00219	Praw.g_00649
OG0000119	Prbg.g_00249	Praw.g_00616
OG0000120	Prbg.g_00250	Praw.g_00615
OG0000121	Prbg.g_00260	Praw.g_00605
OG0000122	Prbg.g_00270	Praw.g_00596
OG0000123	Prbg.g_00302	Praw.g_01931
OG0000124	Prbg.g_01405	Praw.g_01871
OG0000125	Prbg.g_01404	Praw.g_01870
OG0000126	Prbg.g_01403	Praw.g_01869
OG0000127	Prbg.g_01128	Praw.g_01836
OG0000128	Prbg.g_01153	Praw.g_01807
OG0000129	Prbg.g_01354	Praw.g_01787
OG0000130	Prbg.g_01251	Praw.g_01712
OG0000131	Prbg.g_01157	Praw.g_01699
OG0000132	Prbg.g_01194	Praw.g_01665
OG0000133	Prbg.g_01101	Praw.g_01581
OG0000134	Prbg.g_01385	Praw.g_01571
OG0000135	Prbg.g_01291	Praw.g_01535
OG0000136	Prbg.g_01237	Praw.g_01470
OG0000137	Prbg.g_00752	Praw.g_00204
OG0000139	Prbg.g_01480	Praw.g_00240
OG0000140	Prbg.g_00352	Praw.g_00291
OG0000141	Prbg.g_00687	Praw.g_00904
OG0000142	Prbg.g_00490	Praw.g_00993
OG0000143	Prbg.g_00529	Praw.g_01016
OG0000144	Prbg.g_00579	Praw.g_01096
OG0000145	Prbg.g_00592	Praw.g_01079, Praw.g_01080
OG0000146	Prbg.g_00628	Praw.g_00374
OG0000147	Prbg.g_00675	Praw.g_00414
OG0000148	Prbg.g_00676	Praw.g_00415
OG0000149	Prbg.g_01647	Praw.g_00513
OG0000150	Prbg.g_01686	Praw.g_00551
OG0000151	Prbg.g_01689	Praw.g_00554
OG0000152	Prbg.g_01709	Praw.g_01921
OG0000153	Prbg.g_01743	Praw.g_00137
OG0000154	Prbg.g_01779	Praw.g_00101
OG0000155	Prbg.g_01798	Praw.g_00083
OG0000156	Prbg.g_01831	Praw.g_00055
OG0000157	Prbg.g_01865	Praw.g_00022
OG0000158	Prbg.g_01931	Praw.g_01153
OG0000160	Prbg.g_00768	Praw.g_01135
OG0000161	Prbg.g_00769	Praw.g_01134
OG0000162	Prbg.g_00771	Praw.g_01132
