Orthogroup	Prag	Prbh
OG0000000	Prag.g_01382	Prbh.g_01016, Prbh.g_01022
OG0000000	Prag.g_00656	Prbh.g_00912, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199
OG0000002	Prag.g_01374	Prbh.g_00001
OG0000002	Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651	Prbh.g_00863
OG0000003	Prag.g_01333	Prbh.g_01901, Prbh.g_01319
OG0000004	Prag.g_00726, Prag.g_00734, Prag.g_01332	Prbh.g_01350
OG0000005	Prag.g_00721	Prbh.g_01903
OG0000006	Prag.g_00476	Prbh.g_00334
OG0000006	Prag.g_01669	Prbh.g_01782
OG0000007	Prag.g_01655	Prbh.g_01406
OG0000007	Prag.g_01656	Prbh.g_01405
OG0000009	Prag.g_00786	Prbh.g_01307
OG0000009	Prag.g_00242	Prbh.g_00530
OG0000010	Prag.g_01636, Prag.g_01103, Prag.g_01319	Prbh.g_01909, Prbh.g_01948
OG0000012	Prag.g_00576	Prbh.g_00232, Prbh.g_00225
OG0000013	Prag.g_00765	Prbh.g_00840, Prbh.g_01869
OG0000015	Prag.g_00374	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806
OG0000016	Prag.g_01385	Prbh.g_01333, Prbh.g_00194
OG0000018	Prag.g_00234, Prag.g_01231	Prbh.g_00538
OG0000019	Prag.g_01633	Prbh.g_00938
OG0000020	Prag.g_00368, Prag.g_01658	Prbh.g_00508
OG0000021	Prag.g_00788	Prbh.g_00788, Prbh.g_01870
OG0000022	Prag.g_01647	Prbh.g_01853
OG0000023	Prag.g_01600	Prbh.g_01841, Prbh.g_00193, Prbh.g_00377
OG0000024	Prag.g_00297	Prbh.g_00472
OG0000025	Prag.g_01071	Prbh.g_00850
OG0000028	Prag.g_01488	Prbh.g_00099, Prbh.g_00096
OG0000029	Prag.g_01601	Prbh.g_00376
OG0000033	Prag.g_01638	Prbh.g_01336
OG0000035	Prag.g_01259	Prbh.g_00825
OG0000036	Prag.g_00563	Prbh.g_01855
OG0000037	Prag.g_00601	Prbh.g_01460
OG0000038	Prag.g_00757	Prbh.g_00190
OG0000039	Prag.g_00159	Prbh.g_00616
OG0000040	Prag.g_00354	Prbh.g_00833
OG0000042	Prag.g_00692	Prbh.g_00945
OG0000043	Prag.g_00791	Prbh.g_01048
OG0000045	Prag.g_01428	Prbh.g_00030
OG0000046	Prag.g_01662	Prbh.g_01408
OG0000047	Prag.g_01861	Prbh.g_01581
OG0000048	Prag.g_01868	Prbh.g_01573
OG0000050	Prag.g_00031	Prbh.g_00749
OG0000051	Prag.g_00150	Prbh.g_00625
OG0000052	Prag.g_00364	Prbh.g_00821
OG0000053	Prag.g_00518	Prbh.g_01856
OG0000054	Prag.g_00751	Prbh.g_01897
OG0000055	Prag.g_00828	Prbh.g_00976
OG0000056	Prag.g_01108	Prbh.g_01334
OG0000057	Prag.g_00230	Prbh.g_00543
OG0000058	Prag.g_00454	Prbh.g_00356
OG0000059	Prag.g_00676	Prbh.g_00936
OG0000060	Prag.g_00732	Prbh.g_00775
OG0000062	Prag.g_01120	Prbh.g_01868
OG0000063	Prag.g_01298	Prbh.g_01255
OG0000065	Prag.g_01355	Prbh.g_01373
OG0000066	Prag.g_01423	Prbh.g_00031
OG0000068	Prag.g_01804	Prbh.g_01644
OG0000069	Prag.g_01416	Prbh.g_00138
OG0000071	Prag.g_00011	Prbh.g_01953
OG0000072	Prag.g_00313	Prbh.g_00457
OG0000073	Prag.g_00647	Prbh.g_01182
OG0000074	Prag.g_00669	Prbh.g_00926
OG0000075	Prag.g_00813	Prbh.g_00960
OG0000076	Prag.g_01036	Prbh.g_01031
OG0000078	Prag.g_01424	Prbh.g_00032
OG0000079	Prag.g_01568	Prbh.g_00184
OG0000080	Prag.g_01617	Prbh.g_01860
OG0000081	Prag.g_01834	Prbh.g_01609
OG0000082	Prag.g_01923	Prbh.g_01516
OG0000083	Prag.g_00003	Prbh.g_01473
OG0000084	Prag.g_00006	Prbh.g_01470
OG0000085	Prag.g_00023	Prbh.g_00757
OG0000086	Prag.g_00391	Prbh.g_01826
OG0000087	Prag.g_00049	Prbh.g_00731
OG0000088	Prag.g_00106	Prbh.g_00668
OG0000089	Prag.g_00114	Prbh.g_00659
OG0000090	Prag.g_00132	Prbh.g_00642
OG0000091	Prag.g_00162	Prbh.g_00613
OG0000092	Prag.g_00163	Prbh.g_00612
OG0000093	Prag.g_00177	Prbh.g_00599
OG0000094	Prag.g_00195	Prbh.g_00580
OG0000095	Prag.g_00200	Prbh.g_00575
OG0000096	Prag.g_00244	Prbh.g_00528
OG0000097	Prag.g_00265	Prbh.g_00505
OG0000099	Prag.g_00285	Prbh.g_00484
OG0000100	Prag.g_00288	Prbh.g_00481
OG0000101	Prag.g_00351	Prbh.g_00413
OG0000102	Prag.g_00375	Prbh.g_01825
OG0000103	Prag.g_00455	Prbh.g_00355
OG0000104	Prag.g_00459	Prbh.g_00351
OG0000105	Prag.g_00478	Prbh.g_00330
OG0000106	Prag.g_00511	Prbh.g_00297
OG0000107	Prag.g_00512	Prbh.g_00296
OG0000108	Prag.g_00522	Prbh.g_00287
OG0000109	Prag.g_00531	Prbh.g_00278
OG0000110	Prag.g_00547	Prbh.g_00260
OG0000111	Prag.g_00629	Prbh.g_01202
OG0000112	Prag.g_00630	Prbh.g_01201
OG0000113	Prag.g_00714	Prbh.g_01149
OG0000114	Prag.g_00804	Prbh.g_00951
OG0000115	Prag.g_00964	Prbh.g_01086
OG0000116	Prag.g_00968	Prbh.g_01090
OG0000117	Prag.g_01033	Prbh.g_01034
OG0000118	Prag.g_01085	Prbh.g_01328
OG0000119	Prag.g_01123	Prbh.g_01865
OG0000120	Prag.g_01159	Prbh.g_01276
OG0000121	Prag.g_01178	Prbh.g_01253
OG0000122	Prag.g_01197	Prbh.g_01233
OG0000123	Prag.g_01210	Prbh.g_01450
OG0000124	Prag.g_01219	Prbh.g_01397
OG0000125	Prag.g_01367	Prbh.g_01385
OG0000126	Prag.g_01389	Prbh.g_00009
OG0000127	Prag.g_01475	Prbh.g_00084
OG0000128	Prag.g_01491	Prbh.g_00100
OG0000129	Prag.g_01527	Prbh.g_00136
OG0000130	Prag.g_01667	Prbh.g_01785
OG0000131	Prag.g_01705	Prbh.g_01745
OG0000132	Prag.g_01708	Prbh.g_01742
OG0000133	Prag.g_01763	Prbh.g_01686
OG0000134	Prag.g_01799	Prbh.g_01650
OG0000135	Prag.g_01801	Prbh.g_01648
OG0000136	Prag.g_01845	Prbh.g_01597
OG0000137	Prag.g_01878	Prbh.g_01563
OG0000138	Prag.g_01913	Prbh.g_01528
OG0000139	Prag.g_01940	Prbh.g_01497
OG0000140	Prag.g_00001	Prbh.g_01475
OG0000141	Prag.g_00002	Prbh.g_01474
OG0000142	Prag.g_00004	Prbh.g_01472
OG0000143	Prag.g_00005	Prbh.g_01471
OG0000144	Prag.g_00007	Prbh.g_01469
OG0000145	Prag.g_00008	Prbh.g_01468
OG0000146	Prag.g_00009	Prbh.g_01467
OG0000147	Prag.g_00010	Prbh.g_01466
OG0000148	Prag.g_00012	Prbh.g_01952
OG0000149	Prag.g_00014	Prbh.g_00766
OG0000150	Prag.g_00015	Prbh.g_00765
OG0000151	Prag.g_00016	Prbh.g_00764
OG0000152	Prag.g_00017	Prbh.g_00763
OG0000153	Prag.g_00018	Prbh.g_00762
OG0000154	Prag.g_00019	Prbh.g_00761
OG0000155	Prag.g_00020	Prbh.g_00760
OG0000156	Prag.g_00021	Prbh.g_00759
OG0000157	Prag.g_00022	Prbh.g_00758
OG0000158	Prag.g_00024	Prbh.g_00756
OG0000159	Prag.g_00025	Prbh.g_00755
OG0000160	Prag.g_00026	Prbh.g_00754
OG0000161	Prag.g_00027	Prbh.g_00753
OG0000162	Prag.g_00028	Prbh.g_00752
OG0000163	Prag.g_00029	Prbh.g_00751
OG0000164	Prag.g_00032	Prbh.g_00748
OG0000165	Prag.g_00035	Prbh.g_00746
OG0000166	Prag.g_00036	Prbh.g_00745
OG0000167	Prag.g_00037	Prbh.g_00744
OG0000168	Prag.g_00040	Prbh.g_00743
OG0000169	Prag.g_00042	Prbh.g_00741
OG0000170	Prag.g_00043	Prbh.g_00739
OG0000171	Prag.g_00044	Prbh.g_00738
OG0000172	Prag.g_00045	Prbh.g_00737
OG0000173	Prag.g_00046	Prbh.g_00734
OG0000174	Prag.g_00047	Prbh.g_00733
OG0000175	Prag.g_00048	Prbh.g_00732
OG0000176	Prag.g_00050	Prbh.g_00730
OG0000177	Prag.g_00051	Prbh.g_00729
OG0000178	Prag.g_00052	Prbh.g_00728
OG0000179	Prag.g_00058	Prbh.g_00719
