Orthogroup	Prag	Prbi
OG0000000	Prag.g_01382	Prbi.g_01432
OG0000000	Prag.g_00656	Prbi.g_00681
OG0000001	Prag.g_01213	Prbi.g_01268
OG0000001	Prag.g_01213	Prbi.g_01708
OG0000001	Prag.g_01607	Prbi.g_01268
OG0000001	Prag.g_01607	Prbi.g_01708
OG0000001	Prag.g_01650	Prbi.g_01268
OG0000001	Prag.g_01650	Prbi.g_01708
OG0000001	Prag.g_01626	Prbi.g_01370
OG0000002	Prag.g_01374	Prbi.g_01424
OG0000002	Prag.g_00764, Prag.g_01216, Prag.g_01215	Prbi.g_01270
OG0000003	Prag.g_01649, Prag.g_01610	Prbi.g_01710
OG0000003	Prag.g_01333	Prbi.g_01371
OG0000004	Prag.g_00726	Prbi.g_00775
OG0000004	Prag.g_00734	Prbi.g_00782
OG0000005	Prag.g_01608	Prbi.g_01709
OG0000006	Prag.g_00476	Prbi.g_00500
OG0000006	Prag.g_01669	Prbi.g_01787
OG0000007	Prag.g_01655	Prbi.g_01764
OG0000007	Prag.g_00650	Prbi.g_00675
OG0000007	Prag.g_01656	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000008	Prag.g_00376	Prbi.g_00408
OG0000008	Prag.g_01300	Prbi.g_01331
OG0000009	Prag.g_00786	Prbi.g_00827
OG0000009	Prag.g_00242	Prbi.g_00273
OG0000010	Prag.g_01103	Prbi.g_01156
OG0000010	Prag.g_01319	Prbi.g_01352
OG0000011	Prag.g_00321	Prbi.g_00354
OG0000012	Prag.g_00576	Prbi.g_00600
OG0000014	Prag.g_01336	Prbi.g_01374
OG0000015	Prag.g_00374	Prbi.g_00406
OG0000016	Prag.g_01385	Prbi.g_01435
OG0000017	Prag.g_01510	Prbi.g_01611
OG0000018	Prag.g_00234, Prag.g_01231	Prbi.g_00265
OG0000019	Prag.g_01633	Prbi.g_01742
OG0000021	Prag.g_00788	Prbi.g_00829
OG0000022	Prag.g_01647, Prag.g_01335, Prag.g_00719	Prbi.g_01373
OG0000023	Prag.g_01600	Prbi.g_01701, Prbi.g_01338
OG0000024	Prag.g_00297	Prbi.g_00330
OG0000025	Prag.g_01071	Prbi.g_01122
OG0000026	Prag.g_00033	Prbi.g_00033
OG0000027	Prag.g_00730	Prbi.g_00778
OG0000028	Prag.g_01488	Prbi.g_01589
OG0000028	Prag.g_01490	Prbi.g_01591
OG0000029	Prag.g_01601	Prbi.g_01702
OG0000030	Prag.g_00038	Prbi.g_00047, Prbi.g_01743
OG0000031	Prag.g_01329	Prbi.g_01364
OG0000032	Prag.g_01446	Prbi.g_01467
