Orthogroup	Prag	Prau
OG0000000	Prag.g_01382	Prau.g_01402
OG0000000	Prag.g_00656	Prau.g_00718
OG0000001	Prag.g_01213	Prau.g_01266
OG0000001	Prag.g_01213	Prau.g_01647
OG0000001	Prag.g_01607	Prau.g_01266
OG0000001	Prag.g_01607	Prau.g_01647
OG0000001	Prag.g_01650	Prau.g_01266
OG0000001	Prag.g_01650	Prau.g_01647
OG0000002	Prag.g_01374	Prau.g_01394
OG0000002	Prag.g_01651	Prau.g_01267, Prau.g_01269
OG0000003	Prag.g_01649, Prag.g_01610	Prau.g_01650
OG0000003	Prag.g_01333	Prau.g_01350
OG0000004	Prag.g_00726	Prau.g_00785
OG0000004	Prag.g_00734	Prau.g_00792
OG0000005	Prag.g_00721	Prau.g_01665
OG0000005	Prag.g_01608	Prau.g_01648
OG0000006	Prag.g_00476	Prau.g_00538
OG0000006	Prag.g_01669	Prau.g_01732
OG0000007	Prag.g_01655	Prau.g_00781
OG0000007	Prag.g_00650	Prau.g_00712
OG0000008	Prag.g_00376	Prau.g_00387
OG0000008	Prag.g_01300	Prau.g_01319
OG0000009	Prag.g_00786	Prau.g_00834
OG0000009	Prag.g_00242	Prau.g_00251
OG0000010	Prag.g_01103	Prau.g_01156
OG0000010	Prag.g_01319	Prau.g_01331
OG0000011	Prag.g_00321	Prau.g_00332
OG0000012	Prag.g_00576	Prau.g_00636
OG0000013	Prag.g_00765	Prau.g_00817
OG0000014	Prag.g_01336	Prau.g_01353
OG0000015	Prag.g_00374	Prau.g_00385
OG0000016	Prag.g_01385	Prau.g_01405
OG0000017	Prag.g_01510	Prau.g_01551
OG0000018	Prag.g_00234, Prag.g_01231	Prau.g_00243, Prau.g_01316
OG0000019	Prag.g_01633	Prau.g_01680
OG0000021	Prag.g_00788	Prau.g_00836
OG0000022	Prag.g_01647, Prag.g_01335, Prag.g_00719	Prau.g_01352
OG0000023	Prag.g_01600	Prau.g_01641, Prau.g_01324
OG0000024	Prag.g_00297	Prau.g_00308, Prau.g_01470
OG0000025	Prag.g_01071	Prau.g_01123
OG0000026	Prag.g_00033	Prau.g_00032
OG0000027	Prag.g_00730	Prau.g_00788
OG0000028	Prag.g_01488	Prau.g_01528
OG0000028	Prag.g_01490	Prau.g_01531
OG0000029	Prag.g_01601	Prau.g_01642
OG0000030	Prag.g_00038	Prau.g_01268
OG0000031	Prag.g_01329	Prau.g_01347
OG0000031	Prag.g_01645	Prau.g_01681
OG0000033	Prag.g_01638, Prag.g_00013	Prau.g_00013
OG0000034	Prag.g_01444	Prau.g_01489
OG0000035	Prag.g_01075	Prau.g_01126
OG0000036	Prag.g_00563	Prau.g_00624
OG0000037	Prag.g_00601	Prau.g_00663
OG0000038	Prag.g_00757	Prau.g_00814
OG0000039	Prag.g_00159	Prau.g_00167
OG0000040	Prag.g_00354	Prau.g_00362
OG0000041	Prag.g_00396	Prau.g_00432
OG0000042	Prag.g_00692	Prau.g_00755
OG0000043	Prag.g_00791	Prau.g_00839
OG0000044	Prag.g_01153	Prau.g_01206
OG0000046	Prag.g_01662	Prau.g_01725
OG0000047	Prag.g_01861	Prau.g_01925
OG0000048	Prag.g_01868	Prau.g_01932
OG0000050	Prag.g_00031	Prau.g_00030
OG0000051	Prag.g_00150	Prau.g_00158
OG0000052	Prag.g_00364	Prau.g_00373
OG0000053	Prag.g_00518	Prau.g_00579
OG0000054	Prag.g_00751	Prau.g_00808
OG0000055	Prag.g_00828	Prau.g_00876
OG0000056	Prag.g_01108	Prau.g_01162
OG0000057	Prag.g_00230	Prau.g_00238
OG0000058	Prag.g_00454	Prau.g_00516
OG0000059	Prag.g_00676	Prau.g_00738
OG0000060	Prag.g_00732	Prau.g_00790
OG0000061	Prag.g_00984	Prau.g_01035
OG0000062	Prag.g_01120	Prau.g_01174
OG0000063	Prag.g_01298	Prau.g_01318
OG0000064	Prag.g_01308	Prau.g_01325, Prau.g_01677, Prau.g_00783
OG0000065	Prag.g_01355	Prau.g_01371
OG0000066	Prag.g_01423	Prau.g_01430
OG0000068	Prag.g_01804	Prau.g_01869
OG0000069	Prag.g_01416	Prau.g_01446
OG0000071	Prag.g_00011	Prau.g_00011
OG0000073	Prag.g_00647	Prau.g_00709
OG0000074	Prag.g_00669	Prau.g_00731
OG0000075	Prag.g_00813	Prau.g_00861
OG0000076	Prag.g_01036	Prau.g_01089
OG0000078	Prag.g_01424	Prau.g_01435, Prau.g_01434, Prau.g_01491
OG0000079	Prag.g_01568	Prau.g_01609
OG0000080	Prag.g_01617	Prau.g_01658
OG0000081	Prag.g_01834	Prau.g_01899
OG0000082	Prag.g_01923	Prau.g_01297, Prau.g_01987
OG0000083	Prag.g_00003	Prau.g_00003
OG0000084	Prag.g_00006	Prau.g_00006
OG0000085	Prag.g_00023	Prau.g_00023
OG0000086	Prag.g_00039	Prau.g_00046
OG0000086	Prag.g_00391	Prau.g_00429
OG0000087	Prag.g_00049	Prau.g_00057
OG0000088	Prag.g_00106	Prau.g_00114
OG0000089	Prag.g_00114	Prau.g_00122
OG0000090	Prag.g_00132	Prau.g_00140
OG0000091	Prag.g_00162	Prau.g_00170
OG0000092	Prag.g_00163	Prau.g_00171
OG0000093	Prag.g_00177	Prau.g_00185
OG0000094	Prag.g_00195	Prau.g_00203
OG0000095	Prag.g_00200	Prau.g_00208
OG0000096	Prag.g_00244	Prau.g_00253
OG0000097	Prag.g_00265	Prau.g_00276
OG0000098	Prag.g_00275	Prau.g_00286
OG0000099	Prag.g_00285	Prau.g_00296
OG0000100	Prag.g_00288	Prau.g_00299
OG0000101	Prag.g_00351	Prau.g_00359
OG0000102	Prag.g_00375	Prau.g_00386
OG0000103	Prag.g_00455	Prau.g_00517
OG0000104	Prag.g_00459	Prau.g_00521
OG0000105	Prag.g_00478	Prau.g_00540
OG0000106	Prag.g_00511	Prau.g_00572
OG0000107	Prag.g_00512	Prau.g_00573
OG0000108	Prag.g_00522	Prau.g_00583
OG0000109	Prag.g_00531	Prau.g_00592
OG0000110	Prag.g_00547	Prau.g_00608
OG0000111	Prag.g_00629	Prau.g_00691
OG0000112	Prag.g_00630	Prau.g_00692
OG0000113	Prag.g_00714	Prau.g_00777
OG0000114	Prag.g_00804	Prau.g_00852
OG0000115	Prag.g_00964	Prau.g_01015
OG0000116	Prag.g_00968	Prau.g_01019
OG0000117	Prag.g_01033	Prau.g_01086
OG0000118	Prag.g_01085	Prau.g_01136
OG0000119	Prag.g_01123	Prau.g_01177
OG0000120	Prag.g_01159	Prau.g_01212
OG0000121	Prag.g_01178	Prau.g_01231
OG0000122	Prag.g_01197	Prau.g_01250
OG0000123	Prag.g_01210	Prau.g_01263
OG0000124	Prag.g_01219	Prau.g_01271
OG0000125	Prag.g_01367	Prau.g_01383
OG0000126	Prag.g_01389	Prau.g_01409
OG0000127	Prag.g_01475	Prau.g_01515
OG0000128	Prag.g_01491	Prau.g_01532
OG0000129	Prag.g_01527	Prau.g_01568
OG0000130	Prag.g_01667	Prau.g_01730
OG0000131	Prag.g_01705	Prau.g_01768
OG0000132	Prag.g_01708	Prau.g_01771
OG0000133	Prag.g_01763	Prau.g_01828
OG0000134	Prag.g_01799	Prau.g_01864
OG0000135	Prag.g_01801	Prau.g_01866
OG0000136	Prag.g_01845	Prau.g_01910
OG0000137	Prag.g_01878	Prau.g_01942
OG0000138	Prag.g_01913	Prau.g_01978
OG0000139	Prag.g_01940	Prau.g_02004
OG0000140	Prag.g_00001	Prau.g_00001
OG0000141	Prag.g_00002	Prau.g_00002
OG0000142	Prag.g_00004	Prau.g_00004
OG0000143	Prag.g_00005	Prau.g_00005
OG0000144	Prag.g_00007	Prau.g_00007
OG0000145	Prag.g_00008	Prau.g_00008
OG0000146	Prag.g_00009	Prau.g_00009
OG0000147	Prag.g_00010	Prau.g_00010
OG0000148	Prag.g_00012	Prau.g_00012
OG0000149	Prag.g_00014	Prau.g_00014
OG0000150	Prag.g_00015	Prau.g_00015
OG0000151	Prag.g_00016	Prau.g_00016
OG0000152	Prag.g_00017	Prau.g_00017
OG0000153	Prag.g_00018	Prau.g_00018
OG0000154	Prag.g_00019	Prau.g_00019
OG0000155	Prag.g_00020	Prau.g_00020
OG0000156	Prag.g_00021	Prau.g_00021
OG0000157	Prag.g_00022	Prau.g_00022
OG0000158	Prag.g_00024	Prau.g_00024
OG0000159	Prag.g_00025	Prau.g_00025
OG0000160	Prag.g_00026	Prau.g_00026
OG0000161	Prag.g_00027	Prau.g_00027
OG0000162	Prag.g_00028	Prau.g_00028
OG0000163	Prag.g_00029	Prau.g_00029
OG0000164	Prag.g_00032	Prau.g_00031
OG0000165	Prag.g_00035	Prau.g_00034
OG0000166	Prag.g_00036	Prau.g_00035
OG0000167	Prag.g_00037	Prau.g_00036
OG0000168	Prag.g_00040	Prau.g_00047
OG0000169	Prag.g_00042	Prau.g_00049
OG0000170	Prag.g_00043	Prau.g_00050
OG0000171	Prag.g_00044	Prau.g_00051
OG0000172	Prag.g_00045	Prau.g_00053
OG0000173	Prag.g_00046	Prau.g_00054
OG0000174	Prag.g_00047	Prau.g_00055
OG0000175	Prag.g_00048	Prau.g_00056
OG0000176	Prag.g_00050	Prau.g_00058
OG0000177	Prag.g_00051	Prau.g_00059
OG0000178	Prag.g_00052	Prau.g_00060
OG0000179	Prag.g_00058	Prau.g_00066
OG0000180	Prag.g_00059	Prau.g_00067
OG0000181	Prag.g_00060	Prau.g_00068
OG0000182	Prag.g_00063	Prau.g_00071
OG0000183	Prag.g_00064	Prau.g_00072
OG0000184	Prag.g_00067	Prau.g_00074
OG0000185	Prag.g_00071	Prau.g_00078
OG0000186	Prag.g_00072	Prau.g_00079
OG0000187	Prag.g_00073	Prau.g_00080
OG0000188	Prag.g_00074	Prau.g_00081
OG0000189	Prag.g_00075	Prau.g_00082
OG0000190	Prag.g_00076	Prau.g_00083
OG0000191	Prag.g_00077	Prau.g_00084
OG0000192	Prag.g_00078	Prau.g_00085
OG0000193	Prag.g_00079	Prau.g_00086
OG0000194	Prag.g_00080	Prau.g_00087
OG0000195	Prag.g_00082	Prau.g_00089
OG0000196	Prag.g_00083	Prau.g_00090
OG0000197	Prag.g_00084	Prau.g_00091
OG0000198	Prag.g_00085	Prau.g_00092
OG0000199	Prag.g_00087	Prau.g_00095
OG0000200	Prag.g_00088	Prau.g_00096
OG0000201	Prag.g_00089	Prau.g_00097
OG0000202	Prag.g_00090	Prau.g_00098
