Orthogroup	Prag	Prbd
OG0000000	Prag.g_01382	Prbd.g_01771
OG0000000	Prag.g_00656	Prbd.g_00566
OG0000001	Prag.g_01213	Prbd.g_00528
OG0000001	Prag.g_01607	Prbd.g_00528
OG0000001	Prag.g_01650	Prbd.g_00528
OG0000001	Prag.g_01626	Prbd.g_01836
OG0000001	Prag.g_00722	Prbd.g_01569
OG0000002	Prag.g_01374	Prbd.g_01779
OG0000002	Prag.g_01651	Prbd.g_01930
OG0000003	Prag.g_01649, Prag.g_01610	Prbd.g_01567
OG0000003	Prag.g_01333	Prbd.g_01835
OG0000004	Prag.g_00726	Prbd.g_00031
OG0000004	Prag.g_00734	Prbd.g_00038
OG0000004	Prag.g_01332	Prbd.g_01855
OG0000005	Prag.g_00721	Prbd.g_01914
OG0000005	Prag.g_01608	Prbd.g_01568
OG0000006	Prag.g_00476	Prbd.g_00745
OG0000006	Prag.g_01669	Prbd.g_01525
OG0000007	Prag.g_00650	Prbd.g_00572
OG0000008	Prag.g_00376	Prbd.g_00854
OG0000008	Prag.g_01300	Prbd.g_01894
OG0000009	Prag.g_00786	Prbd.g_00082
OG0000009	Prag.g_00242	Prbd.g_00990
OG0000010	Prag.g_01636	Prbd.g_01840
OG0000010	Prag.g_01103	Prbd.g_00409
OG0000010	Prag.g_01319	Prbd.g_01870
OG0000011	Prag.g_00321	Prbd.g_00909
OG0000012	Prag.g_00576	Prbd.g_00646
OG0000013	Prag.g_00765	Prbd.g_00826
OG0000014	Prag.g_01336	Prbd.g_01832
OG0000015	Prag.g_00374	Prbd.g_00856
OG0000016	Prag.g_01385	Prbd.g_01768
OG0000017	Prag.g_01510	Prbd.g_01669
OG0000018	Prag.g_00234, Prag.g_01231	Prbd.g_00998
OG0000019	Prag.g_01633	Prbd.g_01546
OG0000020	Prag.g_01658	Prbd.g_00439
OG0000021	Prag.g_00788	Prbd.g_00084
OG0000022	Prag.g_01647, Prag.g_01335, Prag.g_00719	Prbd.g_01833
OG0000023	Prag.g_01600	Prbd.g_01576, Prbd.g_01887
OG0000024	Prag.g_00297	Prbd.g_00933
OG0000025	Prag.g_01071	Prbd.g_00375
OG0000026	Prag.g_00033	Prbd.g_01204
OG0000027	Prag.g_00730	Prbd.g_00034
OG0000028	Prag.g_01488, Prag.g_01490	Prbd.g_01689
OG0000029	Prag.g_01601	Prbd.g_01575
OG0000033	Prag.g_01638, Prag.g_00013	Prbd.g_01224
OG0000035	Prag.g_01259	Prbd.g_00192
OG0000035	Prag.g_01075	Prbd.g_00379
OG0000036	Prag.g_00563	Prbd.g_00658
OG0000037	Prag.g_00601	Prbd.g_00621
OG0000038	Prag.g_00757	Prbd.g_00061
OG0000039	Prag.g_00159	Prbd.g_01074
OG0000040	Prag.g_00354	Prbd.g_00879
OG0000041	Prag.g_00396	Prbd.g_00833
OG0000042	Prag.g_00692	Prbd.g_00007
OG0000043	Prag.g_00791	Prbd.g_00087
OG0000044	Prag.g_01153	Prbd.g_00468
OG0000045	Prag.g_01428	Prbd.g_01733
OG0000046	Prag.g_01662	Prbd.g_01532
OG0000047	Prag.g_01861	Prbd.g_01335
OG0000048	Prag.g_01868	Prbd.g_01328
OG0000050	Prag.g_00031	Prbd.g_01206
OG0000051	Prag.g_00150	Prbd.g_01083
OG0000052	Prag.g_00364	Prbd.g_00868
OG0000053	Prag.g_00518	Prbd.g_00703
OG0000054	Prag.g_00751	Prbd.g_00055
OG0000055	Prag.g_00828	Prbd.g_00124
OG0000058	Prag.g_00454	Prbd.g_00767
OG0000059	Prag.g_00676	Prbd.g_00546
OG0000060	Prag.g_00732	Prbd.g_00036
OG0000061	Prag.g_01118	Prbd.g_00425
OG0000061	Prag.g_00984	Prbd.g_00284
OG0000062	Prag.g_01120	Prbd.g_00427
