Orthogroup	Syae	Syad
OG0000001	Syae.g_02061	Syad.g_00628
OG0000001	Syae.g_01416	Syad.g_02864
OG0000001	Syae.g_01417	Syad.g_02865
OG0000001	Syae.g_02055	Syad.g_01238, Syad.g_00611
OG0000004	Syae.g_00779	Syad.g_01304
OG0000004	Syae.g_00042	Syad.g_02184
OG0000004	Syae.g_02231	Syad.g_00810
OG0000005	Syae.g_01179	Syad.g_02639
OG0000005	Syae.g_01143	Syad.g_02596
OG0000005	Syae.g_00257	Syad.g_02028
OG0000006	Syae.g_00096	Syad.g_02130
OG0000006	Syae.g_02030, Syae.g_02248	Syad.g_00588, Syad.g_00829
OG0000007	Syae.g_02328	Syad.g_00923
OG0000007	Syae.g_01163	Syad.g_02623
OG0000008	Syae.g_00752	Syad.g_01371
OG0000009	Syae.g_00561	Syad.g_01952
OG0000009	Syae.g_00171	Syad.g_00868
OG0000009	Syae.g_01361	Syad.g_02799
OG0000010	Syae.g_02529	Syad.g_02354
OG0000011	Syae.g_00268	Syad.g_02006
OG0000012	Syae.g_00049	Syad.g_02176
OG0000012	Syae.g_02397, Syae.g_02562	Syad.g_01579, Syad.g_01008
OG0000013	Syae.g_02160	Syad.g_00729
OG0000013	Syae.g_02169	Syad.g_00737
OG0000013	Syae.g_02155	Syad.g_00724
OG0000014	Syae.g_01930	Syad.g_00480
OG0000015	Syae.g_01693	Syad.g_00142
OG0000015	Syae.g_00590	Syad.g_01600, Syad.g_01601
OG0000016	Syae.g_01726	Syad.g_00176
OG0000016	Syae.g_00681	Syad.g_01460
OG0000016	Syae.g_00233	Syad.g_02065
OG0000017	Syae.g_02462	Syad.g_01084
OG0000017	Syae.g_02469	Syad.g_01091
OG0000018	Syae.g_02625	Syad.g_02306
OG0000019	Syae.g_02015	Syad.g_00569
OG0000021	Syae.g_00481	Syad.g_01835
OG0000022	Syae.g_00144	Syad.g_02090
OG0000023	Syae.g_00439	Syad.g_02337
OG0000023	Syae.g_00930	Syad.g_01583
OG0000025	Syae.g_00833	Syad.g_01241
