Orthogroup	Syae	Prba
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prba.g_00211
OG0000004	Syae.g_00779	Prba.g_01622
OG0000004	Syae.g_00042, Syae.g_02231	Prba.g_00451
OG0000005	Syae.g_01179	Prba.g_00607
OG0000005	Syae.g_01143	Prba.g_00312
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prba.g_00460
OG0000007	Syae.g_02328	Prba.g_00964
OG0000007	Syae.g_01163	Prba.g_00226
OG0000008	Syae.g_00753	Prba.g_01131
OG0000009	Syae.g_00561, Syae.g_00171	Prba.g_01142, Prba.g_00276
OG0000009	Syae.g_00100, Syae.g_01361	Prba.g_01893
OG0000010	Syae.g_02529	Prba.g_01256
OG0000011	Syae.g_00268	Prba.g_00900, Prba.g_01165
OG0000011	Syae.g_00750	Prba.g_01132
OG0000012	Syae.g_00049, Syae.g_02397, Syae.g_02562	Prba.g_01694
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prba.g_00543
OG0000014	Syae.g_01930	Prba.g_00522
OG0000014	Syae.g_01850	Prba.g_00159
OG0000015	Syae.g_01693, Syae.g_00590	Prba.g_01538
OG0000016	Syae.g_01726	Prba.g_01806
OG0000017	Syae.g_02462, Syae.g_02469	Prba.g_01719
OG0000018	Syae.g_02625	Prba.g_00083
OG0000019	Syae.g_02015	Prba.g_00468, Prba.g_01519
OG0000021	Syae.g_01261, Syae.g_00481	Prba.g_00245, Prba.g_00858
OG0000022	Syae.g_00144	Prba.g_00101
OG0000023	Syae.g_00439, Syae.g_00930	Prba.g_00854
OG0000025	Syae.g_00833	Prba.g_00547, Prba.g_01464
OG0000026	Syae.g_01748	Prba.g_01824, Prba.g_01249
OG0000027	Syae.g_00103, Syae.g_00814	Prba.g_00991, Prba.g_01175
OG0000028	Syae.g_01916	Prba.g_01126, Prba.g_00536
OG0000029	Syae.g_00136	Prba.g_01551, Prba.g_00869
OG0000030	Syae.g_01817, Syae.g_01816	Prba.g_00778
OG0000031	Syae.g_01911	Prba.g_00173
