Orthogroup	Syae	Prat
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prat.g_01285, Prat.g_01286
OG0000004	Syae.g_00779	Prat.g_00772
OG0000004	Syae.g_00042, Syae.g_02231	Prat.g_00236
OG0000005	Syae.g_01143	Prat.g_01440
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prat.g_00248
OG0000007	Syae.g_02328	Prat.g_00458
OG0000007	Syae.g_01163	Prat.g_01592
OG0000008	Syae.g_00753	Prat.g_00376
OG0000008	Syae.g_00752	Prat.g_00377
OG0000009	Syae.g_00561, Syae.g_00171	Prat.g_01451
OG0000010	Syae.g_02529	Prat.g_00682, Prat.g_00662
OG0000011	Syae.g_00750	Prat.g_01532
OG0000012	Syae.g_00049	Prat.g_00586
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prat.g_00334
OG0000014	Syae.g_01930	Prat.g_00314
OG0000014	Syae.g_01850	Prat.g_01267
OG0000015	Syae.g_01693, Syae.g_00590	Prat.g_00701
OG0000016	Syae.g_01726	Prat.g_00014
OG0000016	Syae.g_00681, Syae.g_00233	Prat.g_01219
OG0000017	Syae.g_02462	Prat.g_00560
OG0000017	Syae.g_02469	Prat.g_00567
OG0000018	Syae.g_02625	Prat.g_01177
OG0000019	Syae.g_02015	Prat.g_00255, Prat.g_01180
OG0000021	Syae.g_00481	Prat.g_00854, Prat.g_00461
OG0000022	Syae.g_00144	Prat.g_01448
OG0000023	Syae.g_00439, Syae.g_00930	Prat.g_00834
OG0000025	Syae.g_00833	Prat.g_01003
OG0000026	Syae.g_01748	Prat.g_00033
OG0000027	Syae.g_00103, Syae.g_00814	Prat.g_01474, Prat.g_01548
OG0000028	Syae.g_01916	Prat.g_00380, Prat.g_00327
OG0000030	Syae.g_01817, Syae.g_01816	Prat.g_01799
OG0000032	Syae.g_02607	Prat.g_01394
OG0000033	Syae.g_01453	Prat.g_01265
OG0000034	Syae.g_00975, Syae.g_01424	Prat.g_01259
OG0000035	Syae.g_02653	Prat.g_01353, Prat.g_01352
OG0000037	Syae.g_01367	Prat.g_00106
OG0000038	Syae.g_01571	Prat.g_01839
OG0000039	Syae.g_00822, Syae.g_02495	Prat.g_00760
OG0000041	Syae.g_01042, Syae.g_00802	Prat.g_01640
OG0000042	Syae.g_01821	Prat.g_01796
OG0000043	Syae.g_00117	Prat.g_01176
OG0000044	Syae.g_00098, Syae.g_01067	Prat.g_00619
OG0000045	Syae.g_00732	Prat.g_01203
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prat.g_00335
OG0000047	Syae.g_02184	Prat.g_00374
OG0000048	Syae.g_01982	Prat.g_00278
OG0000050	Syae.g_00122	Prat.g_00685
OG0000052	Syae.g_01886	Prat.g_00058
OG0000053	Syae.g_02629	Prat.g_01375
OG0000054	Syae.g_00014, Syae.g_00221	Prat.g_00569
OG0000057	Syae.g_00782	Prat.g_00775
OG0000058	Syae.g_01905, Syae.g_01227	Prat.g_01311
OG0000059	Syae.g_02074	Prat.g_01679
OG0000061	Syae.g_00921	Prat.g_01156
OG0000062	Syae.g_01145	Prat.g_01442
OG0000063	Syae.g_01752	Prat.g_01516
OG0000064	Syae.g_01137, Syae.g_00012, Syae.g_01631, Syae.g_00194	Prat.g_00064
OG0000065	Syae.g_01363, Syae.g_00722	Prat.g_00104
OG0000066	Syae.g_02386	Prat.g_01499
OG0000067	Syae.g_00521	Prat.g_01037
OG0000068	Syae.g_02299	Prat.g_01291
OG0000069	Syae.g_00458	Prat.g_01400
OG0000070	Syae.g_00979	Prat.g_00412
OG0000071	Syae.g_00961	Prat.g_01249
OG0000072	Syae.g_01455	Prat.g_00172
OG0000073	Syae.g_02330	Prat.g_00462
OG0000074	Syae.g_00719	Prat.g_01577
OG0000075	Syae.g_01871	Prat.g_01761
