Orthogroup	Syae	Prbc
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbc.g_00588
OG0000004	Syae.g_00779	Prbc.g_01381
OG0000004	Syae.g_00042, Syae.g_02231	Prbc.g_00339
OG0000005	Syae.g_01179	Prbc.g_00098
OG0000005	Syae.g_01143	Prbc.g_00788
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prbc.g_02202
OG0000007	Syae.g_02328	Prbc.g_01556
OG0000007	Syae.g_01163	Prbc.g_00832
OG0000008	Syae.g_00753	Prbc.g_00893
OG0000008	Syae.g_00752	Prbc.g_00894
OG0000009	Syae.g_00561, Syae.g_00171	Prbc.g_01344
OG0000010	Syae.g_02529	Prbc.g_02115
OG0000011	Syae.g_00268	Prbc.g_00164
OG0000011	Syae.g_00750	Prbc.g_00136, Prbc.g_00616
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prbc.g_01219
OG0000014	Syae.g_01930	Prbc.g_01198
OG0000014	Syae.g_01850	Prbc.g_00680
OG0000015	Syae.g_01693, Syae.g_00590	Prbc.g_00599
OG0000016	Syae.g_01726	Prbc.g_01083
OG0000016	Syae.g_00681, Syae.g_00233	Prbc.g_00929
OG0000018	Syae.g_02625	Prbc.g_01468
OG0000019	Syae.g_02015	Prbc.g_01836
OG0000021	Syae.g_00481	Prbc.g_00924, Prbc.g_02189
OG0000022	Syae.g_00144	Prbc.g_01288
OG0000023	Syae.g_00439, Syae.g_00930	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000025	Syae.g_00833	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syae.g_01748	Prbc.g_01101
OG0000027	Syae.g_00103, Syae.g_00814	Prbc.g_00072
OG0000028	Syae.g_01916	Prbc.g_00653
OG0000030	Syae.g_01817, Syae.g_01816	Prbc.g_00199
OG0000031	Syae.g_01911	Prbc.g_01228
OG0000032	Syae.g_02607	Prbc.g_00746
OG0000033	Syae.g_01453	Prbc.g_00402
OG0000034	Syae.g_00975, Syae.g_01424	Prbc.g_00575
OG0000035	Syae.g_02653	Prbc.g_00709
OG0000037	Syae.g_01367	Prbc.g_00464
OG0000038	Syae.g_01571	Prbc.g_00995
OG0000039	Syae.g_00822, Syae.g_02495	Prbc.g_01768
OG0000041	Syae.g_01042, Syae.g_00802	Prbc.g_00877
OG0000042	Syae.g_01821	Prbc.g_00203
OG0000043	Syae.g_00117	Prbc.g_01953
OG0000044	Syae.g_00098, Syae.g_01067	Prbc.g_00533
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prbc.g_01220
OG0000047	Syae.g_02184	Prbc.g_01227, Prbc.g_01273
OG0000048	Syae.g_01982	Prbc.g_01165
OG0000050	Syae.g_00122	Prbc.g_01383
OG0000050	Syae.g_01023	Prbc.g_00513
OG0000052	Syae.g_01886	Prbc.g_00518, Prbc.g_00517
OG0000053	Syae.g_02629	Prbc.g_00728
OG0000054	Syae.g_00014, Syae.g_00221	Prbc.g_01683
OG0000057	Syae.g_00782	Prbc.g_00055, Prbc.g_01780
OG0000058	Syae.g_01905, Syae.g_01227	Prbc.g_01928
OG0000059	Syae.g_02074	Prbc.g_00958
OG0000061	Syae.g_00921	Prbc.g_01446
OG0000062	Syae.g_01145	Prbc.g_00790
OG0000063	Syae.g_01752	Prbc.g_00932
OG0000065	Syae.g_01363, Syae.g_00722	Prbc.g_00466
OG0000066	Syae.g_02386	Prbc.g_01618
OG0000067	Syae.g_00521	Prbc.g_01858
OG0000068	Syae.g_02299	Prbc.g_00657
OG0000069	Syae.g_00458	Prbc.g_02181, Prbc.g_00752
OG0000070	Syae.g_00979	Prbc.g_01511
OG0000071	Syae.g_00961	Prbc.g_00566
OG0000072	Syae.g_01455	Prbc.g_00400
OG0000073	Syae.g_02330	Prbc.g_01579
OG0000074	Syae.g_00719	Prbc.g_02148
OG0000075	Syae.g_01871	Prbc.g_00236
OG0000076	Syae.g_01829	Prbc.g_00211
OG0000078	Syae.g_02243	Prbc.g_00330
OG0000079	Syae.g_02011	Prbc.g_01148
OG0000081	Syae.g_02261	Prbc.g_01610
OG0000082	Syae.g_02447	Prbc.g_00891
OG0000084	Syae.g_00857, Syae.g_02656	Prbc.g_00705
OG0000085	Syae.g_01152	Prbc.g_00826
OG0000086	Syae.g_01333	Prbc.g_00485
OG0000087	Syae.g_01414	Prbc.g_00432
OG0000088	Syae.g_01449	Prbc.g_00405
OG0000089	Syae.g_02219	Prbc.g_01268
OG0000090	Syae.g_02374	Prbc.g_01612
OG0000091	Syae.g_00082	Prbc.g_01719
OG0000092	Syae.g_00884	Prbc.g_01982
OG0000093	Syae.g_00537	Prbc.g_01843
OG0000094	Syae.g_00430	Prbc.g_01935
OG0000095	Syae.g_00793, Syae.g_00259	Prbc.g_02113
OG0000097	Syae.g_00683	Prbc.g_01400
OG0000098	Syae.g_02384, Syae.g_02058	Prbc.g_00585
OG0000099	Syae.g_01913, Syae.g_01226	Prbc.g_01229
OG0000100	Syae.g_00489	Prbc.g_00785
OG0000101	Syae.g_02125	Prbc.g_00284
OG0000102	Syae.g_01824	Prbc.g_00206
OG0000103	Syae.g_01694	Prbc.g_01053
OG0000104	Syae.g_01708	Prbc.g_01065
OG0000105	Syae.g_01977	Prbc.g_01167
OG0000106	Syae.g_00272	Prbc.g_00134, Prbc.g_00641
OG0000107	Syae.g_02032	Prbc.g_00934
OG0000108	Syae.g_02309	Prbc.g_01540
OG0000109	Syae.g_02324	Prbc.g_01553
OG0000110	Syae.g_02435	Prbc.g_01654
OG0000111	Syae.g_00783	Prbc.g_01781
OG0000112	Syae.g_00351	Prbc.g_02028
OG0000113	Syae.g_00494	Prbc.g_01882, Prbc.g_00153
OG0000114	Syae.g_00575	Prbc.g_01977
OG0000115	Syae.g_02631	Prbc.g_00801
OG0000116	Syae.g_00939	Prbc.g_01457
