Orthogroup	Syae	Praz
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praz.g_01154
OG0000004	Syae.g_00779	Praz.g_01635
OG0000004	Syae.g_00042, Syae.g_02231	Praz.g_00592
OG0000005	Syae.g_01179	Praz.g_00864
OG0000005	Syae.g_01143	Praz.g_00965
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Praz.g_00601
OG0000007	Syae.g_02328	Praz.g_01831
OG0000007	Syae.g_01163	Praz.g_00877
OG0000008	Syae.g_00753	Praz.g_01241
OG0000009	Syae.g_00561, Syae.g_00171	Praz.g_01230, Praz.g_00929
OG0000009	Syae.g_00100, Syae.g_01361	Praz.g_00465
OG0000010	Syae.g_02529	Praz.g_00074
OG0000011	Syae.g_00268	Praz.g_00768, Praz.g_01207
OG0000011	Syae.g_00750	Praz.g_01240
OG0000012	Syae.g_00049, Syae.g_02397, Syae.g_02562	Praz.g_01707
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Praz.g_00684
OG0000014	Syae.g_01930	Praz.g_00663
OG0000014	Syae.g_01850	Praz.g_01102
OG0000015	Syae.g_01693, Syae.g_00590	Praz.g_01551
OG0000016	Syae.g_01726	Praz.g_00378
OG0000017	Syae.g_02462, Syae.g_02469	Praz.g_01732
OG0000018	Syae.g_02625	Praz.g_00011
OG0000019	Syae.g_02015	Praz.g_00609, Praz.g_01532
OG0000021	Syae.g_01261, Syae.g_00481	Praz.g_00896, Praz.g_00810
OG0000022	Syae.g_00144	Praz.g_00029
OG0000023	Syae.g_00439, Syae.g_00930	Praz.g_00814
OG0000025	Syae.g_00833	Praz.g_00688, Praz.g_01477
OG0000026	Syae.g_01748	Praz.g_00396, Praz.g_00081
OG0000027	Syae.g_00103, Syae.g_00814	Praz.g_01858, Praz.g_01197
OG0000028	Syae.g_01916	Praz.g_01246, Praz.g_00677
OG0000029	Syae.g_00136	Praz.g_01564, Praz.g_00799
OG0000030	Syae.g_01817, Syae.g_01816	Praz.g_00195
OG0000031	Syae.g_01911	Praz.g_01116
OG0000034	Syae.g_00975, Syae.g_01424	Praz.g_01170
OG0000035	Syae.g_02653	Praz.g_01041
OG0000037	Syae.g_01367	Praz.g_00469
OG0000038	Syae.g_01571	Praz.g_00154
OG0000039	Syae.g_00822, Syae.g_02495	Praz.g_01644
OG0000040	Syae.g_01653	Praz.g_00012
OG0000042	Syae.g_01821	Praz.g_00198
OG0000044	Syae.g_00098, Syae.g_01067	Praz.g_00693
OG0000047	Syae.g_02184	Praz.g_00687, Praz.g_01921
OG0000048	Syae.g_01982	Praz.g_00800
OG0000050	Syae.g_00122	Praz.g_00769
OG0000050	Syae.g_01023	Praz.g_00101
OG0000051	Syae.g_00438	Praz.g_01204
OG0000052	Syae.g_01224	Praz.g_01103
OG0000053	Syae.g_02629	Praz.g_01021
OG0000054	Syae.g_00014, Syae.g_00221	Praz.g_01724
OG0000055	Syae.g_00817	Praz.g_01531
OG0000057	Syae.g_00782	Praz.g_01632
OG0000058	Syae.g_01905, Syae.g_01227	Praz.g_01096
OG0000059	Syae.g_02074	Praz.g_00311
OG0000061	Syae.g_00921	Praz.g_00755
OG0000062	Syae.g_01145	Praz.g_00963
OG0000063	Syae.g_01752	Praz.g_00398
OG0000065	Syae.g_01363, Syae.g_00722	Praz.g_00467
OG0000066	Syae.g_02386	Praz.g_01789
OG0000067	Syae.g_00521	Praz.g_01512
OG0000068	Syae.g_02299	Praz.g_01139
OG0000069	Syae.g_00458	Praz.g_00928
OG0000070	Syae.g_00979	Praz.g_01878
OG0000071	Syae.g_00961	Praz.g_01180
OG0000072	Syae.g_01455	Praz.g_00531
OG0000073	Syae.g_02330	Praz.g_01829
OG0000074	Syae.g_00719	Praz.g_01648
OG0000075	Syae.g_01871	Praz.g_00230
OG0000076	Syae.g_01829	Praz.g_00205
OG0000077	Syae.g_01297	Praz.g_00438
OG0000078	Syae.g_02243	Praz.g_00599
OG0000079	Syae.g_02011	Praz.g_00612
OG0000081	Syae.g_02261	Praz.g_01797
OG0000082	Syae.g_02447	Praz.g_01744
OG0000084	Syae.g_00857, Syae.g_02656	Praz.g_01045
OG0000085	Syae.g_01152	Praz.g_00884
OG0000086	Syae.g_01333	Praz.g_00448
OG0000087	Syae.g_01414	Praz.g_00499
OG0000088	Syae.g_01449	Praz.g_00526
OG0000089	Syae.g_02219	Praz.g_00818
OG0000090	Syae.g_02374	Praz.g_01795
OG0000091	Syae.g_00082	Praz.g_01688
OG0000092	Syae.g_00884	Praz.g_00244
OG0000093	Syae.g_00537	Praz.g_01382
OG0000094	Syae.g_00430	Praz.g_01296
OG0000095	Syae.g_00793, Syae.g_00259, Syae.g_01624	Praz.g_00066
OG0000097	Syae.g_00683	Praz.g_00713
OG0000098	Syae.g_02384, Syae.g_02058	Praz.g_01157
OG0000099	Syae.g_01913, Syae.g_01226	Praz.g_01098
OG0000100	Syae.g_00489	Praz.g_00967
OG0000101	Syae.g_02125	Praz.g_00263
OG0000102	Syae.g_01824	Praz.g_00200
OG0000103	Syae.g_01694	Praz.g_00120
OG0000104	Syae.g_01708	Praz.g_00361
OG0000105	Syae.g_01977	Praz.g_00632
OG0000106	Syae.g_00272	Praz.g_00804
OG0000107	Syae.g_02032	Praz.g_00788
OG0000108	Syae.g_02309	Praz.g_01848
OG0000109	Syae.g_02324	Praz.g_01834
