Orthogroup	Syaq	Syar
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syar.g_00069
OG0000001	Syaq.g_01434	Syar.g_00070
OG0000003	Syaq.g_01566	Syar.g_00836
OG0000004	Syaq.g_02603	Syar.g_02051
OG0000004	Syaq.g_02042	Syar.g_02225
OG0000004	Syaq.g_01567	Syar.g_00842
OG0000005	Syaq.g_01658	Syar.g_02952
OG0000005	Syaq.g_01692	Syar.g_02909
OG0000005	Syaq.g_00236	Syar.g_01752
OG0000006	Syaq.g_02108	Syar.g_02439
OG0000006	Syaq.g_00696, Syaq.g_01590	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syaq.g_01793	Syar.g_01491
OG0000007	Syaq.g_01673	Syar.g_02929
OG0000008	Syaq.g_02162	Syar.g_02097
OG0000008	Syaq.g_02575	Syar.g_02098
OG0000009	Syaq.g_01489	Syar.g_03116
OG0000010	Syaq.g_00443	Syar.g_01272
OG0000012	Syaq.g_00077	Syar.g_00690, Syar.g_02860
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Syaq.g_00862	Syar.g_00825
OG0000015	Syaq.g_00121, Syaq.g_01171	Syar.g_00451
OG0000016	Syaq.g_01136, Syaq.g_00169	Syar.g_02859
OG0000017	Syaq.g_01992	Syar.g_03181
OG0000017	Syaq.g_01999	Syar.g_02180
OG0000018	Syaq.g_00401	Syar.g_01409
OG0000019	Syaq.g_00717	Syar.g_00163
OG0000022	Syaq.g_02126	Syar.g_00835
OG0000025	Syaq.g_02381	Syar.g_01811
OG0000026	Syaq.g_01114	Syar.g_00505
OG0000028	Syaq.g_00878	Syar.g_00718
OG0000031	Syaq.g_01009	Syar.g_00714
OG0000032	Syaq.g_00421	Syar.g_01390
OG0000033	Syaq.g_01399	Syar.g_00105
OG0000034	Syaq.g_00312, Syaq.g_01431	Syar.g_00074, Syar.g_02790
OG0000035	Syaq.g_00371	Syar.g_02809
OG0000037	Syaq.g_01483	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syaq.g_01260	Syar.g_00334
