Orthogroup	Syaq	Prap
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413	Prap.g_01925
OG0000004	Syaq.g_02603	Prap.g_00802
OG0000004	Syaq.g_02042, Syaq.g_01567	Prap.g_01480
OG0000005	Syaq.g_01692	Prap.g_00204
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prap.g_01470
OG0000007	Syaq.g_01793	Prap.g_01270
OG0000007	Syaq.g_01673	Prap.g_01779
OG0000008	Syaq.g_02162	Prap.g_01888
OG0000008	Syaq.g_02575	Prap.g_01887
OG0000010	Syaq.g_00443	Prap.g_00669, Prap.g_00318
OG0000012	Syaq.g_02059	Prap.g_01145
OG0000012	Syaq.g_00077	Prap.g_00236
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prap.g_01385
OG0000014	Syaq.g_00862	Prap.g_01403
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prap.g_01840, Prap.g_01794
OG0000016	Syaq.g_00169	Prap.g_00514
OG0000017	Syaq.g_01992	Prap.g_01170
OG0000017	Syaq.g_01999	Prap.g_01163
OG0000018	Syaq.g_00401	Prap.g_00478
OG0000019	Syaq.g_00717	Prap.g_01462, Prap.g_00480
OG0000023	Syaq.g_02540	Prap.g_00029
OG0000025	Syaq.g_02381	Prap.g_00747
OG0000026	Syaq.g_01114	Prap.g_00923
OG0000028	Syaq.g_00878	Prap.g_01889
OG0000030	Syaq.g_01047, Syaq.g_01048	Prap.g_01569
OG0000031	Syaq.g_01009	Prap.g_00080
OG0000032	Syaq.g_00421	Prap.g_00160
OG0000033	Syaq.g_01399	Prap.g_00087
OG0000034	Syaq.g_00312, Syaq.g_01431	Prap.g_00572
OG0000035	Syaq.g_00372, Syaq.g_00371	Prap.g_00121
OG0000037	Syaq.g_01483	Prap.g_01067
OG0000038	Syaq.g_01260, Syaq.g_01258	Prap.g_01530
OG0000039	Syaq.g_01601, Syaq.g_01241	Prap.g_00814
OG0000041	Syaq.g_02688, Syaq.g_01612	Prap.g_01731
OG0000042	Syaq.g_00200, Syaq.g_01044	Prap.g_01572
OG0000043	Syaq.g_01920	Prap.g_00477
OG0000045	Syaq.g_02047	Prap.g_00500
OG0000046	Syaq.g_00570, Syaq.g_00573	Prap.g_01384
OG0000048	Syaq.g_00749	Prap.g_00548
OG0000052	Syaq.g_00969	Prap.g_00897
OG0000053	Syaq.g_00397	Prap.g_00142, Prap.g_01834
OG0000054	Syaq.g_02005	Prap.g_01161
OG0000057	Syaq.g_02541, Syaq.g_02605	Prap.g_00799
OG0000058	Syaq.g_00944	Prap.g_00081
OG0000059	Syaq.g_00657	Prap.g_01691
OG0000061	Syaq.g_00249	Prap.g_00456
OG0000062	Syaq.g_01690	Prap.g_00206
OG0000063	Syaq.g_01110	Prap.g_01903
OG0000064	Syaq.g_02138	Prap.g_00883
OG0000065	Syaq.g_01487, Syaq.g_01908	Prap.g_01069
OG0000066	Syaq.g_01851	Prap.g_01230, Prap.g_01867
OG0000067	Syaq.g_02340, Syaq.g_02560	Prap.g_00783
OG0000068	Syaq.g_01763	Prap.g_00059
OG0000070	Syaq.g_00484	Prap.g_01316
OG0000071	Syaq.g_00297	Prap.g_00561
OG0000072	Syaq.g_01397	Prap.g_00999
OG0000073	Syaq.g_01795	Prap.g_01267
OG0000075	Syaq.g_00986	Prap.g_01606
OG0000076	Syaq.g_01028	Prap.g_01580
OG0000077	Syaq.g_01547	Prap.g_01099
OG0000078	Syaq.g_01585	Prap.g_01472
OG0000079	Syaq.g_00721	Prap.g_01459
OG0000081	Syaq.g_01893	Prap.g_01238
OG0000082	Syaq.g_01975	Prap.g_01183, Prap.g_01790
OG0000084	Syaq.g_00367	Prap.g_00118
OG0000085	Syaq.g_01683	Prap.g_01917, Prap.g_01787
OG0000086	Syaq.g_01525	Prap.g_01090
OG0000087	Syaq.g_01438	Prap.g_01035
OG0000088	Syaq.g_01402	Prap.g_01004
OG0000089	Syaq.g_00529	Prap.g_01349
OG0000090	Syaq.g_01838	Prap.g_01236
OG0000091	Syaq.g_02090	Prap.g_00384
OG0000093	Syaq.g_02323	Prap.g_00355
OG0000094	Syaq.g_00056, Syaq.g_02554	Prap.g_00306
OG0000095	Syaq.g_02679	Prap.g_00708
OG0000097	Syaq.g_00167	Prap.g_00410
OG0000098	Syaq.g_02221, Syaq.g_01849	Prap.g_01928
OG0000099	Syaq.g_00882	Prap.g_00082
OG0000100	Syaq.g_02371	Prap.g_00200
OG0000101	Syaq.g_00607	Prap.g_01642
OG0000102	Syaq.g_01033	Prap.g_01575
OG0000103	Syaq.g_01170	Prap.g_01491
OG0000104	Syaq.g_01154	Prap.g_01869
OG0000105	Syaq.g_00754	Prap.g_01436
OG0000106	Syaq.g_01863	Prap.g_00591
OG0000107	Syaq.g_00694	Prap.g_01714
OG0000108	Syaq.g_01772	Prap.g_01287
OG0000109	Syaq.g_01788	Prap.g_01273
OG0000110	Syaq.g_01962	Prap.g_01194
OG0000111	Syaq.g_02606	Prap.g_00798
OG0000112	Syaq.g_02476	Prap.g_01121
OG0000114	Syaq.g_02269	Prap.g_00858
OG0000115	Syaq.g_00395	Prap.g_00525
OG0000116	Syaq.g_00263	Prap.g_00467
OG0000117	Syaq.g_00203	Prap.g_00429
OG0000118	Syaq.g_00325, Syaq.g_00316	Prap.g_00574
OG0000120	Syaq.g_00883	Prap.g_00079
OG0000121	Syaq.g_00375	Prap.g_00123
OG0000122	Syaq.g_02118	Prap.g_00532, Prap.g_00164
OG0000123	Syaq.g_00599	Prap.g_01635
OG0000124	Syaq.g_01055	Prap.g_01563
OG0000125	Syaq.g_01256	Prap.g_01528
OG0000126	Syaq.g_01156	Prap.g_01870
OG0000128	Syaq.g_01138	Prap.g_00043
OG0000129	Syaq.g_01269	Prap.g_00910
OG0000130	Syaq.g_01559	Prap.g_00881
OG0000131	Syaq.g_01427, Syaq.g_01424	Prap.g_01026
OG0000132	Syaq.g_01036, Syaq.g_01404	Prap.g_01006
OG0000133	Syaq.g_02481	Prap.g_01389
OG0000134	Syaq.g_00526	Prap.g_01347
OG0000135	Syaq.g_01227	Prap.g_00543
OG0000136	Syaq.g_00496	Prap.g_01325
OG0000137	Syaq.g_00442	Prap.g_01292
OG0000138	Syaq.g_01789	Prap.g_01272
OG0000139	Syaq.g_01844	Prap.g_01232
OG0000140	Syaq.g_01848	Prap.g_01231
OG0000141	Syaq.g_02010	Prap.g_01160
OG0000142	Syaq.g_02082	Prap.g_00392
OG0000143	Syaq.g_02086	Prap.g_00388
OG0000144	Syaq.g_02152	Prap.g_00374
OG0000145	Syaq.g_01796	Prap.g_00545
OG0000146	Syaq.g_02475	Prap.g_01122
OG0000147	Syaq.g_02474	Prap.g_01123
OG0000148	Syaq.g_02359	Prap.g_00766
OG0000149	Syaq.g_02395	Prap.g_00734
OG0000150	Syaq.g_02011	Prap.g_00724
OG0000151	Syaq.g_02283	Prap.g_00848
OG0000152	Syaq.g_02485	Prap.g_00257
OG0000153	Syaq.g_02518	Prap.g_00276
OG0000154	Syaq.g_00066	Prap.g_00296
OG0000155	Syaq.g_00212	Prap.g_00435
OG0000156	Syaq.g_00281	Prap.g_00550
OG0000157	Syaq.g_00282	Prap.g_00551
