Orthogroup	Syaq	Praf
OG0000001	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Praf.g_01031
OG0000001	Syaq.g_01434	Praf.g_02422
OG0000004	Syaq.g_02603	Praf.g_01121
OG0000004	Syaq.g_02042, Syaq.g_01567	Praf.g_00743
OG0000005	Syaq.g_01692	Praf.g_00503
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Praf.g_00396, Praf.g_01719
OG0000007	Syaq.g_01793	Praf.g_00614
OG0000007	Syaq.g_01673	Praf.g_00480
OG0000008	Syaq.g_02162	Praf.g_01223
OG0000008	Syaq.g_02575	Praf.g_01224
OG0000009	Syaq.g_01489	Praf.g_01768, Praf.g_00246
OG0000010	Syaq.g_00443	Praf.g_01908
OG0000012	Syaq.g_02059	Praf.g_01668
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Praf.g_02073
OG0000014	Syaq.g_00862	Praf.g_02319
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Syaq.g_01136	Praf.g_00014
OG0000016	Syaq.g_00169	Praf.g_00906
OG0000017	Syaq.g_01992	Praf.g_00752
OG0000017	Syaq.g_01999	Praf.g_00760
OG0000018	Syaq.g_00401	Praf.g_01832
OG0000019	Syaq.g_00717	Praf.g_00943, Praf.g_02214
OG0000022	Syaq.g_02126	Praf.g_00965
OG0000025	Syaq.g_02381	Praf.g_01591
OG0000026	Syaq.g_01114	Praf.g_00037
OG0000028	Syaq.g_00878	Praf.g_02333
OG0000030	Syaq.g_01047	Praf.g_00160
OG0000030	Syaq.g_01048	Praf.g_00159
OG0000031	Syaq.g_01009	Praf.g_02400
OG0000032	Syaq.g_00421	Praf.g_01851
OG0000033	Syaq.g_01399	Praf.g_02457
OG0000034	Syaq.g_00312, Syaq.g_01431	Praf.g_00783
OG0000035	Syaq.g_00371	Praf.g_01794
OG0000037	Syaq.g_01483	Praf.g_00240
OG0000038	Syaq.g_01260	Praf.g_02660
OG0000038	Syaq.g_01258	Praf.g_02662
OG0000039	Syaq.g_01601	Praf.g_00406
OG0000039	Syaq.g_01241	Praf.g_02541
OG0000041	Syaq.g_02688	Praf.g_00426
OG0000042	Syaq.g_00200, Syaq.g_01044	Praf.g_00164, Praf.g_00920
OG0000044	Syaq.g_00107	Praf.g_00356, Praf.g_01078
OG0000045	Syaq.g_02047	Praf.g_00322
OG0000046	Syaq.g_00570, Syaq.g_00573	Praf.g_02072
OG0000048	Syaq.g_00749	Praf.g_02267
OG0000052	Syaq.g_00969	Praf.g_02366
OG0000053	Syaq.g_00397	Praf.g_01828
OG0000054	Syaq.g_02005	Praf.g_00763
OG0000055	Syaq.g_02700	Praf.g_01257
OG0000057	Syaq.g_02541, Syaq.g_02605	Praf.g_01125
OG0000058	Syaq.g_00944	Praf.g_02345
OG0000059	Syaq.g_00657	Praf.g_02172
OG0000060	Syaq.g_01770	Praf.g_00592
OG0000061	Syaq.g_00249	Praf.g_00854
OG0000062	Syaq.g_01690	Praf.g_00501
OG0000063	Syaq.g_01110	Praf.g_00041
OG0000065	Syaq.g_01487	Praf.g_00244
OG0000066	Syaq.g_01851	Praf.g_00672
OG0000067	Syaq.g_02340	Praf.g_01530
OG0000068	Syaq.g_01763	Praf.g_00585, Praf.g_00583
OG0000070	Syaq.g_00484	Praf.g_01962
OG0000071	Syaq.g_00297	Praf.g_00796
OG0000073	Syaq.g_01795	Praf.g_00616
OG0000075	Syaq.g_00986	Praf.g_02384
OG0000076	Syaq.g_01028	Praf.g_00178
OG0000077	Syaq.g_01547	Praf.g_00309
OG0000078	Syaq.g_01585	Praf.g_00391
OG0000079	Syaq.g_00721	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Syaq.g_01893	Praf.g_01131
OG0000082	Syaq.g_01975	Praf.g_00731
OG0000084	Syaq.g_00367	Praf.g_01790
OG0000085	Syaq.g_01683	Praf.g_00491
OG0000086	Syaq.g_01525	Praf.g_00297
OG0000087	Syaq.g_01438	Praf.g_02420
OG0000088	Syaq.g_01402	Praf.g_02454, Praf.g_01239
OG0000089	Syaq.g_00529	Praf.g_02015
OG0000090	Syaq.g_01838	Praf.g_00660
OG0000091	Syaq.g_02090	Praf.g_01700
OG0000093	Syaq.g_02323	Praf.g_01503
OG0000094	Syaq.g_00056, Syaq.g_02554	Praf.g_02685
OG0000095	Syaq.g_02679	Praf.g_01274
OG0000097	Syaq.g_00167	Praf.g_00905
OG0000098	Syaq.g_02221, Syaq.g_01849	Praf.g_01886
OG0000099	Syaq.g_00882	Praf.g_02342
OG0000100	Syaq.g_02371	Praf.g_00370, Praf.g_01561
OG0000101	Syaq.g_00607	Praf.g_02119
OG0000102	Syaq.g_01033	Praf.g_00173
OG0000103	Syaq.g_01170	Praf.g_02765
OG0000104	Syaq.g_01154	Praf.g_02779
OG0000105	Syaq.g_00754	Praf.g_02271
OG0000106	Syaq.g_01863	Praf.g_00496
OG0000107	Syaq.g_00694	Praf.g_02201
OG0000108	Syaq.g_01772	Praf.g_00595
OG0000109	Syaq.g_01788	Praf.g_00611
OG0000110	Syaq.g_01962	Praf.g_00718
OG0000111	Syaq.g_02606	Praf.g_01126
OG0000112	Syaq.g_02476	Praf.g_01400
OG0000114	Syaq.g_02269	Praf.g_01461
OG0000115	Syaq.g_00395	Praf.g_01825
OG0000116	Syaq.g_00263	Praf.g_00825
OG0000117	Syaq.g_00203	Praf.g_00919
OG0000118	Syaq.g_00325, Syaq.g_00316	Praf.g_00779
OG0000120	Syaq.g_00883	Praf.g_02343
OG0000121	Syaq.g_00375	Praf.g_01796
OG0000122	Syaq.g_02118	Praf.g_00976
OG0000123	Syaq.g_00599	Praf.g_02108
OG0000124	Syaq.g_01055	Praf.g_00153
OG0000125	Syaq.g_01256	Praf.g_02664
OG0000126	Syaq.g_01156	Praf.g_02777
OG0000128	Syaq.g_01138	Praf.g_00012
OG0000129	Syaq.g_01269	Praf.g_02652
OG0000130	Syaq.g_01559	Praf.g_00321
OG0000131	Syaq.g_01427, Syaq.g_01424	Praf.g_02432
OG0000132	Syaq.g_01404	Praf.g_02452
OG0000133	Syaq.g_02481	Praf.g_02336
OG0000134	Syaq.g_00526	Praf.g_02012
OG0000135	Syaq.g_01227	Praf.g_02715
OG0000136	Syaq.g_00496	Praf.g_01984
OG0000137	Syaq.g_00442	Praf.g_01907
OG0000138	Syaq.g_01789	Praf.g_00612
OG0000139	Syaq.g_01844	Praf.g_00666
OG0000140	Syaq.g_01848	Praf.g_00670
OG0000141	Syaq.g_02010	Praf.g_00764
OG0000142	Syaq.g_02082	Praf.g_01692
OG0000143	Syaq.g_02086	Praf.g_01696
OG0000144	Syaq.g_02152	Praf.g_01721
OG0000145	Syaq.g_01796	Praf.g_00617
OG0000146	Syaq.g_02475	Praf.g_01401
OG0000147	Syaq.g_02474	Praf.g_01402
OG0000148	Syaq.g_02359	Praf.g_01548
OG0000149	Syaq.g_02395	Praf.g_01604
OG0000150	Syaq.g_02011	Praf.g_01625
OG0000151	Syaq.g_02283	Praf.g_01478
OG0000152	Syaq.g_02485	Praf.g_01392
OG0000153	Syaq.g_02518	Praf.g_01362
OG0000154	Syaq.g_00066	Praf.g_01337
OG0000155	Syaq.g_00212	Praf.g_00886
OG0000156	Syaq.g_00281	Praf.g_00810
OG0000157	Syaq.g_00282	Praf.g_00809
OG0000158	Syaq.g_01003	Praf.g_02394
OG0000160	Syaq.g_00374	Praf.g_01795
OG0000161	Syaq.g_00382	Praf.g_01805
OG0000162	Syaq.g_00389	Praf.g_01817
OG0000163	Syaq.g_02373, Syaq.g_01730	Praf.g_00538
OG0000164	Syaq.g_01642	Praf.g_00453
OG0000165	Syaq.g_01630	Praf.g_00444
OG0000166	Syaq.g_00647	Praf.g_02157
OG0000167	Syaq.g_00983	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Syaq.g_01004	Praf.g_02395
OG0000169	Syaq.g_01016	Praf.g_00191
OG0000170	Syaq.g_01023	Praf.g_00183
OG0000171	Syaq.g_01052	Praf.g_00154
OG0000172	Syaq.g_01074	Praf.g_00087
OG0000173	Syaq.g_01092	Praf.g_00062
OG0000174	Syaq.g_01224	Praf.g_02717
OG0000175	Syaq.g_01183	Praf.g_02754
OG0000176	Syaq.g_01146	Praf.g_00004
OG0000177	Syaq.g_01145	Praf.g_00005
OG0000178	Syaq.g_01144	Praf.g_00006
OG0000179	Syaq.g_01129	Praf.g_00021
OG0000180	Syaq.g_01128	Praf.g_00022
OG0000181	Syaq.g_01127	Praf.g_00023
OG0000182	Syaq.g_01126	Praf.g_00024
OG0000183	Syaq.g_01122	Praf.g_00028
OG0000184	Syaq.g_01277	Praf.g_02611
OG0000185	Syaq.g_01290	Praf.g_00333
OG0000186	Syaq.g_01563	Praf.g_00328
OG0000187	Syaq.g_01561	Praf.g_00326
OG0000188	Syaq.g_01539	Praf.g_00303
OG0000189	Syaq.g_01499, Syaq.g_00122	Praf.g_00257
OG0000190	Syaq.g_01497	Praf.g_00255
OG0000191	Syaq.g_01467	Praf.g_00218
OG0000192	Syaq.g_01462	Praf.g_00212
OG0000193	Syaq.g_01423	Praf.g_02433
OG0000194	Syaq.g_01420	Praf.g_02436
OG0000195	Syaq.g_01418	Praf.g_02438
OG0000196	Syaq.g_01407	Praf.g_02449
OG0000197	Syaq.g_01406	Praf.g_02450
OG0000198	Syaq.g_01405	Praf.g_02451
OG0000199	Syaq.g_01398	Praf.g_02468
OG0000200	Syaq.g_01382	Praf.g_02492
OG0000201	Syaq.g_01365	Praf.g_02511
OG0000202	Syaq.g_01364	Praf.g_02512
OG0000203	Syaq.g_01363	Praf.g_02513
