Orthogroup	Syaq	Prbg
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413	Prbg.g_00502
OG0000004	Syaq.g_02603	Prbg.g_01140
OG0000004	Syaq.g_02042, Syaq.g_01567	Prbg.g_01014
OG0000005	Syaq.g_01692	Prbg.g_00674
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prbg.g_01024
OG0000007	Syaq.g_01793	Prbg.g_00216
OG0000007	Syaq.g_01673	Prbg.g_01650
OG0000008	Syaq.g_02162	Prbg.g_00744
OG0000008	Syaq.g_02575	Prbg.g_00745
OG0000010	Syaq.g_00443	Prbg.g_01053, Prbg.g_01348
OG0000012	Syaq.g_02059	Prbg.g_00342
OG0000012	Syaq.g_00077	Prbg.g_00706
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prbg.g_00104
OG0000014	Syaq.g_00862	Prbg.g_00086
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prbg.g_01589, Prbg.g_01635
OG0000016	Syaq.g_00169	Prbg.g_01544
OG0000017	Syaq.g_01992	Prbg.g_00317
OG0000017	Syaq.g_01999	Prbg.g_00324
OG0000018	Syaq.g_00401	Prbg.g_01508
OG0000019	Syaq.g_00717	Prbg.g_01032, Prbg.g_01510
OG0000023	Syaq.g_02540	Prbg.g_00013
OG0000025	Syaq.g_02381	Prbg.g_01195
OG0000026	Syaq.g_01114	Prbg.g_00842
OG0000028	Syaq.g_00878	Prbg.g_00743
OG0000030	Syaq.g_01047, Syaq.g_01048	Prbg.g_01858
OG0000031	Syaq.g_01009	Prbg.g_00550
OG0000032	Syaq.g_00421	Prbg.g_00630
OG0000033	Syaq.g_01399	Prbg.g_00557
OG0000034	Syaq.g_00312, Syaq.g_01431	Prbg.g_00488
OG0000035	Syaq.g_00372, Syaq.g_00371	Prbg.g_00591
OG0000037	Syaq.g_01483	Prbg.g_00881
OG0000038	Syaq.g_01260, Syaq.g_01258	Prbg.g_01898
OG0000039	Syaq.g_01601, Syaq.g_01241	Prbg.g_01128
OG0000041	Syaq.g_02688, Syaq.g_01612	Prbg.g_01697
OG0000042	Syaq.g_00200, Syaq.g_01044	Prbg.g_01855
OG0000043	Syaq.g_01920	Prbg.g_01507
OG0000045	Syaq.g_02047	Prbg.g_01530
OG0000046	Syaq.g_00570, Syaq.g_00573	Prbg.g_00105
OG0000048	Syaq.g_00749	Prbg.g_00464
OG0000052	Syaq.g_00969	Prbg.g_00816
OG0000053	Syaq.g_00397	Prbg.g_00612, Prbg.g_01595
OG0000054	Syaq.g_02005	Prbg.g_00326
OG0000057	Syaq.g_02541, Syaq.g_02605	Prbg.g_01143
OG0000058	Syaq.g_00944	Prbg.g_00551
OG0000059	Syaq.g_00657	Prbg.g_01737
OG0000061	Syaq.g_00249	Prbg.g_01486
OG0000062	Syaq.g_01690	Prbg.g_00676
OG0000063	Syaq.g_01110	Prbg.g_00730
OG0000064	Syaq.g_02138	Prbg.g_00802
OG0000065	Syaq.g_01487, Syaq.g_01908	Prbg.g_00879
OG0000066	Syaq.g_01851	Prbg.g_00256
OG0000067	Syaq.g_02340, Syaq.g_02560	Prbg.g_01159
OG0000068	Syaq.g_01763	Prbg.g_00529
OG0000070	Syaq.g_00484	Prbg.g_00170
OG0000071	Syaq.g_00297	Prbg.g_00477
OG0000072	Syaq.g_01397	Prbg.g_00949
OG0000073	Syaq.g_01795	Prbg.g_00219
OG0000075	Syaq.g_00986	Prbg.g_01821
OG0000076	Syaq.g_01028	Prbg.g_01847
OG0000077	Syaq.g_01547	Prbg.g_00791
OG0000078	Syaq.g_01585	Prbg.g_01022
OG0000079	Syaq.g_00721	Prbg.g_01035
