Orthogroup	Syaq	Syag
OG0000001	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syag.g_01942
OG0000001	Syaq.g_01434	Syag.g_01943
OG0000001	Syaq.g_02178, Syaq.g_02413	Syag.g_00520
OG0000003	Syaq.g_01566, Syaq.g_00887	Syag.g_01246, Syag.g_01565, Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561
OG0000004	Syaq.g_02603	Syag.g_00988
OG0000004	Syaq.g_02042	Syag.g_00370
OG0000004	Syaq.g_01567	Syag.g_01790
OG0000005	Syaq.g_01658	Syag.g_01708
OG0000005	Syaq.g_01692	Syag.g_01667
OG0000006	Syaq.g_02108	Syag.g_00435
OG0000006	Syaq.g_00696, Syaq.g_01590	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Syaq.g_01793	Syag.g_01507
OG0000007	Syaq.g_01673	Syag.g_01687
OG0000008	Syaq.g_02162	Syag.g_00496
OG0000008	Syaq.g_02575	Syag.g_01017
OG0000009	Syaq.g_01489	Syag.g_01883
OG0000010	Syaq.g_00443	Syag.g_01355
OG0000011	Syaq.g_01038	Syag.g_01299
OG0000012	Syaq.g_02059	Syag.g_00377
OG0000012	Syaq.g_00077	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Syaq.g_00862	Syag.g_02559
OG0000015	Syaq.g_00121, Syaq.g_01171	Syag.g_02252
OG0000015	Syaq.g_02255	Syag.g_00596
OG0000016	Syaq.g_01136	Syag.g_02286
OG0000016	Syaq.g_00169	Syag.g_01066
OG0000017	Syaq.g_01992	Syag.g_00336
OG0000017	Syaq.g_01999	Syag.g_00344
OG0000018	Syaq.g_00401	Syag.g_01387
OG0000019	Syaq.g_00717	Syag.g_02663
OG0000022	Syaq.g_02126	Syag.g_00458
OG0000023	Syaq.g_02540	Syag.g_00261, Syag.g_00234
OG0000025	Syaq.g_02381	Syag.g_00718
OG0000026	Syaq.g_01114	Syag.g_02309
OG0000028	Syaq.g_00878	Syag.g_02540
OG0000030	Syaq.g_01047	Syag.g_02375
OG0000030	Syaq.g_01048	Syag.g_02374
OG0000031	Syaq.g_01009	Syag.g_02510
OG0000032	Syaq.g_00421	Syag.g_01366
OG0000033	Syaq.g_01399	Syag.g_01978
OG0000034	Syaq.g_00312, Syaq.g_01431	Syag.g_01225, Syag.g_01947
OG0000035	Syaq.g_00372	Syag.g_01420
OG0000035	Syaq.g_00371	Syag.g_01421
OG0000037	Syaq.g_01483	Syag.g_00173
OG0000038	Syaq.g_01260	Syag.g_02130
OG0000038	Syaq.g_01258	Syag.g_02132
OG0000039	Syaq.g_01601	Syag.g_01325
OG0000039	Syaq.g_01241	Syag.g_02155
OG0000041	Syaq.g_02688	Syag.g_00962
OG0000042	Syaq.g_00200, Syaq.g_01044	Syag.g_01094, Syag.g_02378
OG0000043	Syaq.g_01920	Syag.g_00564
OG0000044	Syaq.g_02701	Syag.g_00945
OG0000045	Syaq.g_02047	Syag.g_00223, Syag.g_00225
OG0000046	Syaq.g_00570, Syaq.g_00573	Syag.g_02805
OG0000048	Syaq.g_00749	Syag.g_02611
OG0000052	Syaq.g_00935	Syag.g_02491
OG0000052	Syaq.g_00969	Syag.g_02451
OG0000053	Syaq.g_00397	Syag.g_01391
OG0000054	Syaq.g_02005	Syag.g_00350
OG0000055	Syaq.g_02700	Syag.g_00946
OG0000057	Syaq.g_02541, Syaq.g_02605	Syag.g_00985
OG0000058	Syaq.g_00944	Syag.g_02477
OG0000059	Syaq.g_00657	Syag.g_02721
OG0000060	Syaq.g_00456	Syag.g_01338
OG0000060	Syaq.g_01770	Syag.g_01530
OG0000060	Syaq.g_00201	Syag.g_01095
OG0000061	Syaq.g_00249	Syag.g_01141
OG0000062	Syaq.g_01690	Syag.g_01669
OG0000063	Syaq.g_01110	Syag.g_02313
OG0000064	Syaq.g_02138	Syag.g_00487
OG0000065	Syaq.g_01487	Syag.g_01885
OG0000065	Syaq.g_01908	Syag.g_00182
OG0000066	Syaq.g_01851	Syag.g_01443
OG0000067	Syaq.g_02340	Syag.g_00667
OG0000068	Syaq.g_01763	Syag.g_01537
OG0000070	Syaq.g_00484	Syag.g_00049
OG0000071	Syaq.g_00297	Syag.g_01192
OG0000072	Syaq.g_01397	Syag.g_01980
OG0000073	Syaq.g_01795	Syag.g_01505
OG0000075	Syaq.g_00986	Syag.g_02434
OG0000076	Syaq.g_01028	Syag.g_02393
OG0000077	Syaq.g_01547	Syag.g_01831
OG0000078	Syaq.g_01585	Syag.g_01778
OG0000079	Syaq.g_00721	Syag.g_02659, Syag.g_02652
OG0000081	Syaq.g_01893	Syag.g_00167
OG0000082	Syaq.g_01975	Syag.g_00318
OG0000084	Syaq.g_00367	Syag.g_00212, Syag.g_01425
OG0000085	Syaq.g_01683	Syag.g_01676
OG0000086	Syaq.g_01525	Syag.g_01853
OG0000087	Syaq.g_01438	Syag.g_01939
OG0000088	Syaq.g_01402	Syag.g_01974
OG0000089	Syaq.g_00529	Syag.g_00005
OG0000090	Syaq.g_01838	Syag.g_01454
OG0000091	Syaq.g_02090	Syag.g_00418
OG0000093	Syaq.g_02323	Syag.g_00649
OG0000094	Syaq.g_00056	Syag.g_00881
OG0000095	Syaq.g_02679	Syag.g_00974
OG0000097	Syaq.g_00167	Syag.g_01065
