Orthogroup	Syaq	Prbi
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413	Prbi.g_01424
OG0000004	Syaq.g_02603	Prbi.g_00698
OG0000004	Syaq.g_02042, Syaq.g_01567	Prbi.g_00256
OG0000005	Syaq.g_01658	Prbi.g_01800
OG0000005	Syaq.g_01692	Prbi.g_01666
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prbi.g_00265
OG0000007	Syaq.g_01793	Prbi.g_00500
OG0000007	Syaq.g_01673	Prbi.g_01787
OG0000008	Syaq.g_02162	Prbi.g_01764
OG0000008	Syaq.g_02575	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syaq.g_01489	Prbi.g_00112
OG0000010	Syaq.g_00443	Prbi.g_01094
OG0000012	Syaq.g_02059, Syaq.g_00077	Prbi.g_00625
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prbi.g_00351
OG0000014	Syaq.g_00862	Prbi.g_00330
OG0000014	Syaq.g_00907	Prbi.g_01502
OG0000014	Syaq.g_00933	Prbi.g_01508
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prbi.g_00810, Prbi.g_01304
OG0000016	Syaq.g_01136	Prbi.g_00013
OG0000017	Syaq.g_01992, Syaq.g_01999	Prbi.g_00600
OG0000018	Syaq.g_00401	Prbi.g_01188
OG0000019	Syaq.g_00717	Prbi.g_00273, Prbi.g_00827
OG0000022	Syaq.g_02126	Prbi.g_01170
OG0000023	Syaq.g_02540	Prbi.g_00384
OG0000025	Syaq.g_02381	Prbi.g_00355, Prbi.g_00882
OG0000026	Syaq.g_01114	Prbi.g_00031, Prbi.g_01101
OG0000028	Syaq.g_00878	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344
OG0000030	Syaq.g_01047, Syaq.g_01048	Prbi.g_02004
OG0000034	Syaq.g_00312, Syaq.g_01431	Prbi.g_01401
OG0000035	Syaq.g_00372, Syaq.g_00371	Prbi.g_01589, Prbi.g_01591
OG0000037	Syaq.g_01483	Prbi.g_00116
OG0000038	Syaq.g_01260, Syaq.g_01258	Prbi.g_02057
OG0000039	Syaq.g_01601, Syaq.g_01241	Prbi.g_00689
OG0000041	Syaq.g_02688, Syaq.g_01612	Prbi.g_01833
OG0000042	Syaq.g_00200, Syaq.g_01044	Prbi.g_02001
OG0000044	Syaq.g_00107, Syaq.g_02701	Prbi.g_01744, Prbi.g_01760
OG0000045	Syaq.g_02047	Prbi.g_00395
OG0000048	Syaq.g_00749	Prbi.g_00398
OG0000052	Syaq.g_00935	Prbi.g_01478
OG0000053	Syaq.g_00397	Prbi.g_01611
OG0000054	Syaq.g_02005	Prbi.g_00608
OG0000055	Syaq.g_02700	Prbi.g_00828
OG0000057	Syaq.g_02541, Syaq.g_02605	Prbi.g_00702
OG0000059	Syaq.g_00657	Prbi.g_01873
OG0000061	Syaq.g_00249	Prbi.g_01207
OG0000062	Syaq.g_01690	Prbi.g_01668
OG0000063	Syaq.g_01110	Prbi.g_00033
OG0000065	Syaq.g_01487, Syaq.g_01908	Prbi.g_00114
OG0000066	Syaq.g_01851	Prbi.g_00542
OG0000067	Syaq.g_02340, Syaq.g_02560	Prbi.g_00847
OG0000068	Syaq.g_01763	Prbi.g_01439
OG0000070	Syaq.g_00484	Prbi.g_00451
OG0000071	Syaq.g_00297	Prbi.g_01391
OG0000072	Syaq.g_01397	Prbi.g_00195
OG0000073	Syaq.g_01795	Prbi.g_00502
OG0000075	Syaq.g_00986	Prbi.g_01970
OG0000076	Syaq.g_01028	Prbi.g_01994
OG0000077	Syaq.g_01547	Prbi.g_00085
OG0000078	Syaq.g_01585	Prbi.g_00263
OG0000079	Syaq.g_00721	Prbi.g_00276
OG0000081	Syaq.g_01893	Prbi.g_00534
OG0000082	Syaq.g_01975	Prbi.g_00587
OG0000084	Syaq.g_00367	Prbi.g_01585
OG0000085	Syaq.g_01683	Prbi.g_01780
OG0000086	Syaq.g_01525	Prbi.g_00095
OG0000087	Syaq.g_01438	Prbi.g_00147
OG0000088	Syaq.g_01402	Prbi.g_00190
OG0000089	Syaq.g_00529	Prbi.g_00380
OG0000090	Syaq.g_01838	Prbi.g_00536
OG0000091	Syaq.g_02090	Prbi.g_00645
OG0000093	Syaq.g_02323	Prbi.g_00977
OG0000094	Syaq.g_00056, Syaq.g_02554	Prbi.g_01067
OG0000095	Syaq.g_02679	Prbi.g_01086
OG0000097	Syaq.g_00167	Prbi.g_01248
OG0000098	Syaq.g_02221, Syaq.g_01849	Prbi.g_01421
OG0000099	Syaq.g_00882	Prbi.g_01462
OG0000100	Syaq.g_02371	Prbi.g_01664
OG0000101	Syaq.g_00607	Prbi.g_01938
OG0000102	Syaq.g_01033	Prbi.g_01999
OG0000103	Syaq.g_01170	Prbi.g_02091
OG0000104	Syaq.g_01154	Prbi.g_02099
OG0000105	Syaq.g_00754	Prbi.g_00298
OG0000106	Syaq.g_01863	Prbi.g_00394
OG0000107	Syaq.g_00694	Prbi.g_00409
OG0000108	Syaq.g_01772	Prbi.g_00483
OG0000109	Syaq.g_01788	Prbi.g_00497
OG0000110	Syaq.g_01962	Prbi.g_00577
OG0000111	Syaq.g_02606	Prbi.g_00703
OG0000112	Syaq.g_02476	Prbi.g_00811
OG0000114	Syaq.g_02269	Prbi.g_00951
OG0000115	Syaq.g_00395	Prbi.g_01148
OG0000116	Syaq.g_00263	Prbi.g_01197
OG0000117	Syaq.g_00203	Prbi.g_01330
OG0000118	Syaq.g_00325, Syaq.g_00316	Prbi.g_01403
OG0000120	Syaq.g_00883	Prbi.g_01460
OG0000121	Syaq.g_00375	Prbi.g_01593
OG0000122	Syaq.g_02118	Prbi.g_01630
OG0000123	Syaq.g_00599	Prbi.g_01945
OG0000124	Syaq.g_01055	Prbi.g_02010
OG0000125	Syaq.g_01256	Prbi.g_02059
OG0000126	Syaq.g_01156	Prbi.g_02098
OG0000128	Syaq.g_01138	Prbi.g_00011
OG0000129	Syaq.g_01269	Prbi.g_00053
OG0000130	Syaq.g_01559	Prbi.g_00076
OG0000131	Syaq.g_01427, Syaq.g_01424	Prbi.g_00169
OG0000132	Syaq.g_01036, Syaq.g_01404	Prbi.g_00188
OG0000133	Syaq.g_02481	Prbi.g_00346
OG0000134	Syaq.g_00526	Prbi.g_00381
OG0000135	Syaq.g_01227	Prbi.g_00407
OG0000136	Syaq.g_00496	Prbi.g_00442
OG0000137	Syaq.g_00442	Prbi.g_00478
OG0000138	Syaq.g_01789	Prbi.g_00498
OG0000139	Syaq.g_01844	Prbi.g_00540
OG0000140	Syaq.g_01848	Prbi.g_00541
OG0000141	Syaq.g_02010	Prbi.g_00609
OG0000142	Syaq.g_02082	Prbi.g_00638
OG0000143	Syaq.g_02086	Prbi.g_00642
OG0000144	Syaq.g_02152	Prbi.g_00655
OG0000145	Syaq.g_01796	Prbi.g_00807
OG0000146	Syaq.g_02475	Prbi.g_00812
OG0000147	Syaq.g_02474	Prbi.g_00813
OG0000148	Syaq.g_02359	Prbi.g_00863
OG0000149	Syaq.g_02395	Prbi.g_00894
OG0000150	Syaq.g_02011	Prbi.g_00902
OG0000151	Syaq.g_02283	Prbi.g_00961
OG0000152	Syaq.g_02485	Prbi.g_01009
OG0000153	Syaq.g_02518	Prbi.g_01028
OG0000154	Syaq.g_00066	Prbi.g_01060
OG0000155	Syaq.g_00212	Prbi.g_01227
OG0000156	Syaq.g_00281	Prbi.g_01380
OG0000157	Syaq.g_00282	Prbi.g_01381
OG0000158	Syaq.g_01003	Prbi.g_01489
OG0000159	Syaq.g_00918, Syaq.g_00941	Prbi.g_01490
OG0000160	Syaq.g_00374	Prbi.g_01592
OG0000161	Syaq.g_00382	Prbi.g_01598
OG0000162	Syaq.g_00389	Prbi.g_01604
OG0000163	Syaq.g_02373, Syaq.g_01730	Prbi.g_01637
OG0000164	Syaq.g_01642	Prbi.g_01811
OG0000165	Syaq.g_01630	Prbi.g_01818
OG0000166	Syaq.g_00647	Prbi.g_01902
OG0000167	Syaq.g_00983	Prbi.g_01968
OG0000168	Syaq.g_01004	Prbi.g_01978
OG0000169	Syaq.g_01016	Prbi.g_01988
OG0000170	Syaq.g_01023	Prbi.g_01990
OG0000171	Syaq.g_01052	Prbi.g_02009
OG0000172	Syaq.g_01074	Prbi.g_02030
OG0000173	Syaq.g_01092	Prbi.g_02045
OG0000174	Syaq.g_01224	Prbi.g_02073
OG0000175	Syaq.g_01183	Prbi.g_02083
OG0000176	Syaq.g_01146	Prbi.g_00004
OG0000177	Syaq.g_01145	Prbi.g_00005
OG0000178	Syaq.g_01144	Prbi.g_00006
OG0000179	Syaq.g_01129	Prbi.g_00016
OG0000180	Syaq.g_01128	Prbi.g_00017
OG0000181	Syaq.g_01127	Prbi.g_00018
OG0000182	Syaq.g_01126	Prbi.g_00019
OG0000183	Syaq.g_01122	Prbi.g_00023
OG0000184	Syaq.g_01277	Prbi.g_00057
OG0000185	Syaq.g_01290	Prbi.g_00060
OG0000186	Syaq.g_01563	Prbi.g_00071
OG0000187	Syaq.g_01561	Prbi.g_00072
OG0000188	Syaq.g_01539	Prbi.g_00089
OG0000189	Syaq.g_01499, Syaq.g_00122	Prbi.g_00103
OG0000190	Syaq.g_01497	Prbi.g_00104
