Orthogroup	Prap	Prab
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Prab.g_00683
OG0000002	Prap.g_00653	Prab.g_01279, Prab.g_01281, Prab.g_00788
OG0000003	Prap.g_00494	Prab.g_01308, Prab.g_00917, Prab.g_01619
OG0000004	Prap.g_00535	Prab.g_00747
OG0000005	Prap.g_01862	Prab.g_01598, Prab.g_01630, Prab.g_00760
OG0000006	Prap.g_01270	Prab.g_00501
OG0000006	Prap.g_01779	Prab.g_01669
OG0000009	Prap.g_00480	Prab.g_00820
OG0000009	Prap.g_01462	Prab.g_00239
OG0000010	Prap.g_00010	Prab.g_01596, Prab.g_01165
OG0000012	Prap.g_01163, Prap.g_01170	Prab.g_00602
OG0000013	Prap.g_01840, Prap.g_01794	Prab.g_00789
OG0000014	Prap.g_01860, Prap.g_01912	Prab.g_01616, Prab.g_00914
OG0000015	Prap.g_01851, Prap.g_01818	Prab.g_00370
OG0000016	Prap.g_00510, Prap.g_00218	Prab.g_01356
OG0000017	Prap.g_01834, Prap.g_00142	Prab.g_01486
OG0000018	Prap.g_01470	Prab.g_00231
OG0000019	Prap.g_00797	Prab.g_00354
OG0000020	Prap.g_00548	Prab.g_00411
OG0000020	Prap.g_01439	Prab.g_00363
OG0000021	Prap.g_01797	Prab.g_00822
OG0000024	Prap.g_01403	Prab.g_00294
OG0000025	Prap.g_00667	Prab.g_01635, Prab.g_00394
OG0000028	Prap.g_00121	Prab.g_01466
OG0000029	Prap.g_01312	Prab.g_01585
OG0000031	Prap.g_00611	Prab.g_01643
OG0000032	Prap.g_00080	Prab.g_01446
OG0000033	Prap.g_00514	Prab.g_01579
OG0000034	Prap.g_00099, Prap.g_00897	Prab.g_01423
OG0000035	Prap.g_00017	Prab.g_01082
OG0000036	Prap.g_01183, Prap.g_01790	Prab.g_00589
OG0000037	Prap.g_01145, Prap.g_00236	Prab.g_00627
OG0000038	Prap.g_00212	Prab.g_00782
OG0000039	Prap.g_01004	Prab.g_00157
OG0000040	Prap.g_00029	Prab.g_00348
OG0000041	Prap.g_01815, Prap.g_01821	Prab.g_00405
OG0000042	Prap.g_00791	Prab.g_00723
OG0000043	Prap.g_00691	Prab.g_00825
OG0000044	Prap.g_00456	Prab.g_01219
OG0000045	Prap.g_00081	Prab.g_01393
OG0000046	Prap.g_01917, Prap.g_01787	Prab.g_01662
OG0000047	Prap.g_01580	Prab.g_01857
OG0000048	Prap.g_01572	Prab.g_01864
OG0000050	Prap.g_00923	Prab.g_00031, Prab.g_01629
OG0000051	Prap.g_01013	Prab.g_00148
OG0000052	Prap.g_00591	Prab.g_00359
OG0000053	Prap.g_01867, Prap.g_01230	Prab.g_00543
OG0000054	Prap.g_01128	Prab.g_00803
OG0000055	Prap.g_00760	Prab.g_00862
OG0000056	Prap.g_00512	Prab.g_01634
OG0000057	Prap.g_01475	Prab.g_00228
OG0000058	Prap.g_01292	Prab.g_00479
OG0000059	Prap.g_00799	Prab.g_00703
OG0000062	Prap.g_01883	Prab.g_01186
OG0000063	Prap.g_00429	Prab.g_00717
OG0000065	Prap.g_00561	Prab.g_01637, Prab.g_01326
OG0000066	Prap.g_00079	Prab.g_01447
OG0000068	Prap.g_01642	Prab.g_01802
OG0000071	Prap.g_00043	Prab.g_00011
OG0000072	Prap.g_01389	Prab.g_00310
OG0000073	Prap.g_00356	Prab.g_00674
OG0000074	Prap.g_00809	Prab.g_00696
OG0000075	Prap.g_00776	Prab.g_00847
OG0000076	Prap.g_00708	Prab.g_00929, Prab.g_01299
OG0000078	Prap.g_00082	Prab.g_01394
OG0000079	Prap.g_00206	Prab.g_01544
OG0000080	Prap.g_00618	Prab.g_01290, Prab.g_00922
OG0000081	Prap.g_01608	Prab.g_01832
OG0000082	Prap.g_00623	Prab.g_01920
OG0000083	Prap.g_00051	Prab.g_00003
OG0000084	Prap.g_00048	Prab.g_00006
OG0000085	Prap.g_00932	Prab.g_00023
OG0000087	Prap.g_00903	Prab.g_00048
OG0000088	Prap.g_01061	Prab.g_00104
OG0000089	Prap.g_01052	Prab.g_00112
OG0000090	Prap.g_01035	Prab.g_00129
OG0000091	Prap.g_01001	Prab.g_00160
OG0000092	Prap.g_01000	Prab.g_00161
OG0000093	Prap.g_00986	Prab.g_00175
OG0000094	Prap.g_00967	Prab.g_00193
OG0000095	Prap.g_00962	Prab.g_00198
OG0000096	Prap.g_01460	Prab.g_00241
OG0000097	Prap.g_01436	Prab.g_00262
OG0000099	Prap.g_01415	Prab.g_00282
OG0000100	Prap.g_01412	Prab.g_00285
OG0000101	Prap.g_01347	Prab.g_00344
OG0000102	Prap.g_00543	Prab.g_00371
OG0000103	Prap.g_01291	Prab.g_00480
OG0000104	Prap.g_01287	Prab.g_00484
OG0000105	Prap.g_01267	Prab.g_00503
OG0000106	Prap.g_01237	Prab.g_00536
OG0000107	Prap.g_01236	Prab.g_00537
OG0000108	Prap.g_01226	Prab.g_00547
OG0000109	Prap.g_01217	Prab.g_00556
OG0000110	Prap.g_01200	Prab.g_00573
OG0000111	Prap.g_00375	Prab.g_00656
OG0000112	Prap.g_00374	Prab.g_00657
OG0000113	Prap.g_00324	Prab.g_00745
OG0000114	Prap.g_00785	Prab.g_00838
OG0000115	Prap.g_00257	Prab.g_01010
OG0000116	Prap.g_00261	Prab.g_01006
OG0000117	Prap.g_00705	Prab.g_00932
OG0000118	Prap.g_00501	Prab.g_01144
