Orthogroup	Prap	Prax
OG0000000	Prap.g_00720, Prap.g_00715	Prax.g_01870
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Prax.g_00964
OG0000002	Prap.g_01925	Prax.g_01878
OG0000002	Prap.g_00653	Prax.g_00522
OG0000003	Prap.g_00494	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000004	Prap.g_00535	Prax.g_00437
OG0000005	Prap.g_01862	Prax.g_01608, Prax.g_00496
OG0000006	Prap.g_01270	Prax.g_00704
OG0000006	Prap.g_01779	Prax.g_01559
OG0000009	Prap.g_00480	Prax.g_00393
OG0000009	Prap.g_01462	Prax.g_00926
OG0000010	Prap.g_00010	Prax.g_00500, Prax.g_00141, Prax.g_01936
OG0000012	Prap.g_01163, Prap.g_01170	Prax.g_00057
OG0000013	Prap.g_01840, Prap.g_01794	Prax.g_00523
OG0000014	Prap.g_01860, Prap.g_01912	Prax.g_01916
OG0000015	Prap.g_01851, Prap.g_01818	Prax.g_00793
OG0000016	Prap.g_00510, Prap.g_00218	Prax.g_01867
OG0000018	Prap.g_01470	Prax.g_01972
OG0000019	Prap.g_00797	Prax.g_01587, Prax.g_00808
OG0000020	Prap.g_00548	Prax.g_00173
OG0000020	Prap.g_01439	Prax.g_00799, Prax.g_00512
OG0000021	Prap.g_01797	Prax.g_00391
OG0000023	Prap.g_00216	Prax.g_01950
OG0000024	Prap.g_01403	Prax.g_00869
OG0000025	Prap.g_00667	Prax.g_00448
OG0000028	Prap.g_00121	Prax.g_01733, Prax.g_01728
OG0000029	Prap.g_01312	Prax.g_01616
OG0000032	Prap.g_00080	Prax.g_01831
OG0000036	Prap.g_01183, Prap.g_01790	Prax.g_00045
OG0000037	Prap.g_01145, Prap.g_00236	Prax.g_00082
OG0000038	Prap.g_00212	Prax.g_00415
OG0000039	Prap.g_01004	Prax.g_01052
OG0000040	Prap.g_00029	Prax.g_00813
OG0000041	Prap.g_01815, Prap.g_01821	Prax.g_00772
OG0000042	Prap.g_00791	Prax.g_00485
OG0000043	Prap.g_00691	Prax.g_00388
OG0000044	Prap.g_00456	Prax.g_00200
OG0000045	Prap.g_00081	Prax.g_01823
OG0000046	Prap.g_01917, Prap.g_01787	Prax.g_01566
OG0000047	Prap.g_01580	Prax.g_01394
OG0000048	Prap.g_01572	Prax.g_01401
OG0000050	Prap.g_00923	Prax.g_00282, Prax.g_00458
OG0000051	Prap.g_01013	Prax.g_01061
OG0000052	Prap.g_00591	Prax.g_00803
OG0000053	Prap.g_01867, Prap.g_01230	Prax.g_00662
OG0000054	Prap.g_01128	Prax.g_00457
OG0000055	Prap.g_00760	Prax.g_00351
OG0000057	Prap.g_01475	Prax.g_00981, Prax.g_01581
OG0000058	Prap.g_01292	Prax.g_00727
OG0000059	Prap.g_00799	Prax.g_00944
OG0000062	Prap.g_01883	Prax.g_00161
OG0000063	Prap.g_00429	Prax.g_01959
OG0000065	Prap.g_00561	Prax.g_01899
OG0000066	Prap.g_00079	Prax.g_01832
OG0000068	Prap.g_01642	Prax.g_01338
