Orthogroup	Prap	Prac
OG0000000	Prap.g_00720, Prap.g_00715	Prac.g_00210
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Prac.g_00693
OG0000002	Prap.g_01925	Prac.g_00202
OG0000002	Prap.g_00653	Prac.g_00925, Prac.g_00924
OG0000003	Prap.g_00494	Prac.g_00157, Prac.g_00290
OG0000004	Prap.g_00535	Prac.g_01529
OG0000005	Prap.g_01862	Prac.g_00292, Prac.g_00277
OG0000006	Prap.g_01270	Prac.g_00874
OG0000006	Prap.g_01779	Prac.g_00625
OG0000007	Prap.g_01888	Prac.g_00904
OG0000009	Prap.g_00480	Prac.g_01496
OG0000009	Prap.g_01462	Prac.g_01681
OG0000010	Prap.g_00010	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000011	Prap.g_01343	Prac.g_01127
OG0000012	Prap.g_01163, Prap.g_01170	Prac.g_00773
OG0000013	Prap.g_01840, Prap.g_01794	Prac.g_00898
OG0000014	Prap.g_01860, Prap.g_01912	Prac.g_01074
OG0000015	Prap.g_01851, Prap.g_01818	Prac.g_01151
OG0000016	Prap.g_00510, Prap.g_00218	Prac.g_00213
OG0000017	Prap.g_01834, Prap.g_00142	Prac.g_01901
OG0000018	Prap.g_01470	Prac.g_01689
OG0000019	Prap.g_00797	Prac.g_01169
OG0000020	Prap.g_01439	Prac.g_01159
OG0000021	Prap.g_01797	Prac.g_01494
OG0000024	Prap.g_01403	Prac.g_01625
OG0000026	Prap.g_01903	Prac.g_00908
OG0000028	Prap.g_00121	Prac.g_00411
OG0000029	Prap.g_01312	Prac.g_00300, Prac.g_00890
OG0000032	Prap.g_00080	Prac.g_00249
OG0000035	Prap.g_00017	Prac.g_01399
OG0000036	Prap.g_01183, Prap.g_01790	Prac.g_00788
OG0000037	Prap.g_01145, Prap.g_00236	Prac.g_00748
OG0000038	Prap.g_00212	Prac.g_01510
OG0000039	Prap.g_01004	Prac.g_01764
OG0000040	Prap.g_00029	Prac.g_01174
OG0000041	Prap.g_01815, Prap.g_01821	Prac.g_01119
OG0000042	Prap.g_00791	Prac.g_01560
OG0000043	Prap.g_00691	Prac.g_01491
OG0000044	Prap.g_00456	Prac.g_00985
OG0000045	Prap.g_00081	Prac.g_00434, Prac.g_00258
OG0000046	Prap.g_01917, Prap.g_01787	Prac.g_00632
OG0000047	Prap.g_01580	Prac.g_01904, Prac.g_00041
OG0000048	Prap.g_01572	Prac.g_00048
OG0000050	Prap.g_00923	Prac.g_01916
OG0000051	Prap.g_01013	Prac.g_01590, Prac.g_01773
OG0000052	Prap.g_00591	Prac.g_01163
OG0000053	Prap.g_01867, Prap.g_01230	Prac.g_00833
OG0000055	Prap.g_00760	Prac.g_01453
OG0000057	Prap.g_01475	Prac.g_01693
OG0000058	Prap.g_01292	Prac.g_01069
OG0000059	Prap.g_00799	Prac.g_00673
OG0000062	Prap.g_01883	Prac.g_01018
OG0000063	Prap.g_00429	Prac.g_01955
OG0000065	Prap.g_00561	Prac.g_00175
OG0000066	Prap.g_00079	Prac.g_00248
OG0000068	Prap.g_01642	Prac.g_00548
OG0000071	Prap.g_00043	Prac.g_01936
OG0000072	Prap.g_01389	Prac.g_01609
OG0000073	Prap.g_00356	Prac.g_00702
OG0000074	Prap.g_00809	Prac.g_00680
OG0000075	Prap.g_00776	Prac.g_01468
OG0000076	Prap.g_00708	Prac.g_01256
OG0000077	Prap.g_01863	Prac.g_00276
OG0000078	Prap.g_00082	Prac.g_00256
OG0000079	Prap.g_00206	Prac.g_00333
OG0000080	Prap.g_00618	Prac.g_00886
OG0000081	Prap.g_01608	Prac.g_00015
OG0000083	Prap.g_00051	Prac.g_01944
OG0000084	Prap.g_00048	Prac.g_01941
OG0000085	Prap.g_00932	Prac.g_01924
OG0000087	Prap.g_00903	Prac.g_01882
OG0000088	Prap.g_01061	Prac.g_01818
OG0000089	Prap.g_01052	Prac.g_01810
OG0000090	Prap.g_01035	Prac.g_01792
OG0000091	Prap.g_01001	Prac.g_01761
OG0000092	Prap.g_01000	Prac.g_01760
OG0000093	Prap.g_00986	Prac.g_01746
OG0000094	Prap.g_00967	Prac.g_01728
OG0000095	Prap.g_00962	Prac.g_01723
OG0000096	Prap.g_01460	Prac.g_01679
OG0000097	Prap.g_01436	Prac.g_01657
OG0000098	Prap.g_01425	Prac.g_01647
OG0000099	Prap.g_01415	Prac.g_01637
OG0000100	Prap.g_01412	Prac.g_01634
OG0000101	Prap.g_01347	Prac.g_01177
OG0000102	Prap.g_00543	Prac.g_01150
OG0000103	Prap.g_01291	Prac.g_01068
OG0000104	Prap.g_01287	Prac.g_01064
OG0000105	Prap.g_01267	Prac.g_00872
OG0000106	Prap.g_01237	Prac.g_00840
OG0000107	Prap.g_01236	Prac.g_00839
OG0000108	Prap.g_01226	Prac.g_00829
OG0000109	Prap.g_01217	Prac.g_00820
OG0000110	Prap.g_01200	Prac.g_00804
OG0000111	Prap.g_00375	Prac.g_00720
OG0000112	Prap.g_00374	Prac.g_00719
OG0000113	Prap.g_00324	Prac.g_01538
OG0000114	Prap.g_00785	Prac.g_01477
OG0000115	Prap.g_00257	Prac.g_01327
OG0000116	Prap.g_00261	Prac.g_01323
OG0000117	Prap.g_00705	Prac.g_01259
OG0000118	Prap.g_00501	Prac.g_01207
OG0000119	Prap.g_01880	Prac.g_01015
OG0000120	Prap.g_00450	Prac.g_00979
OG0000121	Prap.g_00427	Prac.g_00960
OG0000122	Prap.g_00407	Prac.g_00941
OG0000123	Prap.g_01135	Prac.g_00928
OG0000124	Prap.g_00217	Prac.g_00448
OG0000125	Prap.g_00574	Prac.g_00187
OG0000126	Prap.g_00059	Prac.g_00217
OG0000127	Prap.g_00109	Prac.g_00424
OG0000128	Prap.g_00122	Prac.g_00410
OG0000129	Prap.g_00158	Prac.g_00374
OG0000130	Prap.g_01782	Prac.g_00627
OG0000131	Prap.g_01742	Prac.g_00589
OG0000132	Prap.g_01739	Prac.g_00586
OG0000133	Prap.g_01685	Prac.g_00507
OG0000134	Prap.g_01648, Prap.g_01649	Prac.g_00543
OG0000135	Prap.g_01646	Prac.g_00545
OG0000136	Prap.g_01596	Prac.g_00026
OG0000137	Prap.g_01562	Prac.g_00057
OG0000138	Prap.g_01528	Prac.g_00092
OG0000139	Prap.g_01497	Prac.g_00118
OG0000140	Prap.g_00053	Prac.g_01946
OG0000141	Prap.g_00052	Prac.g_01945
OG0000142	Prap.g_00050	Prac.g_01943
OG0000143	Prap.g_00049	Prac.g_01942
OG0000144	Prap.g_00047	Prac.g_01940
OG0000145	Prap.g_00046	Prac.g_01939
OG0000146	Prap.g_00045	Prac.g_01938
OG0000147	Prap.g_00044	Prac.g_01937
OG0000148	Prap.g_00042	Prac.g_01935
OG0000149	Prap.g_00941	Prac.g_01933
OG0000150	Prap.g_00940	Prac.g_01932
OG0000151	Prap.g_00939	Prac.g_01931
OG0000152	Prap.g_00938	Prac.g_01930
OG0000153	Prap.g_00937	Prac.g_01929
OG0000154	Prap.g_00936	Prac.g_01928
OG0000155	Prap.g_00935	Prac.g_01927
OG0000156	Prap.g_00934	Prac.g_01926
OG0000157	Prap.g_00933	Prac.g_01925
OG0000158	Prap.g_00931	Prac.g_01923
OG0000159	Prap.g_00930	Prac.g_01922
OG0000160	Prap.g_00929	Prac.g_01921
OG0000161	Prap.g_00928	Prac.g_01920
OG0000162	Prap.g_00927	Prac.g_01919
OG0000163	Prap.g_00925	Prac.g_01918
OG0000164	Prap.g_00922	Prac.g_01915
OG0000165	Prap.g_00919	Prac.g_01911
OG0000166	Prap.g_00918	Prac.g_01910
OG0000167	Prap.g_00917	Prac.g_01909
OG0000168	Prap.g_00915	Prac.g_01892
OG0000169	Prap.g_00913	Prac.g_01890
OG0000170	Prap.g_00911	Prac.g_01889
OG0000171	Prap.g_00910	Prac.g_01888
OG0000172	Prap.g_00909	Prac.g_01886
OG0000173	Prap.g_00906	Prac.g_01885
OG0000174	Prap.g_00905	Prac.g_01884
OG0000175	Prap.g_00904	Prac.g_01883
OG0000176	Prap.g_00902	Prac.g_01881
OG0000177	Prap.g_00901	Prac.g_01880
OG0000178	Prap.g_00899	Prac.g_01879
OG0000179	Prap.g_00887	Prac.g_01867
OG0000180	Prap.g_00886	Prac.g_01866
OG0000181	Prap.g_00885	Prac.g_01865
OG0000182	Prap.g_00881	Prac.g_01862
OG0000183	Prap.g_00880	Prac.g_01861
OG0000184	Prap.g_00877	Prac.g_01858
OG0000185	Prap.g_01100	Prac.g_01854
OG0000186	Prap.g_01099	Prac.g_01853
OG0000187	Prap.g_00025	Prac.g_01852
OG0000188	Prap.g_01098	Prac.g_01851
OG0000189	Prap.g_01097	Prac.g_01850
