Orthogroup	Prap	Prbi
OG0000000	Prap.g_00720, Prap.g_00715	Prbi.g_01432
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Prbi.g_00681
OG0000002	Prap.g_01925	Prbi.g_01424
OG0000002	Prap.g_00653	Prbi.g_01270
OG0000003	Prap.g_00494	Prbi.g_01371, Prbi.g_01710
OG0000004	Prap.g_00535	Prbi.g_00782
OG0000005	Prap.g_01862	Prbi.g_01709
OG0000006	Prap.g_01270	Prbi.g_00500
OG0000006	Prap.g_01779	Prbi.g_01787
OG0000007	Prap.g_01888	Prbi.g_01764
OG0000007	Prap.g_01887	Prbi.g_01539, Prbi.g_01765
OG0000009	Prap.g_00480	Prbi.g_00827
OG0000009	Prap.g_01462	Prbi.g_00273
OG0000010	Prap.g_00010	Prbi.g_01156, Prbi.g_01352
OG0000012	Prap.g_01163, Prap.g_01170	Prbi.g_00600
OG0000013	Prap.g_01840, Prap.g_01794	Prbi.g_00810, Prbi.g_01304
OG0000014	Prap.g_01860, Prap.g_01912	Prbi.g_01374, Prbi.g_00472
OG0000015	Prap.g_01851, Prap.g_01818	Prbi.g_00406
OG0000016	Prap.g_00510, Prap.g_00218	Prbi.g_01435
OG0000018	Prap.g_01470	Prbi.g_00265
OG0000019	Prap.g_00797	Prbi.g_01742, Prbi.g_00389
OG0000020	Prap.g_01439	Prbi.g_00398
OG0000021	Prap.g_01797	Prbi.g_00829
OG0000023	Prap.g_00216	Prbi.g_01338
OG0000024	Prap.g_01403	Prbi.g_00330
OG0000028	Prap.g_00121	Prbi.g_01589, Prbi.g_01591
OG0000029	Prap.g_01312	Prbi.g_01702
OG0000031	Prap.g_00611	Prbi.g_01281
OG0000032	Prap.g_00080	Prbi.g_01467
OG0000034	Prap.g_00099, Prap.g_00897	Prbi.g_01478
OG0000035	Prap.g_00017	Prbi.g_00936
OG0000036	Prap.g_01183, Prap.g_01790	Prbi.g_00587
OG0000037	Prap.g_01145, Prap.g_00236	Prbi.g_00625
OG0000038	Prap.g_00212	Prbi.g_00805
OG0000039	Prap.g_01004	Prbi.g_00190
OG0000040	Prap.g_00029	Prbi.g_00384
OG0000042	Prap.g_00791	Prbi.g_00745
OG0000043	Prap.g_00691	Prbi.g_00832
OG0000044	Prap.g_00456	Prbi.g_01207
OG0000045	Prap.g_00081	Prbi.g_01461
OG0000046	Prap.g_01917, Prap.g_01787	Prbi.g_01780
OG0000047	Prap.g_01580	Prbi.g_01994
OG0000048	Prap.g_01572	Prbi.g_02001
OG0000050	Prap.g_00923	Prbi.g_00031
OG0000051	Prap.g_01013	Prbi.g_00181
OG0000052	Prap.g_00591	Prbi.g_00394
OG0000053	Prap.g_01867, Prap.g_01230	Prbi.g_00542
OG0000055	Prap.g_00760	Prbi.g_00869
OG0000057	Prap.g_01475	Prbi.g_00261, Prbi.g_01748
OG0000058	Prap.g_01292	Prbi.g_00478
OG0000059	Prap.g_00799	Prbi.g_00702
OG0000062	Prap.g_01883	Prbi.g_01174
OG0000063	Prap.g_00429	Prbi.g_01330
OG0000065	Prap.g_00561	Prbi.g_01391
OG0000066	Prap.g_00079	Prbi.g_01460
OG0000068	Prap.g_01642	Prbi.g_01938
OG0000071	Prap.g_00043	Prbi.g_00011
OG0000072	Prap.g_01389	Prbi.g_00346
OG0000073	Prap.g_00356	Prbi.g_00672
OG0000074	Prap.g_00809	Prbi.g_00694
OG0000075	Prap.g_00776	Prbi.g_00854
OG0000076	Prap.g_00708	Prbi.g_01086
OG0000078	Prap.g_00082	Prbi.g_01462
OG0000079	Prap.g_00206	Prbi.g_01482, Prbi.g_01668
OG0000080	Prap.g_00618	Prbi.g_01725
OG0000081	Prap.g_01608	Prbi.g_01968
OG0000083	Prap.g_00051	Prbi.g_00003
OG0000084	Prap.g_00048	Prbi.g_00006
OG0000085	Prap.g_00932	Prbi.g_00023
OG0000087	Prap.g_00903	Prbi.g_00060
OG0000088	Prap.g_01061	Prbi.g_00120
OG0000089	Prap.g_01052	Prbi.g_00129
OG0000090	Prap.g_01035	Prbi.g_00147
OG0000091	Prap.g_01001	Prbi.g_00193
OG0000092	Prap.g_01000	Prbi.g_00194
OG0000093	Prap.g_00986	Prbi.g_00208
OG0000094	Prap.g_00967	Prbi.g_00226
OG0000095	Prap.g_00962	Prbi.g_00231
OG0000096	Prap.g_01460	Prbi.g_00275
OG0000097	Prap.g_01436	Prbi.g_00298
OG0000099	Prap.g_01415	Prbi.g_00318
OG0000100	Prap.g_01412	Prbi.g_00321
OG0000101	Prap.g_01347	Prbi.g_00381
OG0000102	Prap.g_00543	Prbi.g_00407
OG0000103	Prap.g_01291	Prbi.g_00479
OG0000104	Prap.g_01287	Prbi.g_00483
OG0000105	Prap.g_01267	Prbi.g_00502
OG0000106	Prap.g_01237	Prbi.g_00535
OG0000107	Prap.g_01236	Prbi.g_00536
OG0000108	Prap.g_01226	Prbi.g_00546
OG0000109	Prap.g_01217	Prbi.g_00555
OG0000110	Prap.g_01200	Prbi.g_00571
OG0000111	Prap.g_00375	Prbi.g_00654
