Orthogroup	Prap	Prbl
OG0000000	Prap.g_00720, Prap.g_00715	Prbl.g_01582
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Prbl.g_01092
OG0000002	Prap.g_01925	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121
OG0000002	Prap.g_00653	Prbl.g_02599
OG0000003	Prap.g_00494	Prbl.g_00117
OG0000004	Prap.g_00535	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Prap.g_01270	Prbl.g_00531
OG0000006	Prap.g_01779	Prbl.g_00394
OG0000007	Prap.g_01888, Prap.g_01887	Prbl.g_01854, Prbl.g_01855
OG0000009	Prap.g_00480, Prap.g_01462	Prbl.g_01509
OG0000011	Prap.g_01343	Prbl.g_01574
OG0000012	Prap.g_01163	Prbl.g_01755
OG0000012	Prap.g_01170	Prbl.g_01763
OG0000013	Prap.g_01794	Prbl.g_01566
OG0000016	Prap.g_00510	Prbl.g_00007
OG0000016	Prap.g_00218	Prbl.g_00046
OG0000017	Prap.g_01834, Prap.g_00142	Prbl.g_00691
OG0000018	Prap.g_01470	Prbl.g_02601
OG0000019	Prap.g_00797	Prbl.g_01768
OG0000020	Prap.g_00548	Prbl.g_01465
OG0000024	Prap.g_01403	Prbl.g_01416
OG0000026	Prap.g_01903	Prbl.g_01981
OG0000028	Prap.g_00121	Prbl.g_00242
OG0000031	Prap.g_00611	Prbl.g_01677
OG0000032	Prap.g_00080	Prbl.g_00835, Prbl.g_00830
OG0000034	Prap.g_00897	Prbl.g_00870
OG0000036	Prap.g_01183, Prap.g_01790	Prbl.g_01783
OG0000037	Prap.g_01145, Prap.g_00236	Prbl.g_01618
OG0000038	Prap.g_00212	Prbl.g_01072
OG0000039	Prap.g_01004	Prbl.g_00281
OG0000040	Prap.g_00029	Prbl.g_02355
OG0000042	Prap.g_00791	Prbl.g_02567, Prbl.g_01839
OG0000043	Prap.g_00691	Prbl.g_01099, Prbl.g_01097
OG0000044	Prap.g_00456	Prbl.g_02084
OG0000045	Prap.g_00081	Prbl.g_00890
OG0000046	Prap.g_01917, Prap.g_01787	Prbl.g_00405
OG0000047	Prap.g_01580	Prbl.g_01285
OG0000048	Prap.g_01572	Prbl.g_01236, Prbl.g_01121
OG0000050	Prap.g_00923	Prbl.g_01977
OG0000051	Prap.g_01013	Prbl.g_00290
OG0000052	Prap.g_00591	Prbl.g_00411
OG0000053	Prap.g_01230	Prbl.g_00752
OG0000054	Prap.g_01128	Prbl.g_01943
OG0000055	Prap.g_00760	Prbl.g_02310
OG0000056	Prap.g_00512	Prbl.g_00138
OG0000058	Prap.g_01292	Prbl.g_01340
OG0000059	Prap.g_00799	Prbl.g_00025
OG0000062	Prap.g_01883	Prbl.g_02204
OG0000063	Prap.g_00429	Prbl.g_01384
OG0000065	Prap.g_00561	Prbl.g_01722
OG0000066	Prap.g_00079	Prbl.g_00892
OG0000068	Prap.g_01642	Prbl.g_01126, Prbl.g_01000
OG0000069	Prap.g_00160	Prbl.g_00712
OG0000071	Prap.g_00043	Prbl.g_02109
OG0000072	Prap.g_01389	Prbl.g_00897
OG0000073	Prap.g_00356	Prbl.g_01395
OG0000074	Prap.g_00809	Prbl.g_01859
OG0000075	Prap.g_00776	Prbl.g_02328
OG0000076	Prap.g_00708	Prbl.g_00927
OG0000078	Prap.g_00082	Prbl.g_00893
OG0000079	Prap.g_00206	Prbl.g_00417
OG0000080	Prap.g_00618	Prbl.g_00462
OG0000081	Prap.g_01608	Prbl.g_00857
OG0000082	Prap.g_00623	Prbl.g_02195
OG0000083	Prap.g_00051	Prbl.g_02118
OG0000084	Prap.g_00048	Prbl.g_02115
OG0000085	Prap.g_00932	Prbl.g_01968
OG0000087	Prap.g_00903	Prbl.g_02273
OG0000088	Prap.g_01061	Prbl.g_01331
OG0000089	Prap.g_01052	Prbl.g_01316
OG0000090	Prap.g_01035	Prbl.g_00810
OG0000091	Prap.g_01001	Prbl.g_00278
OG0000092	Prap.g_01000	Prbl.g_00277
OG0000093	Prap.g_00986	Prbl.g_00069
OG0000094	Prap.g_00967	Prbl.g_00098
OG0000095	Prap.g_00962	Prbl.g_01282
OG0000096	Prap.g_01460	Prbl.g_01506
OG0000097	Prap.g_01436	Prbl.g_01461
OG0000098	Prap.g_01425	Prbl.g_01448
OG0000099	Prap.g_01415	Prbl.g_01436
OG0000100	Prap.g_01412	Prbl.g_01432
OG0000101	Prap.g_01347	Prbl.g_02677
OG0000102	Prap.g_00543	Prbl.g_02190
OG0000103	Prap.g_01291	Prbl.g_01339
OG0000104	Prap.g_01287	Prbl.g_00511
OG0000105	Prap.g_01267	Prbl.g_00533
OG0000106	Prap.g_01237	Prbl.g_00768
OG0000107	Prap.g_01236	Prbl.g_00766
OG0000108	Prap.g_01226	Prbl.g_02647
OG0000109	Prap.g_01217	Prbl.g_01886
OG0000110	Prap.g_01200	Prbl.g_01905
OG0000111	Prap.g_00375	Prbl.g_01043
OG0000112	Prap.g_00374	Prbl.g_01042
OG0000113	Prap.g_00324	Prbl.g_02432
OG0000114	Prap.g_00785	Prbl.g_02337
OG0000115	Prap.g_00257	Prbl.g_02478
OG0000116	Prap.g_00261	Prbl.g_02486
OG0000117	Prap.g_00705	Prbl.g_00930
OG0000118	Prap.g_00501	Prbl.g_02128
OG0000119	Prap.g_01880	Prbl.g_02202
OG0000120	Prap.g_00450	Prbl.g_02091
OG0000121	Prap.g_00427	Prbl.g_01119
OG0000122	Prap.g_00407	Prbl.g_02583
OG0000123	Prap.g_01135	Prbl.g_01102
OG0000124	Prap.g_00217	Prbl.g_00937
OG0000125	Prap.g_00574	Prbl.g_01736
OG0000126	Prap.g_00059	Prbl.g_00502
OG0000127	Prap.g_00109	Prbl.g_00258
OG0000128	Prap.g_00122	Prbl.g_00241
OG0000129	Prap.g_00158	Prbl.g_00709
OG0000130	Prap.g_01782	Prbl.g_00399
OG0000131	Prap.g_01742	Prbl.g_00350
OG0000132	Prap.g_01739	Prbl.g_00347
OG0000133	Prap.g_01685	Prbl.g_00957
OG0000134	Prap.g_01648, Prap.g_01649	Prbl.g_00994
OG0000135	Prap.g_01646	Prbl.g_00996
OG0000136	Prap.g_01596	Prbl.g_00841
OG0000137	Prap.g_01562	Prbl.g_02053
OG0000138	Prap.g_01528	Prbl.g_02231
OG0000139	Prap.g_01497	Prbl.g_02147
OG0000140	Prap.g_00053	Prbl.g_02120
OG0000141	Prap.g_00052	Prbl.g_02119
OG0000142	Prap.g_00050	Prbl.g_02117
OG0000143	Prap.g_00049	Prbl.g_02116
OG0000144	Prap.g_00047	Prbl.g_02114
OG0000145	Prap.g_00046	Prbl.g_02112
OG0000146	Prap.g_00045	Prbl.g_02111
OG0000147	Prap.g_00044	Prbl.g_02110
OG0000148	Prap.g_00042	Prbl.g_02108
OG0000149	Prap.g_00941	Prbl.g_01955
OG0000150	Prap.g_00940	Prbl.g_01956
OG0000151	Prap.g_00939	Prbl.g_01961
OG0000152	Prap.g_00938	Prbl.g_01962
OG0000153	Prap.g_00937	Prbl.g_01963
OG0000154	Prap.g_00936	Prbl.g_01964
OG0000155	Prap.g_00935	Prbl.g_01965
OG0000156	Prap.g_00934	Prbl.g_01966
OG0000157	Prap.g_00933	Prbl.g_01967
OG0000158	Prap.g_00931	Prbl.g_01969
OG0000159	Prap.g_00930	Prbl.g_01970
OG0000160	Prap.g_00929	Prbl.g_01971
OG0000161	Prap.g_00928	Prbl.g_01972
OG0000162	Prap.g_00927	Prbl.g_01973
OG0000163	Prap.g_00925	Prbl.g_01975
OG0000164	Prap.g_00922	Prbl.g_01980
OG0000165	Prap.g_00919	Prbl.g_01985
OG0000166	Prap.g_00918	Prbl.g_01986
OG0000167	Prap.g_00917	Prbl.g_01987
OG0000168	Prap.g_00915	Prbl.g_01988
OG0000169	Prap.g_00913	Prbl.g_01990
OG0000170	Prap.g_00911	Prbl.g_02241
OG0000171	Prap.g_00910	Prbl.g_02243
OG0000172	Prap.g_00909	Prbl.g_02244
OG0000173	Prap.g_00906	Prbl.g_02251
OG0000174	Prap.g_00905	Prbl.g_02258
OG0000175	Prap.g_00904	Prbl.g_02266
OG0000176	Prap.g_00902	Prbl.g_02274
OG0000177	Prap.g_00901	Prbl.g_02275
OG0000178	Prap.g_00899	Prbl.g_02276
OG0000179	Prap.g_00887	Prbl.g_00614
OG0000180	Prap.g_00886	Prbl.g_00613
OG0000181	Prap.g_00885	Prbl.g_00612
OG0000182	Prap.g_00881	Prbl.g_00608
OG0000183	Prap.g_00880	Prbl.g_00607
OG0000184	Prap.g_00877	Prbl.g_00603
OG0000185	Prap.g_01100	Prbl.g_00597
OG0000186	Prap.g_01099	Prbl.g_00596
OG0000187	Prap.g_00025	Prbl.g_01075
OG0000188	Prap.g_01098	Prbl.g_00595
OG0000189	Prap.g_01097	Prbl.g_00592
OG0000190	Prap.g_01096	Prbl.g_00591
OG0000191	Prap.g_01095	Prbl.g_00590
OG0000192	Prap.g_01094	Prbl.g_00589
OG0000193	Prap.g_01093	Prbl.g_00588
OG0000194	Prap.g_01092	Prbl.g_00587
OG0000195	Prap.g_01090	Prbl.g_00583
OG0000196	Prap.g_01089	Prbl.g_00582
OG0000197	Prap.g_01088	Prbl.g_00576
OG0000198	Prap.g_01087	Prbl.g_00572
OG0000199	Prap.g_01084	Prbl.g_00567
OG0000200	Prap.g_01083	Prbl.g_00566
OG0000201	Prap.g_01082	Prbl.g_00565
OG0000202	Prap.g_01080	Prbl.g_00563
OG0000203	Prap.g_01079	Prbl.g_00562
OG0000204	Prap.g_01078	Prbl.g_00561
OG0000205	Prap.g_01076	Prbl.g_00559
OG0000206	Prap.g_01075	Prbl.g_00558
OG0000207	Prap.g_01074	Prbl.g_00557
OG0000208	Prap.g_01073	Prbl.g_00556
OG0000209	Prap.g_01072	Prbl.g_00555
OG0000210	Prap.g_01071	Prbl.g_00553
OG0000211	Prap.g_01069	Prbl.g_00552
OG0000212	Prap.g_01068	Prbl.g_00551
OG0000213	Prap.g_01067	Prbl.g_00548
OG0000214	Prap.g_01063	Prbl.g_00542
OG0000215	Prap.g_01062	Prbl.g_01332
OG0000216	Prap.g_01060	Prbl.g_01330
OG0000217	Prap.g_01059	Prbl.g_01328
OG0000218	Prap.g_01058	Prbl.g_01326
OG0000219	Prap.g_01057	Prbl.g_01325
OG0000220	Prap.g_01054	Prbl.g_01320
OG0000221	Prap.g_01051	Prbl.g_01315
OG0000222	Prap.g_01050	Prbl.g_01314
OG0000223	Prap.g_01049	Prbl.g_01313
OG0000224	Prap.g_01047	Prbl.g_00827
OG0000225	Prap.g_01045	Prbl.g_00825
OG0000226	Prap.g_01043	Prbl.g_00822
OG0000227	Prap.g_01042	Prbl.g_00820
OG0000228	Prap.g_01041	Prbl.g_00819
OG0000229	Prap.g_01040	Prbl.g_00818
OG0000230	Prap.g_01039	Prbl.g_00817
OG0000231	Prap.g_00319	Prbl.g_00815
OG0000232	Prap.g_01037	Prbl.g_00814
OG0000233	Prap.g_01034	Prbl.g_00809
OG0000234	Prap.g_01032	Prbl.g_00305
OG0000235	Prap.g_01026	Prbl.g_00303
OG0000236	Prap.g_01025	Prbl.g_00302
OG0000237	Prap.g_01024	Prbl.g_00301
OG0000238	Prap.g_01023	Prbl.g_00300
OG0000239	Prap.g_01022	Prbl.g_00299
OG0000240	Prap.g_01020	Prbl.g_00297
OG0000241	Prap.g_01019	Prbl.g_00296
OG0000242	Prap.g_01018	Prbl.g_00295
OG0000243	Prap.g_01017	Prbl.g_00294
OG0000244	Prap.g_01016	Prbl.g_00293
OG0000245	Prap.g_01014	Prbl.g_00291
OG0000246	Prap.g_01012	Prbl.g_00289
OG0000247	Prap.g_01011	Prbl.g_00288
OG0000248	Prap.g_01010	Prbl.g_00287
