Orthogroup	Prap	Prbd
OG0000000	Prap.g_00720, Prap.g_00715	Prbd.g_01771
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Prbd.g_00566
OG0000002	Prap.g_01925	Prbd.g_01779
OG0000002	Prap.g_00653	Prbd.g_01930
OG0000003	Prap.g_00494	Prbd.g_01835, Prbd.g_01567
OG0000004	Prap.g_00535	Prbd.g_00038
OG0000005	Prap.g_01862	Prbd.g_01568, Prbd.g_01914
OG0000006	Prap.g_01270	Prbd.g_00745
OG0000006	Prap.g_01779	Prbd.g_01525
OG0000009	Prap.g_00480	Prbd.g_00082
OG0000009	Prap.g_01462	Prbd.g_00990
OG0000010	Prap.g_00010	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000012	Prap.g_01163, Prap.g_01170	Prbd.g_00646
OG0000013	Prap.g_01840, Prap.g_01794	Prbd.g_00065, Prbd.g_00826
OG0000014	Prap.g_01860, Prap.g_01912	Prbd.g_01832, Prbd.g_00772
OG0000015	Prap.g_01851, Prap.g_01818	Prbd.g_00856
OG0000016	Prap.g_00510, Prap.g_00218	Prbd.g_01768
OG0000018	Prap.g_01470	Prbd.g_00998
OG0000019	Prap.g_00797	Prbd.g_01546, Prbd.g_00874
OG0000020	Prap.g_00548	Prbd.g_00439
OG0000020	Prap.g_01439	Prbd.g_00864
OG0000021	Prap.g_01797	Prbd.g_00084
OG0000023	Prap.g_00216	Prbd.g_01887
OG0000024	Prap.g_01403	Prbd.g_00933
OG0000028	Prap.g_00121	Prbd.g_01689
OG0000029	Prap.g_01312	Prbd.g_01575
OG0000031	Prap.g_00611	Prbd.g_01544
OG0000035	Prap.g_00017	Prbd.g_00192
OG0000036	Prap.g_01183, Prap.g_01790	Prbd.g_00658
OG0000037	Prap.g_01145, Prap.g_00236	Prbd.g_00621
OG0000038	Prap.g_00212	Prbd.g_00061
OG0000039	Prap.g_01004	Prbd.g_01074
OG0000040	Prap.g_00029	Prbd.g_00879
OG0000041	Prap.g_01815, Prap.g_01821	Prbd.g_00833
OG0000042	Prap.g_00791	Prbd.g_00007
OG0000043	Prap.g_00691	Prbd.g_00087
OG0000044	Prap.g_00456	Prbd.g_00468
OG0000045	Prap.g_00081	Prbd.g_01733
OG0000046	Prap.g_01917, Prap.g_01787	Prbd.g_01532
OG0000047	Prap.g_01580	Prbd.g_01335
OG0000048	Prap.g_01572	Prbd.g_01328
OG0000050	Prap.g_00923	Prbd.g_01206
OG0000051	Prap.g_01013	Prbd.g_01083
OG0000052	Prap.g_00591	Prbd.g_00868
OG0000053	Prap.g_01867, Prap.g_01230	Prbd.g_00703
OG0000055	Prap.g_00760	Prbd.g_00124
OG0000057	Prap.g_01475	Prbd.g_01002, Prbd.g_01537
OG0000058	Prap.g_01292	Prbd.g_00767
OG0000059	Prap.g_00799	Prbd.g_00546
OG0000062	Prap.g_01883	Prbd.g_00427
OG0000063	Prap.g_00429	Prbd.g_01895
OG0000065	Prap.g_00561	Prbd.g_01801
OG0000066	Prap.g_00079	Prbd.g_01737
OG0000068	Prap.g_01642	Prbd.g_01391
OG0000071	Prap.g_00043	Prbd.g_01226
OG0000072	Prap.g_01389	Prbd.g_00917
OG0000073	Prap.g_00356	Prbd.g_00575
OG0000074	Prap.g_00809	Prbd.g_00553
OG0000075	Prap.g_00776	Prbd.g_00109
OG0000076	Prap.g_00708	Prbd.g_00340
OG0000077	Prap.g_01863	Prbd.g_01913
OG0000078	Prap.g_00082	Prbd.g_01734
OG0000079	Prap.g_00206	Prbd.g_01610
OG0000080	Prap.g_00618	Prbd.g_01561
OG0000081	Prap.g_01608	Prbd.g_01361
OG0000083	Prap.g_00051	Prbd.g_01234
OG0000084	Prap.g_00048	Prbd.g_01231
OG0000085	Prap.g_00932	Prbd.g_01214
OG0000087	Prap.g_00903	Prbd.g_01188
OG0000088	Prap.g_01061	Prbd.g_01131
OG0000089	Prap.g_01052	Prbd.g_01122
OG0000090	Prap.g_01035	Prbd.g_01104, Prbd.g_01103
OG0000091	Prap.g_01001	Prbd.g_01071
OG0000092	Prap.g_01000	Prbd.g_01070
OG0000093	Prap.g_00986	Prbd.g_01056
OG0000094	Prap.g_00967	Prbd.g_01038
OG0000095	Prap.g_00962	Prbd.g_01033
OG0000096	Prap.g_01460	Prbd.g_00988
OG0000097	Prap.g_01436	Prbd.g_00965
OG0000099	Prap.g_01415	Prbd.g_00945
OG0000100	Prap.g_01412	Prbd.g_00942
OG0000101	Prap.g_01347	Prbd.g_00882
OG0000102	Prap.g_00543	Prbd.g_00855
OG0000103	Prap.g_01291	Prbd.g_00766
OG0000104	Prap.g_01287	Prbd.g_00762
OG0000105	Prap.g_01267	Prbd.g_00743
OG0000106	Prap.g_01237	Prbd.g_00710
OG0000107	Prap.g_01236	Prbd.g_00709
OG0000108	Prap.g_01226	Prbd.g_00699
OG0000109	Prap.g_01217	Prbd.g_00690
OG0000110	Prap.g_01200	Prbd.g_00674
OG0000111	Prap.g_00375	Prbd.g_00593
OG0000112	Prap.g_00374	Prbd.g_00592
OG0000113	Prap.g_00324	Prbd.g_00029
OG0000114	Prap.g_00785	Prbd.g_00100
OG0000115	Prap.g_00257	Prbd.g_00264
OG0000116	Prap.g_00261	Prbd.g_00268
OG0000117	Prap.g_00705	Prbd.g_00337
OG0000118	Prap.g_00501	Prbd.g_00389
OG0000119	Prap.g_01880	Prbd.g_00430
OG0000120	Prap.g_00450	Prbd.g_00474
OG0000121	Prap.g_00427	Prbd.g_00493
OG0000122	Prap.g_00407	Prbd.g_00512
OG0000123	Prap.g_01135	Prbd.g_00525
OG0000124	Prap.g_00217	Prbd.g_01921
OG0000125	Prap.g_00574	Prbd.g_01789
OG0000126	Prap.g_00059	Prbd.g_01764
OG0000127	Prap.g_00109	Prbd.g_01702
OG0000128	Prap.g_00122	Prbd.g_01688
OG0000129	Prap.g_00158	Prbd.g_01652
OG0000130	Prap.g_01782	Prbd.g_01527
OG0000131	Prap.g_01742	Prbd.g_01489
OG0000132	Prap.g_01739	Prbd.g_01486
OG0000133	Prap.g_01685	Prbd.g_01432
OG0000134	Prap.g_01648, Prap.g_01649	Prbd.g_01396
OG0000135	Prap.g_01646	Prbd.g_01394
OG0000136	Prap.g_01596	Prbd.g_01350
OG0000137	Prap.g_01562	Prbd.g_01317
OG0000138	Prap.g_01528	Prbd.g_01281
OG0000139	Prap.g_01497	Prbd.g_01255
OG0000140	Prap.g_00053	Prbd.g_01236
OG0000141	Prap.g_00052	Prbd.g_01235
OG0000142	Prap.g_00050	Prbd.g_01233
OG0000143	Prap.g_00049	Prbd.g_01232
OG0000144	Prap.g_00047	Prbd.g_01230
OG0000145	Prap.g_00046	Prbd.g_01229
OG0000146	Prap.g_00045	Prbd.g_01228
OG0000147	Prap.g_00044	Prbd.g_01227
OG0000148	Prap.g_00042	Prbd.g_01225
OG0000149	Prap.g_00941	Prbd.g_01223
OG0000150	Prap.g_00940	Prbd.g_01222
OG0000151	Prap.g_00939	Prbd.g_01221
OG0000152	Prap.g_00938	Prbd.g_01220
OG0000153	Prap.g_00937	Prbd.g_01219
OG0000154	Prap.g_00936	Prbd.g_01218
OG0000155	Prap.g_00935	Prbd.g_01217
OG0000156	Prap.g_00934	Prbd.g_01216
OG0000157	Prap.g_00933	Prbd.g_01215
OG0000158	Prap.g_00931	Prbd.g_01213
OG0000159	Prap.g_00930	Prbd.g_01212
OG0000160	Prap.g_00929	Prbd.g_01211
OG0000161	Prap.g_00928	Prbd.g_01210
OG0000162	Prap.g_00927	Prbd.g_01209
OG0000163	Prap.g_00925	Prbd.g_01208
OG0000164	Prap.g_00922	Prbd.g_01205
OG0000165	Prap.g_00919	Prbd.g_01202
OG0000166	Prap.g_00918	Prbd.g_01201
OG0000167	Prap.g_00917	Prbd.g_01200
OG0000168	Prap.g_00915	Prbd.g_01198
OG0000169	Prap.g_00913	Prbd.g_01196
OG0000170	Prap.g_00911	Prbd.g_01195
OG0000171	Prap.g_00910	Prbd.g_01194
OG0000172	Prap.g_00909	Prbd.g_01192
OG0000173	Prap.g_00906	Prbd.g_01191
OG0000174	Prap.g_00905	Prbd.g_01190
OG0000175	Prap.g_00904	Prbd.g_01189
OG0000176	Prap.g_00902	Prbd.g_01187
OG0000177	Prap.g_00901	Prbd.g_01186
OG0000178	Prap.g_00899	Prbd.g_01185
OG0000179	Prap.g_00887	Prbd.g_01180
OG0000180	Prap.g_00886	Prbd.g_01179
OG0000181	Prap.g_00885	Prbd.g_01178
OG0000182	Prap.g_00881	Prbd.g_01175
OG0000183	Prap.g_00880	Prbd.g_01174
OG0000184	Prap.g_00877	Prbd.g_01171
OG0000185	Prap.g_01100	Prbd.g_01167
OG0000186	Prap.g_01099	Prbd.g_01166
OG0000187	Prap.g_00025	Prbd.g_01165
OG0000188	Prap.g_01098	Prbd.g_01164
OG0000189	Prap.g_01097	Prbd.g_01163
OG0000190	Prap.g_01096	Prbd.g_01162
OG0000191	Prap.g_01095	Prbd.g_01161
OG0000192	Prap.g_01094	Prbd.g_01160
OG0000193	Prap.g_01093	Prbd.g_01159
OG0000194	Prap.g_01092	Prbd.g_01158
OG0000195	Prap.g_01090	Prbd.g_01156
OG0000196	Prap.g_01089	Prbd.g_01155
OG0000197	Prap.g_01088	Prbd.g_01154
OG0000198	Prap.g_01087	Prbd.g_01153
OG0000199	Prap.g_01084	Prbd.g_01150
OG0000200	Prap.g_01083	Prbd.g_01149
OG0000201	Prap.g_01082	Prbd.g_01148
OG0000202	Prap.g_01080	Prbd.g_01147
OG0000203	Prap.g_01079	Prbd.g_01146
OG0000204	Prap.g_01078	Prbd.g_01145
OG0000205	Prap.g_01076	Prbd.g_01144
OG0000206	Prap.g_01075	Prbd.g_01143
OG0000207	Prap.g_01074	Prbd.g_01142
OG0000208	Prap.g_01073	Prbd.g_01141
OG0000209	Prap.g_01072	Prbd.g_01140
OG0000210	Prap.g_01071	Prbd.g_01138
