Orthogroup	Prap	Prad
OG0000000	Prap.g_00720, Prap.g_00715	Prad.g_00601
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Prad.g_01252
OG0000001	Prap.g_01846, Prap.g_00493, Prap.g_01861	Prad.g_01297
OG0000002	Prap.g_01925	Prad.g_00609
OG0000002	Prap.g_00653	Prad.g_01434, Prad.g_01994
OG0000003	Prap.g_00494	Prad.g_00350, Prad.g_00389
OG0000004	Prap.g_00535	Prad.g_01082
OG0000005	Prap.g_01862	Prad.g_00392, Prad.g_01982
OG0000006	Prap.g_01270	Prad.g_00132
OG0000006	Prap.g_01779	Prad.g_00941
OG0000009	Prap.g_00480	Prad.g_01125
OG0000009	Prap.g_01462	Prad.g_01742
OG0000010	Prap.g_00010	Prad.g_00650, Prad.g_00330
OG0000011	Prap.g_01343	Prad.g_00683
OG0000012	Prap.g_01163, Prap.g_01170	Prad.g_01387
OG0000013	Prap.g_01840, Prap.g_01794	Prad.g_01108
OG0000014	Prap.g_01860, Prap.g_01912	Prad.g_00353, Prad.g_01298
OG0000015	Prap.g_01851, Prap.g_01818	Prad.g_00951, Prad.g_00728
OG0000016	Prap.g_00510, Prap.g_00218	Prad.g_00598
OG0000018	Prap.g_01470	Prad.g_01750
OG0000019	Prap.g_00797	Prad.g_01981, Prad.g_00745
OG0000020	Prap.g_01439	Prad.g_00735
OG0000021	Prap.g_01797	Prad.g_01127
OG0000023	Prap.g_00216	Prad.g_00317
OG0000024	Prap.g_01403	Prad.g_01685
OG0000026	Prap.g_01903	Prad.g_00081
OG0000028	Prap.g_00121	Prad.g_00515
OG0000029	Prap.g_01312	Prad.g_00400, Prad.g_00952
OG0000034	Prap.g_00897	Prad.g_00571
OG0000035	Prap.g_00017	Prad.g_00258
OG0000036	Prap.g_01183, Prap.g_01790	Prad.g_01374
OG0000037	Prap.g_01145, Prap.g_00236	Prad.g_01412
OG0000038	Prap.g_00212	Prad.g_01105
OG0000039	Prap.g_01004	Prad.g_01825
OG0000040	Prap.g_00029	Prad.g_00751
OG0000041	Prap.g_01815, Prap.g_01821	Prad.g_00697
OG0000042	Prap.g_00791	Prad.g_01049
OG0000043	Prap.g_00691	Prad.g_01130
OG0000044	Prap.g_00456	Prad.g_01496
OG0000045	Prap.g_00081	Prad.g_00565
OG0000046	Prap.g_01917, Prap.g_01787	Prad.g_00948
OG0000047	Prap.g_01580	Prad.g_01631
OG0000048	Prap.g_01572	Prad.g_01624
OG0000050	Prap.g_00923	Prad.g_01955
OG0000051	Prap.g_01013	Prad.g_01834
OG0000052	Prap.g_00591	Prad.g_00739
OG0000053	Prap.g_01867, Prap.g_01230	Prad.g_00090
OG0000055	Prap.g_00760	Prad.g_01168
OG0000057	Prap.g_01475	Prad.g_01754, Prad.g_00965
OG0000058	Prap.g_01292	Prad.g_00032
OG0000059	Prap.g_00799	Prad.g_01272
OG0000062	Prap.g_01883	Prad.g_01989
OG0000063	Prap.g_00429	Prad.g_01214
OG0000065	Prap.g_00561	Prad.g_00628
OG0000066	Prap.g_00079	Prad.g_00564
OG0000067	Prap.g_00619	Prad.g_01218
OG0000068	Prap.g_01642	Prad.g_00807
OG0000069	Prap.g_00160	Prad.g_00572
OG0000071	Prap.g_00043	Prad.g_01975
OG0000072	Prap.g_01389	Prad.g_01669
OG0000073	Prap.g_00356	Prad.g_01243
OG0000074	Prap.g_00809	Prad.g_01265
OG0000075	Prap.g_00776	Prad.g_01153
OG0000076	Prap.g_00708	Prad.g_01018
OG0000077	Prap.g_01863	Prad.g_01983
