Orthogroup	Pran	Prbe
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbe.g_01119
OG0000002	Pran.g_01500	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Pran.g_01483	Prbe.g_01203
OG0000004	Pran.g_00200	Prbe.g_01784
OG0000005	Pran.g_00657	Prbe.g_00228
OG0000006	Pran.g_01951	Prbe.g_01794
OG0000007	Pran.g_01681	Prbe.g_00636
OG0000007	Pran.g_00970	Prbe.g_00985
OG0000009	Pran.g_00615	Prbe.g_00216
OG0000010	Pran.g_01704	Prbe.g_00659
OG0000010	Pran.g_00175	Prbe.g_00096, Prbe.g_01411
OG0000012	Pran.g_01555	Prbe.g_00511, Prbe.g_00196
OG0000013	Pran.g_01867	Prbe.g_01879
OG0000014	Pran.g_01888	Prbe.g_01861
OG0000015	Pran.g_01394	Prbe.g_01046, Prbe.g_01000
OG0000016	Pran.g_00620	Prbe.g_01607
OG0000017	Pran.g_01580	Prbe.g_00536, Prbe.g_00529
OG0000018	Pran.g_01316	Prbe.g_01250
OG0000018	Pran.g_00078	Prbe.g_01571
OG0000019	Pran.g_01943	Prbe.g_01802
OG0000019	Pran.g_01363	Prbe.g_01573
OG0000020	Pran.g_01804	Prbe.g_00018
OG0000021	Pran.g_01829	Prbe.g_00203, Prbe.g_01208
OG0000022	Pran.g_01401	Prbe.g_00220
OG0000023	Pran.g_01834	Prbe.g_00062
OG0000024	Pran.g_01420	Prbe.g_01415
OG0000024	Pran.g_01503	Prbe.g_00449
OG0000025	Pran.g_01863, Pran.g_01309	Prbe.g_01258
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Prbe.g_00132
OG0000027	Pran.g_00583	Prbe.g_00012, Prbe.g_01121
OG0000029	Pran.g_01410	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Pran.g_01170	Prbe.g_00763
OG0000031	Pran.g_00753	Prbe.g_00352
OG0000033	Pran.g_00800	Prbe.g_00345
OG0000034	Pran.g_00866	Prbe.g_00882
OG0000035	Pran.g_00733	Prbe.g_00311
OG0000037	Pran.g_00324	Prbe.g_01651
OG0000038	Pran.g_01210	Prbe.g_01156
OG0000039	Pran.g_01492	Prbe.g_00461
OG0000041	Pran.g_01016	Prbe.g_00938
OG0000042	Pran.g_01167	Prbe.g_00766
OG0000043	Pran.g_00179	Prbe.g_01570
OG0000048	Pran.g_01772, Pran.g_01820	Prbe.g_00906, Prbe.g_01825
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Prbe.g_00098
OG0000052	Pran.g_00777	Prbe.g_00333
OG0000053	Pran.g_00713	Prbe.g_00290, Prbe.g_01040
OG0000054	Pran.g_01572	Prbe.g_00527
OG0000055	Pran.g_01362	Prbe.g_01598, Prbe.g_01011
OG0000057	Pran.g_01480	Prbe.g_01206
OG0000058	Pran.g_00807	Prbe.g_00351
OG0000059	Pran.g_01056	Prbe.g_01094
OG0000061	Pran.g_00060	Prbe.g_01549
OG0000062	Pran.g_00655	Prbe.g_00226
OG0000065	Pran.g_00326	Prbe.g_01649
OG0000066	Pran.g_01639	Prbe.g_00596, Prbe.g_01114
OG0000067	Pran.g_01343	Prbe.g_01222
OG0000068	Pran.g_00841	Prbe.g_00373
OG0000069	Pran.g_00614	Prbe.g_00678
OG0000070	Pran.g_01727	Prbe.g_01948
OG0000071	Pran.g_00938, Pran.g_00876	Prbe.g_00893
OG0000072	Pran.g_00261	Prbe.g_01719
OG0000073	Pran.g_01679	Prbe.g_00633
OG0000074	Pran.g_01496	Prbe.g_00456, Prbe.g_00107, Prbe.g_00070
OG0000075	Pran.g_01137	Prbe.g_00800
OG0000076	Pran.g_01160	Prbe.g_00774
OG0000077	Pran.g_00354	Prbe.g_00183
OG0000078	Pran.g_00194	Prbe.g_01792
OG0000079	Pran.g_01940	Prbe.g_01805
OG0000080	Pran.g_00796	Prbe.g_00339
OG0000080	Pran.g_00794	Prbe.g_00337
OG0000081	Pran.g_01647	Prbe.g_00604
OG0000082	Pran.g_01593	Prbe.g_00549, Prbe.g_00996
OG0000084	Pran.g_00737	Prbe.g_00314
OG0000085	Pran.g_00963	Prbe.g_00007, Prbe.g_00993
OG0000086	Pran.g_00344	Prbe.g_00192
OG0000087	Pran.g_00295	Prbe.g_01683
OG0000088	Pran.g_00266	Prbe.g_01714
OG0000089	Pran.g_01839	Prbe.g_01915
OG0000090	Pran.g_01645	Prbe.g_00602
OG0000091	Pran.g_01536	Prbe.g_01477
OG0000092	Pran.g_00434	Prbe.g_00422
OG0000093	Pran.g_00455	Prbe.g_01448
OG0000094	Pran.g_00549	Prbe.g_01399
OG0000095	Pran.g_00903	Prbe.g_01297
