Orthogroup	Pran	Syag
OG0000004	Pran.g_01483	Syag.g_00988
OG0000004	Pran.g_00200	Syag.g_00370, Syag.g_01790
OG0000005	Pran.g_00983	Syag.g_01708
OG0000005	Pran.g_00657	Syag.g_01667
OG0000006	Pran.g_01951	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Pran.g_01681	Syag.g_01507
OG0000007	Pran.g_00970	Syag.g_01687
OG0000009	Pran.g_00615	Syag.g_00220, Syag.g_00231
OG0000009	Pran.g_00328	Syag.g_01883
OG0000010	Pran.g_00175	Syag.g_01355
OG0000011	Pran.g_01384	Syag.g_01299
OG0000012	Pran.g_01555	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Pran.g_01867	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Pran.g_01888	Syag.g_02559
OG0000014	Pran.g_00755, Pran.g_00754	Syag.g_02487
OG0000015	Pran.g_01394	Syag.g_02252, Syag.g_00596
OG0000017	Pran.g_01580	Syag.g_00336, Syag.g_00344
OG0000018	Pran.g_00078	Syag.g_01387
OG0000019	Pran.g_01943, Pran.g_01363	Syag.g_02663
OG0000020	Pran.g_00117, Pran.g_01804	Syag.g_00085
OG0000021	Pran.g_01829	Syag.g_00229
OG0000022	Pran.g_00097	Syag.g_00458
OG0000023	Pran.g_01834	Syag.g_00261, Syag.g_00234
OG0000024	Pran.g_01420, Pran.g_01503	Syag.g_00455
OG0000025	Pran.g_01863, Pran.g_01309	Syag.g_00718
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syag.g_02309
OG0000027	Pran.g_00583	Syag.g_00950, Syag.g_00165
OG0000028	Pran.g_01874	Syag.g_02540
OG0000029	Pran.g_01410	Syag.g_00195
OG0000030	Pran.g_01170	Syag.g_02375, Syag.g_02374
OG0000031	Pran.g_00753	Syag.g_02510, Syag.g_02486
OG0000033	Pran.g_00800	Syag.g_01978
OG0000034	Pran.g_00866	Syag.g_01225, Syag.g_01947
OG0000035	Pran.g_00733	Syag.g_01420, Syag.g_01421
OG0000037	Pran.g_00324	Syag.g_00173
OG0000038	Pran.g_01210	Syag.g_02130, Syag.g_02132
OG0000039	Pran.g_01492	Syag.g_01325, Syag.g_02155
OG0000040	Pran.g_00079	Syag.g_02215
OG0000041	Pran.g_01016	Syag.g_01750, Syag.g_00962
OG0000042	Pran.g_01167	Syag.g_01094, Syag.g_02378
OG0000044	Pran.g_00949	Syag.g_00945
OG0000045	Pran.g_01823	Syag.g_00223
OG0000047	Pran.g_01864	Syag.g_00768
OG0000048	Pran.g_01772, Pran.g_01820	Syag.g_02611
OG0000051	Pran.g_00898	Syag.g_01026
OG0000052	Pran.g_00777	Syag.g_02491
OG0000053	Pran.g_00713	Syag.g_01391
OG0000054	Pran.g_01572	Syag.g_00350
OG0000055	Pran.g_01362	Syag.g_01799, Syag.g_00946
OG0000057	Pran.g_01480	Syag.g_00985
OG0000059	Pran.g_01056	Syag.g_02721
OG0000060	Pran.g_01399	Syag.g_01338, Syag.g_01530, Syag.g_02045, Syag.g_01095
OG0000061	Pran.g_00060	Syag.g_01141
OG0000062	Pran.g_00655	Syag.g_01669
OG0000063	Pran.g_00391	Syag.g_02313
OG0000065	Pran.g_00326	Syag.g_01885, Syag.g_00182
OG0000066	Pran.g_01639	Syag.g_01443
OG0000067	Pran.g_01343	Syag.g_00667
OG0000068	Pran.g_00841	Syag.g_01537
OG0000070	Pran.g_01727	Syag.g_00049
OG0000071	Pran.g_00938, Pran.g_00876	Syag.g_01192
OG0000072	Pran.g_00261	Syag.g_01980, Syag.g_02859
OG0000073	Pran.g_01679	Syag.g_01505
OG0000075	Pran.g_01137	Syag.g_02434
OG0000076	Pran.g_01160	Syag.g_02393
OG0000077	Pran.g_00354	Syag.g_01831
OG0000078	Pran.g_00194	Syag.g_01778
OG0000079	Pran.g_01940	Syag.g_02659, Syag.g_02652
OG0000081	Pran.g_01647	Syag.g_00167
OG0000082	Pran.g_01593	Syag.g_00318
OG0000084	Pran.g_00737	Syag.g_00212, Syag.g_01425
OG0000085	Pran.g_00963	Syag.g_01676
OG0000086	Pran.g_00344	Syag.g_01853
OG0000087	Pran.g_00295	Syag.g_01939
OG0000088	Pran.g_00266	Syag.g_01974
OG0000089	Pran.g_01839	Syag.g_00005
OG0000090	Pran.g_01645	Syag.g_01454
OG0000091	Pran.g_01536	Syag.g_00418
OG0000093	Pran.g_00455	Syag.g_00649
OG0000094	Pran.g_00549	Syag.g_00881
OG0000095	Pran.g_00903	Syag.g_00974
OG0000097	Pran.g_00019	Syag.g_01065
OG0000098	Pran.g_00855	Syag.g_00578, Syag.g_01445
OG0000099	Pran.g_00806	Syag.g_02536
OG0000100	Pran.g_00659	Syag.g_00704
